,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2013-01-02,34.92,35.4,34.1,35.12,26.7596,13767900,0.0,1.0
2013-01-03,35.0,35.0,34.16,34.83,26.5386,16739300,0.0,1.0
2013-01-04,34.62,34.89,34.25,34.3908,26.204,21372100,0.0,1.0
2013-01-07,34.15,35.45,34.15,34.46,26.2567,17897100,0.0,1.0
2013-01-08,34.29,34.64,33.36,33.71,25.6852,17863300,0.0,1.0
2013-01-09,33.61,33.95,33.61,33.9,25.83,18800400,0.0,1.0
2013-01-10,33.66,34.0,33.33,34.0,25.9062,15658100,0.0,1.0
2013-01-11,33.59,33.9,33.35,33.85,26.0967,11191500,0.4,1.0
2013-01-14,34.01,34.25,33.8,34.09,26.2817,11584900,0.0,1.0
2013-01-15,33.71,34.72,33.71,34.6,26.6749,13040200,0.0,1.0
2013-01-16,34.47,35.54,34.45,35.54,27.3996,16512700,0.0,1.0
2013-01-17,35.75,36.7,35.75,36.42,28.078,14424800,0.0,1.0
2013-01-18,36.43,37.32,36.04,37.32,28.7719,17842200,0.0,1.0
2013-01-22,36.98,37.25,35.93,36.42,28.078,15809700,0.0,1.0
2013-01-23,36.91,37.84,36.5,37.8,29.1419,10981600,0.0,1.0
2013-01-24,37.79,38.52,37.23,37.46,28.8798,11327100,0.0,1.0
2013-01-25,37.52,37.84,36.64,37.6,28.9877,8934600,0.0,1.0
2013-01-28,37.65,37.87,36.71,36.89,28.4404,7140100,0.0,1.0
2013-01-29,36.71,37.46,36.25,37.31,28.7642,8838500,0.0,1.0
2013-01-30,36.81,37.525,36.81,36.93,28.4712,10841800,0.0,1.0
2013-01-31,36.84,36.93,36.27,36.69,28.2862,10720700,0.0,1.0
2013-02-01,36.84,37.2,36.52,37.18,28.6639,9527500,0.0,1.0
2013-02-04,36.64,37.3,36.55,37.28,28.741,6348000,0.0,1.0
2013-02-05,37.42,37.73,37.18,37.2,28.6794,7284400,0.0,1.0
2013-02-06,36.96,37.28,36.86,37.14,28.6331,5738900,0.0,1.0
2013-02-07,37.57,37.57,35.8,36.42,28.078,9872500,0.0,1.0
2013-02-08,36.37,36.42,35.825,36.25,27.947,13858700,0.0,1.0
2013-02-11,36.13,36.18,35.75,35.85,27.6386,6032100,0.0,1.0
2013-02-12,35.77,35.9,35.2,35.42,27.3071,7473800,0.0,1.0
2013-02-13,35.42,35.57,35.15,35.27,27.1914,4859800,0.0,1.0
2013-02-14,35.05,36.73,35.01,36.57,28.1937,7570100,0.0,1.0
2013-02-15,36.93,37.81,36.93,37.58,28.9723,13296300,0.0,1.0
2013-02-19,37.54,38.33,37.11,38.19,29.4426,8292700,0.0,1.0
2013-02-20,38.16,39.13,37.61,38.61,29.7664,8096400,0.0,1.0
2013-02-21,38.49,39.025,38.19,38.78,29.8975,7260900,0.0,1.0
2013-02-22,38.79,38.85,38.14,38.46,29.6508,4490400,0.0,1.0
2013-02-25,38.54,38.61,37.37,37.37,28.8104,4665600,0.0,1.0
2013-02-26,37.6,37.6,36.96,37.09,28.5946,4463000,0.0,1.0
