,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,21.25,21.94,21.0,21.25,4.2851,919100,0.0,1.0
2000-01-19,21.25,21.5,21.06,21.31,4.2972,253800,0.0,1.0
2000-01-20,20.94,21.0,20.0,20.19,4.0714,418500,0.0,1.0
2000-01-21,19.63,19.75,18.75,19.25,3.8818,346000,0.0,1.0
2000-01-24,19.5,19.88,19.12,19.44,3.9201,214400,0.0,1.0
2000-01-25,19.44,19.44,18.25,18.75,3.781,168100,0.0,1.0
2000-01-26,18.75,18.75,17.87,18.13,3.656,155300,0.0,1.0
2000-01-27,18.25,19.5,18.13,18.75,3.781,850700,0.0,1.0
2000-01-28,19.0,19.12,18.56,18.75,3.781,386300,0.0,1.0
2000-01-31,18.75,18.81,18.06,18.13,3.656,147100,0.0,1.0
2000-02-01,19.75,20.19,18.38,18.69,3.7689,386700,0.0,1.0
2000-02-02,18.44,19.12,18.44,18.88,3.8072,391100,0.0,1.0
2000-02-03,18.75,18.88,18.5,18.75,3.781,331200,0.0,1.0
2000-02-04,18.75,18.75,18.13,18.44,3.7185,176800,0.0,1.0
2000-02-07,18.19,18.38,18.13,18.31,3.6923,132000,0.0,1.0
2000-02-08,18.38,18.38,17.75,17.87,3.6035,174200,0.0,1.0
2000-02-09,17.62,17.62,16.5,17.25,3.4785,362400,0.0,1.0
2000-02-10,17.12,17.25,16.75,17.06,3.4402,150600,0.0,1.0
2000-02-11,17.06,17.06,16.31,16.5,3.3273,145200,0.0,1.0
2000-02-14,16.88,16.88,16.0,16.37,3.3011,222900,0.0,1.0
2000-02-15,16.37,16.37,15.69,15.88,3.2022,679900,0.0,1.0
2000-02-16,15.81,16.0,15.75,15.94,3.2143,504100,0.0,1.0
2000-02-17,15.94,16.75,15.81,16.75,3.3777,333700,0.0,1.0
2000-02-18,16.75,16.75,15.44,15.69,3.1639,2636400,0.0,1.0
2000-02-22,15.75,16.0,15.56,15.75,3.176,353900,0.0,1.0
2000-02-23,15.75,15.75,15.38,15.5,3.1256,165500,0.0,1.0
2000-02-24,15.44,15.44,14.94,15.0,3.0248,269800,0.0,1.0
2000-02-25,14.69,14.81,13.75,14.0,2.8231,499400,0.0,1.0
2000-02-28,14.0,14.5,13.75,14.5,2.924,714800,0.0,1.0
2000-02-29,14.5,14.62,14.44,14.56,2.9361,827000,0.0,1.0
2000-03-01,14.62,15.13,14.56,14.87,2.9986,342900,0.0,1.0
2000-03-02,14.94,15.06,14.87,14.94,3.0127,273200,0.0,1.0
2000-03-03,14.87,14.94,14.0,14.31,2.8856,380300,0.0,1.0
2000-03-06,14.56,14.75,13.88,13.88,2.7989,218100,0.0,1.0
2000-03-07,14.0,14.0,12.81,13.06,2.6336,336000,0.0,1.0
2000-03-08,13.06,13.12,12.5,12.94,2.6094,349100,0.0,1.0
2000-03-09,12.94,13.06,12.75,13.0,2.6215,391700,0.0,1.0
2000-03-10,12.94,13.25,12.94,13.0,2.6215,488600,0.0,1.0
2000-03-13,13.0,13.19,12.81,12.88,2.5973,241900,0.0,1.0
2000-03-14,12.88,12.88,12.0,12.0,2.4198,337500,0.0,1.0
2000-03-15,12.31,13.94,12.25,13.69,2.7606,540100,0.0,1.0
2000-03-16,13.75,16.31,13.75,16.31,3.289,475100,0.0,1.0
2000-03-17,16.12,16.31,15.5,15.81,3.1881,211200,0.0,1.0
2000-03-20,15.75,16.37,15.62,15.94,3.2143,118300,0.0,1.0
2000-03-21,15.56,16.0,14.87,16.0,3.2264,517500,0.0,1.0
2000-03-22,16.94,16.94,16.0,16.0,3.2264,213800,0.0,1.0
2000-03-23,15.81,15.88,15.06,15.06,3.0369,496200,0.0,1.0
2000-03-24,15.06,15.5,14.62,15.0,3.0248,592900,0.0,1.0
2000-03-27,15.0,15.06,14.75,14.94,3.0127,72900,0.0,1.0
2000-03-28,14.81,15.25,14.62,14.94,3.0127,357400,0.0,1.0
2000-03-29,15.06,15.38,14.81,15.0,3.0248,123400,0.0,1.0
2000-03-30,14.81,14.87,14.19,14.5,2.924,140800,0.0,1.0
2000-03-31,14.5,15.62,14.44,15.0,3.0248,445100,0.0,1.0
2000-04-03,14.94,15.13,14.62,14.62,2.9482,227100,0.0,1.0
2000-04-04,14.87,15.88,14.25,15.56,3.1377,585700,0.0,1.0
2000-04-05,15.44,16.44,15.31,16.06,3.2385,276900,0.0,1.0
2000-04-06,16.12,18.0,16.12,16.81,3.3898,184300,0.0,1.0
2000-04-07,16.81,17.75,16.44,16.75,3.3777,182800,0.0,1.0
2000-04-10,16.69,16.88,15.56,15.56,3.1377,94800,0.0,1.0
2000-04-11,16.25,17.25,16.25,17.06,3.4402,159600,0.0,1.0
2000-04-12,17.0,17.62,16.75,17.44,3.5168,137900,0.0,1.0
2000-04-13,17.38,18.0,17.25,17.81,3.5914,161300,0.0,1.0
2000-04-14,17.44,17.5,17.06,17.12,3.4523,262900,0.0,1.0
2000-04-17,16.19,17.38,16.0,17.38,3.5047,166200,0.0,1.0
2000-04-18,17.19,18.25,17.06,17.94,3.6176,121000,0.0,1.0
2000-04-19,18.06,18.5,17.81,18.06,3.6418,197700,0.0,1.0
2000-04-20,18.06,18.44,18.06,18.06,3.6418,101500,0.0,1.0
2000-04-24,18.0,18.06,17.5,17.87,3.6035,278100,0.0,1.0
2000-04-25,18.25,18.75,18.19,18.69,3.7689,215700,0.0,1.0
2000-04-26,18.56,19.5,18.56,19.06,3.8435,385700,0.0,1.0
2000-04-27,19.06,19.5,18.69,19.5,3.9322,122800,0.0,1.0
2000-04-28,19.63,20.0,19.44,20.0,4.0331,189700,0.0,1.0
2000-05-01,20.0,20.0,19.12,19.5,3.9322,214000,0.0,1.0
2000-05-02,19.5,19.5,18.06,18.06,3.6418,202000,0.0,1.0
2000-05-03,18.31,18.38,17.81,18.06,3.6418,183500,0.0,1.0
2000-05-04,18.19,18.25,18.0,18.25,3.6802,159900,0.0,1.0
2000-05-05,18.25,19.0,18.0,19.0,3.8314,157200,0.0,1.0
2000-05-08,18.75,18.75,18.25,18.62,3.7548,39600,0.0,1.0
2000-05-09,18.75,18.81,18.44,18.62,3.7548,87100,0.0,1.0
2000-05-10,18.13,18.44,17.62,18.19,3.6681,158300,0.0,1.0
2000-05-11,18.19,18.5,18.06,18.19,3.6681,137100,0.0,1.0
2000-05-12,18.19,18.19,17.69,17.69,3.5672,239300,0.0,1.0
2000-05-15,17.69,18.5,17.69,18.0,3.6297,186000,0.0,1.0
2000-05-16,17.94,20.0,17.94,20.0,4.0331,502900,0.0,1.0
2000-05-17,19.88,20.0,19.75,19.81,3.9947,155900,0.0,1.0
2000-05-18,19.5,20.25,19.5,20.06,4.0451,554900,0.0,1.0
2000-05-19,19.94,22.37,19.94,22.0,4.4364,741200,0.0,1.0
2000-05-22,22.0,22.44,21.25,21.88,4.4122,517200,0.0,1.0
2000-05-23,21.88,22.88,21.88,22.88,4.6138,407800,0.0,1.0
2000-05-24,22.94,26.0,22.88,25.5,5.1421,1307900,0.0,1.0
2000-05-25,25.37,25.94,24.88,25.31,5.1038,944300,0.0,1.0
2000-05-26,25.31,25.31,24.75,24.88,5.0171,452700,0.0,1.0
2000-05-30,24.5,25.5,24.5,24.94,5.0292,308800,0.0,1.0
2000-05-31,24.81,24.81,24.25,24.25,4.8901,338600,0.0,1.0
2000-06-01,24.5,25.69,24.13,25.37,5.1159,583400,0.0,1.0
2000-06-02,25.38,25.5,24.5,25.25,5.0917,286700,0.0,1.0
2000-06-05,25.06,25.06,24.38,24.38,4.9163,146500,0.0,1.0
2000-06-06,24.88,26.44,24.75,26.25,5.2934,618100,0.0,1.0
2000-06-07,26.06,26.44,25.25,25.62,5.1663,243500,0.0,1.0
2000-06-08,26.0,26.0,24.44,24.81,5.003,141400,0.0,1.0
2000-06-09,24.62,25.94,24.62,25.75,5.1926,377100,0.0,1.0
2000-06-12,25.75,26.88,25.62,26.19,5.2813,986100,0.0,1.0
2000-06-13,26.19,29.25,25.88,29.25,5.8983,539400,0.0,1.0
2000-06-14,29.0,29.0,27.12,27.5,5.5454,429800,0.0,1.0
2000-06-15,27.56,29.06,27.56,28.62,5.7713,231800,0.0,1.0
2000-06-16,28.69,29.44,28.0,29.44,5.9366,279900,0.0,1.0
2000-06-19,29.44,30.0,28.5,28.75,5.7975,319600,0.0,1.0
2000-06-20,27.5,29.88,27.5,29.12,5.8721,281800,0.0,1.0
2000-06-21,28.88,29.94,28.81,29.06,5.86,211400,0.0,1.0
2000-06-22,29.62,29.62,28.12,28.5,5.7471,241900,0.0,1.0
2000-06-23,28.5,28.56,27.75,28.44,5.735,127700,0.0,1.0
2000-06-26,28.44,29.94,28.44,29.94,6.0375,244900,0.0,1.0
2000-06-27,29.94,29.94,28.06,28.06,5.6584,189200,0.0,1.0
2000-06-28,28.31,29.69,28.31,29.69,5.9871,450200,0.0,1.0
2000-06-29,29.88,32.38,29.88,31.12,6.2754,641700,0.0,1.0
2000-06-30,31.25,32.12,31.0,31.02,6.2553,443100,0.0,1.0
2000-07-03,31.19,31.19,30.44,30.5,6.1504,84400,0.0,1.0
2000-07-05,30.5,31.81,29.81,30.62,6.1746,267100,0.0,1.0
2000-07-06,30.81,34.0,30.75,33.94,6.8441,558700,0.0,1.0
2000-07-07,33.94,35.0,33.88,34.69,6.9953,341600,0.0,1.0
2000-07-10,34.56,35.12,34.12,34.75,7.0074,349500,0.0,1.0
2000-07-11,34.5,34.56,31.75,32.75,6.6041,450600,0.0,1.0
2000-07-12,33.25,33.62,31.19,31.94,6.4408,240000,0.0,1.0
2000-07-13,31.94,31.94,30.75,30.75,6.2008,138700,0.0,1.0
2000-07-14,31.0,31.62,29.0,30.44,6.1383,505800,0.0,1.0
2000-07-17,30.19,32.56,30.19,30.75,6.2008,178900,0.0,1.0
2000-07-18,30.75,32.38,30.75,30.81,6.2129,245700,0.0,1.0
2000-07-19,30.88,30.88,29.5,29.62,5.9729,223900,0.0,1.0
2000-07-20,30.0,31.5,30.0,30.81,6.2129,234200,0.0,1.0
2000-07-21,31.81,32.12,30.94,31.0,6.2512,421600,0.0,1.0
2000-07-24,31.0,32.75,31.0,31.31,6.3137,201500,0.0,1.0
2000-07-25,31.5,31.5,30.0,30.31,6.1121,122600,0.0,1.0
2000-07-26,30.31,31.56,30.0,31.56,6.3642,308700,0.0,1.0
2000-07-27,32.0,33.12,31.5,33.0,6.6545,320500,0.0,1.0
2000-07-28,35.5,36.25,34.56,34.75,7.0074,1015900,0.0,1.0
2000-07-31,34.0,34.94,33.75,34.94,7.0457,585900,0.0,1.0
2000-08-01,34.94,36.38,34.88,35.06,7.0699,669500,0.0,1.0
2000-08-02,35.06,35.5,34.38,34.62,6.9812,122000,0.0,1.0
2000-08-03,34.38,36.56,33.75,35.62,7.1829,179200,0.0,1.0
2000-08-04,35.62,36.38,35.19,36.0,7.2595,139100,0.0,1.0
2000-08-07,35.94,37.88,35.44,37.88,7.6386,342100,0.0,1.0
2000-08-08,37.94,38.5,37.56,37.81,7.6245,306900,0.0,1.0
2000-08-09,37.56,37.81,37.0,37.0,7.4611,506300,0.0,1.0
2000-08-10,37.0,37.25,36.19,36.5,7.3603,242400,0.0,1.0
2000-08-11,36.75,38.12,36.56,37.25,7.5116,207800,0.0,1.0
2000-08-14,36.75,37.5,34.88,37.0,7.4611,298600,0.0,1.0
2000-08-15,37.0,37.0,36.0,36.69,7.3986,93500,0.0,1.0
2000-08-16,36.69,36.94,35.0,35.44,7.1466,112200,0.0,1.0
2000-08-17,35.5,36.94,35.5,36.81,7.4228,104300,0.0,1.0
2000-08-18,36.81,36.81,35.69,35.69,7.197,41200,0.0,1.0
2000-08-21,35.31,37.75,35.31,37.75,7.6124,564600,0.0,1.0
2000-08-22,37.5,37.88,36.44,36.62,7.3845,200000,0.0,1.0
2000-08-23,36.62,36.62,35.88,35.88,7.2353,64400,0.0,1.0
2000-08-24,35.94,35.94,35.0,35.19,7.0962,191600,0.0,1.0
2000-08-25,35.19,35.31,34.69,34.81,7.0195,103000,0.0,1.0
2000-08-28,34.88,34.88,34.38,34.38,6.9328,96200,0.0,1.0
2000-08-29,34.0,34.62,33.44,33.62,6.7796,262200,0.0,1.0
