,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,33.81,34.5,33.13,33.75,8.9479,11348600,0.0,1.0
2000-01-19,32.88,33.44,32.88,33.06,8.7649,16849700,0.0,1.0
2000-01-20,32.69,32.88,31.69,32.05,8.4971,15429100,0.0,1.0
2000-01-21,31.5,31.63,30.75,31.19,8.2691,18903500,0.0,1.0
2000-01-24,30.63,30.88,30.0,30.0,7.9536,20606500,0.0,1.0
2000-01-25,30.0,30.56,29.38,29.63,7.8556,22725300,0.0,1.0
2000-01-26,29.81,30.0,29.44,29.69,7.8715,14037300,0.0,1.0
2000-01-27,29.75,31.19,29.63,30.81,8.1684,16105600,0.0,1.0
2000-01-28,31.19,32.19,31.06,31.88,8.4521,13831100,0.0,1.0
2000-01-31,31.88,32.88,30.94,32.56,8.6324,11452000,0.0,1.0
2000-02-01,32.38,32.88,31.88,32.88,8.7172,8050600,0.0,1.0
2000-02-02,32.75,33.25,32.75,33.06,8.7649,10301700,0.0,1.0
2000-02-03,33.0,33.44,32.94,33.25,8.8153,8176100,0.0,1.0
2000-02-04,33.81,35.06,33.81,34.44,9.1308,13315300,0.0,1.0
2000-02-07,34.5,34.56,33.38,33.81,8.9638,5931600,0.0,1.0
2000-02-08,34.19,34.5,33.5,34.13,9.0486,10834000,0.0,1.0
2000-02-09,34.69,36.5,34.56,36.06,9.5603,14133800,0.0,1.0
2000-02-10,36.0,36.0,34.69,35.13,9.3137,14272400,0.0,1.0
2000-02-11,35.19,35.19,34.0,34.0,9.0141,6960800,0.0,1.0
2000-02-14,34.75,35.19,34.38,35.06,9.2952,6156500,0.0,1.0
2000-02-15,35.19,35.38,34.56,35.13,9.3137,8322400,0.0,1.0
2000-02-16,34.75,35.13,34.56,34.69,9.1971,5104000,0.0,1.0
2000-02-17,34.94,35.25,34.13,34.25,9.0804,9944300,0.0,1.0
2000-02-18,34.0,34.44,32.38,32.63,8.6509,9892600,0.0,1.0
