,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,100.5,101.8,98.06,98.5,33.7499,984400,0.0,1.0
2000-01-19,99.5,102.3,99.0,101.4,34.7436,917800,0.0,1.0
2000-01-20,103.3,104.0,99.0,99.44,34.072,995500,0.0,1.0
2000-01-21,99.88,99.94,96.63,96.63,33.1092,894300,0.0,1.0
2000-01-24,100.5,101.5,97.63,98.56,33.7705,1430100,0.0,1.0
2000-01-25,98.56,105.3,98.0,105.0,35.9771,1204100,0.0,1.0
2000-01-26,104.0,104.3,98.63,101.7,34.8464,1341400,0.0,1.0
2000-01-27,101.9,103.1,94.0,96.06,32.9139,1341400,0.0,1.0
2000-01-28,95.0,98.13,93.0,95.5,32.722,1417900,0.0,1.0
2000-01-31,94.0,95.63,86.0,93.5,32.0367,1851000,0.0,1.0
2000-02-01,93.0,98.69,90.13,98.0,33.5786,1413100,0.0,1.0
2000-02-02,97.88,98.44,95.06,96.25,32.979,1268600,0.0,1.0
2000-02-03,98.0,107.6,97.5,105.8,36.2512,2072600,0.0,1.0
2000-02-04,106.0,112.5,104.4,111.5,38.2042,1858100,0.0,1.0
2000-02-07,111.3,119.8,109.2,119.0,40.774,1328200,0.0,1.0
2000-02-08,119.9,120.4,114.0,114.8,39.3349,1394900,0.0,1.0
2000-02-09,114.7,117.0,112.3,115.7,39.6433,1389800,0.0,1.0
2000-02-10,114.8,118.8,114.0,116.1,39.7804,1435000,0.0,1.0
2000-02-11,118.0,119.8,112.5,114.6,39.2664,1019000,0.0,1.0
2000-02-14,117.0,118.8,114.8,117.0,40.0888,1166600,0.0,1.0
2000-02-15,117.0,119.9,112.0,119.9,41.0824,1639600,0.0,1.0
2000-02-16,123.8,128.0,122.3,127.5,43.6865,2140700,0.0,1.0
2000-02-17,128.9,143.6,124.5,141.0,48.3121,2281900,0.0,1.0
2000-02-18,141.0,142.0,134.88,135.75,46.5132,1812900,0.0,1.0
2000-02-22,136.0,145.9,135.9,143.7,49.2372,2209600,0.0,1.0
2000-02-23,143.7,150.5,143.4,147.6,50.5735,2005700,0.0,1.0
2000-02-24,151.0,167.3,150.5,151.9,52.0468,2703000,0.0,1.0
2000-02-25,156.5,162.3,155.1,156.9,53.76,1710800,0.0,1.0
2000-02-28,154.5,155.1,138.5,149.4,51.1903,2157500,0.0,1.0
2000-02-29,157.0,160.5,151.7,157.3,53.8971,1960000,0.0,1.0
2000-03-01,159.0,165.0,157.3,161.5,55.3362,1840100,0.0,1.0
2000-03-02,161.9,162.3,153.2,156.1,53.4859,1675200,0.0,1.0
