,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,12.56,13.25,12.56,13.06,8.1805,2991200,0.0,1.0
2000-01-19,13.06,13.44,13.0,13.38,8.3809,2480500,0.0,1.0
2000-01-20,13.38,13.44,12.75,13.06,8.1805,1527000,0.0,1.0
2000-01-21,13.44,13.44,12.81,13.0,8.1429,1124300,0.0,1.0
2000-01-24,13.0,13.06,12.25,12.38,7.7546,1049500,0.0,1.0
2000-01-25,12.25,12.31,12.13,12.25,7.6731,1152600,0.0,1.0
2000-01-26,12.06,12.25,12.06,12.19,7.6356,1253300,0.0,1.0
2000-01-27,12.13,12.19,11.88,12.0,7.5165,1256200,0.0,1.0
2000-01-28,12.06,12.19,11.75,11.81,7.3975,1231400,0.0,1.0
2000-01-31,11.88,12.0,11.63,11.75,7.3599,1482000,0.0,1.0
2000-02-01,11.75,12.19,11.63,12.0,7.5165,1291600,0.0,1.0
2000-02-02,11.88,11.94,11.75,11.75,7.3884,812800,0.0454,1.0
2000-02-03,11.81,11.88,11.69,11.75,7.3884,729700,0.0,1.0
2000-02-04,11.75,12.13,11.75,11.75,7.3884,970500,0.0,1.0
2000-02-07,11.75,11.94,11.69,11.75,7.3884,618600,0.0,1.0
2000-02-08,11.75,11.88,11.69,11.69,7.3506,640100,0.0,1.0
2000-02-09,11.69,11.69,11.06,11.25,7.074,2424100,0.0,1.0
2000-02-10,11.31,11.56,10.88,10.94,6.879,1891900,0.0,1.0
2000-02-11,11.06,11.44,10.94,10.94,6.879,1266800,0.0,1.0
2000-02-14,11.13,11.38,11.0,11.13,6.9985,1215800,0.0,1.0
2000-02-15,11.13,11.38,11.06,11.19,7.0362,1021700,0.0,1.0
2000-02-16,11.13,11.38,11.06,11.38,7.1557,719200,0.0,1.0
2000-02-17,11.38,11.5,11.25,11.44,7.1934,958600,0.0,1.0
2000-02-18,11.38,11.5,11.38,11.44,7.1934,1192100,0.0,1.0
2000-02-22,11.38,11.56,11.25,11.44,7.1934,1123800,0.0,1.0
2000-02-23,11.38,11.44,11.06,11.06,6.9545,959300,0.0,1.0
2000-02-24,11.06,11.06,10.75,11.0,6.9168,1144700,0.0,1.0
2000-02-25,11.0,11.19,10.69,10.69,6.7218,2071100,0.0,1.0
2000-02-28,10.69,11.31,10.5,10.56,6.6401,2032200,0.0,1.0
2000-02-29,10.56,10.75,10.06,10.06,6.3257,2621400,0.0,1.0
2000-03-01,9.938,10.38,9.938,10.31,6.4829,2075700,0.0,1.0
2000-03-02,10.19,10.25,9.875,9.938,6.249,1665000,0.0,1.0
2000-03-03,9.938,10.5,9.875,10.38,6.5269,2056300,0.0,1.0
2000-03-06,10.06,10.31,9.875,9.875,6.2094,1478800,0.0,1.0
2000-03-07,9.875,9.875,9.563,9.563,6.0132,1299300,0.0,1.0
2000-03-08,9.625,9.875,9.5,9.625,6.0522,952700,0.0,1.0
2000-03-09,9.625,9.75,9.438,9.5,5.9736,1364200,0.0,1.0
2000-03-10,9.75,9.938,9.5,9.625,6.0522,1312800,0.0,1.0
2000-03-13,9.563,9.625,9.375,9.5,5.9736,1366700,0.0,1.0
2000-03-14,9.438,9.5,9.063,9.063,5.6988,2663200,0.0,1.0
2000-03-15,9.0,9.563,8.813,9.25,5.8164,5254100,0.0,1.0
2000-03-16,9.563,10.5,9.438,10.25,6.4452,3064000,0.0,1.0
2000-03-17,10.38,10.56,10.19,10.56,6.6401,2553500,0.0,1.0
2000-03-20,10.44,10.63,10.13,10.25,6.4452,1090100,0.0,1.0
2000-03-21,10.25,10.69,10.13,10.25,6.4452,1886800,0.0,1.0
2000-03-22,10.44,10.5,10.13,10.5,6.6024,1825200,0.0,1.0
2000-03-23,10.5,10.75,10.31,10.56,6.6401,2009400,0.0,1.0
2000-03-24,10.56,10.69,10.06,10.25,6.4452,1318600,0.0,1.0
2000-03-27,10.13,10.25,10.0,10.25,6.4452,848500,0.0,1.0
2000-03-28,10.19,10.31,10.0,10.0,6.288,1211800,0.0,1.0
2000-03-29,10.25,10.25,9.938,10.06,6.3257,1118400,0.0,1.0
2000-03-30,10.13,10.44,10.06,10.38,6.5269,1761200,0.0,1.0
2000-03-31,10.38,10.88,10.25,10.31,6.4829,1365700,0.0,1.0
2000-04-03,10.56,10.75,10.06,10.5,6.6024,1151200,0.0,1.0
2000-04-04,10.13,10.63,10.13,10.56,6.6401,1338600,0.0,1.0
2000-04-05,10.31,10.69,10.25,10.63,6.6841,1436500,0.0,1.0
2000-04-06,10.69,10.88,10.56,10.75,6.7596,1492300,0.0,1.0
2000-04-07,10.63,10.88,10.44,10.5,6.6024,1028600,0.0,1.0
2000-04-10,10.63,11.25,10.56,11.13,6.9985,2168400,0.0,1.0
2000-04-11,10.94,11.31,10.81,11.0,6.9168,1736000,0.0,1.0
2000-04-12,11.06,11.31,10.88,10.88,6.8413,1262300,0.0,1.0
2000-04-13,10.88,11.25,10.75,11.06,6.9545,1485000,0.0,1.0
2000-04-14,10.56,11.06,10.31,10.38,6.5269,1355700,0.0,1.0
2000-04-17,10.44,10.94,10.13,10.56,6.6401,1388800,0.0,1.0
2000-04-18,10.44,10.5,9.938,10.06,6.3257,1921300,0.0,1.0
2000-04-19,10.06,10.5,9.75,10.0,6.288,1658700,0.0,1.0
2000-04-20,9.875,10.19,9.688,9.75,6.1308,2938200,0.0,1.0
2000-04-24,9.75,10.13,9.5,9.938,6.249,1995300,0.0,1.0
2000-04-25,9.688,9.938,9.688,9.813,6.1704,1062000,0.0,1.0
2000-04-26,9.875,10.0,9.75,9.875,6.2094,1377700,0.0,1.0
2000-04-27,9.875,10.19,9.813,9.938,6.249,1830100,0.0,1.0
2000-04-28,9.875,10.13,9.813,9.938,6.249,1329800,0.0,1.0
2000-05-01,10.13,10.38,10.0,10.25,6.4452,1115000,0.0,1.0
2000-05-02,10.13,10.44,10.0,10.31,6.4829,1460200,0.0,1.0
2000-05-03,10.31,10.63,10.13,10.19,6.4359,1564800,0.0454,1.0
2000-05-04,10.13,10.38,9.938,9.938,6.2768,1387500,0.0,1.0
2000-05-05,9.938,10.19,9.875,10.06,6.3538,796200,0.0,1.0
2000-05-08,10.0,10.19,10.0,10.19,6.4359,451800,0.0,1.0
2000-05-09,10.19,10.19,9.938,10.13,6.3981,974100,0.0,1.0
2000-05-10,10.25,10.44,10.13,10.31,6.5117,1347100,0.0,1.0
2000-05-11,10.38,10.56,10.31,10.5,6.6317,964700,0.0,1.0
2000-05-12,10.56,10.63,10.31,10.44,6.5938,1244500,0.0,1.0
2000-05-15,10.5,10.69,10.44,10.5,6.6317,1277600,0.0,1.0
2000-05-16,10.5,10.56,10.31,10.44,6.5938,1403500,0.0,1.0
2000-05-17,10.44,10.69,10.38,10.63,6.7139,981900,0.0,1.0
2000-05-18,10.56,10.81,10.5,10.63,6.7139,1372200,0.0,1.0
2000-05-19,10.56,10.75,10.38,10.5,6.6317,1287800,0.0,1.0
2000-05-22,10.56,11.25,10.44,11.13,7.0296,2047000,0.0,1.0
2000-05-23,11.06,11.06,10.56,10.88,6.8717,2144400,0.0,1.0
2000-05-24,10.94,11.75,10.88,11.75,7.4212,3911800,0.0,1.0
2000-05-25,12.0,12.19,11.81,12.0,7.5791,3551900,0.0,1.0
2000-05-26,11.94,12.06,11.88,11.94,7.5412,2181100,0.0,1.0
2000-05-30,12.0,12.19,11.94,12.13,7.6612,2199200,0.0,1.0
2000-05-31,12.13,12.19,11.69,11.94,7.5412,1582300,0.0,1.0
2000-06-01,12.0,12.5,11.94,12.25,7.737,1230500,0.0,1.0
2000-06-02,12.25,12.25,11.88,12.0,7.5791,1084400,0.0,1.0
2000-06-05,12.0,12.0,11.75,11.88,7.5033,954900,0.0,1.0
2000-06-06,11.63,11.75,11.19,11.44,7.2254,1563500,0.0,1.0
2000-06-07,11.94,12.06,11.88,11.94,7.5412,2671300,0.0,1.0
2000-06-08,11.94,12.0,11.69,11.94,7.5412,1213700,0.0,1.0
2000-06-09,11.88,11.94,11.38,11.5,7.2633,1037100,0.0,1.0
2000-06-12,11.63,11.63,11.13,11.13,7.0296,2114300,0.0,1.0
2000-06-13,11.13,11.19,10.69,11.0,6.9475,2202400,0.0,1.0
2000-06-14,10.88,10.88,10.63,10.69,6.7517,1557800,0.0,1.0
2000-06-15,10.94,10.94,10.56,10.56,6.6696,1279700,0.0,1.0
2000-06-16,10.63,10.69,10.38,10.44,6.5938,1750000,0.0,1.0
2000-06-19,10.44,10.44,10.06,10.13,6.3981,1898500,0.0,1.0
2000-06-20,10.13,10.31,10.0,10.06,6.3538,2853000,0.0,1.0
2000-06-21,10.0,10.06,9.875,10.0,6.3159,1478200,0.0,1.0
2000-06-22,10.0,10.0,9.875,9.875,6.237,1175900,0.0,1.0
2000-06-23,9.938,10.06,9.875,9.875,6.237,880300,0.0,1.0
2000-06-26,10.0,10.44,9.938,10.19,6.4359,1312900,0.0,1.0
2000-06-27,10.19,10.19,10.0,10.06,6.3538,1046800,0.0,1.0
2000-06-28,10.0,10.19,9.875,10.01,6.3223,1042400,0.0,1.0
2000-06-29,10.0,10.06,9.875,10.0,6.3159,1886300,0.0,1.0
2000-06-30,9.875,10.0,9.75,9.813,6.1978,1900200,0.0,1.0
2000-07-03,9.75,10.0,9.75,10.0,6.3159,531700,0.0,1.0
2000-07-05,10.0,10.06,9.875,10.0,6.3159,1967300,0.0,1.0
2000-07-06,10.0,10.06,9.813,9.875,6.237,2622500,0.0,1.0
2000-07-07,9.875,10.56,9.875,10.44,6.5938,1869900,0.0,1.0
2000-07-10,10.25,10.5,10.13,10.31,6.5117,1084900,0.0,1.0
2000-07-11,10.38,10.75,10.31,10.75,6.7896,1790200,0.0,1.0
2000-07-12,10.63,10.69,10.31,10.69,6.7517,1348900,0.0,1.0
2000-07-13,10.44,10.63,10.25,10.31,6.5117,1270700,0.0,1.0
2000-07-14,10.38,10.44,10.25,10.44,6.5938,1489900,0.0,1.0
2000-07-17,10.44,10.44,9.875,10.0,6.3159,1473900,0.0,1.0
2000-07-18,9.938,10.0,9.813,9.938,6.2768,1494500,0.0,1.0
2000-07-19,9.938,10.19,9.875,9.938,6.2768,1452800,0.0,1.0
2000-07-20,10.06,10.13,9.875,9.875,6.237,1568500,0.0,1.0
2000-07-21,9.938,10.0,9.563,9.625,6.0791,1329500,0.0,1.0
2000-07-24,9.688,10.13,9.625,9.688,6.1189,1334200,0.0,1.0
2000-07-25,9.688,9.813,9.563,9.75,6.158,1601200,0.0,1.0
2000-07-26,9.75,9.75,9.438,9.563,6.0399,1884400,0.0,1.0
2000-07-27,9.563,10.44,9.5,9.688,6.1189,1584100,0.0,1.0
2000-07-28,9.625,10.44,9.563,9.563,6.0399,1299700,0.0,1.0
2000-07-31,9.625,9.813,9.313,9.375,5.9212,1613700,0.0,1.0
2000-08-01,9.5,9.938,9.375,9.813,6.1978,1852400,0.0,1.0
2000-08-02,9.875,10.13,9.813,10.0,6.3159,3798300,0.0,1.0
2000-08-03,9.875,10.06,9.875,9.938,6.2768,2106800,0.0,1.0
2000-08-04,10.06,10.13,9.875,9.938,6.2768,1407800,0.0,1.0
2000-08-07,9.875,9.938,9.75,9.813,6.1978,1100900,0.0,1.0
2000-08-08,9.813,9.938,9.688,9.813,6.1978,2026100,0.0,1.0
2000-08-09,9.75,9.75,9.438,9.5,6.0317,1582500,0.05,1.0
2000-08-10,9.5,9.813,9.5,9.563,6.0717,1531700,0.0,1.0
2000-08-11,9.75,9.813,9.5,9.5,6.0317,1768200,0.0,1.0
2000-08-14,9.5,9.563,9.375,9.375,5.9524,1824900,0.0,1.0
2000-08-15,9.5,9.5,9.25,9.5,6.0317,3427400,0.0,1.0
2000-08-16,9.438,9.563,9.438,9.563,6.0717,2149400,0.0,1.0
2000-08-17,9.625,9.688,9.313,9.375,5.9524,1437500,0.0,1.0
2000-08-18,9.375,9.563,9.313,9.438,5.9924,851000,0.0,1.0
2000-08-21,9.5,9.813,9.438,9.625,6.1111,2852400,0.0,1.0
2000-08-22,9.75,9.75,9.5,9.5,6.0317,1339600,0.0,1.0
2000-08-23,9.625,9.625,9.375,9.5,6.0317,2009100,0.0,1.0
2000-08-24,9.438,9.5,9.0,9.063,5.7543,1897700,0.0,1.0
2000-08-25,9.063,9.125,8.813,8.938,5.6749,3062500,0.0,1.0
2000-08-28,8.938,8.938,8.625,8.75,5.5555,1639000,0.0,1.0
2000-08-29,8.813,8.875,8.688,8.75,5.5555,1240700,0.0,1.0
2000-08-30,8.625,8.938,8.5,8.563,5.4368,1522300,0.0,1.0
2000-08-31,8.563,8.938,8.563,8.832,5.6076,1751700,0.0,1.0
2000-09-01,8.813,8.813,8.688,8.75,5.5555,1439100,0.0,1.0
2000-09-05,8.75,8.813,8.688,8.75,5.5555,1921500,0.0,1.0
2000-09-06,8.813,8.938,8.75,8.75,5.5555,2088400,0.0,1.0
2000-09-07,8.75,8.813,8.625,8.813,5.5955,2234100,0.0,1.0
2000-09-08,8.75,8.813,8.688,8.75,5.5555,2336700,0.0,1.0
2000-09-11,8.875,8.875,8.625,8.75,5.5555,3823600,0.0,1.0
2000-09-12,8.688,8.813,8.625,8.813,5.5955,2252400,0.0,1.0
2000-09-13,8.813,8.938,8.813,8.875,5.6349,1688100,0.0,1.0
2000-09-14,8.875,8.875,8.688,8.813,5.5955,1420900,0.0,1.0
2000-09-15,8.875,9.125,8.813,8.938,5.6749,3137800,0.0,1.0
2000-09-18,8.938,9.0,8.75,8.813,5.5955,1414800,0.0,1.0
2000-09-19,8.938,9.0,8.75,8.75,5.5555,1370500,0.0,1.0
2000-09-20,8.813,8.875,8.438,8.438,5.3574,10399400,0.0,1.0
2000-09-21,8.438,8.563,8.375,8.5,5.3968,3040400,0.0,1.0
2000-09-22,8.5,8.563,8.375,8.5,5.3968,1768900,0.0,1.0
2000-09-25,8.5,8.563,8.188,8.313,5.2781,1428700,0.0,1.0
2000-09-26,8.438,8.5,8.25,8.438,5.3574,4475200,0.0,1.0
2000-09-27,8.438,8.625,8.375,8.625,5.4762,1871200,0.0,1.0
2000-09-28,8.625,8.688,8.188,8.375,5.3174,3786800,0.0,1.0
2000-09-29,8.438,8.813,8.438,8.625,5.4762,2601400,0.0,1.0
2000-10-02,8.813,9.125,8.625,9.125,5.7936,3271100,0.0,1.0
2000-10-03,9.125,9.375,8.938,9.125,5.7936,2696700,0.0,1.0
2000-10-04,9.063,9.125,8.938,8.938,5.6749,2046700,0.0,1.0
2000-10-05,9.0,9.313,8.938,9.188,5.8336,2821600,0.0,1.0
2000-10-06,9.375,9.438,9.188,9.375,5.9524,2661100,0.0,1.0
2000-10-09,9.438,9.563,9.438,9.438,5.9924,2235900,0.0,1.0
2000-10-10,9.5,9.625,9.438,9.5,6.0317,1922800,0.0,1.0
2000-10-11,9.625,9.688,9.438,9.563,6.0717,1537700,0.0,1.0
2000-10-12,9.688,9.688,9.0,9.25,5.873,2267400,0.0,1.0
2000-10-13,9.188,9.563,9.125,9.563,6.0717,1280000,0.0,1.0
2000-10-16,9.875,10.0,9.75,9.875,6.2698,2523700,0.0,1.0
2000-10-17,9.938,9.938,9.813,9.875,6.2698,1851000,0.0,1.0
2000-10-18,9.813,9.875,9.438,9.625,6.1111,1696600,0.0,1.0
2000-10-19,9.75,9.875,9.375,9.5,6.0317,2099200,0.0,1.0
2000-10-20,9.5,9.688,9.438,9.625,6.1111,1379400,0.0,1.0
2000-10-23,9.625,9.813,9.5,9.625,6.1111,835300,0.0,1.0
2000-10-24,9.625,10.0,9.563,9.938,6.3098,1737400,0.0,1.0
2000-10-25,10.63,10.63,10.06,10.38,6.5905,2116200,0.0,1.0
