,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,33.44,33.44,32.31,32.31,11.9222,416000,0.0,1.0
2000-01-19,32.44,33.19,32.38,33.13,12.2248,406200,0.0,1.0
2000-01-20,32.94,33.06,32.75,33.0,12.1768,212300,0.0,1.0
2000-01-21,33.06,33.25,32.81,33.25,12.269,407000,0.0,1.0
2000-01-24,33.25,33.94,33.25,33.44,12.3391,342400,0.0,1.0
2000-01-25,33.38,33.5,32.44,32.63,12.0403,405900,0.0,1.0
2000-01-26,32.75,33.25,32.69,33.0,12.1768,324600,0.0,1.0
2000-01-27,32.88,33.13,32.75,32.94,12.1546,291100,0.0,1.0
2000-01-28,32.69,32.81,32.25,32.31,11.9222,610400,0.0,1.0
2000-01-31,32.38,32.81,32.0,32.56,12.0144,256700,0.0,1.0
2000-02-01,32.81,32.81,32.31,32.56,12.0144,185200,0.0,1.0
2000-02-02,32.81,33.19,32.56,32.56,12.0144,418500,0.0,1.0
2000-02-03,32.56,33.44,32.56,32.94,12.1546,434400,0.0,1.0
2000-02-04,33.0,33.19,31.75,31.94,11.7857,378700,0.0,1.0
2000-02-07,31.94,31.94,31.63,31.75,11.7155,234900,0.0,1.0
2000-02-08,31.75,32.44,31.75,31.88,11.7635,309900,0.0,1.0
2000-02-09,32.5,32.5,31.5,31.56,11.6454,328900,0.0,1.0
2000-02-10,31.56,31.81,31.0,31.13,11.4868,367100,0.0,1.0
2000-02-11,31.13,31.38,31.0,31.0,11.4388,446200,0.0,1.0
2000-02-14,31.25,31.5,30.88,31.25,11.531,261500,0.0,1.0
2000-02-15,31.25,31.31,31.0,31.13,11.4868,199700,0.0,1.0
2000-02-16,31.0,31.19,30.81,30.94,11.4167,154000,0.0,1.0
2000-02-17,30.94,30.94,30.44,30.5,11.2543,186900,0.0,1.0
2000-02-18,30.5,30.5,29.56,30.25,11.1621,463200,0.0,1.0
2000-02-22,30.5,30.63,30.13,30.44,11.2322,209700,0.0,1.0
2000-02-23,30.38,30.44,29.69,30.25,11.1621,292300,0.0,1.0
2000-02-24,30.25,30.25,28.5,28.88,10.6565,397900,0.0,1.0
2000-02-25,28.88,29.19,28.5,28.88,10.6565,297400,0.0,1.0
2000-02-28,29.13,30.13,28.88,30.06,11.0919,652300,0.0,1.0
2000-02-29,29.94,30.06,29.69,30.0,11.0698,767000,0.0,1.0
2000-03-01,29.81,29.94,29.0,29.5,10.8853,317700,0.0,1.0
2000-03-02,28.81,29.13,28.56,28.94,10.6787,580800,0.0,1.0
2000-03-03,29.0,29.5,28.81,29.19,10.7709,273600,0.0,1.0
2000-03-06,29.0,29.0,28.0,28.19,10.4019,2242900,0.0,1.0
2000-03-07,27.75,28.38,27.63,27.88,10.5218,294700,0.635,1.0
2000-03-08,27.94,28.38,27.75,28.0,10.5671,489500,0.0,1.0
2000-03-09,28.0,28.25,27.75,28.06,10.5898,379700,0.0,1.0
2000-03-10,28.31,28.31,28.0,28.13,10.6162,216800,0.0,1.0
2000-03-13,28.25,28.25,27.88,28.13,10.6162,252800,0.0,1.0
2000-03-14,28.13,28.13,27.56,27.81,10.4954,299800,0.0,1.0
2000-03-15,27.81,29.19,27.81,29.06,10.9672,446000,0.0,1.0
2000-03-16,29.31,30.75,29.19,30.63,11.5597,483700,0.0,1.0
2000-03-17,30.38,30.5,30.0,30.13,11.371,806100,0.0,1.0
2000-03-20,30.13,30.5,30.0,30.25,11.4163,448600,0.0,1.0
2000-03-21,30.25,30.5,30.25,30.44,11.488,508100,0.0,1.0
2000-03-22,30.44,30.44,29.75,30.13,11.371,646400,0.0,1.0
2000-03-23,29.88,30.69,29.88,30.19,11.3936,321900,0.0,1.0
2000-03-24,30.06,30.5,29.88,30.5,11.5106,338500,0.0,1.0
2000-03-27,30.63,31.06,30.56,30.94,11.6767,229200,0.0,1.0
2000-03-28,31.0,31.13,30.31,30.31,11.4389,353500,0.0,1.0
2000-03-29,30.38,31.19,30.38,30.69,11.5823,369900,0.0,1.0
2000-03-30,30.94,31.19,30.31,30.63,11.5597,453500,0.0,1.0
2000-03-31,30.94,30.94,30.31,30.94,11.6767,320500,0.0,1.0
2000-04-03,30.88,31.19,30.63,31.13,11.7484,496600,0.0,1.0
2000-04-04,31.06,32.13,31.06,31.94,12.0541,640600,0.0,1.0
2000-04-05,31.88,33.0,31.88,32.56,12.2881,376900,0.0,1.0
2000-04-06,32.63,32.81,31.94,32.19,12.1484,366700,0.0,1.0
2000-04-07,32.19,32.56,31.56,31.63,11.9371,308300,0.0,1.0
2000-04-10,31.38,32.38,31.19,31.81,12.005,370900,0.0,1.0
2000-04-11,32.06,32.56,31.75,32.0,12.0767,164700,0.0,1.0
2000-04-12,32.25,33.0,32.25,32.38,12.2201,190400,0.0,1.0
