,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,81.75,81.75,77.75,77.94,27.8499,937200,0.0,1.0
2000-01-19,78.0,79.38,77.63,78.38,28.0071,1174000,0.0,1.0
2000-01-20,79.0,79.0,77.5,77.69,27.7606,734900,0.0,1.0
2000-01-21,78.5,80.0,78.13,80.0,28.586,824400,0.0,1.0
2000-01-24,80.0,81.44,79.44,80.0,28.586,1738800,0.0,1.0
2000-01-25,80.0,80.56,75.88,76.0,27.1567,1027300,0.0,1.0
2000-01-26,75.75,75.75,72.44,72.44,25.8846,1461100,0.0,1.0
2000-01-27,73.5,77.56,73.44,75.88,27.1138,1142400,0.0,1.0
2000-01-28,76.13,76.69,74.88,76.38,27.2925,635200,0.0,1.0
2000-01-31,78.0,80.94,77.06,80.13,28.6324,918700,0.0,1.0
2000-02-01,80.13,81.5,78.38,80.75,28.854,1016100,0.0,1.0
2000-02-02,80.69,81.38,77.5,79.31,28.3394,939800,0.0,1.0
2000-02-03,79.81,82.81,78.81,80.38,28.7218,1303700,0.0,1.0
2000-02-04,80.38,80.38,72.63,75.25,26.8887,2203800,0.0,1.0
2000-02-07,77.0,80.5,76.5,80.0,28.586,1297800,0.0,1.0
2000-02-08,81.25,85.88,80.75,84.44,30.1725,1554600,0.0,1.0
2000-02-09,84.44,86.5,83.19,85.88,30.6871,1046600,0.0,1.0
2000-02-10,85.0,85.75,82.38,82.88,29.6151,792300,0.0,1.0
2000-02-11,81.5,82.56,80.75,82.0,29.3006,523300,0.0,1.0
2000-02-14,82.0,85.69,81.38,85.5,30.5513,965900,0.0,1.0
2000-02-15,85.5,87.69,84.63,86.38,30.8657,914000,0.0,1.0
2000-02-16,86.13,89.38,85.75,88.19,31.5125,993000,0.0,1.0
2000-02-17,88.25,89.44,87.25,87.94,31.4231,541200,0.0,1.0
2000-02-18,88.0,89.0,87.38,88.0,31.4446,669600,0.0,1.0
2000-02-22,87.75,88.0,84.69,85.94,30.7085,562500,0.0,1.0
2000-02-23,85.5,85.5,82.0,84.19,30.0832,943100,0.0,1.0
2000-02-24,85.0,85.44,83.31,84.88,30.3297,817100,0.0,1.0
2000-02-25,84.88,85.0,82.75,84.5,30.1939,486200,0.0,1.0
2000-02-28,84.75,85.81,84.5,85.81,30.662,581400,0.0,1.0
2000-02-29,85.81,86.44,83.31,83.81,29.9474,790000,0.0,1.0
2000-03-01,83.81,84.38,80.88,81.94,29.2792,848800,0.0,1.0
2000-03-02,82.5,87.44,82.38,87.13,31.1337,973600,0.0,1.0
2000-03-03,87.75,88.5,86.0,86.94,31.0658,1086200,0.0,1.0
2000-03-06,85.0,85.0,74.0,81.38,29.0791,3498400,0.0,1.0
2000-03-07,82.13,83.25,79.38,79.63,28.4538,1254700,0.0,1.0
2000-03-08,79.63,79.75,77.38,78.25,27.9607,1376900,0.0,1.0
2000-03-09,79.75,79.75,74.75,75.56,26.9995,1085400,0.0,1.0
2000-03-10,72.0,78.0,69.5,73.0,26.0847,1864900,0.0,1.0
2000-03-13,71.75,74.0,70.31,73.0,26.0847,1289600,0.0,1.0
2000-03-14,73.75,74.0,70.13,71.88,25.6845,899700,0.0,1.0
2000-03-15,71.63,74.75,71.06,74.38,26.5778,1018400,0.0,1.0
2000-03-16,76.75,82.0,75.88,80.13,28.6324,1437700,0.0,1.0
2000-03-17,80.0,80.06,74.75,77.88,27.8285,1937100,0.0,1.0
2000-03-20,77.88,79.69,75.06,76.88,27.4711,967200,0.0,1.0
2000-03-21,76.5,76.5,74.5,74.63,26.6671,829800,0.0,1.0
2000-03-22,74.75,74.88,70.63,72.19,25.7953,1797500,0.0,1.0
2000-03-23,73.19,75.25,73.06,73.81,26.3741,1315400,0.0,1.0
2000-03-24,73.62,75.75,72.5,75.75,27.0674,1148100,0.0,1.0
2000-03-27,76.0,76.88,74.06,74.31,26.5528,575500,0.0,1.0
2000-03-28,72.0,74.44,71.25,72.81,26.0168,1079200,0.0,1.0
2000-03-29,72.0,76.69,72.0,75.38,26.9351,855300,0.0,1.0
2000-03-30,75.38,84.5,74.25,79.63,28.4538,1616200,0.0,1.0
2000-03-31,79.63,80.81,77.44,78.75,28.1393,1166200,0.0,1.0
2000-04-03,78.81,79.63,75.31,77.88,27.8285,821500,0.0,1.0
2000-04-04,77.88,80.38,71.25,74.31,26.5528,1389700,0.0,1.0
2000-04-05,75.5,77.75,74.69,75.56,26.9995,753900,0.0,1.0
2000-04-06,75.63,77.0,75.0,75.63,27.0245,538800,0.0,1.0
2000-04-07,76.25,77.63,75.06,77.0,27.514,486100,0.0,1.0
2000-04-10,77.0,80.94,77.0,79.44,28.3859,784700,0.0,1.0
2000-04-11,79.31,79.31,76.38,78.0,27.8713,583600,0.0,1.0
2000-04-12,78.0,78.0,76.06,76.56,27.3568,745700,0.0,1.0
2000-04-13,76.75,77.25,75.56,76.44,27.3139,580700,0.0,1.0
2000-04-14,75.75,77.31,72.5,73.88,26.3992,1036200,0.0,1.0
2000-04-17,74.5,75.0,71.19,74.31,26.5528,966100,0.0,1.0
2000-04-18,74.38,78.5,73.63,77.0,27.514,1014000,0.0,1.0
2000-04-19,78.25,79.44,77.75,79.44,28.3859,586900,0.0,1.0
2000-04-20,81.0,87.0,80.06,86.13,30.7764,1826600,0.0,1.0
2000-04-24,86.0,87.13,83.06,83.81,29.9474,1101500,0.0,1.0
2000-04-25,83.81,84.38,82.19,83.19,29.7258,724200,0.0,1.0
2000-04-26,83.19,86.19,83.06,85.5,30.5513,1058100,0.0,1.0
2000-04-27,84.75,84.75,82.38,84.44,30.1725,455900,0.0,1.0
2000-04-28,84.44,91.38,83.81,89.94,32.1378,1603900,0.0,1.0
2000-05-01,90.88,92.5,86.25,87.88,31.4017,1187700,0.0,1.0
2000-05-02,87.88,88.94,84.63,85.0,30.3726,767600,0.0,1.0
2000-05-03,85.0,86.0,83.63,85.56,30.5727,962400,0.0,1.0
2000-05-04,85.75,87.56,83.5,85.13,30.4191,971600,0.0,1.0
2000-05-05,85.06,86.38,84.75,86.0,30.7299,489500,0.0,1.0
2000-05-08,84.5,84.5,80.31,81.19,29.0112,2276800,0.0,1.0
2000-05-09,81.13,81.13,78.56,78.94,28.2072,1386000,0.0,1.0
2000-05-10,78.38,78.38,73.44,73.63,26.3098,2707300,0.0,1.0
2000-05-11,74.25,77.13,72.0,74.38,26.5778,4223100,0.0,1.0
2000-05-12,75.38,78.75,75.38,78.25,27.9607,7229600,0.0,1.0
2000-05-15,77.63,82.44,77.38,82.13,29.3471,2805200,0.0,1.0
2000-05-16,81.63,81.69,80.0,80.69,28.8325,1412700,0.0,1.0
2000-05-17,79.75,82.56,78.81,82.06,29.3221,1585000,0.0,1.0
2000-05-18,82.56,82.88,81.56,82.5,29.4793,982700,0.0,1.0
2000-05-19,82.13,83.06,81.63,82.81,29.5901,988300,0.0,1.0
2000-05-22,82.81,83.5,81.31,83.5,29.8366,1336400,0.0,1.0
2000-05-23,83.75,85.31,82.88,83.81,29.9474,1300100,0.0,1.0
2000-05-24,83.69,83.94,80.25,81.94,29.2792,1530200,0.0,1.0
2000-05-25,83.5,85.13,82.06,83.63,29.8831,1249800,0.0,1.0
2000-05-26,84.5,86.81,84.38,85.94,30.7085,930600,0.0,1.0
2000-05-30,85.88,86.94,84.19,86.38,30.8657,830700,0.0,1.0
2000-05-31,86.25,87.63,85.81,87.25,31.1766,1191700,0.0,1.0
2000-06-01,87.25,89.75,86.5,89.38,31.9377,1546300,0.0,1.0
2000-06-02,44.75,46.38,44.69,46.0,32.8739,1055100,0.0,2.0
2000-06-05,45.75,46.0,43.5,43.88,31.3588,1445300,0.0,1.0
2000-06-06,43.88,45.44,43.75,45.0,32.1592,2200000,0.0,1.0
2000-06-07,47.75,47.75,45.25,46.25,33.0525,2550200,0.0,1.0
2000-06-08,46.25,47.81,46.13,47.19,33.7243,2118800,0.0,1.0
2000-06-09,47.44,49.25,47.0,48.0,34.3032,1360000,0.0,1.0
2000-06-12,48.0,48.31,46.75,47.81,34.1674,2183600,0.0,1.0
2000-06-13,47.88,49.63,47.75,48.88,34.9321,2833800,0.0,1.0
2000-06-14,47.0,47.31,43.56,43.69,31.223,4344900,0.0,1.0
2000-06-15,44.5,45.88,44.25,45.25,32.3379,2302100,0.0,1.0
2000-06-16,45.5,46.44,44.31,46.25,33.0525,1853400,0.0,1.0
2000-06-19,46.25,46.25,44.75,45.38,32.4308,1219800,0.0,1.0
2000-06-20,45.88,46.88,44.81,44.88,32.0735,1507600,0.0,1.0
2000-06-21,44.94,44.94,43.63,44.25,31.6232,1575800,0.0,1.0
2000-06-22,44.25,44.5,42.0,42.25,30.1939,2713300,0.0,1.0
2000-06-23,42.31,43.13,40.5,40.88,29.2149,1900100,0.0,1.0
2000-06-26,41.5,46.25,41.19,46.06,32.9168,2337500,0.0,1.0
2000-06-27,44.88,46.19,44.81,45.63,32.6095,2312000,0.0,1.0
2000-06-28,45.0,46.56,44.69,46.48,33.2169,1022500,0.0,1.0
2000-06-29,46.13,46.19,44.0,44.5,31.8019,1323300,0.0,1.0
2000-06-30,44.5,45.94,44.38,45.63,32.6095,1680100,0.0,1.0
2000-07-03,45.25,47.0,45.13,47.0,33.5885,337500,0.0,1.0
2000-07-05,46.75,47.38,46.0,46.94,33.5457,1399800,0.0,1.0
2000-07-06,46.19,47.5,46.06,46.19,33.0097,1343200,0.0,1.0
2000-07-07,46.5,48.19,46.44,48.0,34.3032,1742200,0.0,1.0
2000-07-10,48.06,49.81,48.06,49.25,35.1965,2016200,0.0,1.0
2000-07-11,49.0,49.81,48.75,49.69,35.5109,1398700,0.0,1.0
2000-07-12,49.94,51.25,49.81,50.5,36.0898,2531900,0.0,1.0
2000-07-13,50.25,53.63,49.88,53.25,38.0551,2704900,0.0,1.0
2000-07-14,52.13,52.69,49.25,50.38,36.004,2118400,0.0,1.0
2000-07-17,50.5,54.0,49.63,54.0,38.5911,2377500,0.0,1.0
2000-07-18,53.75,53.75,51.25,52.44,37.4762,1511800,0.0,1.0
2000-07-19,52.44,52.63,50.69,50.69,36.2256,1199600,0.0,1.0
2000-07-20,50.94,53.0,50.94,52.88,37.7907,1745200,0.0,1.0
2000-07-21,53.0,53.0,52.19,52.25,37.3404,1111100,0.0,1.0
2000-07-24,52.25,52.38,51.69,52.38,37.4333,1158400,0.0,1.0
2000-07-25,52.81,53.56,52.69,53.44,38.1909,1540900,0.0,1.0
2000-07-26,53.63,53.63,51.63,51.75,36.9831,995300,0.0,1.0
2000-07-27,52.75,53.44,52.0,52.69,37.6549,2772200,0.0,1.0
2000-07-28,52.94,53.94,50.5,50.94,36.4042,1455200,0.0,1.0
2000-07-31,51.25,54.44,51.25,53.44,38.1909,2040300,0.0,1.0
2000-08-01,53.44,56.19,53.38,55.75,39.8417,1982400,0.0,1.0
2000-08-02,55.44,55.81,53.94,54.44,38.9055,2162600,0.0,1.0
2000-08-03,54.25,54.25,52.38,52.69,37.6549,2000000,0.0,1.0
2000-08-04,52.69,53.38,51.25,52.81,37.7406,1799800,0.0,1.0
2000-08-07,53.5,54.81,53.38,54.7,39.0913,1772100,0.0,1.0
2000-08-08,56.5,57.94,55.75,57.75,41.271,2029500,0.0,1.0
2000-08-09,57.75,58.81,55.56,55.61,39.7417,1709500,0.0,1.0
2000-08-10,55.13,55.19,53.19,53.83,38.4696,1803600,0.0,1.0
2000-08-11,53.88,55.0,53.63,54.7,39.0913,1119200,0.0,1.0
2000-08-14,55.63,59.69,55.31,58.75,41.9857,2753100,0.0,1.0
2000-08-15,57.25,57.5,56.5,56.88,40.6493,1718700,0.0,1.0
2000-08-16,57.0,57.06,56.31,56.63,40.4706,1402300,0.0,1.0
2000-08-17,57.13,58.69,57.0,58.63,41.8999,1903300,0.0,1.0
2000-08-18,58.5,59.75,58.31,58.75,41.9857,1896100,0.0,1.0
2000-08-21,58.13,58.19,57.0,57.38,41.0066,1588200,0.0,1.0
