,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,42.56,42.56,39.88,40.0,6.8842,1548100,0.0,1.0
2000-01-19,39.56,39.75,37.5,37.63,6.4763,1771700,0.0,1.0
2000-01-20,38.56,41.31,38.0,40.69,7.003,4229400,0.0,1.0
2000-01-21,40.69,40.69,38.38,38.75,6.6691,1187500,0.0,1.0
2000-01-24,38.94,39.31,37.88,38.31,6.5934,996500,0.0,1.0
2000-01-25,38.25,40.19,38.13,39.94,6.8739,1310000,0.0,1.0
2000-01-26,40.25,42.0,39.88,41.94,7.2181,1206300,0.0,1.0
2000-01-27,43.0,43.0,40.63,41.19,7.089,762300,0.0,1.0
2000-01-28,40.69,42.88,40.5,42.0,7.2284,1295200,0.0,1.0
2000-01-31,42.06,43.88,41.06,43.44,7.4763,1171200,0.0,1.0
2000-02-01,43.88,44.69,43.81,44.31,7.626,1389300,0.0,1.0
2000-02-02,44.12,44.38,43.25,44.38,7.6381,843800,0.0,1.0
2000-02-03,44.0,45.06,42.63,44.94,7.7344,945000,0.0,1.0
2000-02-04,44.25,44.25,43.44,43.94,7.5623,768000,0.0,1.0
2000-02-07,43.69,43.69,41.88,42.75,7.3575,618400,0.0,1.0
2000-02-08,42.06,42.88,41.75,41.94,7.2181,1042300,0.0,1.0
2000-02-09,41.94,41.94,41.19,41.31,7.1097,454800,0.0,1.0
2000-02-10,41.06,41.31,40.13,41.25,7.0994,1100800,0.0,1.0
2000-02-11,41.13,41.44,39.69,39.88,6.8636,873700,0.0,1.0
2000-02-14,39.88,40.31,39.0,39.06,6.7225,833100,0.0,1.0
2000-02-15,39.06,39.5,39.0,39.06,6.7354,1151200,0.075,1.0
2000-02-16,39.31,39.94,38.56,38.63,6.6612,461700,0.0,1.0
2000-02-17,39.0,39.0,37.56,37.81,6.5198,541300,0.0,1.0
2000-02-18,37.5,38.38,36.94,37.69,6.4991,771500,0.0,1.0
2000-02-22,37.81,37.94,37.0,37.25,6.4232,591200,0.0,1.0
2000-02-23,37.0,37.63,36.25,36.63,6.3163,1183700,0.0,1.0
2000-02-24,36.56,36.56,34.94,35.63,6.1439,816600,0.0,1.0
2000-02-25,36.0,36.06,34.94,35.06,6.0456,746300,0.0,1.0
2000-02-28,34.94,37.0,34.56,36.94,6.3698,1300600,0.0,1.0
2000-02-29,37.0,37.38,35.19,36.56,6.3043,923800,0.0,1.0
2000-03-01,36.56,36.94,35.94,36.94,6.3698,881700,0.0,1.0
2000-03-02,36.94,37.25,35.13,36.25,6.2508,716900,0.0,1.0
2000-03-03,36.5,37.25,36.19,36.63,6.3163,630200,0.0,1.0
2000-03-06,36.44,36.56,35.69,36.19,6.2405,571400,0.0,1.0
2000-03-07,36.0,36.0,34.56,34.81,6.0025,1430600,0.0,1.0
2000-03-08,34.75,35.25,34.56,34.88,6.0146,1700300,0.0,1.0
2000-03-09,34.19,35.44,34.0,35.25,6.0784,1132300,0.0,1.0
2000-03-10,35.38,35.69,34.88,35.13,6.0577,559000,0.0,1.0
2000-03-13,35.0,35.06,33.56,34.38,5.9284,615100,0.0,1.0
2000-03-14,34.19,37.13,34.19,35.81,6.1749,984900,0.0,1.0
2000-03-15,36.25,41.44,36.25,41.1,7.0871,1859500,0.0,1.0
2000-03-16,42.94,44.5,42.38,44.0,7.5872,1356400,0.0,1.0
2000-03-17,43.5,43.56,41.5,41.81,7.2096,1107700,0.0,1.0
2000-03-20,41.88,42.56,40.69,41.31,7.1233,690300,0.0,1.0
2000-03-21,41.13,43.56,41.0,43.38,7.4803,731600,0.0,1.0
2000-03-22,43.0,44.44,43.0,44.13,7.6096,1398400,0.0,1.0
2000-03-23,43.5,45.19,43.5,44.94,7.7493,902300,0.0,1.0
2000-03-24,44.31,46.62,44.31,45.94,7.9217,960800,0.0,1.0
2000-03-27,45.69,45.75,43.56,43.88,7.5665,661700,0.0,1.0
2000-03-28,44.19,44.56,43.31,43.69,7.5337,535800,0.0,1.0
2000-03-29,43.63,45.19,43.63,44.75,7.7165,579500,0.0,1.0
2000-03-30,44.94,46.0,44.06,44.5,7.6734,1058300,0.0,1.0
2000-03-31,44.25,46.13,44.06,45.56,7.8562,884700,0.0,1.0
2000-04-03,46.0,47.06,45.69,47.0,8.1045,895200,0.0,1.0
2000-04-04,47.0,47.5,45.31,46.56,8.0286,892900,0.0,1.0
2000-04-05,45.75,47.13,45.56,45.94,7.9217,591900,0.0,1.0
2000-04-06,46.06,46.69,45.63,46.25,7.9752,475900,0.0,1.0
2000-04-07,46.0,46.31,45.44,45.5,7.8458,591200,0.0,1.0
2000-04-10,45.5,47.0,45.5,46.06,7.9424,495800,0.0,1.0
2000-04-11,46.0,47.38,46.0,47.06,8.1148,439600,0.0,1.0
2000-04-12,47.06,47.88,46.94,47.13,8.1269,493100,0.0,1.0
2000-04-13,47.19,47.63,46.38,47.0,8.1045,522400,0.0,1.0
2000-04-14,45.88,46.69,45.44,46.06,7.9424,1125700,0.0,1.0
2000-04-17,45.5,46.06,44.63,45.63,7.8683,949400,0.0,1.0
2000-04-18,45.5,46.38,45.19,45.56,7.8562,426400,0.0,1.0
2000-04-19,45.31,45.31,43.75,44.63,7.6958,744700,0.0,1.0
2000-04-20,44.31,48.13,44.31,47.56,8.2011,855200,0.0,1.0
2000-04-24,47.25,49.31,46.31,48.44,8.3528,662300,0.0,1.0
2000-04-25,48.0,48.94,47.75,48.81,8.4166,652800,0.0,1.0
2000-04-26,49.25,50.69,49.0,50.19,8.6546,1629000,0.0,1.0
2000-04-27,49.5,49.56,48.06,48.5,8.3632,1506900,0.0,1.0
2000-04-28,48.0,48.88,46.69,48.81,8.4166,1688900,0.0,1.0
2000-05-01,48.56,49.56,48.0,48.31,8.3304,788300,0.0,1.0
2000-05-02,46.81,48.25,46.81,47.88,8.2562,941000,0.0,1.0
2000-05-03,47.0,47.44,45.81,45.81,7.8993,617500,0.0,1.0
2000-05-04,45.69,45.94,45.31,45.56,7.8562,535900,0.0,1.0
2000-05-05,45.56,45.75,45.0,45.5,7.8458,385300,0.0,1.0
2000-05-08,46.5,46.69,45.5,46.0,7.9321,645600,0.0,1.0
2000-05-09,45.88,46.81,45.69,46.75,8.0614,890400,0.0,1.0
2000-05-10,46.75,48.0,46.13,47.56,8.2011,681600,0.0,1.0
2000-05-11,47.0,48.31,46.75,47.06,8.1148,461800,0.0,1.0
2000-05-12,47.06,48.25,47.0,47.75,8.2338,480400,0.0,1.0
2000-05-15,48.06,48.81,48.06,48.81,8.4166,535100,0.0,1.0
2000-05-16,47.81,49.38,47.81,49.0,8.464,459100,0.085,1.0
2000-05-17,48.25,48.44,47.19,48.25,8.3345,483000,0.0,1.0
2000-05-18,48.31,50.44,48.31,50.0,8.6368,799000,0.0,1.0
2000-05-19,49.0,49.56,48.13,48.56,8.388,563400,0.0,1.0
2000-05-22,49.0,50.88,48.94,50.44,8.7128,833400,0.0,1.0
2000-05-23,50.38,51.94,49.75,51.0,8.8095,844000,0.0,1.0
2000-05-24,50.88,51.25,49.56,50.69,8.756,796400,0.0,1.0
2000-05-25,50.19,50.56,49.88,50.25,8.68,617800,0.0,1.0
2000-05-26,50.5,51.31,50.5,50.88,8.7888,453700,0.0,1.0
2000-05-30,50.88,52.13,50.63,51.38,8.8751,682700,0.0,1.0
2000-05-31,51.38,52.44,51.0,51.69,8.9287,433400,0.0,1.0
2000-06-01,51.44,53.13,51.31,53.06,9.1653,821300,0.0,1.0
2000-06-02,53.5,53.94,52.38,52.81,9.1222,620700,0.0,1.0
2000-06-05,52.5,52.63,50.75,51.19,8.8423,455100,0.0,1.0
2000-06-06,51.88,52.31,51.63,51.75,8.9391,561500,0.0,1.0
2000-06-07,51.75,52.56,51.44,52.13,9.0047,312400,0.0,1.0
2000-06-08,52.19,52.31,50.88,51.56,8.9062,471200,0.0,1.0
2000-06-09,51.31,51.63,50.25,50.63,8.7456,221900,0.0,1.0
2000-06-12,50.63,51.38,49.94,50.19,8.6696,653600,0.0,1.0
2000-06-13,50.13,51.06,50.13,50.75,8.7663,533600,0.0,1.0
