,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,43.75,44.38,42.5,42.81,40.6546,737900,0.0,1.0
2000-01-19,41.81,43.94,41.38,43.56,41.3669,520100,0.0,1.0
2000-01-20,42.69,43.0,41.5,42.5,40.3602,597900,0.0,1.0
2000-01-21,42.25,42.25,40.13,40.5,38.4609,887300,0.0,1.0
2000-01-24,40.0,40.56,38.94,39.13,37.1599,888300,0.0,1.0
2000-01-25,39.0,39.31,37.25,38.13,36.2102,525200,0.0,1.0
2000-01-26,38.13,39.0,37.56,38.63,36.6851,333400,0.0,1.0
2000-01-27,38.56,40.75,38.38,39.69,37.6917,695500,0.0,1.0
2000-01-28,39.56,41.31,39.5,40.25,38.2235,421700,0.0,1.0
2000-01-31,40.25,40.44,39.88,40.31,38.2805,461300,0.0,1.0
2000-02-01,40.56,41.75,40.44,41.38,39.2966,412900,0.0,1.0
2000-02-02,41.62,43.0,41.25,42.81,40.6546,549400,0.0,1.0
2000-02-03,42.81,44.44,42.81,43.88,41.6707,678100,0.0,1.0
2000-02-04,42.38,44.0,42.19,42.38,40.2463,353400,0.0,1.0
2000-02-07,42.88,43.63,42.44,43.5,41.3099,232400,0.0,1.0
2000-02-08,43.5,44.06,42.5,43.38,41.1959,339600,0.0,1.0
2000-02-09,43.5,43.5,42.19,42.44,40.3033,358500,0.0,1.0
2000-02-10,43.63,43.94,41.94,42.38,40.2463,591300,0.0,1.0
2000-02-11,42.38,42.38,40.06,40.94,38.8788,438100,0.0,1.0
2000-02-14,41.13,43.38,41.06,43.13,40.9585,436700,0.0,1.0
2000-02-15,44.75,45.75,40.13,40.75,38.6983,1838200,0.0,1.0
2000-02-16,40.75,41.69,39.19,39.25,37.2739,955400,0.0,1.0
2000-02-17,40.38,40.63,39.19,39.38,37.3973,440600,0.0,1.0
2000-02-18,39.88,41.19,39.88,40.88,38.8218,720900,0.0,1.0
2000-02-22,41.0,41.94,40.19,40.5,38.4609,487700,0.0,1.0
2000-02-23,40.06,40.94,39.75,40.56,38.5179,334000,0.0,1.0
2000-02-24,40.31,40.44,39.06,39.5,37.5113,346700,0.0,1.0
2000-02-25,39.5,40.5,39.38,39.88,37.8721,419900,0.0,1.0
2000-02-28,39.88,39.94,38.19,39.94,37.9291,186400,0.0,1.0
2000-02-29,39.56,40.13,39.0,40.0,37.9861,481900,0.0,1.0
2000-03-01,40.0,40.13,38.44,38.56,36.6186,427400,0.0,1.0
2000-03-02,38.19,38.5,36.88,37.75,35.8494,498300,0.0,1.0
2000-03-03,37.5,37.81,36.81,36.88,35.0232,444100,0.0,1.0
2000-03-06,37.06,37.06,35.06,36.56,34.7193,811600,0.0,1.0
2000-03-07,36.38,37.19,35.88,36.25,34.4249,528700,0.0,1.0
2000-03-08,36.19,36.44,35.25,35.44,33.6557,450100,0.0,1.0
2000-03-09,35.88,38.63,35.75,38.44,36.5046,748800,0.0,1.0
2000-03-10,37.94,38.75,36.75,37.56,35.6689,349900,0.0,1.0
2000-03-13,37.0,38.38,36.38,38.13,36.2102,367600,0.0,1.0
2000-03-14,37.88,37.94,35.06,35.81,34.0071,725300,0.0,1.0
2000-03-15,36.0,36.0,34.0,35.31,33.5322,1413900,0.0,1.0
2000-03-16,35.5,40.63,35.38,40.44,38.4039,1217100,0.0,1.0
2000-03-17,40.63,40.63,38.38,38.94,36.9795,452300,0.0,1.0
2000-03-20,38.44,39.25,36.88,37.69,35.7924,322300,0.0,1.0
2000-03-21,37.44,39.25,37.25,39.25,37.2739,385900,0.0,1.0
2000-03-22,38.88,39.31,38.38,39.06,37.0934,393800,0.0,1.0
2000-03-23,38.75,39.19,37.88,38.44,36.5046,265700,0.0,1.0
2000-03-24,37.94,38.5,37.38,38.44,36.5046,280600,0.0,1.0
2000-03-27,38.56,39.31,38.56,38.94,36.9795,658500,0.0,1.0
2000-03-28,38.81,38.88,36.5,37.5,35.612,468400,0.0,1.0
2000-03-29,37.88,38.13,36.88,37.5,35.612,845700,0.0,1.0
2000-03-30,37.63,37.94,37.06,37.5,35.612,526800,0.0,1.0
2000-03-31,37.44,41.19,37.38,39.69,37.6917,897400,0.0,1.0
2000-04-03,39.94,40.81,38.31,38.94,36.9795,517200,0.0,1.0
2000-04-04,38.44,41.69,37.5,41.13,39.0592,1365300,0.0,1.0
2000-04-05,42.44,46.31,41.94,45.44,43.1522,1953000,0.0,1.0
2000-04-06,45.5,46.5,44.0,44.88,42.6204,1098100,0.0,1.0
2000-04-07,45.0,45.31,44.25,44.81,42.5539,673000,0.0,1.0
2000-04-10,45.0,45.94,44.69,45.5,43.2092,625800,0.0,1.0
2000-04-11,45.38,45.5,44.31,45.13,42.8578,571200,0.0,1.0
2000-04-12,45.81,47.75,45.69,46.88,44.5197,829400,0.0,1.0
2000-04-13,47.88,48.0,46.75,47.38,44.9945,729200,0.0,1.0
2000-04-14,47.25,47.31,43.5,45.25,42.9718,953500,0.0,1.0
2000-04-17,45.0,45.0,43.5,44.75,42.4969,993900,0.0,1.0
2000-04-18,44.88,46.44,44.63,46.31,43.9784,550700,0.0,1.0
2000-04-19,46.31,47.25,46.06,46.94,44.5767,400900,0.0,1.0
2000-04-20,46.94,47.63,45.94,46.13,43.8075,381000,0.0,1.0
2000-04-24,46.13,46.13,44.88,45.0,42.7344,570700,0.0,1.0
2000-04-25,45.13,46.06,45.0,46.06,43.741,646800,0.0,1.0
2000-04-26,46.56,46.63,44.38,44.75,42.4969,662600,0.0,1.0
2000-04-27,44.5,44.69,42.88,43.69,41.4903,518600,0.0,1.0
2000-04-28,43.88,45.0,43.5,44.94,42.6774,282800,0.0,1.0
2000-05-01,43.5,45.25,42.75,44.75,42.4969,585100,0.0,1.0
2000-05-02,44.38,44.63,43.69,44.06,41.8417,548100,0.0,1.0
2000-05-03,43.88,44.63,43.88,44.0,41.7847,372800,0.0,1.0
2000-05-04,44.0,45.13,44.0,44.63,42.383,337000,0.0,1.0
2000-05-05,44.5,45.69,44.25,45.5,43.2092,679600,0.0,1.0
2000-05-08,45.88,46.25,45.63,45.94,43.627,460500,0.0,1.0
2000-05-09,46.44,49.0,46.25,48.94,46.476,1860500,0.0,1.0
2000-05-10,48.88,50.75,48.5,49.94,47.4256,1956200,0.0,1.0
2000-05-11,51.31,51.31,50.06,50.5,47.9574,1582900,0.0,1.0
2000-05-12,50.5,50.5,48.38,49.5,47.0078,687800,0.0,1.0
2000-05-15,49.75,50.25,48.75,50.13,47.6061,466800,0.0,1.0
2000-05-16,50.06,50.06,48.63,49.5,47.0078,600600,0.0,1.0
2000-05-17,49.0,49.0,47.94,48.56,46.1151,398700,0.0,1.0
2000-05-18,48.56,49.5,48.56,48.94,46.476,291400,0.0,1.0
2000-05-19,48.19,49.44,47.69,49.06,46.5899,399000,0.0,1.0
2000-05-22,49.31,50.63,48.13,50.06,47.5396,807800,0.0,1.0
2000-05-23,50.06,50.06,49.25,49.25,46.7704,898000,0.0,1.0
2000-05-24,49.25,49.31,47.63,48.75,46.2956,555100,0.0,1.0
2000-05-25,45.0,45.0,41.06,41.56,39.4676,3150700,0.0,1.0
2000-05-26,42.63,44.44,42.56,44.19,41.9651,1679100,0.0,1.0
2000-05-30,44.63,44.88,42.94,43.25,41.0725,738000,0.0,1.0
2000-05-31,43.63,45.0,43.56,44.31,42.0791,978700,0.0,1.0
2000-06-01,44.19,46.5,43.94,45.94,43.627,1035900,0.0,1.0
2000-06-02,46.06,46.19,43.44,44.81,42.5539,745000,0.0,1.0
2000-06-05,44.63,45.25,44.19,45.13,42.8578,310500,0.0,1.0
2000-06-06,45.38,46.06,44.88,45.91,43.5985,511800,0.0,1.0
2000-06-07,45.69,45.81,44.63,45.56,43.2662,451500,0.0,1.0
2000-06-08,46.19,46.19,44.94,45.09,42.8198,373700,0.0,1.0
2000-06-09,44.25,45.06,43.88,44.13,41.9082,839800,0.0,1.0
2000-06-12,44.13,44.5,42.88,43.09,40.9205,480300,0.0,1.0
2000-06-13,43.38,45.94,43.38,45.69,43.3896,477700,0.0,1.0
2000-06-14,46.0,46.88,45.25,45.75,43.4466,408600,0.0,1.0
2000-06-15,46.5,47.75,46.06,47.44,45.0515,913900,0.0,1.0
2000-06-16,47.0,47.88,46.44,47.13,44.7571,528500,0.0,1.0
2000-06-19,47.13,47.19,46.19,46.38,44.0449,252200,0.0,1.0
2000-06-20,46.44,46.63,45.88,45.91,43.5985,251300,0.0,1.0
2000-06-21,46.06,47.25,46.06,46.66,44.3108,542300,0.0,1.0
2000-06-22,46.75,46.75,44.5,45.28,43.0003,387900,0.0,1.0
2000-06-23,45.56,46.94,45.56,46.56,44.2158,561000,0.0,1.0
2000-06-26,47.25,48.19,46.56,48.16,45.7353,574100,0.0,1.0
2000-06-27,47.94,48.94,47.38,48.41,45.9727,584100,0.0,1.0
2000-06-28,48.31,51.19,48.25,50.36,47.8245,796100,0.0,1.0
2000-06-29,50.06,54.44,49.88,53.97,51.2527,1424800,0.0,1.0
2000-06-30,54.06,54.69,52.06,53.75,51.0438,840500,0.0,1.0
2000-07-03,53.75,53.75,51.88,52.97,50.3031,418700,0.0,1.0
2000-07-05,52.94,54.0,52.31,53.97,51.2527,969100,0.0,1.0
2000-07-06,54.19,55.5,54.06,54.75,51.9935,1236300,0.0,1.0
2000-07-07,55.0,55.38,54.06,54.66,51.908,541000,0.0,1.0
2000-07-10,54.63,55.63,54.5,54.66,51.908,813900,0.0,1.0
2000-07-11,54.88,55.19,53.94,54.44,51.6991,501000,0.0,1.0
2000-07-12,54.38,54.75,52.25,52.75,50.0942,645700,0.0,1.0
2000-07-13,52.63,52.75,51.19,51.78,49.173,733700,0.0,1.0
2000-07-14,55.88,56.81,55.56,56.03,53.209,2712400,0.0,1.0
2000-07-17,56.0,58.13,55.81,56.72,53.8643,1406100,0.0,1.0
2000-07-18,56.5,56.5,55.06,55.44,52.6487,605200,0.0,1.0
2000-07-19,56.25,56.25,53.0,53.88,51.1673,657800,0.0,1.0
2000-07-20,54.31,54.56,53.69,53.81,51.1008,458200,0.0,1.0
2000-07-21,53.88,56.0,53.88,55.88,53.0666,616800,0.0,1.0
2000-07-24,55.88,59.38,55.88,58.89,55.925,1054600,0.0,1.0
2000-07-25,59.0,59.56,58.06,58.72,55.7636,810400,0.0,1.0
2000-07-26,58.13,58.63,57.31,58.34,55.4027,636800,0.0,1.0
2000-07-27,58.13,59.25,56.5,59.09,56.115,745700,0.0,1.0
2000-07-28,59.13,59.13,58.25,58.56,55.6116,516800,0.0,1.0
2000-07-31,58.63,59.13,54.0,55.25,52.4683,1196900,0.0,1.0
2000-08-01,55.25,57.56,54.94,55.5,52.7057,1138700,0.0,1.0
2000-08-02,54.88,55.44,52.63,54.06,51.3382,1498900,0.0,1.0
2000-08-03,52.75,52.94,52.25,52.25,49.6193,762300,0.0,1.0
2000-08-04,52.75,55.31,52.75,54.75,51.9935,942600,0.0,1.0
2000-08-07,54.75,54.75,54.0,54.44,51.6991,346000,0.0,1.0
2000-08-08,53.75,53.81,52.56,53.48,50.7874,450700,0.0,1.0
2000-08-09,53.0,53.13,51.69,51.94,49.3249,855900,0.0,1.0
2000-08-10,53.5,53.88,52.63,53.16,50.4835,1036800,0.0,1.0
2000-08-11,52.81,55.63,52.69,55.03,52.2594,1065200,0.0,1.0
2000-08-14,55.13,55.5,54.0,54.03,51.3097,818900,0.0,1.0
2000-08-15,54.19,54.19,52.94,53.09,50.417,579300,0.0,1.0
2000-08-16,53.19,53.44,53.0,53.13,50.455,518800,0.0,1.0
2000-08-17,52.56,55.75,52.56,55.22,52.4398,1594100,0.0,1.0
2000-08-18,56.75,56.75,55.0,55.72,52.9146,1128600,0.0,1.0
2000-08-21,55.81,56.31,55.38,55.44,52.6487,565300,0.0,1.0
2000-08-22,55.5,56.75,55.38,56.44,53.5984,805900,0.0,1.0
2000-08-23,56.44,56.44,55.0,55.06,52.2879,396700,0.0,1.0
2000-08-24,54.88,56.88,54.19,56.5,53.6554,842200,0.0,1.0
2000-08-25,56.56,61.38,56.56,60.72,57.6629,1480200,0.0,1.0
2000-08-28,60.75,61.5,59.5,59.59,56.5898,1363600,0.0,1.0
2000-08-29,59.94,60.06,58.13,59.19,56.2099,966200,0.0,1.0
2000-08-30,59.19,60.44,59.06,60.09,57.0646,878100,0.0,1.0
2000-08-31,60.31,62.38,60.25,61.66,58.5556,839500,0.0,1.0
2000-09-01,61.88,63.5,61.88,63.41,60.2175,761200,0.0,1.0
2000-09-05,63.13,63.75,62.5,63.59,60.3884,1212900,0.0,1.0
2000-09-06,63.63,65.75,63.56,65.31,62.0218,821400,0.0,1.0
2000-09-07,65.38,70.69,65.38,69.72,66.2098,2440400,0.0,1.0
2000-09-08,69.81,71.5,68.81,69.72,66.2098,1567200,0.0,1.0
2000-09-11,69.75,70.19,67.19,68.63,65.1746,857200,0.0,1.0
2000-09-12,68.56,68.56,60.88,64.13,60.9012,5581900,0.0,1.0
2000-09-13,50.0,53.13,48.13,51.0,48.4323,9939400,0.0,1.0
2000-09-14,53.0,57.13,52.75,54.94,52.1739,3836600,0.0,1.0
2000-09-15,56.0,56.31,54.38,55.19,52.4113,1843200,0.0,1.0
2000-09-18,55.19,56.63,55.19,56.0,53.1805,998800,0.0,1.0
2000-09-19,55.75,57.81,54.56,57.5,54.605,822500,0.0,1.0
2000-09-20,57.5,59.69,57.25,59.13,56.1529,820400,0.0,1.0
2000-09-21,59.0,60.56,59.0,59.75,56.7417,1025300,0.0,1.0
2000-09-22,60.0,62.38,59.81,61.53,58.4321,876500,0.0,1.0
2000-09-25,61.5,63.0,61.5,62.44,59.2963,771300,0.0,1.0
2000-09-26,62.63,64.0,62.5,63.13,59.9516,1367600,0.0,1.0
2000-09-27,62.75,63.94,61.13,61.44,58.3466,1439800,0.0,1.0
2000-09-28,61.44,65.88,61.44,65.0,61.7274,930300,0.0,1.0
2000-09-29,65.0,65.5,64.19,65.0,61.7274,864700,0.0,1.0
2000-10-02,64.5,65.81,64.19,64.94,61.6704,693200,0.0,1.0
2000-10-03,64.69,65.63,63.63,64.31,61.0721,909600,0.0,1.0
2000-10-04,63.88,64.63,61.5,62.88,59.7141,641600,0.0,1.0
2000-10-05,62.63,66.19,62.63,65.81,62.4966,919300,0.0,1.0
2000-10-06,65.81,66.38,64.69,66.06,62.734,800900,0.0,1.0
2000-10-09,65.88,65.94,64.5,64.88,61.6135,496400,0.0,1.0
2000-10-10,64.88,67.88,64.88,66.75,63.3893,488600,0.0,1.0
2000-10-11,66.75,66.75,64.63,65.63,62.3257,927800,0.0,1.0
2000-10-12,65.0,65.38,62.13,62.94,59.7711,1299700,0.0,1.0
2000-10-13,62.94,64.63,61.63,63.63,60.4264,761000,0.0,1.0
2000-10-16,63.63,65.13,62.56,63.69,60.4834,1099400,0.0,1.0
2000-10-17,63.69,64.94,63.0,64.19,60.9582,843700,0.0,1.0
2000-10-18,62.63,63.5,61.19,62.25,59.1159,917700,0.0,1.0
2000-10-19,62.13,62.88,61.63,62.88,59.7141,590400,0.0,1.0
2000-10-20,62.81,64.38,62.56,63.94,60.7208,578300,0.0,1.0
2000-10-23,64.0,66.44,63.63,66.0,62.6771,691800,0.0,1.0
2000-10-24,66.25,67.0,63.75,65.19,61.9078,579800,0.0,1.0
2000-10-25,64.81,66.88,63.25,64.0,60.7778,637000,0.0,1.0
2000-10-26,64.25,65.5,62.88,64.75,61.49,680400,0.0,1.0
2000-10-27,64.75,64.81,62.69,63.19,60.0085,376900,0.0,1.0
2000-10-30,63.19,63.38,62.25,63.38,60.189,736000,0.0,1.0
2000-10-31,63.38,63.44,61.19,62.56,59.4103,674200,0.0,1.0
2000-11-01,60.63,60.63,58.25,59.88,56.8652,1867900,0.0,1.0
2000-11-02,59.88,59.88,57.75,59.31,56.3239,1147300,0.0,1.0
2000-11-03,59.5,60.25,57.75,59.19,56.2099,731200,0.0,1.0
2000-11-06,58.13,60.31,58.13,59.81,56.7987,890600,0.0,1.0
2000-11-07,60.06,60.69,56.31,56.56,53.7123,1279200,0.0,1.0
2000-11-08,56.81,60.5,56.81,59.44,56.4473,923100,0.0,1.0
2000-11-09,58.63,58.63,55.06,56.81,53.9498,729900,0.0,1.0
2000-11-10,55.31,56.0,49.81,52.0,49.3819,3498100,0.0,1.0
2000-11-13,57.75,61.75,56.0,56.94,54.0732,2783400,0.0,1.0
2000-11-14,56.69,58.38,55.0,56.56,53.7123,959700,0.0,1.0
2000-11-15,56.31,57.75,56.06,57.0,54.1302,646100,0.0,1.0
2000-11-16,57.0,57.25,55.44,56.13,53.304,455200,0.0,1.0
2000-11-17,56.38,56.94,55.25,55.63,52.8292,445800,0.0,1.0
2000-11-20,55.25,55.63,52.44,53.88,51.1673,721700,0.0,1.0
2000-11-21,52.88,53.69,50.75,51.06,48.4893,1259200,0.0,1.0
2000-11-22,45.5,49.0,45.25,48.5,46.0581,2757000,0.0,1.0
2000-11-24,49.0,49.5,47.75,48.31,45.8777,579500,0.0,1.0
2000-11-27,49.06,51.69,49.06,50.94,48.3753,2152800,0.0,1.0
2000-11-28,51.25,52.0,49.38,49.75,47.2452,1082400,0.0,1.0
2000-11-29,49.75,50.44,49.31,49.69,47.1882,765100,0.0,1.0
2000-11-30,48.75,48.94,45.0,46.0,43.684,1356100,0.0,1.0
2000-12-01,46.44,46.5,45.0,45.56,43.2662,921100,0.0,1.0
2000-12-04,45.94,46.63,44.63,44.81,42.5539,986500,0.0,1.0
2000-12-05,45.13,45.5,44.81,45.0,42.7344,651600,0.0,1.0
2000-12-06,44.5,45.06,44.19,44.75,42.4969,934100,0.0,1.0
2000-12-07,44.56,44.56,42.25,43.25,41.0725,1222500,0.0,1.0
2000-12-08,43.5,45.88,43.13,44.69,42.44,747800,0.0,1.0
2000-12-11,44.25,46.75,44.25,45.88,43.5701,974400,0.0,1.0
2000-12-12,45.94,46.94,45.44,45.75,43.4466,854700,0.0,1.0
2000-12-13,46.13,46.56,44.25,44.88,42.6204,813000,0.0,1.0
2000-12-14,45.0,45.13,44.06,44.31,42.0791,363400,0.0,1.0
2000-12-15,44.0,44.44,42.81,43.63,41.4333,623300,0.0,1.0
2000-12-18,44.31,46.0,43.94,45.81,43.5036,847700,0.0,1.0
2000-12-19,45.56,47.75,45.44,47.38,44.9945,979100,0.0,1.0
2000-12-20,47.56,47.56,44.5,45.19,42.9148,755200,0.0,1.0
2000-12-21,44.63,46.75,44.56,46.31,43.9784,658300,0.0,1.0
2000-12-22,46.06,48.38,46.0,48.0,45.5833,566600,0.0,1.0
2000-12-26,47.5,49.62,47.38,49.38,46.8938,400200,0.0,1.0
2000-12-27,49.13,51.19,49.0,50.06,47.5396,524800,0.0,1.0
2000-12-28,50.0,53.0,50.0,52.19,49.5624,460800,0.0,1.0
2000-12-29,52.0,53.19,51.06,51.19,48.6127,392000,0.0,1.0
2001-01-02,50.63,50.69,47.88,48.31,45.8777,583200,0.0,1.0
2001-01-03,48.0,49.44,47.25,48.13,45.7068,835500,0.0,1.0
2001-01-04,48.0,48.06,45.56,46.75,44.3963,1176800,0.0,1.0
2001-01-05,46.69,47.31,45.94,46.63,44.2823,923500,0.0,1.0
