,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,112.3,112.3,107.9,108.4,1007.3879,3320000,0.0,1.0
2000-01-19,108.6,109.9,105.8,106.3,987.8721,3160000,0.0,1.0
2000-01-20,107.0,107.2,103.0,105.3,978.5788,2925333,0.0,1.0
2000-01-21,105.3,105.3,102.1,103.9,965.5683,2988000,0.0,1.0
2000-01-24,103.9,104.8,100.4,101.6,944.1938,2248000,0.0,1.0
2000-01-25,101.4,103.7,101.1,102.9,956.275,2269333,0.0,1.0
2000-01-26,103.2,105.7,102.8,105.5,980.4375,2845333,0.0,1.0
2000-01-27,105.6,105.9,103.3,105.3,978.5788,2708000,0.0,1.0
2000-01-28,104.6,104.6,101.0,102.0,947.9111,3044000,0.0,1.0
2000-01-31,102.5,104.4,100.1,104.4,970.2149,2784000,0.0,1.0
2000-02-01,103.6,103.9,101.0,102.4,951.6284,2804000,0.0,1.0
2000-02-02,102.9,103.4,101.3,102.3,950.6991,2028000,0.0,1.0
2000-02-03,101.5,102.3,98.13,101.3,941.4058,5034667,0.0,1.0
2000-02-04,101.9,102.4,99.81,100.8,936.7592,1856000,0.0,1.0
2000-02-07,99.88,99.94,97.31,97.63,907.2996,3374667,0.0,1.0
2000-02-08,96.38,97.81,93.06,95.94,891.594,7522667,0.0,1.0
2000-02-09,96.75,97.63,95.5,97.31,904.3258,4765333,0.0,1.0
2000-02-10,98.5,98.63,93.25,94.31,876.4461,4342667,0.0,1.0
2000-02-11,95.31,95.75,93.81,94.81,881.0927,3118667,0.0,1.0
2000-02-14,95.38,96.19,93.38,93.69,870.6842,2386667,0.0,1.0
2000-02-15,94.0,97.25,93.0,96.44,896.2407,4098667,0.0,1.0
2000-02-16,95.0,95.5,93.0,94.0,873.5652,3316000,0.0,1.0
2000-02-17,95.38,95.44,91.88,92.63,860.8334,3005333,0.0,1.0
2000-02-18,91.75,92.25,88.5,89.44,831.1879,5558667,0.0,1.0
2000-02-22,88.81,89.25,85.5,86.75,806.1891,5946667,0.0,1.0
2000-02-23,85.75,86.56,84.56,85.5,794.5726,6322667,0.0,1.0
2000-02-24,85.25,85.38,82.75,83.13,772.5476,5258667,0.0,1.0
2000-02-25,83.38,85.19,83.13,83.63,777.1942,3812000,0.0,1.0
2000-02-28,85.0,88.88,85.0,87.19,810.2781,4900000,0.0,1.0
2000-02-29,88.0,89.94,85.81,88.44,821.8947,4973333,0.0,1.0
2000-03-01,89.25,90.13,87.63,89.56,832.7678,3232000,0.05,1.0
2000-03-02,89.31,89.63,86.63,87.0,808.9638,2737333,0.0,1.0
2000-03-03,88.88,88.94,85.63,87.38,812.4972,3096000,0.0,1.0
2000-03-06,87.13,87.13,83.81,84.75,788.0423,3772000,0.0,1.0
2000-03-07,85.0,85.06,79.5,81.44,757.2645,5130667,0.0,1.0
2000-03-08,80.44,85.13,78.56,83.0,771.7701,6310667,0.0,1.0
2000-03-09,82.13,83.19,80.81,82.94,771.2122,4786667,0.0,1.0
2000-03-10,83.13,83.94,81.75,83.0,771.7701,3861333,0.0,1.0
2000-03-13,82.0,86.44,81.63,86.25,801.99,4274667,0.0,1.0
2000-03-14,86.75,86.75,85.31,85.75,797.3408,3929333,0.0,1.0
2000-03-15,86.38,91.44,85.31,91.44,850.2489,8008000,0.0,1.0
2000-03-16,92.75,100.3,92.25,99.94,929.2856,7396000,0.0,1.0
2000-03-17,99.88,101.2,96.69,97.38,905.4816,4918667,0.0,1.0
2000-03-20,98.5,99.44,97.38,99.0,920.545,2472000,0.0,1.0
2000-03-21,98.75,101.4,98.31,100.5,934.4927,4053333,0.0,1.0
2000-03-22,99.88,100.1,98.19,99.5,925.1942,3013333,0.0,1.0
2000-03-23,99.69,105.5,99.56,104.3,969.8267,4312000,0.0,1.0
2000-03-24,105.0,108.38,104.75,107.63,1000.7905,3664000,0.0,1.0
2000-03-27,106.9,107.4,103.8,104.1,967.967,2876000,0.0,1.0
2000-03-28,102.4,105.9,101.8,104.3,969.8267,3296000,0.0,1.0
2000-03-29,104.3,107.1,103.4,106.4,989.3534,3334667,0.0,1.0
2000-03-30,106.3,111.1,105.6,108.7,1010.7398,4934667,0.0,1.0
2000-03-31,108.9,110.4,108.1,109.5,1018.1786,3950667,0.0,1.0
2000-04-03,109.8,118.4,109.8,117.6,1093.4959,4756000,0.0,1.0
2000-04-04,116.6,118.9,110.9,114.9,1068.3901,6349333,0.0,1.0
2000-04-05,114.1,114.7,109.4,109.9,1021.898,3005333,0.0,1.0
2000-04-06,109.9,111.2,107.8,111.2,1033.9859,2736000,0.0,1.0
2000-04-07,110.9,113.9,107.5,108.8,1011.6697,2974667,0.0,1.0
2000-04-10,108.8,113.9,108.6,113.1,1051.6529,2294667,0.0,1.0
2000-04-11,113.4,116.6,113.1,115.9,1077.6886,3589333,0.0,1.0
2000-04-12,116.4,119.3,115.6,115.6,1074.899,3994667,0.0,1.0
2000-04-13,114.4,115.3,112.0,113.4,1054.4425,2596000,0.0,1.0
2000-04-14,111.0,111.3,101.9,107.9,1003.3011,6093333,0.0,1.0
2000-04-17,103.8,106.3,100.6,101.6,944.721,4709333,0.0,1.0
