,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,37.56,38.19,37.38,38.19,10.0055,95100,0.0,1.0
2000-01-19,38.06,38.81,38.06,38.5,10.0867,96900,0.0,1.0
2000-01-20,38.31,38.44,37.81,37.88,9.9243,65300,0.0,1.0
2000-01-21,37.88,38.19,37.5,38.19,10.0055,151600,0.0,1.0
2000-01-24,38.06,38.13,37.69,37.75,9.8902,75900,0.0,1.0
2000-01-25,37.81,38.0,37.19,37.25,9.7592,298000,0.0,1.0
2000-01-26,37.25,37.25,36.63,36.94,9.678,182000,0.0,1.0
2000-01-27,37.0,37.88,37.0,37.75,9.8902,226500,0.0,1.0
2000-01-28,37.81,38.13,37.38,37.75,9.8902,268000,0.0,1.0
2000-01-31,37.75,37.88,37.63,37.88,9.9243,144800,0.0,1.0
2000-02-01,37.88,38.25,37.44,37.94,9.94,164800,0.0,1.0
2000-02-02,37.25,38.12,37.25,37.88,10.1077,142900,0.7,1.0
2000-02-03,37.88,37.94,37.69,37.88,10.1077,113900,0.0,1.0
2000-02-04,37.88,37.94,36.5,36.69,9.7901,1786200,0.0,1.0
2000-02-07,36.69,36.94,36.56,36.75,9.8061,130000,0.0,1.0
2000-02-08,36.75,37.13,36.63,37.13,9.9075,163200,0.0,1.0
2000-02-09,37.38,37.44,37.13,37.38,9.9742,63900,0.0,1.0
2000-02-10,37.25,37.38,37.0,37.19,9.9235,78000,0.0,1.0
2000-02-11,37.0,37.0,36.31,36.75,9.8061,181000,0.0,1.0
2000-02-14,37.25,37.5,36.75,37.0,9.8728,180800,0.0,1.0
2000-02-15,36.88,37.25,36.5,37.25,9.9396,217000,0.0,1.0
2000-02-16,37.0,38.06,37.0,38.0,10.1397,266300,0.0,1.0
2000-02-17,37.88,38.06,37.75,38.06,10.1557,137200,0.0,1.0
2000-02-18,38.0,38.06,37.38,37.5,10.0063,93100,0.0,1.0
2000-02-22,37.44,37.69,37.13,37.19,9.9235,64500,0.0,1.0
2000-02-23,37.31,37.5,37.06,37.19,9.9235,53700,0.0,1.0
2000-02-24,36.94,37.19,36.94,37.0,9.8728,51600,0.0,1.0
2000-02-25,37.19,37.19,37.0,37.19,9.9235,47900,0.0,1.0
2000-02-28,37.06,37.13,36.38,36.63,9.7741,148000,0.0,1.0
2000-02-29,36.88,37.19,36.56,37.0,9.8728,119500,0.0,1.0
2000-03-01,36.88,37.06,36.75,36.88,9.8408,113400,0.0,1.0
2000-03-02,37.0,37.13,36.81,36.81,9.8221,62300,0.0,1.0
2000-03-03,36.88,37.56,36.88,37.19,9.9235,244500,0.0,1.0
2000-03-06,37.25,37.56,37.13,37.56,10.0223,78300,0.0,1.0
2000-03-07,37.69,37.81,37.19,37.5,10.0063,100200,0.0,1.0
2000-03-08,37.31,37.5,37.13,37.44,9.9903,116600,0.0,1.0
2000-03-09,37.13,37.19,37.0,37.06,9.8889,146100,0.0,1.0
2000-03-10,37.06,37.13,36.44,37.13,9.9075,89900,0.0,1.0
2000-03-13,37.38,37.38,36.75,36.94,9.8568,36000,0.0,1.0
2000-03-14,36.88,37.5,36.81,37.0,9.8728,78000,0.0,1.0
2000-03-15,37.0,39.13,36.88,39.13,10.4412,341800,0.0,1.0
2000-03-16,39.13,39.69,39.13,39.44,10.5239,234000,0.0,1.0
2000-03-17,39.69,39.94,39.44,39.81,10.6226,66500,0.0,1.0
2000-03-20,39.94,39.94,39.0,39.38,10.5079,215100,0.0,1.0
2000-03-21,39.38,39.38,38.88,39.25,10.4732,126800,0.0,1.0
