,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,60.5,60.5,60.06,60.06,15.1819,49900,0.0,1.0
2000-01-19,59.88,60.38,59.63,60.0,15.1667,59600,0.0,1.0
2000-01-20,60.25,60.25,59.63,59.94,15.1516,44300,0.0,1.0
2000-01-21,59.69,59.69,57.13,57.13,14.4413,65200,0.0,1.0
2000-01-24,56.88,57.75,56.38,56.56,14.2972,102700,0.0,1.0
2000-01-25,56.56,56.56,55.75,55.75,14.0924,49100,0.0,1.0
2000-01-26,56.0,57.06,56.0,56.94,14.3932,40600,0.0,1.0
2000-01-27,57.19,57.19,55.31,55.38,13.9989,58400,0.0,1.0
2000-01-28,55.0,56.25,54.06,54.06,13.6652,36200,0.0,1.0
2000-01-31,54.56,54.69,53.38,53.75,13.5869,40400,0.0,1.0
2000-02-01,54.0,54.69,53.69,54.56,13.7916,34500,0.0,1.0
2000-02-02,54.81,55.25,54.63,54.81,13.8548,33500,0.0,1.0
2000-02-03,55.25,59.13,55.25,58.88,14.8836,134500,0.0,1.0
2000-02-04,59.5,59.5,57.94,58.69,14.8356,35900,0.0,1.0
2000-02-07,58.63,59.13,56.0,56.0,14.1556,28300,0.0,1.0
2000-02-08,55.75,55.81,54.94,55.69,14.0773,56700,0.0,1.0
2000-02-09,55.75,56.13,55.44,56.13,14.1885,38600,0.0,1.0
2000-02-10,56.13,59.0,56.13,56.5,14.282,70700,0.0,1.0
2000-02-11,56.13,56.69,54.0,54.25,13.7132,32600,0.0,1.0
2000-02-14,54.25,54.25,52.75,53.44,13.5085,52700,0.0,1.0
2000-02-15,53.19,53.69,52.13,52.75,13.3341,28600,0.0,1.0
2000-02-16,52.69,53.0,52.13,52.38,13.2406,21300,0.0,1.0
2000-02-17,52.38,52.63,51.25,51.69,13.0661,29700,0.0,1.0
2000-02-18,51.44,51.44,49.69,49.69,12.5606,37200,0.0,1.0
2000-02-22,49.69,49.69,48.0,48.69,12.3078,113600,0.0,1.0
2000-02-23,48.94,50.0,48.88,50.0,12.6389,46400,0.0,1.0
2000-02-24,50.13,50.38,49.0,49.81,12.5909,28400,0.0,1.0
2000-02-25,49.81,49.81,48.81,48.81,12.3381,23700,0.0,1.0
2000-02-28,49.5,50.69,49.19,50.31,12.7173,41500,0.0,1.0
2000-02-29,50.06,51.5,50.06,51.13,12.9246,48700,0.0,1.0
2000-03-01,50.94,52.0,50.25,50.25,12.7021,38300,0.0,1.0
2000-03-02,50.5,51.75,50.5,51.06,12.9069,36700,0.0,1.0
2000-03-03,50.75,50.75,49.81,50.0,12.6389,48500,0.0,1.0
2000-03-06,49.75,50.0,46.75,47.0,11.8806,57200,0.0,1.0
2000-03-07,47.5,47.5,46.88,47.38,11.9767,18500,0.0,1.0
2000-03-08,47.31,47.38,46.13,47.0,11.8806,30200,0.0,1.0
2000-03-09,47.25,47.63,46.88,47.44,11.9918,73400,0.0,1.0
2000-03-10,47.31,48.0,47.13,47.69,12.055,53400,0.0,1.0
2000-03-13,47.44,49.5,47.38,48.94,12.371,24800,0.0,1.0
2000-03-14,49.0,51.88,49.0,49.75,12.5757,143800,0.0,1.0
2000-03-15,49.63,53.25,48.88,53.25,13.4605,113300,0.0,1.0
2000-03-16,27.5,32.0,27.5,32.0,8.0889,105600,0.0,1.0
2000-03-17,31.25,31.25,29.0,30.5,7.7098,589000,0.0,1.0
2000-03-20,30.75,31.0,29.19,29.19,7.3786,196400,0.0,1.0
2000-03-21,29.0,29.0,27.56,28.81,7.2826,117400,0.0,1.0
2000-03-22,28.94,30.0,28.94,30.0,7.5834,387100,0.0,1.0
2000-03-23,29.75,30.94,29.63,30.31,7.6617,273600,0.0,1.0
2000-03-24,30.25,31.0,29.88,30.5,7.7098,107300,0.0,1.0
2000-03-27,30.38,30.38,29.5,30.06,7.5985,89600,0.0,1.0
2000-03-28,30.13,30.13,29.75,30.0,7.5834,265000,0.0,1.0
2000-03-29,29.81,29.94,29.56,29.94,7.6263,344800,0.23,1.0
2000-03-30,29.94,31.94,29.75,31.94,8.1358,496100,0.0,1.0
2000-03-31,32.0,32.88,31.94,32.5,8.2784,601300,0.0,1.0
2000-04-03,32.25,32.75,31.5,32.75,8.3421,99300,0.0,1.0
2000-04-04,32.5,32.56,31.75,31.94,8.1358,74400,0.0,1.0
2000-04-05,31.94,32.94,31.81,32.75,8.3421,358000,0.0,1.0
2000-04-06,32.75,32.94,32.5,32.81,8.3574,162100,0.0,1.0
2000-04-07,33.0,33.25,32.88,32.94,8.3905,122700,0.0,1.0
2000-04-10,32.94,33.25,32.44,32.69,8.3268,228300,0.0,1.0
