,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,18.38,18.38,17.88,18.13,6.4883,37000,0.0,1.0
2000-01-19,18.13,18.44,18.0,18.19,6.5097,53000,0.0,1.0
2000-01-20,18.25,18.63,17.75,17.94,6.4203,38700,0.0,1.0
2000-01-21,18.06,18.38,17.75,18.19,6.5097,55600,0.0,1.0
2000-01-24,18.56,18.56,17.88,17.88,6.3988,60200,0.0,1.0
2000-01-25,17.94,17.94,17.13,17.13,6.1304,33600,0.0,1.0
2000-01-26,17.19,17.75,17.13,17.75,6.3523,45600,0.0,1.0
2000-01-27,17.88,18.19,17.88,18.06,6.4632,41500,0.0,1.0
2000-01-28,18.06,18.31,17.5,17.63,6.3093,45400,0.0,1.0
2000-01-31,17.69,18.38,17.69,18.06,6.4632,57300,0.0,1.0
2000-02-01,18.0,18.0,17.31,17.56,6.2843,29500,0.0,1.0
2000-02-02,17.44,17.69,17.31,17.63,6.3093,61100,0.0,1.0
2000-02-03,17.63,17.75,17.38,17.63,6.3093,30800,0.0,1.0
2000-02-04,17.56,17.56,17.13,17.38,6.2199,50700,0.0,1.0
2000-02-07,17.13,17.38,17.0,17.38,6.2199,31100,0.0,1.0
2000-02-08,17.56,17.69,17.0,17.13,6.1304,35400,0.0,1.0
2000-02-09,17.25,17.63,16.63,16.88,6.0409,49400,0.0,1.0
2000-02-10,16.81,17.0,16.44,16.88,6.0409,261100,0.0,1.0
2000-02-11,16.88,17.06,15.94,16.0,5.726,67500,0.0,1.0
2000-02-14,15.94,16.5,15.81,16.44,5.8835,28100,0.0,1.0
2000-02-15,16.63,16.88,16.31,16.88,6.0409,38100,0.0,1.0
2000-02-16,16.88,17.06,16.25,16.25,5.8155,43000,0.0,1.0
2000-02-17,16.44,16.94,16.38,16.5,5.9049,41200,0.0,1.0
2000-02-18,16.56,16.56,15.88,15.94,5.7045,30200,0.0,1.0
2000-02-22,15.94,16.0,15.63,15.94,5.7045,61900,0.0,1.0
2000-02-23,16.06,16.19,15.38,15.75,5.6365,47800,0.0,1.0
2000-02-24,15.75,15.88,15.31,15.38,5.5041,20700,0.0,1.0
2000-02-25,15.44,15.5,15.25,15.31,5.4791,31800,0.0,1.0
2000-02-28,15.25,15.56,15.0,15.31,5.4791,55400,0.0,1.0
