,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2001-01-02,29.5,29.88,29.0,29.56,6.6861,164000,0.0,1.0
2001-01-03,29.44,32.0,29.44,31.94,7.2244,342900,0.0,1.0
2001-01-04,31.63,34.0,31.63,34.0,7.6904,544900,0.0,1.0
2001-01-05,34.0,34.06,33.31,33.81,7.6474,361800,0.0,1.0
2001-01-08,34.0,35.25,33.44,33.88,7.6633,400100,0.0,1.0
2001-01-09,32.75,32.75,30.81,30.94,6.9983,600800,0.0,1.0
2001-01-10,30.88,30.88,30.13,30.88,6.9847,234200,0.0,1.0
2001-01-11,30.94,31.25,29.94,30.19,6.8286,206700,0.0,1.0
2001-01-12,30.19,30.25,29.25,29.88,6.7585,262100,0.0,1.0
2001-01-16,29.94,30.0,29.69,30.0,6.7856,116300,0.0,1.0
2001-01-17,29.88,29.94,29.31,29.5,6.6725,77700,0.0,1.0
2001-01-18,29.5,30.0,29.19,29.81,6.7427,128200,0.0,1.0
2001-01-19,29.75,30.0,29.63,30.0,6.7856,173700,0.0,1.0
2001-01-22,29.75,30.44,29.5,30.31,6.8558,124500,0.0,1.0
2001-01-23,30.31,32.19,30.13,32.19,7.281,275800,0.0,1.0
2001-01-24,32.06,32.38,30.5,30.5,6.8987,118500,0.0,1.0
2001-01-25,30.38,31.94,30.38,31.56,7.1385,103200,0.0,1.0
2001-01-26,30.56,31.19,30.31,30.38,6.8716,170500,0.0,1.0
2001-01-29,30.4,31.32,30.36,31.2,7.0571,125100,0.0,1.0
2001-01-30,31.35,31.8,31.05,31.8,7.1928,83300,0.0,1.0
2001-01-31,31.75,32.6,31.75,32.34,7.3149,153600,0.0,1.0
2001-02-01,32.3,32.35,31.6,31.98,7.2335,85700,0.0,1.0
2001-02-02,31.98,32.63,31.9,32.3,7.3059,130100,0.0,1.0
2001-02-05,32.45,33.0,32.38,32.88,7.4371,117800,0.0,1.0
2001-02-06,32.75,33.65,32.75,33.31,7.5343,149400,0.0,1.0
2001-02-07,33.1,33.29,33.0,33.16,7.5004,74400,0.0,1.0
2001-02-08,32.95,33.0,31.95,32.48,7.3466,88100,0.0,1.0
2001-02-09,32.4,32.4,31.66,31.86,7.2064,70800,0.0,1.0
2001-02-12,31.7,32.29,31.67,31.9,7.2154,70800,0.0,1.0
2001-02-13,31.9,31.95,31.64,31.85,7.2041,61100,0.0,1.0
2001-02-14,31.84,31.84,31.65,31.73,7.1769,70300,0.0,1.0
2001-02-15,31.6,31.65,30.9,31.2,7.0571,274500,0.0,1.0
2001-02-16,31.0,31.05,30.15,30.46,6.8897,170000,0.0,1.0
2001-02-20,30.45,30.54,28.99,29.0,6.5595,222400,0.0,1.0
2001-02-21,29.15,29.49,29.0,29.12,6.5866,188200,0.0,1.0
2001-02-22,29.11,29.11,28.4,28.85,6.5255,255900,0.0,1.0
2001-02-23,28.85,28.85,28.06,28.5,6.4464,132600,0.0,1.0
2001-02-26,28.45,29.6,28.45,29.59,6.6929,141500,0.0,1.0
2001-02-27,29.55,29.55,28.75,29.02,6.564,102900,0.0,1.0
2001-02-28,29.02,29.4,28.14,28.58,6.4645,139100,0.0,1.0
2001-03-01,28.1,28.11,26.4,27.3,6.1749,318800,0.0,1.0
2001-03-02,27.1,28.39,27.0,28.24,6.3876,156000,0.0,1.0
2001-03-05,28.24,28.24,27.65,27.86,6.3016,252700,0.0,1.0
2001-03-06,27.95,28.1,27.45,28.1,6.3559,437200,0.0,1.0
2001-03-07,28.0,28.25,27.6,28.24,6.3876,146400,0.0,1.0
2001-03-08,28.24,29.0,28.22,28.85,6.5255,178200,0.0,1.0
2001-03-09,28.65,28.65,28.25,28.45,6.4351,150300,0.0,1.0
2001-03-12,28.3,28.49,28.0,28.0,6.3333,151800,0.0,1.0
2001-03-13,27.5,28.38,27.45,28.38,6.4192,273000,0.0,1.0
2001-03-14,28.13,28.13,27.4,27.75,6.2767,251300,0.0,1.0
