,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-06-11,11.11,11.35,11.06,11.18,10.9244,268169400,0.0,1.0
2019-06-12,11.21,11.35,11.11,11.25,10.9928,16955751,0.0,1.0
2019-06-13,11.19,11.19,10.79,11.02,10.7681,15375399,0.0,1.0
2019-06-14,11.0,11.04,10.85,10.93,10.6802,12995016,0.0,1.0
2019-06-17,10.77,10.83,10.605,10.65,10.4066,11991150,0.0,1.0
2019-06-18,10.73,10.8,10.655,10.8,10.5531,6940340,0.0,1.0
2019-06-19,10.75,10.77,10.46,10.59,10.3479,7823884,0.0,1.0
2019-06-20,10.72,10.945,10.71,10.87,10.6215,7407696,0.0,1.0
2019-06-21,10.93,11.06,10.845,11.02,10.7681,15210912,0.0,1.0
2019-06-24,11.05,11.19,10.79,11.14,10.8854,23175767,0.0,1.0
2019-06-25,11.22,11.5,11.15,11.46,11.198,12368227,0.0,1.0
2019-06-26,11.4,11.54,11.33,11.51,11.2469,9356126,0.0,1.0
2019-06-27,11.57,11.6,11.47,11.49,11.2274,5419324,0.0,1.0
2019-06-28,11.41,11.5,11.37,11.49,11.2274,7604545,0.0,1.0
2019-07-01,11.38,11.43,11.3,11.43,11.1687,7831894,0.0,1.0
2019-07-02,11.47,11.6,11.45,11.58,11.3153,6608736,0.0,1.0
2019-07-03,11.76,11.77,11.65,11.68,11.413,3013458,0.0,1.0
2019-07-05,11.58,11.65,11.55,11.61,11.3446,3565063,0.0,1.0
2019-07-08,11.48,11.51,11.35,11.44,11.1785,3031014,0.0,1.0
2019-07-09,11.28,11.28,10.94,11.02,10.7681,6699071,0.0,1.0
2019-07-10,11.03,11.11,10.94,10.96,10.7095,3642419,0.0,1.0
2019-07-11,10.94,11.08,10.87,11.08,10.8267,4404543,0.0,1.0
2019-07-12,11.1,11.16,10.99,11.15,10.8951,5162567,0.0,1.0
2019-07-15,11.0,11.08,10.9,11.08,10.8267,3025163,0.0,1.0
2019-07-16,11.09,11.09,10.82,10.9,10.6508,5764858,0.0,1.0
2019-07-17,10.93,11.23,10.89,11.18,10.9244,8203866,0.0,1.0
2019-07-18,11.17,11.37,10.88,11.28,11.0222,8345719,0.0,1.0
2019-07-19,11.33,11.41,11.24,11.27,11.0124,3358112,0.0,1.0
2019-07-22,11.07,11.07,10.66,10.74,10.4945,8515464,0.0,1.0
2019-07-23,10.8,10.88,10.76,10.86,10.6118,2969530,0.0,1.0
