,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,19.0,19.88,18.94,19.88,2.5715,40681,0.0,1.0
2000-01-19,19.81,19.91,19.38,19.5,2.5223,87793,0.0,1.0
2000-01-20,19.5,19.69,19.38,19.63,2.5391,34889,0.0,1.0
2000-01-21,19.5,19.56,19.44,19.56,2.5301,66993,0.0,1.0
2000-01-24,19.56,19.63,18.81,18.81,2.4331,27793,0.0,1.0
2000-01-25,18.63,18.63,18.19,18.5,2.393,36800,0.0,1.0
2000-01-26,18.63,19.0,18.44,19.0,2.4576,34089,0.0,1.0
2000-01-27,19.25,20.13,19.13,20.06,2.5947,80193,0.0,1.0
2000-01-28,20.0,20.44,19.75,20.44,2.6439,69600,0.0,1.0
2000-01-31,20.75,22.0,20.63,22.0,2.8457,64089,0.0,1.0
2000-02-01,22.0,22.13,19.75,19.75,2.5546,77481,0.0,1.0
2000-02-02,19.88,19.88,18.63,18.63,2.4098,124400,0.0,1.0
2000-02-03,18.63,18.69,18.06,18.31,2.3684,49689,0.0,1.0
2000-02-04,18.25,18.38,18.0,18.19,2.3529,23289,0.0,1.0
2000-02-07,18.19,18.19,17.81,17.94,2.3205,18400,0.0,1.0
2000-02-08,18.0,18.25,17.5,17.88,2.3128,94681,0.0,1.0
2000-02-09,17.94,17.94,17.19,17.5,2.2636,35200,0.0,1.0
2000-02-10,17.5,17.5,16.31,16.5,2.1343,64281,0.0,1.0
2000-02-11,16.5,17.94,16.5,17.94,2.3205,160089,0.0,1.0
2000-02-14,17.88,17.94,17.69,17.94,2.3205,22089,0.0,1.0
2000-02-15,18.0,18.19,17.81,17.94,2.3205,77689,0.0,1.0
2000-02-16,17.88,18.0,17.69,17.69,2.2882,44681,0.0,1.0
2000-02-17,17.63,18.0,17.63,17.94,2.3205,57081,0.0,1.0
2000-02-18,17.94,17.94,17.63,17.69,2.2882,17200,0.0,1.0
2000-02-22,17.69,18.13,17.31,18.13,2.3451,29200,0.0,1.0
2000-02-23,18.13,18.13,17.31,17.5,2.2636,52400,0.0,1.0
2000-02-24,17.44,17.44,17.13,17.13,2.2157,33881,0.0,1.0
