,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,39.5,40.0,38.13,38.44,33.1815,2728900,0.0,1.0
2000-01-19,39.0,39.38,38.5,39.0,33.6649,469400,0.0,1.0
2000-01-20,39.5,41.31,39.5,40.5,34.9597,1205200,0.0,1.0
2000-01-21,41.44,43.25,41.31,43.13,37.2299,2353300,0.0,1.0
2000-01-24,43.13,44.63,41.81,42.0,36.2545,2161100,0.0,1.0
2000-01-25,42.75,42.75,40.75,41.31,35.6589,788000,0.0,1.0
2000-01-26,41.31,42.25,39.5,39.75,34.3123,578600,0.0,1.0
2000-01-27,39.75,40.44,38.13,38.38,33.1297,975700,0.0,1.0
2000-01-28,38.75,39.38,37.25,37.81,32.6377,601300,0.0,1.0
2000-01-31,37.75,37.81,35.69,35.88,30.9717,617700,0.0,1.0
2000-02-01,36.0,38.88,34.31,38.75,33.4491,1191800,0.0,1.0
2000-02-02,39.0,39.75,38.44,39.5,34.0965,1714200,0.0,1.0
2000-02-03,39.5,40.38,38.5,40.0,34.5281,433200,0.0,1.0
2000-02-04,40.25,42.0,39.81,40.44,34.9079,754100,0.0,1.0
2000-02-07,39.25,39.31,38.0,38.63,33.3455,2011700,0.0,1.0
2000-02-08,38.75,42.13,38.75,42.0,36.2545,2194900,0.0,1.0
2000-02-09,42.5,42.5,41.22,41.88,36.1509,1885100,0.0,1.0
2000-02-10,41.88,44.75,41.75,43.94,37.9291,2589300,0.0,1.0
2000-02-11,44.5,45.0,44.06,44.25,38.1967,1212700,0.0,1.0
2000-02-14,44.44,44.88,43.81,44.88,38.7405,1778700,0.0,1.0
2000-02-15,45.0,47.25,45.0,45.63,39.3879,1119500,0.0,1.0
2000-02-16,45.88,46.75,45.0,46.0,39.7073,479400,0.0,1.0
2000-02-17,45.88,46.13,43.75,45.0,38.8441,1402200,0.0,1.0
2000-02-18,44.25,44.75,42.38,42.75,36.9019,749700,0.0,1.0
2000-02-22,43.25,43.31,40.13,41.0,35.3913,710700,0.0,1.0
2000-02-23,41.75,43.63,41.56,43.31,37.3853,992100,0.0,1.0
2000-02-24,43.56,45.63,42.63,43.0,37.1177,764300,0.0,1.0
2000-02-25,43.06,43.5,41.88,42.5,36.6861,709800,0.0,1.0
2000-02-28,42.5,45.75,41.06,45.19,39.0081,855700,0.0,1.0
2000-02-29,46.5,49.75,46.5,49.25,42.5127,1093600,0.0,1.0
2000-03-01,49.25,50.5,47.5,48.88,42.1933,1480500,0.0,1.0
2000-03-02,49.0,49.06,47.0,48.5,41.8653,1208600,0.0,1.0
2000-03-03,48.75,51.13,48.75,50.88,43.9197,1843200,0.0,1.0
2000-03-06,50.44,51.0,49.44,51.0,44.0233,1335100,0.0,1.0
2000-03-07,51.5,51.75,47.88,49.63,42.8407,1100300,0.0,1.0
2000-03-08,50.0,55.5,49.63,53.94,46.5611,2308000,0.0,1.0
2000-03-09,52.06,53.63,50.5,53.63,46.2936,3095000,0.0,1.0
2000-03-10,53.5,55.5,53.0,54.81,47.3121,1502800,0.0,1.0
2000-03-13,53.5,54.38,52.0,53.75,46.3971,466900,0.0,1.0
2000-03-14,54.06,54.31,48.25,49.5,42.7285,1008300,0.0,1.0
2000-03-15,49.31,49.31,43.75,44.63,38.5247,1186700,0.0,1.0
2000-03-16,46.0,46.13,41.13,45.0,38.8441,1505500,0.0,1.0
2000-03-17,45.5,51.88,45.5,50.75,43.8075,1159800,0.0,1.0
2000-03-20,52.88,52.88,47.38,48.0,41.4337,943700,0.0,1.0
2000-03-21,48.06,48.5,45.75,47.88,41.3301,889100,0.0,1.0
2000-03-22,48.13,53.0,48.13,53.0,45.7497,1099900,0.0,1.0
2000-03-23,53.13,53.75,50.5,52.19,45.0505,440900,0.0,1.0
2000-03-24,53.5,54.25,50.75,52.0,44.8865,1646100,0.0,1.0
2000-03-27,52.0,52.0,49.56,50.31,43.4277,550500,0.0,1.0
2000-03-28,50.5,51.5,49.5,50.94,43.9715,643400,0.0,1.0
2000-03-29,51.31,51.94,49.5,49.88,43.0565,487800,0.0,1.0
2000-03-30,49.75,50.0,48.25,50.0,43.1601,673700,0.0,1.0
2000-03-31,50.0,51.44,48.38,49.38,42.6249,529400,0.0,1.0
