,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,29.25,29.38,28.69,28.75,20.9217,1500900,0.0,1.0
2000-01-19,28.25,28.94,27.06,27.31,19.8738,2813500,0.0,1.0
2000-01-20,27.31,27.44,25.63,26.38,19.197,1381500,0.0,1.0
2000-01-21,26.75,26.75,25.06,25.56,18.6003,1159600,0.0,1.0
2000-01-24,25.75,26.19,23.94,24.25,17.647,1436500,0.0,1.0
2000-01-25,24.38,24.63,22.75,23.44,17.0576,2220700,0.0,1.0
2000-01-26,23.0,25.25,23.0,25.25,18.3747,2251400,0.0,1.0
2000-01-27,26.13,27.25,26.06,26.44,19.2407,2533300,0.0,1.0
2000-01-28,26.44,26.44,24.84,25.88,18.8332,1010200,0.0,1.0
2000-01-31,25.88,25.88,24.94,25.88,18.8332,648300,0.0,1.0
2000-02-01,26.13,26.75,25.88,26.31,19.1461,820300,0.0,1.0
2000-02-02,26.31,27.31,26.25,27.31,19.8738,1255700,0.0,1.0
2000-02-03,27.19,27.63,26.44,27.31,19.8738,1131600,0.0,1.0
2000-02-04,27.19,27.56,26.94,27.19,19.7865,656000,0.0,1.0
2000-02-07,27.06,27.69,27.0,27.63,20.1067,871300,0.0,1.0
2000-02-08,27.88,28.44,25.63,26.56,19.328,1039200,0.0,1.0
2000-02-09,26.38,26.44,24.25,24.44,17.7853,833900,0.0,1.0
2000-02-10,24.5,25.06,23.44,23.44,17.0576,1069400,0.0,1.0
2000-02-11,24.0,24.19,23.69,23.94,17.4214,1159600,0.0,1.0
2000-02-14,23.69,24.94,23.25,24.38,17.7416,1587800,0.0,1.0
2000-02-15,24.38,24.69,23.44,23.81,17.3268,1196500,0.0,1.0
2000-02-16,23.94,24.0,23.06,23.38,17.0139,813400,0.0,1.0
2000-02-17,23.5,23.5,23.0,23.13,16.832,1216200,0.0,1.0
2000-02-18,23.06,23.44,22.69,22.69,16.5118,1048400,0.0,1.0
2000-02-22,22.75,23.19,22.75,22.94,16.6937,1085100,0.0,1.0
2000-02-23,22.81,23.19,22.38,22.38,16.2862,1797600,0.0,1.0
2000-02-24,22.5,22.81,21.81,22.13,16.1042,1126000,0.0,1.0
2000-02-25,22.13,22.13,21.38,21.38,15.5585,1334800,0.0,1.0
2000-02-28,21.63,21.94,21.38,21.5,15.6458,769800,0.0,1.0
2000-02-29,21.38,21.44,20.69,21.06,15.3256,1226300,0.0,1.0
2000-03-01,21.0,23.38,20.94,23.06,16.781,1215600,0.0,1.0
2000-03-02,23.06,23.13,22.88,23.13,16.832,1178600,0.0,1.0
2000-03-03,23.38,24.38,23.06,23.81,17.3268,717900,0.0,1.0
2000-03-06,23.69,23.81,23.0,23.31,16.9629,570200,0.0,1.0
2000-03-07,23.19,23.19,22.38,22.38,16.2862,693400,0.0,1.0
2000-03-08,22.38,22.44,21.69,21.75,15.8277,873200,0.0,1.0
2000-03-09,21.88,22.25,21.63,21.75,15.8277,2129000,0.0,1.0
2000-03-10,22.25,22.25,21.56,21.56,15.6895,626300,0.0,1.0
2000-03-13,21.56,22.13,21.5,21.81,15.8714,968800,0.0,1.0
2000-03-14,21.88,22.06,21.56,21.75,15.8277,794300,0.0,1.0
2000-03-15,21.94,24.38,21.81,24.06,17.5087,1202300,0.0,1.0
2000-03-16,24.06,27.31,24.0,27.06,19.6919,1824700,0.0,1.0
2000-03-17,27.5,27.5,25.56,25.88,18.8332,1003800,0.0,1.0
2000-03-20,25.13,25.69,24.69,25.13,18.2874,842600,0.0,1.0
2000-03-21,24.5,26.69,24.5,26.69,19.4226,726000,0.0,1.0
2000-03-22,26.5,27.19,25.94,26.94,19.6045,694100,0.0,1.0
2000-03-23,27.19,29.38,26.44,29.0,21.1036,860300,0.0,1.0
2000-03-24,29.38,30.88,29.25,30.62,22.2825,2056700,0.0,1.0
2000-03-27,30.5,30.63,29.63,29.94,21.7877,1676100,0.0,1.0
2000-03-28,29.63,30.0,29.0,29.31,21.3292,782000,0.0,1.0
2000-03-29,29.56,29.63,28.88,29.31,21.3292,758500,0.0,1.0
2000-03-30,29.31,33.25,29.13,32.19,23.425,2210100,0.0,1.0
2000-03-31,32.13,32.69,31.69,32.25,23.4687,3130900,0.0,1.0
2000-04-03,32.25,32.31,30.75,31.56,22.9666,651800,0.0,1.0
2000-04-04,32.5,32.5,29.38,30.44,22.1515,786800,0.0,1.0
2000-04-05,30.69,31.13,29.81,30.0,21.8313,1149200,0.0,1.0
2000-04-06,30.5,30.75,30.0,30.13,21.9259,598200,0.0,1.0
2000-04-07,30.13,30.31,29.25,29.25,21.2856,705000,0.0,1.0
2000-04-10,29.31,29.31,27.94,28.25,20.5578,1273900,0.0,1.0
2000-04-11,28.25,28.63,28.13,28.31,20.6015,560500,0.0,1.0
2000-04-12,28.06,29.44,27.81,28.25,20.5578,1825700,0.0,1.0
2000-04-13,28.25,28.25,27.25,27.31,19.8738,697300,0.0,1.0
2000-04-14,27.31,27.31,25.5,25.69,18.6949,855600,0.0,1.0
2000-04-17,24.88,25.94,24.69,25.06,18.2364,1941800,0.0,1.0
2000-04-18,25.13,25.56,24.44,25.38,18.4693,1923300,0.0,1.0
2000-04-19,25.63,26.31,25.38,25.5,18.5566,767400,0.0,1.0
2000-04-20,25.5,26.38,25.19,26.13,19.0151,779700,0.0,1.0
2000-04-24,25.81,27.0,25.69,26.63,19.3789,697300,0.0,1.0
2000-04-25,26.63,28.06,26.13,27.81,20.2376,1479500,0.0,1.0
2000-04-26,27.81,27.94,26.75,27.06,19.6919,1226300,0.0,1.0
2000-04-27,26.81,26.88,25.63,26.19,19.0588,813600,0.0,1.0
2000-04-28,26.19,27.25,25.75,27.06,19.6919,1238600,0.0,1.0
2000-05-01,27.13,29.88,26.94,28.63,20.8344,1008900,0.0,1.0
2000-05-02,28.5,28.5,27.0,28.13,20.4705,910300,0.0,1.0
2000-05-03,27.94,28.25,26.0,26.25,19.1024,586100,0.0,1.0
2000-05-04,26.5,30.13,26.5,29.38,21.3802,1557000,0.0,1.0
2000-05-05,29.0,29.94,28.69,29.56,21.5111,725400,0.0,1.0
2000-05-08,29.38,30.94,29.25,30.31,22.0569,575200,0.0,1.0
2000-05-09,30.31,31.25,30.31,30.88,22.4717,937800,0.0,1.0
2000-05-10,30.94,32.25,30.94,31.75,23.1048,1255600,0.0,1.0
2000-05-11,31.81,32.69,31.44,31.88,23.1994,688800,0.0,1.0
2000-05-12,31.75,33.0,31.75,32.56,23.6943,758200,0.0,1.0
2000-05-15,32.56,34.44,32.38,34.13,24.8368,743000,0.0,1.0
2000-05-16,34.5,34.81,33.56,34.31,24.9678,664300,0.0,1.0
2000-05-17,34.06,34.06,32.63,33.0,24.0145,786600,0.0,1.0
2000-05-18,33.0,33.94,33.0,33.56,24.422,661100,0.0,1.0
2000-05-19,33.13,33.31,32.0,33.0,24.0145,857700,0.0,1.0
2000-05-22,33.0,34.0,33.0,33.75,24.5603,589600,0.0,1.0
2000-05-23,33.69,34.06,33.0,33.81,24.6039,496300,0.0,1.0
2000-05-24,33.0,35.0,33.0,34.94,25.4262,1083400,0.0,1.0
2000-05-25,35.0,35.81,34.75,34.94,25.4262,805500,0.0,1.0
2000-05-26,35.0,35.25,34.88,35.0,25.4699,435300,0.0,1.0
2000-05-30,34.88,35.81,34.88,35.75,26.0157,335800,0.0,1.0
2000-05-31,35.13,35.75,35.13,35.5,25.8337,565700,0.0,1.0
2000-06-01,35.0,35.88,34.75,35.38,25.7464,633000,0.0,1.0
2000-06-02,35.25,36.94,35.13,36.56,26.6051,621400,0.0,1.0
2000-06-05,36.44,36.69,34.81,35.13,25.5645,507700,0.0,1.0
2000-06-06,34.88,35.19,34.88,35.0,25.4699,1196900,0.0,1.0
2000-06-07,35.06,36.44,34.94,35.69,25.972,380100,0.0,1.0
2000-06-08,35.44,35.44,34.5,34.81,25.3316,331600,0.0,1.0
2000-06-09,35.06,35.88,35.06,35.63,25.9284,632700,0.0,1.0
2000-06-12,35.75,36.38,35.25,35.44,25.7901,487700,0.0,1.0
2000-06-13,35.44,36.38,35.31,36.31,26.4232,965400,0.0,1.0
2000-06-14,36.31,36.75,36.06,36.44,26.5178,679700,0.0,1.0
2000-06-15,36.44,36.63,35.63,36.0,26.1976,1051600,0.0,1.0
2000-06-16,36.0,36.19,35.75,35.81,26.0593,767200,0.0,1.0
2000-06-19,35.56,35.75,35.0,35.0,25.4699,656200,0.0,1.0
2000-06-20,35.0,35.13,34.63,34.63,25.2006,251300,0.0,1.0
2000-06-21,34.63,34.69,32.75,32.88,23.9271,962900,0.0,1.0
2000-06-22,32.88,32.88,31.31,31.94,23.2431,1851000,0.0,1.0
2000-06-23,32.19,32.81,32.0,32.25,23.4687,740600,0.0,1.0
2000-06-26,32.38,33.06,32.06,32.19,23.425,602300,0.0,1.0
2000-06-27,32.75,33.19,32.25,32.5,23.6506,432300,0.0,1.0
2000-06-28,32.63,33.94,32.5,32.59,23.7161,748600,0.0,1.0
2000-06-29,32.25,32.69,31.38,32.38,23.5633,743600,0.0,1.0
2000-06-30,32.38,32.44,30.5,31.06,22.6027,714000,0.0,1.0
2000-07-03,31.13,31.56,31.06,31.44,22.8792,491600,0.0,1.0
2000-07-05,31.25,32.0,31.19,31.31,22.7846,806900,0.0,1.0
2000-07-06,31.31,31.63,31.0,31.38,22.8356,496100,0.0,1.0
2000-07-07,31.38,31.63,30.94,31.31,22.7846,709100,0.0,1.0
2000-07-10,31.44,31.44,30.94,31.19,22.6973,427500,0.0,1.0
2000-07-11,31.19,31.56,31.0,31.56,22.9666,479400,0.0,1.0
2000-07-12,31.5,32.75,31.5,32.31,23.5123,704500,0.0,1.0
2000-07-13,32.44,32.81,32.19,32.38,23.5633,784300,0.0,1.0
2000-07-14,32.63,32.88,32.0,32.38,23.5633,582000,0.0,1.0
2000-07-17,32.13,32.13,29.5,29.94,21.7877,1492400,0.0,1.0
2000-07-18,30.13,30.13,29.0,29.81,21.6931,894400,0.0,1.0
2000-07-19,29.81,30.75,29.75,30.31,22.0569,575800,0.0,1.0
2000-07-20,30.06,31.06,29.88,30.63,22.2898,391200,0.0,1.0
2000-07-21,30.81,31.0,29.81,30.5,22.1952,422300,0.0,1.0
2000-07-24,30.13,30.13,29.44,29.69,21.6057,434500,0.0,1.0
2000-07-25,29.69,32.75,29.69,32.5,23.6506,1248900,0.0,1.0
2000-07-26,35.75,36.44,34.88,35.44,25.7901,2981000,0.0,1.0
2000-07-27,35.5,36.5,35.44,36.19,26.3359,1083900,0.0,1.0
2000-07-28,35.94,35.94,34.31,35.09,25.5354,1176000,0.0,1.0
2000-07-31,35.75,36.63,35.63,36.0,26.1976,1209100,0.0,1.0
2000-08-01,35.88,35.88,34.5,35.19,25.6082,1026200,0.0,1.0
2000-08-02,36.0,37.5,35.88,37.0,26.9253,2556100,0.0,1.0
2000-08-03,36.75,38.31,36.75,38.31,27.8786,1248400,0.0,1.0
2000-08-04,38.75,39.63,38.5,39.0,28.3807,1258500,0.0,1.0
2000-08-07,38.81,39.13,38.31,39.06,28.4244,503500,0.0,1.0
2000-08-08,38.81,39.13,37.75,38.81,28.2425,1209700,0.0,1.0
2000-08-09,38.56,38.63,37.19,37.63,27.3838,1207500,0.0,1.0
2000-08-10,37.38,37.38,36.13,36.63,26.6561,751800,0.0,1.0
2000-08-11,36.81,38.44,36.75,37.75,27.4711,1214600,0.0,1.0
2000-08-14,37.5,38.38,37.0,38.06,27.6967,551200,0.0,1.0
2000-08-15,38.25,38.25,36.81,37.69,27.4274,741300,0.0,1.0
2000-08-16,37.56,37.94,36.81,37.0,26.9253,476600,0.0,1.0
