,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,21.75,21.75,21.5,21.56,2.5272,7500,0.0,1.0
2000-01-19,22.0,22.0,21.62,21.94,2.5718,24300,0.0,1.0
2000-01-20,22.06,22.06,21.38,21.56,2.5272,36400,0.0,1.0
2000-01-21,21.5,22.31,21.25,22.31,2.6151,143200,0.0,1.0
2000-01-24,22.44,23.12,22.37,22.5,2.6374,45000,0.0,1.0
2000-01-25,22.25,22.25,21.31,21.38,2.5061,62800,0.0,1.0
2000-01-26,21.38,21.38,20.94,20.94,2.4545,35200,0.0,1.0
2000-01-27,20.81,20.81,20.25,20.31,2.3901,55900,0.08,1.0
2000-01-28,20.31,20.56,19.88,19.88,2.3395,48100,0.0,1.0
2000-01-31,19.88,20.25,19.69,19.75,2.3242,67000,0.0,1.0
2000-02-01,19.69,19.69,19.37,19.44,2.2877,42000,0.0,1.0
2000-02-02,19.56,19.69,19.44,19.63,2.3101,42900,0.0,1.0
2000-02-03,19.75,19.75,18.88,18.94,2.2289,49300,0.0,1.0
2000-02-04,18.81,19.12,18.44,18.88,2.2218,85200,0.0,1.0
2000-02-07,19.31,19.31,18.75,19.12,2.25,100600,0.0,1.0
2000-02-08,19.12,19.19,18.0,18.06,2.1253,128800,0.0,1.0
2000-02-09,18.0,18.0,17.44,17.75,2.0888,55600,0.0,1.0
2000-02-10,17.94,17.94,17.31,17.56,2.0665,51900,0.0,1.0
2000-02-11,17.44,17.81,17.44,17.56,2.0665,47400,0.0,1.0
2000-02-14,17.5,17.5,17.19,17.31,2.037,18400,0.0,1.0
2000-02-15,17.25,17.25,16.69,17.19,2.0229,78000,0.0,1.0
2000-02-16,17.19,17.19,16.88,17.19,2.0229,43800,0.0,1.0
2000-02-17,17.38,17.94,17.38,17.38,2.0453,68100,0.0,1.0
2000-02-18,17.44,17.44,17.0,17.12,2.0147,26500,0.0,1.0
2000-02-22,17.38,17.56,17.19,17.5,2.0594,45900,0.0,1.0
2000-02-23,17.5,17.75,17.44,17.62,2.0735,108000,0.0,1.0
2000-02-24,17.62,17.75,17.38,17.69,2.0818,87900,0.0,1.0
2000-02-25,17.87,18.0,17.56,17.62,2.0735,56700,0.0,1.0
2000-02-28,17.75,17.75,17.31,17.56,2.0665,25300,0.0,1.0
2000-02-29,17.5,17.87,17.25,17.25,2.03,36900,0.0,1.0
2000-03-01,17.25,17.31,16.69,16.69,1.9641,75000,0.0,1.0
2000-03-02,16.69,16.75,15.88,16.37,1.9264,160000,0.0,1.0
2000-03-03,16.5,16.5,16.19,16.37,1.9264,65500,0.0,1.0
2000-03-06,16.25,16.31,16.19,16.25,1.9123,32800,0.0,1.0
2000-03-07,16.25,16.25,16.0,16.06,1.8899,24000,0.0,1.0
2000-03-08,16.31,16.37,15.5,16.37,1.9264,95400,0.0,1.0
2000-03-09,16.31,16.31,15.75,16.0,1.8829,57300,0.0,1.0
2000-03-10,15.88,16.0,15.75,15.94,1.8758,42300,0.0,1.0
2000-03-13,16.12,16.12,15.88,15.88,1.8688,46300,0.0,1.0
2000-03-14,16.0,16.12,15.0,15.0,1.7652,121500,0.0,1.0
2000-03-15,15.62,15.69,14.94,15.25,1.7946,134200,0.0,1.0
2000-03-16,16.12,16.5,16.12,16.37,1.9264,127200,0.0,1.0
2000-03-17,16.25,16.5,16.19,16.31,1.9194,105900,0.0,1.0
2000-03-20,16.5,17.0,16.5,16.81,1.9782,26800,0.0,1.0
2000-03-21,16.88,17.12,16.69,17.12,2.0147,37200,0.0,1.0
2000-03-22,17.25,17.75,17.19,17.25,2.03,89400,0.0,1.0
2000-03-23,17.31,17.38,16.88,17.31,2.037,42300,0.0,1.0
2000-03-24,17.25,17.25,16.88,17.12,2.0147,78900,0.0,1.0
2000-03-27,17.0,17.19,17.0,17.19,2.0229,29500,0.0,1.0
2000-03-28,17.38,17.56,17.25,17.25,2.03,36600,0.0,1.0
2000-03-29,17.25,17.38,17.12,17.31,2.037,53100,0.0,1.0
2000-03-30,17.25,18.0,17.25,17.75,2.0888,42600,0.0,1.0
2000-03-31,17.94,18.13,17.94,18.0,2.1182,56500,0.0,1.0
2000-04-03,18.19,18.56,18.13,18.38,2.163,39400,0.0,1.0
2000-04-04,18.38,18.62,18.06,18.13,2.1335,76800,0.0,1.0
2000-04-05,18.19,18.19,17.81,18.0,2.1182,35800,0.0,1.0
2000-04-06,18.0,18.69,17.94,18.06,2.1253,46500,0.0,1.0
2000-04-07,18.13,18.62,18.13,18.62,2.1912,18600,0.0,1.0
2000-04-10,18.56,18.69,18.44,18.5,2.1771,30100,0.0,1.0
2000-04-11,18.44,18.56,18.25,18.5,2.1771,19200,0.0,1.0
2000-04-12,18.38,18.94,18.38,18.5,2.1771,39900,0.0,1.0
2000-04-13,18.44,19.12,18.38,19.12,2.25,72700,0.0,1.0
2000-04-14,19.25,20.87,19.19,20.62,2.4266,132900,0.0,1.0
2000-04-17,20.5,20.75,20.12,20.5,2.4124,73900,0.0,1.0
2000-04-18,20.31,20.31,19.06,19.06,2.243,109800,0.0,1.0
2000-04-19,18.88,19.06,18.25,18.44,2.17,72400,0.0,1.0
2000-04-20,18.44,19.25,18.25,19.25,2.2653,52000,0.0,1.0
2000-04-24,19.44,19.5,18.25,18.25,2.1477,51300,0.0,1.0
2000-04-25,18.5,19.19,18.44,19.12,2.25,30300,0.0,1.0
2000-04-26,18.94,20.06,18.94,20.06,2.3701,47500,0.08,1.0
2000-04-27,20.0,20.25,19.88,20.0,2.363,32700,0.0,1.0
