,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,36.75,39.5,36.25,38.88,13.2852,1645600,0.0,1.0
2000-01-19,39.75,39.75,38.56,38.63,13.1998,1114700,0.0,1.0
2000-01-20,39.5,39.5,38.31,38.88,13.2852,1122800,0.0,1.0
2000-01-21,39.63,41.88,39.19,40.25,13.7534,1564700,0.0,1.0
2000-01-24,40.25,40.88,38.0,39.19,13.3912,1125500,0.0,1.0
2000-01-25,39.75,40.25,39.25,39.63,13.5415,1048800,0.0,1.0
2000-01-26,40.25,40.25,39.13,39.19,13.3912,726400,0.0,1.0
2000-01-27,39.0,39.25,37.31,37.38,12.7727,842600,0.0,1.0
2000-01-28,37.0,37.88,36.81,37.13,12.6873,649200,0.0,1.0
2000-01-31,37.38,37.38,35.75,36.5,12.472,1458000,0.0,1.0
2000-02-01,36.5,38.25,36.25,37.94,12.964,1017900,0.0,1.0
2000-02-02,37.94,38.63,37.88,37.88,12.9435,865000,0.0,1.0
2000-02-03,39.0,39.0,38.0,38.06,13.005,510000,0.0,1.0
2000-02-04,39.0,39.63,36.88,37.0,12.6428,699000,0.0,1.0
2000-02-07,36.88,38.38,36.63,38.25,13.07,668300,0.0,1.0
2000-02-08,38.0,38.75,36.5,36.94,12.6223,655800,0.0,1.0
2000-02-09,36.69,36.69,35.0,35.06,11.9799,1091900,0.0,1.0
2000-02-10,36.0,37.5,35.56,36.63,12.5164,785000,0.0,1.0
2000-02-11,37.0,37.25,35.69,35.75,12.2157,249200,0.0,1.0
2000-02-14,35.63,38.38,35.5,37.75,12.8991,830100,0.0,1.0
2000-02-15,38.63,40.13,38.56,40.0,13.6679,926400,0.0,1.0
2000-02-16,40.06,40.94,39.94,40.13,13.7124,1110500,0.0,1.0
2000-02-17,40.5,40.88,38.63,39.38,13.4561,941300,0.0,1.0
2000-02-18,39.13,39.19,37.38,37.38,12.7727,642400,0.0,1.0
2000-02-22,37.69,37.69,36.44,36.5,12.472,740700,0.0,1.0
2000-02-23,36.75,36.75,35.44,35.56,12.1508,790700,0.0,1.0
2000-02-24,35.56,35.63,33.0,33.5,11.4469,2080800,0.0,1.0
2000-02-25,33.75,33.75,32.13,32.69,11.1701,1429900,0.0,1.0
2000-02-28,32.75,34.25,32.69,34.25,11.7032,1702600,0.0,1.0
2000-02-29,34.06,36.56,34.06,36.5,12.472,1389800,0.0,1.0
2000-03-01,36.75,36.75,34.25,35.88,12.2601,2152400,0.0,1.0
2000-03-02,36.0,37.88,35.94,37.69,12.8786,2607200,0.0,1.0
2000-03-03,39.0,39.0,36.69,38.0,12.9845,1340900,0.0,1.0
2000-03-06,37.75,40.88,37.69,39.13,13.3707,1624200,0.0,1.0
2000-03-07,40.0,43.5,39.75,42.94,14.6725,2458100,0.0,1.0
2000-03-08,43.5,43.63,41.94,42.31,14.4573,1969600,0.0,1.0
2000-03-09,42.38,42.5,40.5,41.5,14.1805,1028300,0.0,1.0
2000-03-10,41.63,43.94,40.31,40.75,13.9242,1457000,0.0,1.0
2000-03-13,40.13,42.88,39.75,41.19,14.0746,839700,0.0,1.0
2000-03-14,41.0,41.56,40.0,41.31,14.1156,748600,0.0,1.0
2000-03-15,41.56,41.56,39.56,40.25,13.7534,448600,0.0,1.0
2000-03-16,39.5,43.94,39.5,42.31,14.4573,1320100,0.0,1.0
2000-03-17,43.13,43.13,41.06,41.13,14.0541,782700,0.0,1.0
2000-03-20,41.75,41.75,40.13,40.5,13.8388,652900,0.0,1.0
2000-03-21,40.75,42.25,40.75,41.56,14.201,755500,0.0,1.0
2000-03-22,41.38,43.38,41.31,43.25,14.7785,1223200,0.0,1.0
2000-03-23,42.63,43.0,42.06,42.69,14.5871,1061700,0.0,1.0
2000-03-24,42.69,43.31,42.38,42.69,14.5871,757100,0.0,1.0
2000-03-27,42.81,42.88,40.5,42.63,14.5666,924700,0.0,1.0
2000-03-28,43.0,45.0,42.81,44.31,15.1407,975000,0.0,1.0
2000-03-29,43.25,47.81,43.25,47.75,16.3369,2496200,0.061,1.0
2000-03-30,49.13,51.5,48.5,49.5,16.9357,3131300,0.0,1.0
