,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,78.81,81.0,78.38,78.75,4.5246,320200,0.0,1.0
2000-01-19,78.5,80.0,76.63,78.0,4.4815,239800,0.0,1.0
2000-01-20,79.25,80.88,77.5,77.56,4.4562,195400,0.0,1.0
2000-01-21,77.56,78.0,74.5,74.56,4.2839,147600,0.0,1.0
2000-01-24,74.81,77.25,73.0,74.0,4.2517,187600,0.0,1.0
2000-01-25,74.0,74.0,71.13,71.94,4.1333,101600,0.0,1.0
2000-01-26,71.94,73.56,70.0,73.0,4.1942,168000,0.0,1.0
2000-01-27,73.25,74.44,71.69,71.94,4.1333,137600,0.0,1.0
2000-01-28,71.94,72.56,68.38,68.56,3.9391,69000,0.0,1.0
2000-01-31,68.56,69.5,66.81,67.88,3.9001,168000,0.0,1.0
2000-02-01,67.88,68.19,66.88,67.44,3.8748,101600,0.0,1.0
2000-02-02,67.44,70.5,67.44,68.88,3.9575,88800,0.0,1.0
2000-02-03,69.5,69.69,68.94,69.19,3.9753,90600,0.0,1.0
2000-02-04,70.19,70.19,69.38,70.19,4.0328,57800,0.0,1.0
2000-02-07,69.5,70.06,68.75,69.06,3.9678,50800,0.0,1.0
2000-02-08,69.75,71.5,69.75,69.75,4.0075,129000,0.0,1.0
2000-02-09,69.81,69.81,67.5,67.69,3.8891,72800,0.0,1.0
2000-02-10,67.88,68.0,66.31,66.69,3.8317,58200,0.0,1.0
2000-02-11,66.75,67.38,65.5,66.25,3.8064,86000,0.0,1.0
2000-02-14,66.25,82.0,65.94,81.94,4.7079,1514000,0.0,1.0
2000-02-15,81.75,81.75,73.63,75.13,4.3166,510400,0.0,1.0
2000-02-16,75.19,78.38,75.19,78.0,4.4815,307600,0.0,1.0
2000-02-17,77.13,77.38,75.13,75.81,4.3557,126800,0.0,1.0
2000-02-18,75.94,76.0,71.88,72.69,4.1764,133200,0.0,1.0
2000-02-22,71.69,72.0,69.19,71.31,4.0971,188600,0.0,1.0
2000-02-23,71.81,72.75,68.5,72.5,4.1655,181800,0.0,1.0
2000-02-24,72.75,74.75,72.63,73.94,4.2482,155600,0.0,1.0
2000-02-25,74.0,76.63,73.44,73.94,4.2482,228800,0.0,1.0
2000-02-28,74.25,75.0,73.06,75.0,4.3091,245600,0.0,1.0
2000-02-29,75.0,81.25,75.0,79.94,4.593,251000,0.0,1.0
2000-03-01,80.0,85.5,79.56,85.5,4.9124,262200,0.0,1.0
2000-03-02,85.25,85.25,81.38,82.25,4.7257,231400,0.0,1.0
2000-03-03,83.0,84.5,82.0,82.06,4.7148,91800,0.0,1.0
2000-03-06,82.13,83.88,81.63,82.5,4.74,226600,0.0,1.0
2000-03-07,82.5,83.13,78.0,78.56,4.5137,96200,0.0,1.0
2000-03-08,77.5,78.06,73.38,76.13,4.3741,183000,0.0,1.0
2000-03-09,75.88,77.25,75.25,76.88,4.4171,77800,0.0,1.0
2000-03-10,84.75,88.0,83.63,86.13,4.9486,801000,0.0,1.0
2000-03-13,83.75,85.25,82.38,83.25,4.7831,188400,0.0,1.0
2000-03-14,83.88,85.5,80.31,80.75,4.6395,160600,0.0,1.0
2000-03-15,86.0,89.94,83.25,86.13,4.9486,770200,0.0,1.0
2000-03-16,86.63,88.75,85.19,88.38,5.0779,205200,0.0,1.0
2000-03-17,87.75,95.0,87.0,94.94,5.4548,428000,0.0,1.0
2000-03-20,94.94,95.5,92.75,93.06,5.3468,285000,0.0,1.0
2000-03-21,92.81,94.0,91.31,92.75,5.329,248200,0.0,1.0
2000-03-22,93.0,94.5,93.0,93.81,5.3899,91600,0.0,1.0
2000-03-23,94.0,98.38,94.0,98.13,5.6381,164000,0.0,1.0
2000-03-24,97.88,103.75,96.5,96.5,5.5444,209400,0.0,1.0
2000-03-27,95.5,104.3,95.13,103.3,5.9351,294800,0.0,1.0
2000-03-28,103.1,103.1,99.13,99.88,5.7386,161000,0.0,1.0
2000-03-29,100.8,102.6,96.25,96.38,5.5375,199600,0.0,1.0
2000-03-30,96.25,97.56,95.38,96.38,5.5375,272600,0.0,1.0
2000-03-31,97.25,102.7,96.81,102.3,5.8777,285600,0.0,1.0
2000-04-03,101.8,101.8,100.3,100.7,5.7857,264000,0.0,1.0
2000-04-04,100.1,102.0,90.5,101.0,5.803,411400,0.0,1.0
2000-04-05,100.8,104.0,99.63,104.0,5.9753,198400,0.0,1.0
