,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,30.31,30.38,30.0,30.38,14.9021,101800,0.0,1.0
2000-01-19,30.63,30.63,30.19,30.25,14.8383,26800,0.0,1.0
2000-01-20,30.13,30.38,30.13,30.25,14.8383,14300,0.0,1.0
2000-01-21,30.13,30.19,30.06,30.13,14.7794,7600,0.0,1.0
2000-01-24,30.19,30.25,30.0,30.0,14.7157,18600,0.0,1.0
2000-01-25,30.0,30.0,29.88,29.94,14.6862,11600,0.0,1.0
2000-01-26,29.88,30.25,29.63,29.69,14.5636,33700,0.0,1.0
2000-01-27,29.75,30.19,29.56,30.06,14.7451,22400,0.0,1.0
2000-01-28,30.13,30.19,29.5,29.56,14.4998,7900,0.0,1.0
2000-01-31,29.63,29.69,29.5,29.5,14.4704,14300,0.0,1.0
2000-02-01,29.56,29.75,29.56,29.75,14.593,6600,0.0,1.0
2000-02-02,29.81,29.94,29.75,29.81,14.6225,8100,0.0,1.0
2000-02-03,29.88,29.88,29.5,29.5,14.4704,33100,0.0,1.0
2000-02-04,29.69,29.69,29.5,29.56,14.4998,3600,0.0,1.0
2000-02-07,29.56,29.56,29.44,29.44,14.441,67000,0.0,1.0
2000-02-08,29.44,29.44,29.13,29.19,14.3183,7300,0.0,1.0
2000-02-09,29.0,29.13,29.0,29.13,14.2889,26600,0.0,1.0
2000-02-10,29.19,29.38,29.19,29.25,14.3478,6600,0.0,1.0
2000-02-11,29.19,29.44,29.0,29.13,14.2889,28300,0.0,1.0
2000-02-14,29.25,29.63,29.19,29.63,14.5342,9300,0.0,1.0
2000-02-15,29.75,29.88,29.63,29.69,14.5636,34300,0.0,1.0
2000-02-16,29.31,29.38,29.0,29.19,14.3183,165300,0.0,1.0
2000-02-17,29.19,29.5,29.13,29.31,14.3772,38900,0.0,1.0
2000-02-18,29.88,30.19,29.69,29.81,14.6225,59500,0.0,1.0
2000-02-22,29.81,29.81,29.5,29.75,14.593,33100,0.0,1.0
2000-02-23,29.69,29.88,29.44,29.88,14.6568,25400,0.0,1.0
2000-02-24,29.88,29.88,29.44,29.5,14.4704,26800,0.0,1.0
2000-02-25,29.69,29.75,29.31,29.38,14.4115,13600,0.0,1.0
2000-02-28,29.38,29.88,29.38,29.75,14.593,37100,0.0,1.0
2000-02-29,30.25,30.63,30.19,30.56,14.9904,113700,0.0,1.0
2000-03-01,30.44,30.69,30.0,30.63,15.0247,52200,0.0,1.0
2000-03-02,30.38,30.38,29.88,30.0,14.7157,58000,0.0,1.0
2000-03-03,29.88,30.31,29.88,30.19,14.8089,56300,0.0,1.0
2000-03-06,30.19,30.19,29.88,30.06,14.7451,13300,0.0,1.0
2000-03-07,30.06,30.06,29.63,29.63,14.5342,89700,0.0,1.0
2000-03-08,29.63,30.06,29.63,30.06,14.7451,20800,0.0,1.0
2000-03-09,30.0,30.44,30.0,30.38,14.9021,15400,0.0,1.0
2000-03-10,30.25,30.25,29.88,30.13,14.7794,26600,0.0,1.0
2000-03-13,30.19,30.25,30.06,30.19,14.8089,86500,0.0,1.0
2000-03-14,30.25,30.81,30.25,30.63,15.0247,37800,0.0,1.0
2000-03-15,30.63,31.0,30.5,30.75,15.0836,26200,0.0,1.0
2000-03-16,30.94,30.94,30.69,30.88,15.1473,26300,0.0,1.0
2000-03-17,30.75,30.94,30.69,30.75,15.0836,45300,0.0,1.0
2000-03-20,30.69,30.88,30.63,30.81,15.113,7000,0.0,1.0
2000-03-21,30.81,30.88,30.56,30.88,15.1473,53800,0.0,1.0
2000-03-22,30.81,31.13,30.81,31.13,15.27,18400,0.0,1.0
2000-03-23,31.13,31.63,31.0,31.56,15.4809,16300,0.0,1.0
2000-03-24,31.5,31.81,31.5,31.63,15.5152,15800,0.0,1.0
2000-03-27,31.69,32.0,31.69,31.88,15.6379,21500,0.0,1.0
2000-03-28,31.75,31.75,31.25,31.25,15.3288,23900,0.0,1.0
2000-03-29,31.38,31.44,30.94,30.94,15.1768,18000,0.0,1.0
2000-03-30,31.06,31.06,30.5,30.75,15.0836,46800,0.0,1.0
2000-03-31,30.31,30.44,30.0,30.0,14.9266,45800,0.43,1.0
2000-04-03,30.25,30.25,30.06,30.25,15.051,10000,0.0,1.0
2000-04-04,30.19,30.63,30.19,30.63,15.2401,9300,0.0,1.0
2000-04-05,30.31,30.38,30.0,30.31,15.0808,155200,0.0,1.0
2000-04-06,30.44,30.81,30.44,30.81,15.3296,21700,0.0,1.0
2000-04-07,30.94,31.06,30.94,31.06,15.454,23600,0.0,1.0
2000-04-10,31.06,31.5,31.0,31.5,15.6729,54800,0.0,1.0
2000-04-11,31.5,31.56,31.44,31.5,15.6729,17300,0.0,1.0
2000-04-12,31.38,31.88,31.31,31.75,15.7973,37500,0.0,1.0
2000-04-13,32.0,32.13,31.81,32.0,15.9217,55300,0.0,1.0
2000-04-14,32.06,32.06,31.75,32.0,15.9217,67900,0.0,1.0
2000-04-17,32.13,32.13,31.88,32.0,15.9217,59200,0.0,1.0
2000-04-18,32.06,32.06,31.56,31.88,15.862,34700,0.0,1.0
2000-04-19,31.88,31.94,31.81,31.94,15.8918,12100,0.0,1.0
2000-04-20,31.94,32.0,31.88,31.94,15.8918,8700,0.0,1.0
2000-04-24,31.94,31.94,31.81,31.94,15.8918,5600,0.0,1.0
2000-04-25,32.0,32.0,31.75,31.88,15.862,5600,0.0,1.0
2000-04-26,31.94,32.0,31.44,31.63,15.7376,18900,0.0,1.0
2000-04-27,31.63,32.0,31.63,31.94,15.8918,19800,0.0,1.0
2000-04-28,32.0,32.0,31.75,32.0,15.9217,26900,0.0,1.0
2000-05-01,32.13,32.38,32.0,32.38,16.1108,84300,0.0,1.0
2000-05-02,32.5,33.25,32.5,33.25,16.5436,85700,0.0,1.0
2000-05-03,33.25,33.31,32.69,32.69,16.265,41400,0.0,1.0
2000-05-04,32.75,32.88,32.38,32.75,16.2949,22800,0.0,1.0
2000-05-05,32.75,33.19,32.75,33.19,16.5138,54300,0.0,1.0
2000-05-08,33.25,33.25,32.94,32.94,16.3894,11900,0.0,1.0
2000-05-09,32.94,33.5,32.94,33.5,16.668,32100,0.0,1.0
2000-05-10,33.5,33.5,33.06,33.5,16.668,17400,0.0,1.0
2000-05-11,33.44,34.06,33.44,34.06,16.9467,59400,0.0,1.0
2000-05-12,33.13,33.88,33.06,33.69,16.7626,95400,0.0,1.0
2000-05-15,33.94,34.5,33.88,34.5,17.1656,77200,0.0,1.0
2000-05-16,34.5,34.56,34.38,34.5,17.1656,37000,0.0,1.0
2000-05-17,34.5,34.56,34.44,34.56,17.1954,73500,0.0,1.0
2000-05-18,34.81,34.81,34.5,34.56,17.1954,33200,0.0,1.0
2000-05-19,34.5,34.63,34.38,34.56,17.1954,36500,0.0,1.0
2000-05-22,34.56,34.56,34.0,34.56,17.1954,75100,0.0,1.0
2000-05-23,34.56,34.56,34.13,34.13,16.9815,44700,0.0,1.0
2000-05-24,34.25,34.25,33.38,33.5,16.668,22100,0.0,1.0
2000-05-25,33.56,33.56,33.5,33.5,16.668,37000,0.0,1.0
2000-05-26,33.5,33.56,33.19,33.56,16.6979,44900,0.0,1.0
2000-05-30,33.56,34.0,33.5,34.0,16.9168,26600,0.0,1.0
2000-05-31,34.0,34.13,34.0,34.0,16.9168,43700,0.0,1.0
2000-06-01,33.81,33.88,33.0,33.0,16.4193,38900,0.0,1.0
2000-06-02,33.13,33.38,32.94,33.38,16.6083,19400,0.0,1.0
2000-06-05,33.31,33.56,33.31,33.56,16.6979,12800,0.0,1.0
2000-06-06,33.56,34.25,33.56,34.25,17.0412,28000,0.0,1.0
2000-06-07,34.19,34.25,33.75,33.88,16.8571,21500,0.0,1.0
2000-06-08,33.94,34.31,33.75,34.13,16.9815,47400,0.0,1.0
2000-06-09,34.0,34.13,34.0,34.13,16.9815,46000,0.0,1.0
2000-06-12,34.0,34.31,34.0,34.25,17.0412,12600,0.0,1.0
2000-06-13,34.19,34.25,33.88,34.25,17.0412,29800,0.0,1.0
2000-06-14,34.38,34.44,34.0,34.31,17.071,18000,0.0,1.0
2000-06-15,34.38,34.44,33.69,34.44,17.1357,17300,0.0,1.0
2000-06-16,34.44,34.44,33.63,33.94,16.887,34700,0.0,1.0
2000-06-19,34.06,34.25,34.0,34.25,17.0412,27600,0.0,1.0
2000-06-20,34.25,34.44,34.25,34.44,17.1357,11000,0.0,1.0
2000-06-21,34.5,34.75,34.5,34.56,17.1954,16600,0.0,1.0
2000-06-22,34.56,34.88,34.56,34.63,17.2303,34100,0.0,1.0
2000-06-23,34.69,34.69,34.44,34.5,17.1656,13500,0.0,1.0
2000-06-26,34.5,34.5,33.88,34.25,17.0412,62600,0.0,1.0
2000-06-27,34.38,34.75,34.25,34.56,17.1954,17900,0.0,1.0
2000-06-28,34.63,34.81,34.63,34.81,17.3198,600,0.0,1.0
2000-06-29,34.69,34.81,34.5,34.5,17.1656,87100,0.0,1.0
2000-06-30,34.19,34.5,34.0,34.3,17.28,85000,0.43,1.0
2000-07-03,34.31,34.5,34.31,34.5,17.3808,5000,0.0,1.0
2000-07-05,34.5,34.88,34.5,34.81,17.537,16100,0.0,1.0
2000-07-06,34.63,35.31,34.63,35.31,17.7889,42000,0.0,1.0
2000-07-07,35.38,35.38,34.81,35.0,17.6327,25800,0.0,1.0
2000-07-10,35.13,35.13,34.81,34.81,17.537,12300,0.0,1.0
2000-07-11,34.88,34.88,34.69,34.88,17.5722,8300,0.0,1.0
2000-07-12,34.94,35.06,34.63,35.06,17.6629,18200,0.0,1.0
2000-07-13,35.0,35.13,34.63,35.13,17.6982,20400,0.0,1.0
2000-07-14,35.25,35.44,35.13,35.44,17.8543,19400,0.0,1.0
2000-07-17,35.38,35.38,34.94,35.31,17.7889,16100,0.0,1.0
2000-07-18,35.25,35.25,34.69,34.75,17.5067,16400,0.0,1.0
2000-07-19,34.63,34.63,34.13,34.25,17.2548,12100,0.0,1.0
2000-07-20,34.31,34.44,33.94,34.44,17.3506,25100,0.0,1.0
2000-07-21,34.44,34.5,34.25,34.5,17.3808,15400,0.0,1.0
