,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,80.625,80.625,77.9376,78.0,63.8728,2460400,0.0,1.0
2000-01-19,78.0,79.0,77.625,78.125,63.9752,2494300,0.0,1.0
2000-01-20,75.625,76.0626,72.5,73.5,60.1878,5177700,0.0,1.0
2000-01-21,74.25,77.0,73.625,75.375,61.7232,3672400,0.0,1.0
2000-01-24,76.0,76.375,72.75,73.4376,60.1367,1836100,0.0,1.0
2000-01-25,73.4376,74.375,71.8126,72.3126,59.2155,2519500,0.0,1.0
2000-01-26,72.375,72.75,70.8126,71.1876,58.2942,3142800,0.0,1.0
2000-01-27,72.0,72.1876,70.125,70.5,57.7312,2262600,0.0,1.0
2000-01-28,71.25,72.125,69.1876,69.5,56.9123,3043200,0.0,1.0
2000-01-31,69.875,70.875,69.25,69.6876,57.0659,1789000,0.0,1.0
2000-02-01,70.75,72.8126,70.3126,72.125,59.0619,2229700,0.0,1.0
2000-02-02,71.6876,75.5626,71.5626,74.5626,61.2627,2792500,0.25,1.0
2000-02-03,74.5626,74.5626,71.375,72.25,59.3626,1442500,0.0,1.0
2000-02-04,72.5,72.5,69.75,70.5,57.9247,1474700,0.0,1.0
2000-02-07,70.8126,70.8126,68.125,68.125,55.9734,2473500,0.0,1.0
2000-02-08,69.0,69.0626,65.875,65.9376,54.1762,3408100,0.0,1.0
2000-02-09,65.875,66.75,64.4376,64.625,53.0977,5228500,0.0,1.0
2000-02-10,65.0,67.5626,64.6876,65.5,53.8166,2705600,0.0,1.0
2000-02-11,66.375,68.75,66.3126,67.6876,55.614,2455400,0.0,1.0
2000-02-14,68.5,72.5,68.1876,72.25,59.3626,2064500,0.0,1.0
2000-02-15,71.8126,74.1876,71.8126,73.875,60.6977,2590500,0.0,1.0
2000-02-16,73.6876,75.4376,73.1876,73.75,60.595,3501500,0.0,1.0
2000-02-17,74.0,77.4376,74.0,76.9376,63.2141,2806400,0.0,1.0
2000-02-18,76.625,77.0,75.125,75.125,61.7248,5050500,0.0,1.0
2000-02-22,74.625,74.6876,72.0,72.5,59.568,2127800,0.0,1.0
2000-02-23,73.0,73.125,71.125,71.125,58.4383,1631700,0.0,1.0
2000-02-24,71.5,72.5,69.5626,69.6876,57.2573,2006200,0.0,1.0
2000-02-25,69.625,70.8126,69.0626,70.1876,57.6681,1365000,0.0,1.0
2000-02-28,69.625,74.375,69.1876,71.0626,58.387,2069400,0.0,1.0
2000-02-29,71.0,71.0,67.6876,68.5,56.2815,2347600,0.0,1.0
2000-03-01,68.4376,70.8126,66.125,69.75,57.3085,2390300,0.0,1.0
2000-03-02,69.0,69.1876,66.25,66.8126,54.8951,2346900,0.0,1.0
2000-03-03,66.375,69.4376,65.75,67.9376,55.8194,3581200,0.0,1.0
2000-03-06,68.5,68.5,66.0,66.75,54.8436,1504900,0.0,1.0
2000-03-07,66.5,67.5,64.625,64.9376,53.3545,1709400,0.0,1.0
2000-03-08,65.4376,68.375,64.25,67.375,55.3572,2255400,0.0,1.0
2000-03-09,67.0,68.0,65.5,67.6876,55.614,1362000,0.0,1.0
2000-03-10,67.0626,68.625,66.3126,67.0,55.049,1975000,0.0,1.0
2000-03-13,66.75,69.1876,65.5626,68.0626,55.9221,1480700,0.0,1.0
2000-03-14,65.5626,66.0,60.8126,61.25,50.3247,4650700,0.0,1.0
2000-03-15,61.875,64.6876,61.75,64.0626,52.6356,3521000,0.0,1.0
2000-03-16,64.9376,69.25,64.625,68.9376,56.641,3631300,0.0,1.0
2000-03-17,67.5,68.0,64.4376,64.6876,53.1491,2797500,0.0,1.0
2000-03-20,65.0,66.8126,64.9376,65.5626,53.868,2271100,0.0,1.0
2000-03-21,65.0,68.75,64.875,68.3126,56.1275,1969900,0.0,1.0
