,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,18.88,18.88,18.62,18.75,8.3643,70400,0.0,1.0
2000-01-19,18.88,18.88,18.5,18.62,8.3063,42500,0.0,1.0
2000-01-20,18.62,18.69,18.5,18.56,8.2795,40300,0.0,1.0
2000-01-21,18.5,18.62,18.12,18.25,8.1412,170900,0.0,1.0
2000-01-24,18.75,18.88,18.0,18.25,8.1412,109100,0.0,1.0
2000-01-25,18.25,18.38,17.25,17.75,7.9182,63400,0.0,1.0
2000-01-26,17.94,17.94,16.75,16.94,7.5569,72700,0.0,1.0
2000-01-27,17.0,17.38,16.88,17.0,7.5836,34900,0.0,1.0
2000-01-28,17.12,17.25,16.75,16.75,7.4721,50600,0.0,1.0
2000-01-31,16.88,17.75,16.88,17.5,7.8067,72400,0.0,1.0
2000-02-01,17.62,18.0,17.5,17.75,7.9182,36000,0.0,1.0
2000-02-02,17.62,17.88,17.38,17.44,7.7799,44100,0.0,1.0
2000-02-03,17.44,17.88,17.38,17.81,7.945,56200,0.0,1.0
2000-02-04,17.56,17.81,17.5,17.69,7.8914,62300,0.0,1.0
2000-02-07,17.69,17.75,17.38,17.38,7.7531,45900,0.0,1.0
2000-02-08,17.44,17.5,17.25,17.31,7.7219,51000,0.0,1.0
2000-02-09,17.56,17.56,17.25,17.38,7.7531,197700,0.0,1.0
2000-02-10,17.5,17.5,17.12,17.19,7.6684,40400,0.0,1.0
2000-02-11,17.0,17.19,15.88,15.88,7.084,94100,0.0,1.0
2000-02-14,16.12,16.88,16.12,16.81,7.4989,59300,0.0,1.0
2000-02-15,16.81,18.25,16.81,17.44,7.7799,96500,0.0,1.0
2000-02-16,17.38,18.06,17.25,17.75,7.9182,32600,0.0,1.0
2000-02-17,17.75,18.12,17.62,17.88,7.9762,41700,0.0,1.0
2000-02-18,17.69,17.88,17.12,17.19,7.6684,61500,0.0,1.0
2000-02-22,17.19,17.19,16.25,16.56,7.3873,78600,0.0,1.0
2000-02-23,16.31,16.88,16.25,16.56,7.5123,35400,0.28,1.0
2000-02-24,16.5,16.5,15.81,16.0,7.2582,46500,0.0,1.0
2000-02-25,16.12,16.12,15.69,15.81,7.172,4023800,0.0,1.0
2000-02-28,15.88,16.31,15.88,16.25,7.3716,70100,0.0,1.0
2000-02-29,16.0,17.12,16.0,17.12,7.7663,86300,0.0,1.0
2000-03-01,17.25,17.25,16.44,16.5,7.485,44700,0.0,1.0
2000-03-02,16.75,16.75,16.38,16.38,7.4306,63300,0.0,1.0
2000-03-03,16.25,16.38,15.62,15.81,7.172,55800,0.0,1.0
2000-03-06,15.56,16.25,15.5,16.0,7.2582,52700,0.0,1.0
2000-03-07,15.94,15.94,15.38,15.56,7.0586,106800,0.0,1.0
2000-03-08,15.62,15.69,15.25,15.56,7.0586,91400,0.0,1.0
2000-03-09,15.81,16.19,15.75,16.12,7.3127,81900,0.0,1.0
2000-03-10,15.75,15.94,15.62,15.62,7.0858,100900,0.0,1.0
2000-03-13,15.56,17.12,15.5,17.12,7.7663,124900,0.0,1.0
2000-03-14,17.38,17.5,17.19,17.25,7.8253,229300,0.0,1.0
2000-03-15,17.25,17.75,17.25,17.69,8.0249,52500,0.0,1.0
2000-03-16,17.81,18.62,17.75,18.62,8.4467,78700,0.0,1.0
2000-03-17,18.62,18.88,17.94,18.38,8.3379,87400,0.0,1.0
2000-03-20,18.31,18.56,18.19,18.38,8.3379,40200,0.0,1.0
2000-03-21,18.12,18.12,17.25,17.56,7.9659,46700,0.0,1.0
2000-03-22,17.5,17.88,17.0,17.44,7.9115,45700,0.0,1.0
2000-03-23,17.31,18.38,17.25,18.12,8.2199,36300,0.0,1.0
2000-03-24,18.12,18.12,17.12,17.44,7.9115,80200,0.0,1.0
2000-03-27,17.38,17.5,17.12,17.25,7.8253,73000,0.0,1.0
2000-03-28,16.62,17.12,16.62,16.88,7.6574,118800,0.0,1.0
2000-03-29,16.88,16.88,16.5,16.62,7.5395,161200,0.0,1.0
2000-03-30,16.5,16.75,16.19,16.25,7.3716,195200,0.0,1.0
2000-03-31,16.38,16.69,16.0,16.38,7.4306,102200,0.0,1.0
2000-04-03,16.5,16.88,16.12,16.19,7.3444,50300,0.0,1.0
2000-04-04,16.19,16.25,15.75,15.81,7.172,100900,0.0,1.0
2000-04-05,15.94,16.12,15.38,15.5,7.0314,173400,0.0,1.0
2000-04-06,15.5,15.5,15.38,15.5,7.0314,47700,0.0,1.0
2000-04-07,15.5,15.5,15.31,15.5,7.0314,65500,0.0,1.0
2000-04-10,15.5,15.5,15.31,15.38,6.977,120400,0.0,1.0
2000-04-11,15.44,15.5,15.38,15.38,6.977,43500,0.0,1.0
2000-04-12,15.38,15.5,15.38,15.44,7.0042,125100,0.0,1.0
2000-04-13,15.44,15.5,15.38,15.44,7.0042,69800,0.0,1.0
2000-04-14,15.38,15.5,15.25,15.38,6.977,77900,0.0,1.0
2000-04-17,15.38,15.38,14.94,15.0,6.8046,123600,0.0,1.0
2000-04-18,15.0,15.0,14.75,14.94,6.7774,116800,0.0,1.0
2000-04-19,15.0,15.0,14.81,14.88,6.7501,100800,0.0,1.0
2000-04-20,14.94,14.94,14.75,14.81,6.7184,63100,0.0,1.0
2000-04-24,14.88,14.94,14.75,14.75,6.6912,197700,0.0,1.0
2000-04-25,14.81,14.81,14.5,14.75,6.6912,69500,0.0,1.0
2000-04-26,14.88,14.94,14.62,14.75,6.6912,79900,0.0,1.0
2000-04-27,14.62,15.62,14.25,15.5,7.0314,82900,0.0,1.0
2000-04-28,15.38,15.88,15.25,15.88,7.2038,38700,0.0,1.0
2000-05-01,15.88,16.75,15.88,16.0,7.2582,89500,0.0,1.0
2000-05-02,15.94,16.31,15.81,15.94,7.231,43400,0.0,1.0
2000-05-03,16.0,16.0,15.75,15.88,7.2038,54400,0.0,1.0
2000-05-04,15.62,16.0,15.62,16.0,7.2582,36500,0.0,1.0
2000-05-05,16.12,16.25,15.75,15.94,7.231,69700,0.0,1.0
2000-05-08,16.0,16.19,15.75,15.94,7.231,77700,0.0,1.0
2000-05-09,15.94,16.12,15.56,15.56,7.0586,86900,0.0,1.0
2000-05-10,15.56,15.62,15.19,15.44,7.0042,67100,0.0,1.0
2000-05-11,15.44,15.69,15.38,15.69,7.1176,72700,0.0,1.0
2000-05-12,15.56,15.94,15.44,15.94,7.231,33100,0.0,1.0
2000-05-15,15.94,16.44,15.62,15.88,7.2038,60800,0.0,1.0
2000-05-16,16.0,16.81,16.0,16.5,7.485,101200,0.0,1.0
2000-05-17,16.69,16.69,16.19,16.19,7.3444,45100,0.0,1.0
2000-05-18,16.25,16.62,15.88,16.06,7.2854,92200,0.0,1.0
2000-05-19,16.25,16.25,15.94,16.12,7.3127,43800,0.0,1.0
2000-05-22,16.19,16.38,15.88,16.38,7.4306,49400,0.0,1.0
2000-05-23,16.12,16.12,15.62,15.69,7.2446,47100,0.28,1.0
2000-05-24,15.69,15.81,15.5,15.69,7.2446,45800,0.0,1.0
2000-05-25,15.62,15.81,14.94,15.19,7.0137,80900,0.0,1.0
2000-05-26,15.69,16.62,15.62,16.56,7.6463,216200,0.0,1.0
2000-05-30,16.75,17.31,16.56,17.12,7.9049,190300,0.0,1.0
2000-05-31,17.19,18.38,17.06,18.31,8.4543,108000,0.0,1.0
2000-06-01,18.44,19.0,18.06,19.0,8.7729,167300,0.0,1.0
2000-06-02,19.0,19.25,18.38,18.62,8.5975,72100,0.0,1.0
2000-06-05,18.62,18.94,18.62,18.69,8.6298,56300,0.0,1.0
2000-06-06,18.75,18.94,18.75,18.75,8.6575,32500,0.0,1.0
2000-06-07,18.88,19.25,18.88,19.12,8.8284,86000,0.0,1.0
2000-06-08,19.25,19.25,19.0,19.12,8.8284,18800,0.0,1.0
2000-06-09,19.12,19.12,19.0,19.06,8.8006,28800,0.0,1.0
