,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,35.0,35.44,34.38,34.38,14.9748,194400,0.0,1.0
2000-01-19,34.63,35.56,34.63,35.56,15.4888,68200,0.0,1.0
2000-01-20,35.31,35.38,35.06,35.19,15.3276,49700,0.0,1.0
2000-01-21,35.25,35.5,35.13,35.25,15.3537,87100,0.0,1.0
2000-01-24,35.06,35.31,35.0,35.25,15.3537,61400,0.0,1.0
2000-01-25,35.25,35.31,35.13,35.25,15.3537,161200,0.0,1.0
2000-01-26,35.13,35.25,35.0,35.13,15.3015,117900,0.0,1.0
2000-01-27,35.13,35.19,34.63,35.19,15.3276,131200,0.0,1.0
2000-01-28,35.06,35.13,34.63,34.75,15.1359,107600,0.0,1.0
2000-01-31,34.63,34.75,34.38,34.5,15.0271,58100,0.0,1.0
2000-02-01,34.5,34.63,34.38,34.5,15.0271,60300,0.0,1.0
2000-02-02,34.5,34.5,34.38,34.5,15.0271,95700,0.0,1.0
2000-02-03,34.5,34.63,34.06,34.38,14.9748,121100,0.0,1.0
2000-02-04,34.31,34.69,34.31,34.56,15.0532,59300,0.0,1.0
2000-02-07,34.44,34.56,34.25,34.5,15.0271,48800,0.0,1.0
2000-02-08,34.5,34.56,34.31,34.38,14.9748,88500,0.0,1.0
2000-02-09,34.38,34.69,34.06,34.31,14.9443,351000,0.0,1.0
2000-02-10,34.44,34.44,34.13,34.31,14.9443,192300,0.0,1.0
2000-02-11,34.25,34.5,33.94,34.25,14.9182,115600,0.0,1.0
2000-02-14,34.13,34.38,33.94,34.38,14.9748,73000,0.0,1.0
2000-02-15,34.13,34.25,33.94,34.25,14.9182,99800,0.0,1.0
2000-02-16,34.13,34.19,34.0,34.13,14.8659,183200,0.0,1.0
2000-02-17,34.0,34.25,34.0,34.25,14.9182,95400,0.0,1.0
2000-02-18,34.25,34.25,34.0,34.19,14.892,66400,0.0,1.0
2000-02-22,34.06,34.19,33.94,34.19,14.892,56500,0.0,1.0
2000-02-23,34.06,34.06,33.94,34.0,14.8093,79700,0.0,1.0
2000-02-24,33.94,33.94,33.81,33.94,14.7831,44900,0.0,1.0
2000-02-25,33.88,34.0,33.88,34.0,14.8093,35700,0.0,1.0
2000-02-28,34.0,34.0,33.63,33.75,14.7004,61300,0.0,1.0
2000-02-29,33.25,33.88,33.25,33.75,14.7004,289100,0.0,1.0
2000-03-01,33.44,34.25,33.44,34.25,14.9182,280300,0.0,1.0
2000-03-02,34.13,34.38,33.94,33.94,14.7831,84200,0.0,1.0
2000-03-03,34.06,34.25,34.06,34.25,14.9182,104800,0.0,1.0
2000-03-06,34.25,34.25,34.0,34.13,14.8659,118700,0.0,1.0
2000-03-07,34.13,34.5,34.0,34.5,15.0271,74300,0.0,1.0
2000-03-08,34.5,34.5,33.94,34.13,14.8659,51300,0.0,1.0
2000-03-09,34.25,34.38,33.94,34.0,14.8093,70500,0.0,1.0
2000-03-10,33.94,34.44,33.94,34.44,15.0009,48000,0.0,1.0
2000-03-13,34.44,34.5,34.19,34.25,14.9182,180600,0.0,1.0
2000-03-14,34.25,34.25,34.0,34.0,14.8093,88000,0.0,1.0
2000-03-15,34.13,34.31,33.88,34.31,14.9443,147600,0.0,1.0
2000-03-16,34.38,34.75,34.38,34.69,15.1098,432600,0.0,1.0
2000-03-17,34.94,35.06,34.5,34.81,15.1621,279800,0.0,1.0
2000-03-20,34.63,35.31,34.56,35.31,15.3799,148700,0.0,1.0
2000-03-21,35.19,35.31,34.94,35.19,15.3276,77800,0.0,1.0
2000-03-22,35.13,35.44,35.0,35.25,15.3537,240400,0.0,1.0
2000-03-23,35.13,36.0,35.13,36.0,15.6804,88900,0.0,1.0
2000-03-24,35.88,35.94,35.56,35.75,15.5715,113200,0.0,1.0
2000-03-27,35.63,35.88,35.56,35.75,15.5715,126200,0.0,1.0
2000-03-28,35.88,36.06,35.88,36.06,15.7065,185600,0.0,1.0
2000-03-29,36.0,36.5,36.0,36.5,15.8982,186500,0.0,1.0
2000-03-30,35.81,36.38,35.81,36.38,16.0898,219200,0.56,1.0
2000-03-31,36.56,36.69,36.38,36.63,16.2004,236800,0.0,1.0
2000-04-03,36.56,36.56,36.38,36.38,16.0898,5891200,0.0,1.0
2000-04-04,36.13,36.56,36.13,36.5,16.1429,378600,0.0,1.0
2000-04-05,36.5,36.81,36.19,36.81,16.28,148800,0.0,1.0
2000-04-06,36.94,37.0,36.81,37.0,16.364,191100,0.0,1.0
