,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,74.69,75.69,73.25,74.94,44.219,490200,0.0,1.0
2000-01-19,73.0,73.25,67.13,68.69,40.5311,1630200,0.0,1.0
2000-01-20,68.25,68.25,66.38,66.5,39.2389,815700,0.0,1.0
2000-01-21,67.25,69.5,67.25,69.5,41.0091,473700,0.0,1.0
2000-01-24,69.25,69.31,67.13,67.31,39.7168,261900,0.0,1.0
2000-01-25,67.31,68.38,66.88,68.25,40.2715,382200,0.0,1.0
2000-01-26,68.25,70.69,67.31,68.88,40.6432,425700,0.0,1.0
2000-01-27,69.13,70.56,67.63,68.44,40.3836,289100,0.0,1.0
2000-01-28,68.44,68.44,66.5,66.5,39.2389,259800,0.0,1.0
2000-01-31,66.5,68.5,65.38,67.75,39.9765,303900,0.0,1.0
2000-02-01,67.25,67.25,66.13,67.06,39.5693,293300,0.0,1.0
2000-02-02,67.31,67.38,66.19,66.63,39.3156,261800,0.0,1.0
2000-02-03,66.13,67.75,66.0,66.06,38.9793,363500,0.0,1.0
2000-02-04,66.0,67.94,64.5,67.13,39.6106,418800,0.0,1.0
2000-02-07,67.13,67.13,64.31,65.81,38.8318,291400,0.0,1.0
2000-02-08,65.56,66.0,64.5,65.75,38.7964,207200,0.0,1.0
2000-02-09,65.5,65.5,64.0,64.63,38.1355,182400,0.0,1.0
2000-02-10,64.63,65.06,63.38,65.0,38.3538,247100,0.0,1.0
2000-02-11,65.06,65.75,62.63,63.44,37.4333,236100,0.0,1.0
2000-02-14,63.44,66.0,62.69,65.69,38.761,272600,0.0,1.0
2000-02-15,65.56,67.75,64.88,67.5,39.829,353100,0.0,1.0
2000-02-16,67.75,67.75,64.13,65.69,38.761,208700,0.0,1.0
2000-02-17,65.56,66.94,64.19,66.94,39.4985,237600,0.0,1.0
2000-02-18,66.88,66.88,61.88,63.25,37.3212,327800,0.0,1.0
2000-02-22,63.25,65.25,63.25,64.69,38.1709,278800,0.0,1.0
2000-02-23,64.5,65.5,63.38,64.5,38.0588,330000,0.0,1.0
2000-02-24,64.5,64.5,60.88,61.88,36.5128,404200,0.0,1.0
2000-02-25,61.25,61.38,59.69,60.75,35.8461,362400,0.0,1.0
2000-02-28,60.5,60.81,59.56,59.94,35.5274,384000,0.27,1.0
2000-02-29,60.0,60.81,59.5,60.69,35.972,393600,0.0,1.0
2000-03-01,60.19,60.19,58.13,58.69,34.7865,339700,0.0,1.0
2000-03-02,59.38,60.5,58.69,60.13,35.64,545700,0.0,1.0
2000-03-03,62.0,63.88,61.69,63.38,37.5664,351400,0.0,1.0
2000-03-06,63.13,63.25,58.31,58.44,34.6384,503700,0.0,1.0
2000-03-07,58.5,58.5,55.25,55.31,32.7832,648800,0.0,1.0
2000-03-08,55.38,57.5,54.81,57.38,34.0101,567200,0.0,1.0
2000-03-09,57.5,59.75,57.13,59.69,35.3793,597400,0.0,1.0
2000-03-10,59.56,61.5,59.5,60.5,35.8594,347000,0.0,1.0
2000-03-13,60.63,60.63,57.69,58.94,34.9347,480600,0.0,1.0
