,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2008-04-23,20.6,21.45,20.22,20.6,15.0306,23402800,0.0,1.0
2008-04-24,20.72,21.0,20.31,20.81,15.1839,4960900,0.0,1.0
2008-04-25,21.0,21.25,20.7,21.17,15.4465,1956800,0.0,1.0
2008-04-28,21.49,21.49,20.81,21.0,15.3225,709400,0.0,1.0
2008-04-29,21.39,21.39,20.82,21.07,15.3736,859700,0.0,1.0
2008-04-30,21.08,21.2,20.92,21.15,15.4319,893300,0.0,1.0
2008-05-01,21.22,22.0,21.0,21.91,15.9865,2999000,0.0,1.0
2008-05-02,22.16,22.16,21.49,22.01,16.0594,1639400,0.0,1.0
2008-05-05,22.45,22.45,21.56,21.91,15.9865,579000,0.0,1.0
2008-05-06,21.8,21.86,21.37,21.55,15.7238,1040200,0.0,1.0
2008-05-07,21.5,21.6,20.65,21.21,15.4757,1240100,0.0,1.0
2008-05-08,21.23,21.3,21.03,21.25,15.5049,888100,0.0,1.0
2008-05-09,21.25,21.84,21.03,21.67,15.8114,550400,0.0,1.0
2008-05-12,21.7,21.74,21.28,21.5,15.6873,1168000,0.0,1.0
2008-05-13,21.53,21.54,20.8,21.32,15.556,1783900,0.0,1.0
2008-05-14,20.51,21.48,20.51,21.3,15.5414,649200,0.0,1.0
2008-05-15,21.45,21.46,21.1,21.16,15.4392,470400,0.0,1.0
2008-05-16,21.43,21.65,21.1,21.62,15.7749,1002400,0.0,1.0
2008-05-19,21.89,22.09,21.55,21.75,15.8697,802900,0.0,1.0
2008-05-20,21.97,21.97,21.45,21.65,15.7968,504100,0.0,1.0
2008-05-21,21.85,21.85,21.05,21.16,15.4392,407100,0.0,1.0
2008-05-22,21.37,21.45,21.12,21.35,15.5779,274600,0.0,1.0
2008-05-23,21.25,21.25,21.0,21.14,15.4246,464200,0.0,1.0
2008-05-27,21.49,21.49,21.05,21.23,15.4903,320300,0.0,1.0
2008-05-28,21.1,21.42,21.07,21.41,15.6216,403800,0.0,1.0
2008-05-29,21.39,21.5,21.05,21.06,15.3663,384600,0.0,1.0
2008-05-30,21.1,21.5,21.05,21.5,15.6873,784300,0.0,1.0
2008-06-02,22.37,22.37,21.2,21.6,15.7603,414900,0.0,1.0
2008-06-03,21.86,21.9,21.29,21.32,15.556,446000,0.0,1.0
2008-06-04,21.1,21.64,21.07,21.57,15.7384,850300,0.0,1.0
2008-06-05,21.49,21.89,21.49,21.8,15.9062,567400,0.0,1.0
2008-06-06,21.75,22.25,21.75,22.1,16.1251,1588900,0.0,1.0
2008-06-09,22.3,22.39,22.1,22.33,16.2929,377700,0.0,1.0
