,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,158.0,158.0,151.5,151.6,33.7819,1955900,0.0,1.0
2000-01-19,153.5,154.8,148.8,148.9,33.1802,2202900,0.0,1.0
2000-01-20,150.3,154.6,148.4,151.4,33.7373,3770333,0.0,1.0
2000-01-21,153.0,153.8,150.9,151.7,33.8042,2103600,0.0,1.0
2000-01-24,154.3,158.0,150.6,152.0,33.871,3343300,0.0,1.0
2000-01-25,151.6,158.8,151.6,158.4,35.2972,3383500,0.0,1.0
2000-01-26,160.0,164.1,159.5,159.8,35.6092,4398933,0.0,1.0
2000-01-27,161.0,164.3,160.1,162.9,36.3,2078467,0.0,1.0
2000-01-28,161.1,162.3,157.8,158.3,35.2749,2403500,0.0,1.0
2000-01-31,157.0,165.8,156.8,164.8,36.7233,2468967,0.0,1.0
2000-02-01,164.6,169.5,163.8,169.0,37.6592,3093200,0.0,1.0
2000-02-02,168.5,168.5,163.6,164.2,36.5896,2985600,0.0,1.0
2000-02-03,164.5,165.5,160.6,162.9,36.3,2484967,0.0,1.0
2000-02-04,162.9,163.5,160.6,161.4,35.9657,1718367,0.0,1.0
2000-02-07,161.4,163.9,160.9,162.4,36.1885,1490200,0.0,1.0
2000-02-08,163.5,165.3,162.8,163.0,36.3222,1756167,0.0,1.0
2000-02-09,162.9,162.9,155.0,156.6,34.8961,2394033,0.0,1.0
2000-02-10,156.6,159.5,153.6,154.5,34.4281,1995400,0.0,1.0
2000-02-11,155.0,158.1,151.9,153.5,34.2053,2173633,0.0,1.0
2000-02-14,153.5,157.9,153.5,154.0,34.3167,1806100,0.0,1.0
2000-02-15,154.3,159.6,153.8,159.1,35.4532,1556033,0.0,1.0
2000-02-16,156.5,156.8,152.1,153.8,34.2721,2538900,0.0,1.0
2000-02-17,154.3,155.5,142.9,147.9,32.9574,4733667,0.0,1.0
2000-02-18,147.9,147.9,135.4,138.3,30.8182,5206200,0.0,1.0
2000-02-22,139.5,140.3,137.6,139.1,30.9965,4593833,0.0,1.0
2000-02-23,139.0,140.7,136.7,138.1,30.7736,3634067,0.0,1.0
2000-02-24,137.6,138.6,128.9,130.0,28.9687,6620233,0.0,1.0
