,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,43.88,45.0,43.13,45.0,29.1709,5859800,0.0,1.0
2000-01-19,45.38,48.13,45.25,47.63,30.8757,11463600,0.0,1.0
2000-01-20,47.56,47.88,45.75,46.5,30.1432,8941100,0.0,1.0
2000-01-21,46.94,46.94,45.0,45.69,29.6181,4392500,0.0,1.0
2000-01-24,45.81,46.19,43.63,44.31,28.7236,3306200,0.0,1.0
2000-01-25,45.0,46.0,44.75,45.69,29.6181,5057200,0.0,1.0
2000-01-26,45.69,46.5,45.0,46.19,29.9423,3090100,0.0,1.0
2000-01-27,46.0,46.88,44.88,45.06,29.2098,3339100,0.0,1.0
2000-01-28,44.81,45.63,44.5,44.63,28.931,2288100,0.0,1.0
2000-01-31,44.0,44.56,43.94,44.5,28.8467,2411800,0.0,1.0
2000-02-01,43.88,44.19,43.31,43.75,28.3606,2675800,0.0,1.0
2000-02-02,43.38,45.13,43.38,44.63,28.931,3295500,0.0,1.0
2000-02-03,45.0,45.06,43.13,43.44,28.1596,2889100,0.0,1.0
2000-02-04,43.75,44.19,43.31,44.0,28.5226,2927200,0.0,1.0
2000-02-07,43.88,43.88,41.69,41.81,27.103,3029400,0.0,1.0
2000-02-08,41.94,42.06,40.0,41.0,26.5779,5102700,0.0,1.0
2000-02-09,40.25,40.25,38.38,39.0,25.3722,5525000,0.14,1.0
2000-02-10,38.81,40.19,38.75,39.75,25.8601,4060600,0.0,1.0
2000-02-11,39.75,40.38,39.13,39.88,25.9447,3132800,0.0,1.0
2000-02-14,39.63,39.69,38.06,38.25,24.8842,2606300,0.0,1.0
2000-02-15,38.13,38.69,37.38,38.5,25.0469,3961300,0.0,1.0
2000-02-16,37.75,37.94,36.88,37.25,24.2337,3423000,0.0,1.0
2000-02-17,37.25,37.88,36.56,37.5,24.3963,3400500,0.0,1.0
2000-02-18,37.38,37.5,35.88,36.0,23.4205,5559500,0.0,1.0
2000-02-22,35.94,39.94,35.88,38.88,25.2941,4771400,0.0,1.0
2000-02-23,38.63,38.69,37.06,37.13,24.1556,3880800,0.0,1.0
2000-02-24,36.88,37.0,35.88,36.56,23.7848,4210800,0.0,1.0
2000-02-25,37.06,38.0,36.81,37.81,24.598,3170600,0.0,1.0
2000-02-28,37.5,37.63,36.56,37.0,24.071,3573300,0.0,1.0
2000-02-29,37.19,37.63,36.13,36.94,24.032,3513100,0.0,1.0
2000-03-01,36.5,36.63,35.94,36.31,23.6221,2838000,0.0,1.0
2000-03-02,36.31,37.19,35.38,35.94,23.3814,4058200,0.0,1.0
2000-03-03,36.13,36.5,35.69,35.94,23.3814,3884100,0.0,1.0
2000-03-06,36.13,36.19,35.0,35.13,22.8545,2882000,0.0,1.0
2000-03-07,35.13,35.13,34.13,34.75,22.6073,3565000,0.0,1.0
2000-03-08,34.0,34.19,33.38,33.38,21.716,4134600,0.0,1.0
2000-03-09,33.5,34.5,33.25,33.75,21.9567,3236800,0.0,1.0
2000-03-10,33.94,33.94,32.31,32.38,21.0654,5114300,0.0,1.0
2000-03-13,32.25,33.13,32.0,32.63,21.228,3422700,0.0,1.0
2000-03-14,32.75,33.81,32.44,33.06,21.5078,3727900,0.0,1.0
2000-03-15,32.88,35.5,32.88,34.88,22.6918,4859300,0.0,1.0
2000-03-16,35.0,35.94,34.69,35.63,23.1798,4725200,0.0,1.0
2000-03-17,37.25,38.94,35.38,38.0,24.7216,15304900,0.0,1.0
2000-03-20,37.19,37.69,36.38,37.0,24.071,5786400,0.0,1.0
2000-03-21,37.19,37.44,36.19,36.56,23.7848,4165400,0.0,1.0
2000-03-22,36.94,37.19,35.75,36.25,23.5831,3359600,0.0,1.0
2000-03-23,35.63,35.94,34.81,35.13,22.8545,4080400,0.0,1.0
2000-03-24,35.5,36.44,35.5,36.0,23.4205,5797500,0.0,1.0
2000-03-27,36.25,37.31,36.13,37.13,24.1556,2534000,0.0,1.0
2000-03-28,36.94,38.19,36.88,38.0,24.7216,5056400,0.0,1.0
2000-03-29,37.75,38.19,37.31,37.88,24.6435,2731000,0.0,1.0
2000-03-30,37.88,38.94,37.63,38.63,25.1315,3311100,0.0,1.0
2000-03-31,38.75,38.81,37.81,37.81,24.598,4640100,0.0,1.0
2000-04-03,37.75,37.75,37.06,37.19,24.1946,3234700,0.0,1.0
