,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,50.0,50.0,47.81,48.0,13.5928,8558000,0.0,1.0
2000-01-19,47.88,49.19,46.69,48.0,13.5928,7734200,0.0,1.0
2000-01-20,47.5,48.0,46.0,47.08,13.3323,6124500,0.0,1.0
2000-01-21,46.5,46.69,45.56,45.69,12.9386,6419700,0.0,1.0
2000-01-24,45.75,46.25,44.5,44.56,12.6187,6307400,0.0,1.0
2000-01-25,44.94,45.69,44.69,45.13,12.7801,7815500,0.0,1.0
2000-01-26,45.75,47.31,45.38,47.13,13.3464,7720600,0.0,1.0
2000-01-27,47.56,48.38,47.06,48.13,13.6296,6384700,0.0,1.0
2000-01-28,47.88,47.88,45.75,45.75,12.9556,6758500,0.0,1.0
2000-01-31,46.5,48.44,46.31,48.44,13.7174,8455000,0.0,1.0
2000-02-01,48.13,49.0,48.0,49.0,13.876,4482600,0.0,1.0
2000-02-02,47.5,48.5,47.38,47.75,13.522,5858700,0.0,1.0
2000-02-03,47.69,48.06,45.44,46.44,13.151,11399000,0.0,1.0
2000-02-04,46.94,47.13,45.31,45.88,12.9925,6700000,0.0,1.0
2000-02-07,45.31,45.5,44.88,45.31,12.831,5182200,0.0,1.0
2000-02-08,45.81,47.25,45.69,47.13,13.3464,5410900,0.0,1.0
2000-02-09,47.13,47.25,46.06,46.06,13.0434,4647100,0.0,1.0
2000-02-10,46.06,46.5,44.69,44.88,12.7093,5789700,0.0,1.0
2000-02-11,45.0,46.63,45.0,45.19,12.7971,6755200,0.0,1.0
2000-02-14,45.69,45.94,44.06,44.25,12.5309,6713400,0.0,1.0
2000-02-15,44.06,46.0,44.06,45.63,12.9217,6917000,0.0,1.0
2000-02-16,46.25,46.5,45.13,45.19,12.7971,5969800,0.0,1.0
2000-02-17,45.44,46.31,44.31,44.63,12.6385,6128400,0.0,1.0
2000-02-18,44.56,44.69,43.38,43.75,12.3893,7499000,0.0,1.0
2000-02-22,43.19,45.88,43.0,44.75,12.6725,6581400,0.0,1.0
2000-02-23,45.0,46.63,44.44,45.75,12.9556,6866000,0.0,1.0
2000-02-24,45.88,46.25,43.88,44.81,12.6894,5733900,0.0,1.0
2000-02-25,44.75,45.81,44.13,44.13,12.4969,5301900,0.0,1.0
2000-02-28,44.75,46.94,44.56,45.94,13.0094,6880000,0.0,1.0
2000-02-29,45.94,46.44,45.06,46.0,13.0264,5896400,0.0,1.0
2000-03-01,46.0,46.19,44.81,45.56,13.0434,4898300,0.5,1.0
2000-03-02,45.56,45.56,44.63,45.06,12.9003,5306500,0.0,1.0
2000-03-03,45.75,46.13,44.63,45.0,12.8831,6412900,0.0,1.0
2000-03-06,45.0,45.94,44.0,44.5,12.74,4913900,0.0,1.0
2000-03-07,45.0,45.19,43.75,44.0,12.5968,4455600,0.0,1.0
2000-03-08,44.0,44.63,43.56,43.63,12.4909,4063200,0.0,1.0
2000-03-09,43.63,44.0,42.81,43.06,12.3277,6546800,0.0,1.0
2000-03-10,42.94,43.25,42.31,42.88,12.2762,6067200,0.0,1.0
2000-03-13,42.88,44.06,42.5,43.19,12.3649,5325400,0.0,1.0
2000-03-14,43.56,43.81,42.5,42.63,12.2046,4116600,0.0,1.0
2000-03-15,42.88,46.06,42.63,45.88,13.135,10210900,0.0,1.0
2000-03-16,47.0,49.5,46.63,49.25,14.0998,13603600,0.0,1.0
2000-03-17,49.38,50.75,49.0,50.0,14.3146,10419900,0.0,1.0
2000-03-20,50.0,50.25,48.38,49.63,14.2086,5374900,0.0,1.0
2000-03-21,49.63,51.75,49.5,51.0,14.6009,6895600,0.0,1.0
2000-03-22,51.44,51.94,50.06,51.44,14.7268,5593100,0.0,1.0
2000-03-23,52.25,54.19,51.13,54.19,15.5141,7712700,0.0,1.0
2000-03-24,53.94,55.19,53.25,54.63,15.6401,8288100,0.0,1.0
2000-03-27,54.5,55.0,53.19,54.13,15.4969,5343400,0.0,1.0
2000-03-28,52.63,54.69,52.63,53.56,15.3338,5366500,0.0,1.0
2000-03-29,53.0,53.13,51.88,52.0,14.8871,5814300,0.0,1.0
2000-03-30,52.25,52.44,50.44,50.81,14.5465,5195100,0.0,1.0
2000-03-31,51.0,53.25,50.63,52.44,15.0131,5120900,0.0,1.0
2000-04-03,52.06,55.56,52.06,55.5,15.8892,8549500,0.0,1.0
2000-04-04,55.63,56.56,53.31,54.19,15.5141,9230800,0.0,1.0
2000-04-05,53.94,55.25,53.63,54.0,15.4597,4593400,0.0,1.0
2000-04-06,54.25,54.56,53.0,53.44,15.2994,4035500,0.0,1.0
2000-04-07,53.06,53.81,52.0,52.31,14.9759,3876400,0.0,1.0
2000-04-10,52.31,53.88,52.13,52.81,15.119,5147600,0.0,1.0
2000-04-11,52.75,53.38,51.81,52.34,14.9845,3794300,0.0,1.0
2000-04-12,53.13,56.0,53.13,54.56,15.62,7845000,0.0,1.0
2000-04-13,54.63,55.25,52.56,52.81,15.119,6083500,0.0,1.0
2000-04-14,51.88,51.88,48.63,49.94,14.2974,9945200,0.0,1.0
2000-04-17,49.94,51.0,48.13,50.31,14.4033,6973700,0.0,1.0
2000-04-18,51.0,51.19,49.75,51.0,14.6009,5653200,0.0,1.0
2000-04-19,50.94,50.94,48.94,49.44,14.1542,3956800,0.0,1.0
2000-04-20,50.13,50.19,49.44,49.56,14.1886,3219200,0.0,1.0
2000-04-24,49.56,51.5,49.38,51.5,14.744,4356800,0.0,1.0
2000-04-25,51.06,53.69,51.0,53.44,15.2994,4883900,0.0,1.0
2000-04-26,52.69,52.94,51.19,51.75,14.8156,3871200,0.0,1.0
2000-04-27,50.5,51.63,50.06,51.25,14.6724,4480700,0.0,1.0
2000-04-28,51.13,51.38,48.38,49.0,14.0283,6915600,0.0,1.0
2000-05-01,49.06,50.94,48.31,50.0,14.3146,4712400,0.0,1.0
2000-05-02,49.31,50.94,49.31,49.63,14.2086,4426700,0.0,1.0
2000-05-03,49.63,50.81,48.31,49.0,14.0283,3886100,0.0,1.0
2000-05-04,48.69,48.94,47.69,48.0,13.742,5013200,0.0,1.0
2000-05-05,47.25,48.56,47.13,47.56,13.616,4136100,0.0,1.0
2000-05-08,47.19,48.81,47.19,48.19,13.7964,4727200,0.0,1.0
2000-05-09,48.5,49.69,47.63,48.19,13.7964,4813700,0.0,1.0
2000-05-10,47.94,48.44,46.38,46.5,13.3125,6742200,0.0,1.0
2000-05-11,47.75,47.94,46.56,47.38,13.5645,6767800,0.0,1.0
2000-05-12,47.38,48.94,46.31,48.59,13.9109,5874900,0.0,1.0
2000-05-15,48.63,50.88,48.56,50.63,14.4949,5379600,0.0,1.0
2000-05-16,50.94,51.63,49.19,49.69,14.2258,5354200,0.0,1.0
2000-05-17,49.06,49.81,48.56,49.31,14.117,3047400,0.0,1.0
2000-05-18,49.38,50.81,49.31,50.31,14.4033,4653300,0.0,1.0
2000-05-19,49.56,50.19,49.13,49.75,14.243,4563100,0.0,1.0
2000-05-22,49.75,50.31,48.75,50.25,14.3861,4091400,0.0,1.0
2000-05-23,50.44,53.13,50.25,52.56,15.0475,7225500,0.0,1.0
2000-05-24,53.5,56.13,53.38,55.94,16.0151,11224800,0.0,1.0
2000-05-25,55.0,56.06,54.5,55.31,15.8348,7277800,0.0,1.0
2000-05-26,55.0,55.25,53.88,54.63,15.6401,5307700,0.0,1.0
2000-05-30,54.94,55.19,54.31,54.94,15.7288,4040200,0.0,1.0
2000-05-31,54.13,55.94,54.13,55.44,16.0151,5541100,0.5,1.0
2000-06-01,55.5,57.75,55.31,56.81,16.4109,6873500,0.0,1.0
2000-06-02,59.94,61.0,59.25,61.0,17.6213,8994200,0.0,1.0
2000-06-05,59.25,59.5,58.0,59.25,17.1157,4458800,0.0,1.0
2000-06-06,57.38,57.69,56.13,56.75,16.3936,6425500,0.0,1.0
2000-06-07,56.69,57.94,56.13,57.81,16.6998,4050100,0.0,1.0
2000-06-08,57.44,57.44,56.63,56.75,16.3936,3449500,0.0,1.0
2000-06-09,56.94,57.44,55.69,56.0,16.1769,3056800,0.0,1.0
2000-06-12,56.0,56.75,55.94,56.47,16.3127,2605600,0.0,1.0
2000-06-13,56.44,56.56,55.56,55.69,16.0873,3777700,0.0,1.0
2000-06-14,55.69,56.0,54.94,55.31,15.9776,4494000,0.0,1.0
2000-06-15,55.56,55.56,51.19,51.94,15.0041,10636500,0.0,1.0
2000-06-16,52.19,52.25,46.5,48.0,13.8659,17353800,0.0,1.0
2000-06-19,47.63,49.31,47.44,48.38,13.9757,10351700,0.0,1.0
2000-06-20,49.19,49.63,48.0,48.5,14.0103,5107200,0.0,1.0
2000-06-21,48.38,48.56,46.25,47.63,13.759,5406100,0.0,1.0
2000-06-22,47.06,47.5,46.13,47.0,13.577,3710600,0.0,1.0
2000-06-23,48.5,48.56,47.25,47.38,13.6868,4518200,0.0,1.0
2000-06-26,48.31,48.75,47.19,47.94,13.8486,3763600,0.0,1.0
2000-06-27,47.13,47.75,46.0,47.0,13.577,7495500,0.0,1.0
2000-06-28,47.06,47.13,45.25,45.42,13.1206,5752100,0.0,1.0
2000-06-29,45.38,46.25,45.13,45.44,13.1264,3974800,0.0,1.0
2000-06-30,45.19,45.38,42.98,43.0,12.4215,7345500,0.0,1.0
2000-07-03,43.75,45.25,43.63,45.0,12.9993,2998900,0.0,1.0
2000-07-05,45.06,46.25,45.06,45.31,13.0888,4468400,0.0,1.0
2000-07-06,46.06,46.19,44.75,45.81,13.2333,3998800,0.0,1.0
2000-07-07,46.44,47.69,46.13,47.44,13.7041,4751000,0.0,1.0
2000-07-10,47.75,48.0,47.31,47.44,13.7041,3228800,0.0,1.0
2000-07-11,47.44,47.69,46.75,46.94,13.5597,3989000,0.0,1.0
