,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,27.19,27.94,26.75,27.44,20.0771,904700,0.0,1.0
2000-01-19,27.19,28.63,27.0,28.38,20.7648,888800,0.0,1.0
2000-01-20,28.38,28.63,27.63,27.81,20.3478,752100,0.0,1.0
2000-01-21,29.0,29.44,28.38,28.81,21.0795,1278900,0.0,1.0
2000-01-24,28.69,28.69,27.13,27.88,20.399,857100,0.0,1.0
2000-01-25,27.63,28.0,26.81,27.19,19.8942,677300,0.0,1.0
2000-01-26,27.38,27.88,26.81,26.81,19.6161,706500,0.0,1.0
2000-01-27,26.94,27.88,26.69,27.88,20.399,850800,0.0,1.0
2000-01-28,27.63,27.63,26.38,26.5,19.3893,810600,0.0,1.0
2000-01-31,26.44,26.81,25.81,26.19,19.1625,751100,0.0,1.0
2000-02-01,26.31,27.13,26.13,27.13,19.8503,469300,0.0,1.0
2000-02-02,26.88,26.88,26.0,26.31,19.2503,816100,0.0,1.0
2000-02-03,26.31,26.31,25.63,26.0,19.0235,660200,0.0,1.0
2000-02-04,26.25,26.44,25.94,26.0,19.0235,667000,0.0,1.0
2000-02-07,26.25,26.44,25.94,26.0,19.0235,552500,0.0,1.0
2000-02-08,26.0,26.0,25.25,25.69,18.7966,780600,0.0,1.0
2000-02-09,25.44,25.94,24.75,25.88,18.9357,1487800,0.0,1.0
2000-02-10,25.81,25.94,24.81,25.13,18.3869,853200,0.0,1.0
2000-02-11,25.38,25.44,24.81,25.0,18.2918,732700,0.0,1.0
2000-02-14,25.19,25.88,25.0,25.81,18.8844,767800,0.0,1.0
2000-02-15,25.38,25.5,24.0,25.13,18.3869,810500,0.0,1.0
2000-02-16,25.0,25.75,24.81,25.44,18.6137,894400,0.0,1.0
2000-02-17,25.5,26.44,25.0,26.31,19.2503,887100,0.0,1.0
2000-02-18,26.56,31.88,26.56,30.56,22.3599,4358000,0.0,1.0
2000-02-22,30.25,30.25,28.31,29.06,21.2624,1977400,0.0,1.0
2000-02-23,28.81,30.63,28.69,30.0,21.9501,2633800,0.0,1.0
2000-02-24,29.38,32.0,28.88,32.0,23.4135,2466900,0.0,1.0
2000-02-25,32.0,34.44,31.88,34.13,24.972,3712000,0.0,1.0
2000-02-28,33.38,33.44,30.75,31.0,22.6818,2058300,0.0,1.0
2000-02-29,31.0,31.88,30.25,31.0,22.6818,1528100,0.0,1.0
2000-03-01,30.94,32.31,30.56,31.31,22.9086,2458500,0.0,1.0
2000-03-02,31.94,32.38,30.75,31.44,23.0038,1741700,0.0,1.0
2000-03-03,31.5,31.94,30.81,31.5,23.0477,1670300,0.0,1.0
2000-03-06,31.56,31.56,30.31,30.81,22.5428,1004300,0.0,1.0
2000-03-07,30.25,30.25,28.75,29.63,21.6794,1824600,0.0,1.0
2000-03-08,29.69,30.31,28.88,30.06,22.0617,1896800,0.0925,1.0
2000-03-09,30.25,31.31,29.56,30.88,22.6635,1500700,0.0,1.0
2000-03-10,32.0,33.0,31.69,32.0,23.4855,2773900,0.0,1.0
2000-03-13,31.75,31.75,30.06,30.63,22.4801,856600,0.0,1.0
2000-03-14,30.88,31.06,29.5,29.63,21.7461,1112400,0.0,1.0
2000-03-15,29.38,30.63,28.94,30.44,22.3406,1622600,0.0,1.0
2000-03-16,30.44,31.19,30.13,31.0,22.7516,1630600,0.0,1.0
2000-03-17,31.25,31.69,30.69,31.25,22.9351,1512500,0.0,1.0
2000-03-20,31.0,31.63,30.81,31.0,22.7516,706700,0.0,1.0
2000-03-21,31.0,31.06,30.38,31.0,22.7516,790600,0.0,1.0
2000-03-22,30.75,31.0,29.94,30.94,22.7076,889500,0.0,1.0
2000-03-23,30.81,30.81,29.56,30.0,22.0177,935100,0.0,1.0
2000-03-24,29.0,29.56,27.25,28.0,20.5498,1617600,0.0,1.0
2000-03-27,28.0,28.06,26.63,26.94,19.7719,1480500,0.0,1.0
2000-03-28,26.81,27.5,26.63,27.13,19.9113,1396200,0.0,1.0
2000-03-29,27.0,27.06,26.63,26.88,19.7279,1128600,0.0,1.0
2000-03-30,27.0,27.19,26.38,26.5,19.449,1647400,0.0,1.0
2000-03-31,26.5,27.44,26.25,26.31,19.3095,1483000,0.0,1.0
2000-04-03,26.56,27.06,26.31,27.0,19.8159,1332300,0.0,1.0
2000-04-04,27.25,28.06,26.5,27.06,19.86,1773000,0.0,1.0
2000-04-05,27.0,27.75,26.81,27.19,19.9554,738800,0.0,1.0
2000-04-06,26.94,27.19,26.69,27.0,19.8159,1582000,0.0,1.0
2000-04-07,27.75,27.75,26.5,26.69,19.5884,1024700,0.0,1.0
2000-04-10,26.19,26.84,26.19,26.56,19.493,639300,0.0,1.0
2000-04-11,26.56,27.63,26.31,27.44,20.1389,909700,0.0,1.0
2000-04-12,27.69,29.88,27.63,28.75,21.1003,1707300,0.0,1.0
2000-04-13,28.63,29.0,28.13,28.56,20.9608,720900,0.0,1.0
2000-04-14,28.31,28.38,26.63,26.88,19.7279,698500,0.0,1.0
2000-04-17,26.69,26.94,25.75,26.06,19.126,859700,0.0,1.0
2000-04-18,26.13,26.75,25.81,26.75,19.6324,739500,0.0,1.0
2000-04-19,26.75,26.75,25.75,25.81,18.9426,1293200,0.0,1.0
2000-04-20,26.0,26.25,24.94,25.56,18.7591,1268000,0.0,1.0
2000-04-24,25.19,25.88,25.19,25.5,18.715,1283000,0.0,1.0
2000-04-25,25.75,26.06,25.5,26.0,19.082,1013000,0.0,1.0
2000-04-26,26.25,26.81,25.56,25.75,18.8985,965000,0.0,1.0
2000-04-27,25.5,26.06,25.13,25.75,18.8985,841200,0.0,1.0
2000-04-28,25.75,26.0,25.31,25.63,18.8105,575100,0.0,1.0
2000-05-01,25.13,26.31,25.13,25.81,18.9426,1257900,0.0,1.0
2000-05-02,25.63,26.81,25.5,26.19,19.2214,1204800,0.0,1.0
2000-05-03,26.0,27.38,25.88,26.81,19.6765,1491700,0.0,1.0
2000-05-04,27.0,27.0,25.69,26.0,19.082,719700,0.0,1.0
2000-05-05,26.0,27.25,26.0,26.94,19.7719,698100,0.0,1.0
2000-05-08,26.94,27.0,26.19,26.75,19.6324,676100,0.0,1.0
2000-05-09,26.5,27.13,26.06,26.88,19.7279,1008300,0.0,1.0
2000-05-10,26.75,27.0,26.31,26.75,19.6324,801600,0.0,1.0
2000-05-11,26.69,27.56,26.63,27.19,19.9554,401200,0.0,1.0
2000-05-12,27.06,27.56,26.38,26.69,19.5884,860000,0.0,1.0
2000-05-15,26.94,27.88,26.88,27.81,20.4104,689500,0.0,1.0
2000-05-16,27.56,27.63,26.63,27.63,20.2783,666300,0.0,1.0
2000-05-17,27.13,27.63,26.44,27.44,20.1389,669900,0.0,1.0
2000-05-18,27.5,28.0,27.25,27.81,20.4104,639000,0.0,1.0
2000-05-19,26.81,27.81,26.81,27.25,19.9994,659800,0.0,1.0
2000-05-22,27.5,28.0,26.75,27.0,19.8159,645800,0.0,1.0
2000-05-23,27.25,28.25,27.13,27.5,20.1829,641600,0.0,1.0
2000-05-24,27.75,29.69,27.75,29.5,21.6507,1757600,0.0,1.0
2000-05-25,29.5,29.5,28.44,28.75,21.1003,844200,0.0,1.0
2000-05-26,28.69,28.81,28.0,28.19,20.6893,449600,0.0,1.0
2000-05-30,28.44,30.0,28.31,29.31,21.5113,898500,0.0,1.0
2000-05-31,29.0,29.44,28.69,28.88,21.1957,587000,0.0,1.0
2000-06-01,29.0,29.0,28.44,28.63,21.0122,270800,0.0,1.0
2000-06-02,29.06,29.06,28.06,28.56,20.9608,472000,0.0,1.0
2000-06-05,28.56,29.19,28.44,29.0,21.2838,547400,0.0,1.0
2000-06-06,28.88,29.5,28.25,29.31,21.5113,548900,0.0,1.0
2000-06-07,29.25,29.25,27.94,28.13,20.7131,674800,0.0925,1.0
2000-06-08,28.13,28.13,27.5,27.88,20.5291,266200,0.0,1.0
2000-06-09,27.94,28.56,27.81,28.13,20.7131,444500,0.0,1.0
2000-06-12,28.0,28.13,27.44,27.44,20.2051,487400,0.0,1.0
2000-06-13,27.38,27.94,27.31,27.63,20.345,670500,0.0,1.0
2000-06-14,27.69,28.25,27.63,27.88,20.5291,973100,0.0,1.0
2000-06-15,27.94,28.69,27.88,28.25,20.8015,983900,0.0,1.0
2000-06-16,28.0,28.13,27.5,27.78,20.4554,578200,0.0,1.0
2000-06-19,27.88,27.94,27.25,27.88,20.5291,690300,0.0,1.0
