,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,33.19,33.69,32.88,33.31,7.2195,432200,0.0,1.0
2000-01-19,33.25,33.56,33.06,33.31,7.2195,365800,0.0,1.0
2000-01-20,33.25,34.44,33.13,34.25,7.4232,692300,0.0,1.0
2000-01-21,35.63,36.19,35.0,35.38,7.6681,962000,0.0,1.0
2000-01-24,35.44,36.31,35.44,35.81,7.7613,589700,0.0,1.0
2000-01-25,36.06,39.19,35.94,38.5,8.3443,1610700,0.0,1.0
2000-01-26,36.75,38.5,36.13,38.0,8.236,900500,0.0,1.0
2000-01-27,37.88,37.88,36.56,36.88,7.9932,660700,0.0,1.0
2000-01-28,36.75,36.75,35.56,35.75,7.7483,468300,0.0,1.0
2000-01-31,35.75,35.88,35.25,35.69,7.7353,557900,0.0,1.0
2000-02-01,35.69,35.69,34.81,35.0,7.5858,525900,0.0,1.0
2000-02-02,35.0,36.19,34.25,35.56,7.7071,2407500,0.0,1.0
2000-02-03,35.81,36.06,35.13,35.38,7.6681,266900,0.0,1.0
2000-02-04,36.31,36.56,35.31,36.31,7.8697,766200,0.0,1.0
2000-02-07,36.0,36.44,35.56,35.56,7.7071,432500,0.0,1.0
2000-02-08,35.75,35.81,35.0,35.13,7.6139,341300,0.0,1.0
2000-02-09,35.13,35.13,33.5,33.56,7.2737,356100,0.0,1.0
2000-02-10,33.69,34.69,33.06,33.19,7.1935,325500,0.0,1.0
2000-02-11,32.94,33.94,32.5,33.0,7.1523,319900,0.0,1.0
2000-02-14,33.0,33.0,31.63,31.88,6.9095,503100,0.0,1.0
2000-02-15,31.88,32.38,31.63,32.19,6.9767,727500,0.0,1.0
2000-02-16,32.13,33.88,31.0,32.25,6.9897,700600,0.0,1.0
2000-02-17,32.06,32.06,30.81,30.94,6.7058,463300,0.0,1.0
2000-02-18,30.88,31.19,29.5,29.81,6.4609,677700,0.0,1.0
2000-02-22,30.0,30.31,29.31,29.69,6.4349,1952000,0.0,1.0
2000-02-23,29.69,30.5,28.81,29.31,6.3525,331600,0.0,1.0
2000-02-24,29.44,29.44,28.13,28.81,6.2442,1071900,0.0,1.0
2000-02-25,28.81,28.88,27.69,27.69,6.0014,722500,0.0,1.0
2000-02-28,27.94,28.13,27.5,27.88,6.0426,884500,0.0,1.0
2000-02-29,26.88,27.63,26.56,27.19,5.8931,860700,0.0,1.0
2000-03-01,26.75,27.44,24.63,27.19,5.8931,1853600,0.0,1.0
2000-03-02,27.19,27.44,26.56,27.38,5.9342,937700,0.0,1.0
2000-03-03,27.06,28.25,26.94,27.81,6.0274,410200,0.0,1.0
2000-03-06,29.81,29.94,27.5,27.75,6.0144,893500,0.0,1.0
2000-03-07,27.88,28.0,26.31,26.38,5.7175,568600,0.0,1.0
2000-03-08,26.38,26.44,25.19,25.31,5.4856,577700,0.0,1.0
