,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,56.5,56.88,56.19,56.5,3.7766,195600,0.0,1.0
2000-01-19,56.5,57.25,56.5,57.0,3.81,216987,0.0,1.0
2000-01-20,57.0,58.38,56.88,58.0,3.8769,284987,0.0,1.0
2000-01-21,58.5,59.37,57.69,57.81,3.8642,138800,0.0,1.0
2000-01-24,58.0,58.87,57.25,57.38,3.8354,132080,0.0,1.0
2000-01-25,57.12,57.69,56.44,56.56,3.7806,111600,0.0,1.0
2000-01-26,56.75,56.81,55.25,55.94,3.7392,71387,0.0,1.0
2000-01-27,55.62,55.75,54.87,55.38,3.7017,35600,0.0,1.0
2000-01-28,55.38,55.56,54.5,54.94,3.6723,64587,0.0,1.0
2000-01-31,55.06,56.0,54.0,55.94,3.7392,62187,0.0,1.0
2000-02-01,55.69,55.69,54.38,55.44,3.7057,34987,0.0,1.0
2000-02-02,55.25,56.56,54.75,55.5,3.7098,62667,0.0,1.0
2000-02-03,55.25,57.5,55.25,56.69,3.7893,92987,0.0,1.0
2000-02-04,56.44,56.44,53.63,54.5,3.6429,78800,0.0,1.0
2000-02-07,53.94,54.38,53.81,54.0,3.6095,96480,0.0,1.0
2000-02-08,54.06,54.12,53.06,53.25,3.5594,54800,0.0,1.0
2000-02-09,53.44,53.44,52.75,52.88,3.5346,61787,0.0,1.0
2000-02-10,52.88,54.12,52.88,52.88,3.5346,56987,0.0,1.0
2000-02-11,52.88,53.13,51.63,51.81,3.4631,87067,0.0,1.0
2000-02-14,51.94,52.5,51.75,52.06,3.4798,56267,0.0,1.0
2000-02-15,51.63,52.69,51.06,52.5,3.5092,90587,0.0,1.0
2000-02-16,52.19,52.31,51.12,51.19,3.4217,41867,0.0,1.0
2000-02-17,51.19,51.63,49.56,49.69,3.3214,91067,0.0,1.0
2000-02-18,49.5,50.62,49.5,50.25,3.3588,99600,0.0,1.0
2000-02-22,50.88,50.88,49.94,50.37,3.3669,79200,0.0,1.0
2000-02-23,49.75,50.75,48.69,50.19,3.3548,108267,0.0,1.0
2000-02-24,49.94,50.0,46.5,47.81,3.1957,159387,0.0,1.0
2000-02-25,46.5,48.06,46.5,47.13,3.1503,91280,0.0,1.0
2000-02-28,47.37,48.25,47.13,47.13,3.171,102880,0.31,1.0
2000-02-29,47.37,47.75,47.06,47.62,3.204,126667,0.0,1.0
2000-03-01,47.37,47.44,46.38,47.06,3.1663,51787,0.0,1.0
2000-03-02,47.25,47.25,45.63,46.13,3.1037,92987,0.0,1.0
2000-03-03,46.25,46.25,44.94,45.44,3.0573,96587,0.0,1.0
2000-03-06,45.19,45.19,44.0,44.62,3.0021,50187,0.0,1.0
2000-03-07,45.0,45.0,42.0,42.94,2.8891,90880,0.0,1.0
2000-03-08,42.38,43.12,42.06,43.0,2.914,74000,0.31,1.0
2000-03-09,43.12,43.81,42.44,43.81,2.9689,67680,0.0,1.0
2000-03-10,44.0,44.0,42.06,42.69,2.893,92000,0.0,1.0
2000-03-13,42.44,43.69,42.31,42.44,2.876,102080,0.0,1.0
2000-03-14,42.0,44.0,41.88,43.81,2.9689,79067,0.0,1.0
2000-03-15,43.87,46.75,43.81,46.62,3.1593,90880,0.0,1.0
2000-03-16,47.13,50.75,47.06,49.44,3.3504,84987,0.0,1.0
2000-03-17,49.19,50.75,49.06,50.0,3.3884,112987,0.0,1.0
2000-03-20,49.75,49.75,48.63,49.06,3.3247,51867,0.0,1.0
2000-03-21,49.62,49.94,48.31,48.94,3.3165,40800,0.0,1.0
2000-03-22,48.69,49.19,48.44,49.19,3.3335,36480,0.0,1.0
2000-03-23,48.94,50.94,48.0,50.5,3.4222,66880,0.0,1.0
2000-03-24,50.25,50.31,49.5,49.94,3.3843,40080,0.0,1.0
2000-03-27,50.0,51.31,50.0,50.81,3.4433,51467,0.0,1.0
2000-03-28,50.56,53.0,50.56,52.0,3.5239,53787,0.0,1.0
2000-03-29,52.06,52.62,52.0,52.25,3.5408,43467,0.0,1.0
2000-03-30,52.5,54.75,52.5,54.12,3.6676,73387,0.0,1.0
2000-03-31,54.19,55.31,53.63,54.44,3.6892,76800,0.0,1.0
2000-04-03,54.69,57.63,54.69,57.31,3.8837,111467,0.0,1.0
