,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,38.0,38.56,37.31,37.38,24.279,1518900,0.0,1.0
2000-01-19,37.5,38.69,37.06,37.13,24.2267,2153600,0.1696,1.0
2000-01-20,37.75,37.75,36.75,36.75,23.9788,1368500,0.0,1.0
2000-01-21,38.0,38.0,36.25,36.38,23.7374,1647800,0.0,1.0
2000-01-24,36.81,37.31,35.75,36.25,23.6526,1068000,0.0,1.0
2000-01-25,36.25,37.25,35.81,36.31,23.6917,1504400,0.0,1.0
2000-01-26,36.38,39.5,36.19,39.44,25.734,2116300,0.0,1.0
2000-01-27,39.88,40.38,38.75,39.06,25.486,2499300,0.0,1.0
2000-01-28,38.0,38.38,37.5,37.75,24.6313,1849500,0.0,1.0
2000-01-31,37.69,40.63,37.31,40.63,26.5104,2061600,0.0,1.0
2000-02-01,40.69,40.94,39.63,40.88,26.6736,2132100,0.0,1.0
2000-02-02,40.63,40.69,39.56,39.88,26.0211,1475100,0.0,1.0
2000-02-03,40.25,40.5,38.5,39.56,25.8123,1303100,0.0,1.0
2000-02-04,40.13,40.13,37.88,37.94,24.7553,1376700,0.0,1.0
2000-02-07,38.0,38.38,37.56,38.25,24.9575,931300,0.0,1.0
2000-02-08,38.75,39.5,38.5,39.31,25.6492,1309200,0.0,1.0
2000-02-09,39.31,39.31,38.06,38.06,24.8335,1789700,0.0,1.0
2000-02-10,38.06,38.44,36.44,36.5,23.8157,1325100,0.0,1.0
2000-02-11,36.5,37.56,36.5,36.81,24.0179,1373400,0.0,1.0
2000-02-14,36.56,37.44,35.75,36.02,23.5025,1413400,0.0,1.0
2000-02-15,35.81,37.56,35.69,36.94,24.1028,1176700,0.0,1.0
2000-02-16,37.0,37.5,36.56,37.5,24.4682,2636700,0.0,1.0
2000-02-17,37.13,37.38,34.31,35.06,22.8761,2817300,0.0,1.0
2000-02-18,34.63,35.13,32.81,33.56,21.8974,2749500,0.0,1.0
2000-02-22,34.0,34.13,32.94,33.94,22.1453,1811700,0.0,1.0
2000-02-23,33.5,34.06,33.19,33.25,21.6951,1523700,0.0,1.0
2000-02-24,33.0,33.38,31.5,31.88,20.8012,2473900,0.0,1.0
2000-02-25,32.13,33.44,31.81,33.0,21.532,2459500,0.0,1.0
2000-02-28,33.5,35.19,33.31,34.75,22.6738,2587100,0.0,1.0
2000-02-29,34.75,34.75,32.94,33.25,21.6951,2443900,0.0,1.0
2000-03-01,34.0,34.0,31.69,32.44,21.1666,3564700,0.0,1.0
2000-03-02,33.25,33.25,32.38,33.13,21.6168,2243200,0.0,1.0
2000-03-03,33.13,33.5,32.06,32.06,20.9186,1835700,0.0,1.0
2000-03-06,32.5,32.94,31.88,32.75,21.3689,1927600,0.0,1.0
2000-03-07,32.5,32.56,31.25,31.31,20.4293,1819100,0.0,1.0
2000-03-08,30.88,31.25,29.75,31.0,20.227,2789900,0.0,1.0
2000-03-09,31.06,32.31,31.06,32.19,21.0035,2136000,0.0,1.0
2000-03-10,32.06,32.69,31.19,31.69,20.6772,1886600,0.0,1.0
2000-03-13,31.25,33.44,31.13,33.13,21.6168,2109800,0.0,1.0
2000-03-14,33.19,33.19,31.75,31.88,20.8012,1132800,0.0,1.0
2000-03-15,32.06,35.5,31.69,35.19,22.9609,3960000,0.0,1.0
2000-03-16,36.5,41.0,36.25,40.88,26.6736,5542000,0.0,1.0
2000-03-17,40.75,40.75,38.63,38.69,25.2446,2862400,0.0,1.0
2000-03-20,38.69,38.75,36.38,37.06,24.1811,1966700,0.0,1.0
2000-03-21,37.06,39.38,36.88,38.63,25.2055,2592700,0.0,1.0
2000-03-22,38.38,39.13,38.0,38.88,25.3686,1634700,0.0,1.0
2000-03-23,38.63,40.44,38.63,40.0,26.0994,2518900,0.0,1.0
2000-03-24,40.13,40.94,39.5,40.69,26.5496,2510400,0.0,1.0
2000-03-27,40.19,40.44,38.56,39.31,25.6492,1140000,0.0,1.0
2000-03-28,38.38,40.5,38.38,39.75,25.9362,1634400,0.0,1.0
2000-03-29,39.88,40.0,39.06,39.31,25.6492,975300,0.0,1.0
2000-03-30,39.56,40.25,39.19,39.31,25.6492,1481700,0.0,1.0
2000-03-31,39.31,42.13,39.13,41.56,27.1172,2938000,0.0,1.0
2000-04-03,41.56,44.38,41.56,43.55,28.4157,4992000,0.0,1.0
2000-04-04,43.25,44.38,40.63,41.69,27.2021,3956900,0.0,1.0
2000-04-05,41.81,42.88,41.63,41.94,27.3652,2577400,0.0,1.0
2000-04-06,41.81,42.25,40.94,41.63,27.1629,1863900,0.0,1.0
2000-04-07,41.63,42.19,40.19,40.44,26.3865,1089200,0.0,1.0
2000-04-10,40.69,42.75,39.88,42.63,27.8154,1822200,0.0,1.0
2000-04-11,41.88,42.69,40.69,41.19,26.8758,1413100,0.0,1.0
2000-04-12,41.13,45.75,41.13,43.38,28.3048,3628300,0.0,1.0
2000-04-13,43.13,44.0,41.63,43.13,28.1416,2190600,0.0,1.0
2000-04-14,42.44,42.44,39.19,39.44,25.734,2092100,0.0,1.0
2000-04-17,39.44,40.06,39.13,39.56,25.8123,1907600,0.0,1.0
2000-04-18,40.75,42.88,40.44,42.81,28.0435,2668300,0.1696,1.0
2000-04-19,42.63,42.63,40.94,41.44,27.1461,1712900,0.0,1.0
2000-04-20,42.13,42.25,41.31,41.94,27.4736,1368700,0.0,1.0
2000-04-24,41.75,43.31,41.44,43.19,28.2924,1405700,0.0,1.0
2000-04-25,43.31,45.44,43.31,44.81,29.3536,1878600,0.0,1.0
2000-04-26,44.69,44.94,43.06,43.5,28.4955,1734000,0.0,1.0
2000-04-27,42.25,42.5,40.75,42.25,27.6767,1716000,0.0,1.0
2000-04-28,42.38,42.94,41.06,41.06,26.8971,1817000,0.0,1.0
2000-05-01,41.31,43.38,41.0,42.5,27.8404,1304700,0.0,1.0
2000-05-02,42.25,42.63,41.81,41.88,27.4343,1365000,0.0,1.0
2000-05-03,41.94,42.69,40.88,40.94,26.8185,1709500,0.0,1.0
2000-05-04,41.06,41.06,39.94,40.0,26.2028,1367500,0.0,1.0
2000-05-05,39.94,41.88,39.63,41.56,27.2247,1444900,0.0,1.0
2000-05-08,41.75,43.5,41.56,43.19,28.2924,1049200,0.0,1.0
2000-05-09,43.5,45.06,43.38,43.88,28.7444,1875100,0.0,1.0
2000-05-10,43.13,44.0,43.06,43.19,28.2924,1064300,0.0,1.0
2000-05-11,43.63,45.13,43.63,43.75,28.6593,1470100,0.0,1.0
2000-05-12,44.0,45.38,43.63,44.81,29.3536,1292000,0.0,1.0
2000-05-15,44.81,46.75,44.81,46.56,30.5,1951700,0.0,1.0
2000-05-16,47.13,47.69,46.13,46.25,30.2969,2932200,0.0,1.0
2000-05-17,45.81,46.56,45.5,45.81,30.0087,1244300,0.0,1.0
2000-05-18,46.0,47.5,46.0,46.44,30.4214,2233500,0.0,1.0
2000-05-19,45.75,46.13,43.56,44.0,28.823,2694500,0.0,1.0
2000-05-22,44.63,46.0,44.19,45.81,30.0087,1579200,0.0,1.0
2000-05-23,46.88,47.13,46.0,47.13,30.8734,2407600,0.0,1.0
2000-05-24,47.13,48.25,47.13,48.0,31.4433,2057000,0.0,1.0
2000-05-25,47.5,47.5,45.5,46.5,30.4607,1762000,0.0,1.0
2000-05-26,46.44,47.44,46.38,47.0,30.7882,1050500,0.0,1.0
2000-05-30,47.13,47.13,46.0,46.69,30.5852,1256100,0.0,1.0
2000-05-31,47.63,47.63,46.63,46.94,30.7489,2054900,0.0,1.0
2000-06-01,47.06,49.0,47.06,47.94,31.404,2289600,0.0,1.0
2000-06-02,49.5,49.75,48.19,48.63,31.856,2922700,0.0,1.0
2000-06-05,48.0,48.38,46.13,46.88,30.7096,1496000,0.0,1.0
2000-06-06,46.75,46.94,45.31,46.81,30.6638,1247100,0.0,1.0
2000-06-07,47.0,47.63,46.88,47.0,30.7882,1682900,0.0,1.0
2000-06-08,46.81,47.0,45.5,46.0,30.1332,992800,0.0,1.0
2000-06-09,46.38,46.56,44.13,44.63,29.2357,962500,0.0,1.0
2000-06-12,44.5,45.69,44.5,45.15,29.5764,1027600,0.0,1.0
2000-06-13,45.69,45.94,44.44,45.75,29.9694,896100,0.0,1.0
2000-06-14,45.38,46.63,45.38,45.94,30.0939,1082500,0.0,1.0
2000-06-15,45.0,45.5,42.94,45.31,29.6812,2938300,0.0,1.0
2000-06-16,44.5,44.63,42.69,43.63,28.5807,3205300,0.0,1.0
2000-06-19,44.5,46.0,44.13,44.56,29.1899,1777600,0.0,1.0
2000-06-20,44.63,45.5,44.38,45.44,29.7663,1291800,0.0,1.0
2000-06-21,45.38,45.44,43.13,43.63,28.5807,2195500,0.0,1.0
2000-06-22,43.25,45.0,43.13,44.88,29.3995,1642000,0.0,1.0
2000-06-23,45.88,46.69,45.5,46.19,30.2576,1987400,0.0,1.0
2000-06-26,45.88,48.19,45.88,47.5,31.1158,1875500,0.0,1.0
2000-06-27,48.13,48.81,48.06,48.13,31.5285,1499300,0.0,1.0
2000-06-28,48.19,49.69,47.94,47.98,31.4302,1727800,0.0,1.0
2000-06-29,48.25,48.31,47.19,47.75,31.2796,1417400,0.0,1.0
2000-06-30,47.5,48.19,46.0,46.5,30.4607,2276900,0.0,1.0
2000-07-03,47.0,49.0,47.0,48.63,31.856,755900,0.0,1.0
2000-07-05,49.38,49.94,48.31,48.88,32.0198,2092700,0.0,1.0
2000-07-06,48.88,48.88,47.63,48.31,31.6464,1330600,0.0,1.0
2000-07-07,48.31,49.81,48.25,48.69,31.8953,2169800,0.0,1.0
2000-07-10,49.0,49.63,48.25,48.25,31.6071,1650600,0.0,1.0
2000-07-11,48.5,49.5,48.19,48.81,31.9739,949900,0.0,1.0
2000-07-12,49.0,49.63,48.0,48.5,31.7709,1740100,0.0,1.0
2000-07-13,48.13,48.38,46.31,46.38,30.3821,1915000,0.0,1.0
2000-07-14,46.56,47.75,46.5,46.94,30.7489,1953700,0.0,1.0
2000-07-17,48.0,49.31,47.63,48.41,31.7119,1846600,0.0,1.0
2000-07-18,49.0,49.0,47.5,48.19,31.5678,1426800,0.0,1.0
2000-07-19,48.75,49.19,48.06,48.19,31.6789,797200,0.1696,1.0
2000-07-20,48.63,49.75,48.56,49.31,32.4151,1451600,0.0,1.0
2000-07-21,49.81,50.69,49.63,50.0,32.8687,1931600,0.0,1.0
2000-07-24,50.13,51.69,49.69,50.06,32.9082,1702700,0.0,1.0
2000-07-25,50.63,50.94,50.06,50.81,33.4012,1867100,0.0,1.0
2000-07-26,50.69,50.75,47.88,48.31,31.7578,1877200,0.0,1.0
2000-07-27,48.25,49.0,47.0,47.94,31.5145,2228800,0.0,1.0
2000-07-28,48.0,48.13,46.56,46.94,30.8572,1565700,0.0,1.0
2000-07-31,48.0,48.44,46.75,46.81,30.7717,1609800,0.0,1.0
2000-08-01,47.0,47.38,45.94,47.06,30.936,1527500,0.0,1.0
2000-08-02,47.5,47.56,46.44,47.19,31.0215,957000,0.0,1.0
2000-08-03,46.5,50.69,46.5,49.94,32.8293,2429300,0.0,1.0
2000-08-04,50.63,52.25,50.25,52.25,34.3478,2813800,0.0,1.0
2000-08-07,52.0,52.5,50.5,52.44,34.4727,1833800,0.0,1.0
2000-08-08,51.88,52.38,51.06,52.38,34.4333,1177500,0.0,1.0
