,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2017-07-05,40.8,40.82,37.25,37.25,34.9012,5883326,17.5,1.0
2017-07-06,38.09,38.09,36.52,37.01,34.6763,5088097,0.0,1.0
2017-07-07,38.14,38.59,36.12,37.91,35.5196,6014535,0.0,1.0
2017-07-10,37.63,38.17,36.8,37.23,34.8825,4721508,0.0,1.0
2017-07-11,37.31,37.78,36.89,37.35,34.9949,2791176,0.0,1.0
2017-07-12,37.77,37.99,37.25,37.37,35.0136,3260591,0.0,1.0
2017-07-13,37.45,37.65,36.69,36.84,34.5171,3860643,0.0,1.0
2017-07-14,37.0,37.495,36.91,37.35,34.9949,2872910,0.0,1.0
2017-07-17,37.71,38.37,37.64,37.64,35.2666,3917588,0.0,1.0
2017-07-18,37.52,37.78,36.73,36.75,34.4327,3198593,0.0,1.0
2017-07-19,36.59,37.09,36.36,36.54,34.236,4230853,0.0,1.0
2017-07-20,36.59,36.9,34.86,34.97,32.765,6397004,0.0,1.0
2017-07-21,34.73,34.88,33.44,34.12,31.9686,7737292,0.0,1.0
2017-07-24,34.26,34.46,33.88,34.36,32.1934,2850884,0.0,1.0
2017-07-25,34.81,35.28,34.77,35.25,33.0273,2871897,0.0,1.0
2017-07-26,35.58,36.18,35.22,36.05,33.7769,3826003,0.0,1.0
2017-07-27,35.97,37.04,35.7,36.16,33.8799,4593651,0.0,1.0
2017-07-28,34.85,37.5,34.2257,37.1,34.7607,4261445,0.0,1.0
2017-07-31,37.14,37.17,36.43,36.89,34.5639,3318805,0.0,1.0
2017-08-01,35.42,35.54,35.06,35.23,33.0086,2955189,0.0,1.0
2017-08-02,35.36,35.55,35.035,35.35,33.121,3405697,0.0,1.0
2017-08-03,35.26,35.51,35.07,35.31,33.0835,3181029,0.0,1.0
2017-08-04,35.42,35.54,35.06,35.23,33.0086,3110626,0.0,1.0
2017-08-07,35.1,35.27,34.4,34.56,32.3808,2054097,0.0,1.0
2017-08-08,34.75,35.47,34.6442,34.94,32.7369,2155678,0.0,1.0
2017-08-09,34.79,35.29,34.76,35.02,32.9711,2252626,0.17,1.0
2017-08-10,35.01,35.29,34.57,34.7,32.6698,1971691,0.0,1.0
2017-08-11,34.51,34.89,34.28,34.29,32.2838,1185973,0.0,1.0
2017-08-14,34.51,34.54,34.135,34.26,32.2556,1927835,0.0,1.0
2017-08-15,34.03,34.42,34.03,34.31,32.3026,2153221,0.0,1.0
2017-08-16,34.37,34.51,33.76,33.83,31.8507,1367515,0.0,1.0
2017-08-17,33.79,34.09,32.75,32.8,30.881,2200268,0.0,1.0
2017-08-18,32.74,33.13,32.4301,32.77,30.8527,3179783,0.0,1.0
2017-08-21,32.77,32.99,32.46,32.54,30.6362,2340815,0.0,1.0
2017-08-22,32.62,32.945,32.43,32.69,30.7774,1872479,0.0,1.0
2017-08-23,32.51,33.24,32.51,33.04,31.1069,1565407,0.0,1.0
2017-08-24,33.09,33.09,32.54,32.82,30.8998,1781949,0.0,1.0
2017-08-25,32.88,33.41,32.8701,33.26,31.3141,2035870,0.0,1.0
2017-08-28,33.27,33.4,32.82,33.25,31.3047,2510523,0.0,1.0
2017-08-29,33.1,33.81,33.1,33.75,31.7754,2192874,0.0,1.0
2017-08-30,33.6,33.73,33.2376,33.51,31.5495,1637279,0.0,1.0
2017-08-31,33.99,34.35,33.46,33.9,31.9166,3592925,0.0,1.0
2017-09-01,33.97,34.44,33.73,34.3,32.2932,1723282,0.0,1.0
2017-09-05,34.83,35.45,34.49,34.97,32.924,4386834,0.0,1.0
2017-09-06,35.39,35.74,34.72,34.74,32.7075,3285802,0.0,1.0
2017-09-07,34.77,35.25,34.29,34.75,32.7169,2064761,0.0,1.0
2017-09-08,34.77,34.98,34.06,34.42,32.4062,3018954,0.0,1.0
2017-09-11,34.52,35.6,34.37,35.48,33.4042,2825224,0.0,1.0
2017-09-12,35.38,36.4,35.24,35.96,33.8561,3537032,0.0,1.0
2017-09-13,35.94,36.73,35.9,36.09,33.9785,4296996,0.0,1.0
2017-09-14,36.35,37.14,36.2,36.38,34.2515,4785692,0.0,1.0
2017-09-15,36.37,36.91,36.37,36.9,34.7411,7621328,0.0,1.0
2017-09-18,36.91,37.49,36.78,37.36,35.1742,3251876,0.0,1.0
2017-09-19,37.31,37.45,37.06,37.39,35.2024,2958567,0.0,1.0
2017-09-20,37.55,37.68,37.24,37.5,35.306,2138025,0.0,1.0
2017-09-21,37.17,37.26,36.365,36.58,34.4398,2565040,0.0,1.0
2017-09-22,36.53,36.74,36.28,36.67,34.5246,3587582,0.0,1.0
2017-09-25,36.85,38.1,36.63,37.52,35.3248,4722920,0.0,1.0
2017-09-26,37.34,37.34,36.6597,37.04,34.8729,2621187,0.0,1.0
2017-09-27,37.1,37.2,36.69,36.93,34.7694,1991726,0.0,1.0
2017-09-28,37.12,37.24,36.56,37.03,34.8635,2119848,0.0,1.0
2017-09-29,36.8,37.05,36.32,36.62,34.4775,3244297,0.0,1.0
2017-10-02,35.96,36.91,35.92,36.86,34.7035,1906955,0.0,1.0
2017-10-03,36.84,37.1,36.39,36.67,34.5246,2465816,0.0,1.0
2017-10-04,36.75,37.09,36.53,36.71,34.5622,1970215,0.0,1.0
2017-10-05,36.84,36.92,36.46,36.48,34.3457,1901599,0.0,1.0
2017-10-06,36.16,36.71,36.04,36.53,34.3928,1826297,0.0,1.0
2017-10-09,36.59,36.67,35.8,35.84,33.7431,3157903,0.0,1.0
2017-10-10,36.06,36.23,34.92,34.97,32.924,4200133,0.0,1.0
2017-10-11,34.81,34.9,34.23,34.39,32.378,4178147,0.0,1.0
2017-10-12,34.14,34.3,33.78,33.92,31.9355,4645410,0.0,1.0
2017-10-13,34.26,34.6,33.71,33.73,31.7566,2853566,0.0,1.0
2017-10-16,34.04,34.225,33.641,33.7,31.7283,2891032,0.0,1.0
2017-10-17,33.64,34.07,33.3,33.79,31.8131,4621612,0.0,1.0
2017-10-18,33.84,34.26,33.75,33.8,31.8225,2626085,0.0,1.0
2017-10-19,33.55,33.89,33.05,33.15,31.2105,4573949,0.0,1.0
2017-10-20,32.01,33.43,31.44,33.26,31.3141,7142298,0.0,1.0
2017-10-23,33.1,33.26,31.4,31.47,29.6288,5762277,0.0,1.0
2017-10-24,31.56,31.66,30.63,30.69,28.8944,4114200,0.0,1.0
2017-10-25,30.7,30.86,30.0,30.05,28.2919,4168498,0.0,1.0
2017-10-26,30.12,30.34,29.73,29.94,28.1883,2594872,0.0,1.0
2017-10-27,29.79,31.31,29.62,31.3,29.4687,4619981,0.0,1.0
