,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,17.75,18.25,17.75,18.0,12.3737,77300,0.0,1.0
2000-01-19,18.0,18.38,17.94,18.25,12.5455,34500,0.0,1.0
2000-01-20,18.25,18.25,17.38,17.5,12.03,42200,0.0,1.0
2000-01-21,17.44,17.5,17.25,17.38,11.9475,16000,0.0,1.0
2000-01-24,17.5,17.5,17.0,17.13,11.7756,10700,0.0,1.0
2000-01-25,17.13,17.5,17.06,17.25,11.8581,19200,0.0,1.0
2000-01-26,17.25,17.5,17.25,17.44,11.9887,16600,0.0,1.0
2000-01-27,17.44,18.0,17.44,17.5,12.03,33600,0.0,1.0
2000-01-28,17.63,17.63,17.31,17.38,11.9475,3900,0.0,1.0
2000-01-31,17.13,17.5,17.13,17.5,12.03,53900,0.0,1.0
2000-02-01,17.38,17.75,17.38,17.75,12.2018,15400,0.0,1.0
2000-02-02,18.0,18.13,17.88,17.94,12.3324,92700,0.0,1.0
2000-02-03,18.06,18.13,17.94,18.0,12.3737,35200,0.0,1.0
2000-02-04,18.13,18.56,18.13,18.38,12.6349,51500,0.0,1.0
2000-02-07,18.44,18.56,18.38,18.5,12.7174,25200,0.0,1.0
2000-02-08,18.5,18.88,18.5,18.56,12.7586,45300,0.0,1.0
2000-02-09,18.75,18.75,18.38,18.38,12.6349,9100,0.0,1.0
2000-02-10,18.5,18.5,17.88,17.88,12.2912,9700,0.0,1.0
2000-02-11,17.88,18.0,17.88,17.94,12.3324,24700,0.0,1.0
2000-02-14,18.06,18.06,17.88,18.0,12.3737,7100,0.0,1.0
2000-02-15,17.88,18.0,17.88,17.88,12.2912,4900,0.0,1.0
2000-02-16,17.88,18.5,17.88,18.5,12.7174,69000,0.0,1.0
2000-02-17,18.5,18.69,18.31,18.38,12.6349,28100,0.0,1.0
2000-02-18,18.38,18.56,18.38,18.5,12.7174,5000,0.0,1.0
2000-02-22,18.63,18.81,18.56,18.56,12.7586,10700,0.0,1.0
2000-02-23,18.56,18.94,18.56,18.81,12.9305,5700,0.0,1.0
2000-02-24,18.88,19.13,18.88,19.0,13.0611,61800,0.0,1.0
2000-02-25,19.0,19.25,19.0,19.25,13.2329,41400,0.0,1.0
2000-02-28,19.25,20.13,19.25,20.13,13.8379,35700,0.0,1.0
2000-02-29,21.75,21.88,21.63,21.88,15.0409,79900,0.0,1.0
2000-03-01,22.5,22.75,21.75,21.75,14.9515,140600,0.0,1.0
2000-03-02,22.0,22.25,22.0,22.06,15.1646,26600,0.0,1.0
2000-03-03,22.13,22.13,22.06,22.13,15.2127,17300,0.0,1.0
2000-03-06,22.06,22.25,22.06,22.06,15.1646,9900,0.0,1.0
2000-03-07,22.13,22.13,21.75,22.0,15.1234,26200,0.0,1.0
2000-03-08,22.0,22.19,22.0,22.0,15.1234,31700,0.0,1.0
