,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,42.31,43.25,41.94,42.38,2.1911,177400,0.0,1.0
2000-01-19,42.63,42.63,41.38,41.69,2.1554,255900,0.0,1.0
2000-01-20,41.94,42.31,41.56,41.94,2.1683,211400,0.0,1.0
2000-01-21,42.63,42.88,41.0,41.0,2.1197,268100,0.0,1.0
2000-01-24,41.25,41.31,39.0,39.38,2.036,165900,0.0,1.0
2000-01-25,39.25,39.38,37.5,37.5,1.9388,200400,0.0,1.0
2000-01-26,37.0,38.44,37.0,38.0,1.9646,180300,0.0,1.0
2000-01-27,38.06,38.19,37.19,37.44,1.9357,230000,0.0,1.0
2000-01-28,37.5,37.5,36.0,36.0,1.8612,153700,0.0,1.0
2000-01-31,36.06,36.81,35.31,36.38,1.8809,139600,0.0,1.0
2000-02-01,36.13,36.56,35.5,35.94,1.8581,65700,0.0,1.0
2000-02-02,36.13,36.19,35.0,35.31,1.8256,112600,0.0,1.0
2000-02-03,36.13,36.25,35.06,35.44,1.8323,114500,0.0,1.0
2000-02-04,35.31,35.31,34.5,34.75,1.7966,133700,0.0,1.0
2000-02-07,34.94,35.0,33.94,34.0,1.7578,110400,0.0,1.0
2000-02-08,34.13,34.31,32.94,32.94,1.703,87600,0.0,1.0
2000-02-09,33.0,33.75,32.38,33.13,1.7129,206900,0.0,1.0
2000-02-10,33.13,33.13,32.31,32.56,1.6834,84500,0.0,1.0
2000-02-11,32.56,32.75,31.69,32.31,1.6705,103700,0.0,1.0
2000-02-14,32.31,32.81,32.19,32.56,1.6834,87800,0.0,1.0
2000-02-15,32.31,32.88,32.06,32.06,1.6575,173500,0.0,1.0
2000-02-16,32.5,32.56,31.19,31.63,1.6353,126500,0.0,1.0
2000-02-17,31.75,32.06,31.56,31.75,1.6415,52600,0.0,1.0
2000-02-18,31.31,31.56,29.31,29.63,1.5319,181600,0.0,1.0
2000-02-22,30.38,30.44,29.75,30.25,1.564,85000,0.0,1.0
2000-02-23,30.06,30.75,29.94,29.94,1.5479,117800,0.0,1.0
2000-02-24,29.94,29.94,28.38,28.69,1.4833,120500,0.0,1.0
2000-02-25,28.94,29.0,28.13,28.25,1.4606,56000,0.0,1.0
2000-02-28,28.31,28.38,27.63,28.13,1.4621,68600,0.15,1.0
2000-02-29,28.13,28.25,26.81,26.81,1.3935,117300,0.0,1.0
2000-03-01,27.25,27.31,26.31,26.88,1.3971,183300,0.0,1.0
2000-03-02,26.94,26.94,26.0,26.5,1.3774,148400,0.0,1.0
2000-03-03,26.44,28.5,26.38,26.75,1.3904,164200,0.0,1.0
2000-03-06,26.75,27.63,26.75,27.06,1.4065,138800,0.0,1.0
2000-03-07,27.25,28.0,26.31,26.81,1.3935,191600,0.0,1.0
2000-03-08,27.06,29.38,27.06,28.25,1.4683,317100,0.0,1.0
2000-03-09,28.75,29.38,28.5,28.88,1.5011,143200,0.0,1.0
2000-03-10,28.63,29.0,28.19,28.44,1.4782,118600,0.0,1.0
2000-03-13,28.44,28.94,28.0,28.81,1.4974,135200,0.0,1.0
2000-03-14,29.0,29.69,28.69,29.31,1.5234,120100,0.0,1.0
2000-03-15,29.5,31.44,29.38,31.0,1.6113,208300,0.0,1.0
