,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,65.63,66.63,65.0,65.31,31.172,3782300,0.0,1.0
2000-01-19,65.31,66.06,63.69,64.06,30.5753,4188400,0.0,1.0
2000-01-20,64.25,64.44,61.44,61.88,29.5348,4610500,0.0,1.0
2000-01-21,61.0,61.88,59.5,61.19,29.2055,5863700,0.0,1.0
2000-01-24,63.0,63.13,58.0,58.69,28.0123,5113200,0.0,1.0
2000-01-25,59.38,60.75,59.19,59.88,28.5803,6337700,0.0,1.0
2000-01-26,59.88,61.75,59.5,61.5,29.3535,6858700,0.0,1.0
2000-01-27,62.5,62.81,61.81,62.25,29.7114,7669300,0.0,1.0
2000-01-28,63.38,65.75,62.88,64.25,30.666,7592600,0.0,1.0
2000-01-31,64.25,67.0,62.19,66.25,31.6206,5492700,0.0,1.0
2000-02-01,64.25,65.25,63.25,64.63,30.8474,4424100,0.0,1.0
2000-02-02,65.0,65.19,64.38,64.81,30.9333,3455700,0.0,1.0
2000-02-03,65.25,65.56,63.81,65.38,31.2054,3094300,0.0,1.0
2000-02-04,64.69,64.88,63.94,64.69,30.876,3108900,0.0,1.0
2000-02-07,64.25,64.69,62.63,64.25,30.666,3378500,0.0,1.0
2000-02-08,64.44,64.5,62.31,63.75,30.4274,4707000,0.0,1.0
2000-02-09,63.25,63.5,62.0,62.5,29.8308,3549100,0.0,1.0
2000-02-10,62.63,62.63,60.38,61.38,29.2962,4034400,0.0,1.0
2000-02-11,60.38,60.75,59.75,60.0,28.6375,3590300,0.0,1.0
2000-02-14,60.13,61.88,60.13,61.13,29.1769,3320500,0.0,1.0
2000-02-15,61.5,62.25,60.69,62.06,29.6208,4936100,0.0,1.0
2000-02-16,62.06,63.81,62.0,63.56,30.3367,4526600,0.0,1.0
2000-02-17,64.25,64.25,63.0,63.5,30.3081,4479600,0.0,1.0
2000-02-18,62.75,62.75,59.75,59.75,28.5182,6121400,0.0,1.0
2000-02-22,60.5,61.0,59.38,59.94,28.6089,5817400,0.0,1.0
2000-02-23,60.5,60.94,59.63,59.94,28.6089,4156400,0.0,1.0
2000-02-24,59.13,59.63,57.25,57.88,27.6257,6051200,0.0,1.0
2000-02-25,58.0,58.19,55.38,56.63,27.0291,5300100,0.0,1.0
2000-02-28,55.5,57.19,55.5,56.31,26.8763,5603400,0.0,1.0
2000-02-29,57.13,59.13,56.63,57.25,27.325,5050900,0.0,1.0
2000-03-01,56.69,57.0,50.25,51.25,24.4612,15580300,0.0,1.0
2000-03-02,52.06,53.56,51.63,52.7,25.1533,11046200,0.0,1.0
2000-03-03,52.5,52.56,50.25,51.5,24.5806,9444500,0.0,1.0
2000-03-06,50.5,50.5,45.75,46.44,22.1655,18310000,0.0,1.0
2000-03-07,46.44,47.25,42.44,43.5,20.7622,18039300,0.0,1.0
2000-03-08,44.25,48.88,44.25,47.75,22.7907,17237300,0.0,1.0
2000-03-09,48.94,54.13,48.31,53.75,25.6545,15570200,0.0,1.0
2000-03-10,52.75,53.75,51.88,52.38,25.0006,12927600,0.0,1.0
2000-03-13,50.5,52.25,50.25,50.94,24.3133,5942100,0.0,1.0
2000-03-14,47.5,49.56,47.5,47.94,22.8814,10250400,0.0,1.0
2000-03-15,49.25,51.38,48.56,50.5,24.1033,10702000,0.0,1.0
2000-03-16,51.13,56.38,51.06,55.69,26.5804,15903500,0.0,1.0
2000-03-17,55.0,56.06,53.19,53.5,25.5351,7595300,0.0,1.0
2000-03-20,53.5,53.75,52.69,52.94,25.2679,3490200,0.0,1.0
2000-03-21,52.63,53.75,51.81,53.25,25.4158,5994400,0.0,1.0
2000-03-22,54.75,55.13,53.75,54.63,26.0745,6072700,0.0,1.0
2000-03-23,54.63,56.81,54.63,56.0,26.7284,5630700,0.0,1.0
2000-03-24,55.63,56.38,54.81,55.0,26.2511,5618000,0.0,1.0
2000-03-27,55.0,55.06,54.19,54.63,26.0745,4762500,0.0,1.0
2000-03-28,54.13,55.5,53.94,55.06,26.2797,4531100,0.0,1.0
2000-03-29,57.5,58.44,56.56,57.88,27.6257,5682600,0.0,1.0
2000-03-30,58.0,59.25,57.25,57.25,27.325,5367000,0.0,1.0
2000-03-31,57.31,60.25,56.13,57.13,27.2677,5796200,0.0,1.0
2000-04-03,59.63,61.75,58.75,61.69,29.4442,6674100,0.0,1.0
2000-04-04,62.0,66.13,61.88,66.0,31.5013,11793000,0.0,1.0
2000-04-05,64.25,65.44,62.88,64.44,30.8737,6372800,0.245,1.0
2000-04-06,62.5,63.0,60.0,60.5,28.986,7921000,0.0,1.0
2000-04-07,59.88,60.13,58.63,59.5,28.5069,7172200,0.0,1.0
2000-04-10,59.5,61.88,59.19,61.38,29.4076,4655900,0.0,1.0
2000-04-11,63.5,64.81,62.75,64.25,30.7826,5486700,0.0,1.0
2000-04-12,64.25,66.25,63.75,64.81,31.0509,5900400,0.0,1.0
2000-04-13,64.38,67.63,63.75,66.5,31.8606,5467800,0.0,1.0
2000-04-14,66.0,66.38,62.5,63.38,30.3658,6039800,0.0,1.0
2000-04-17,63.38,65.0,62.75,64.88,31.0845,6027700,0.0,1.0
