,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2007-04-02,19.4,19.7,18.82,19.51,14.8675,9470300,0.0,1.0
2007-04-03,19.3,19.5,18.49,19.07,14.5322,7892900,0.0,1.0
2007-04-04,19.02,19.16,18.8,18.91,14.4103,4738000,0.0,1.0
2007-04-05,18.75,19.81,18.7,19.38,14.7684,4602900,0.0,1.0
2007-04-09,19.57,19.57,18.9,19.06,14.5246,3600900,0.0,1.0
2007-04-10,18.68,19.44,18.6,19.22,14.6465,3130800,0.0,1.0
2007-04-11,19.26,20.06,18.95,19.11,14.5627,3356100,0.0,1.0
2007-04-12,19.06,19.27,18.89,19.2,14.6313,2666300,0.0,1.0
2007-04-13,20.05,20.05,19.1,19.58,14.9208,2980900,0.0,1.0
2007-04-16,19.62,19.9,19.62,19.86,15.1342,1455800,0.0,1.0
2007-04-17,19.45,20.58,19.3,20.42,15.5609,1567200,0.0,1.0
2007-04-18,20.23,20.72,19.96,20.68,15.7591,1958200,0.0,1.0
2007-04-19,20.2,21.46,20.18,21.14,16.1096,1890100,0.0,1.0
2007-04-20,21.37,21.77,21.0,21.08,16.0639,2671300,0.0,1.0
2007-04-23,20.88,21.1,20.53,20.7,15.7743,1531800,0.0,1.0
2007-04-24,20.5196,20.7,20.5,20.61,15.7057,1752700,0.0,1.0
2007-04-25,20.61,20.67,20.22,20.26,15.439,1029600,0.0,1.0
2007-04-26,19.78,20.14,19.7,20.06,15.2866,1193200,0.0,1.0
2007-04-27,20.0,20.27,19.81,20.22,15.4085,734500,0.0,1.0
2007-04-30,20.2,20.2,19.96,20.04,15.2714,1581800,0.0,1.0
2007-05-01,19.96,20.11,19.86,20.04,15.2714,1468800,0.0,1.0
2007-05-02,19.97,20.11,19.85,20.02,15.2561,1460100,0.0,1.0
2007-05-03,20.05,20.44,20.009,20.3,15.4695,1243100,0.0,1.0
2007-05-04,20.2,21.0,20.13,20.78,15.8353,1242300,0.0,1.0
2007-05-07,20.5248,21.04,20.5248,21.01,16.0106,1482300,0.0,1.0
2007-05-08,20.5401,21.32,20.54,21.27,16.2087,1294300,0.0,1.0
2007-05-09,21.12,21.85,21.08,21.4,16.3078,2454100,0.0,1.0
2007-05-10,21.2,21.55,20.94,21.12,16.0944,1278800,0.0,1.0
2007-05-11,21.13,21.45,21.1,21.43,16.3306,468300,0.0,1.0
2007-05-14,21.33,21.36,21.12,21.31,16.2392,661100,0.0,1.0
2007-05-15,21.29,21.41,20.84,20.84,15.881,1811800,0.0,1.0
2007-05-16,20.7,20.7,20.42,20.5,15.6219,1595900,0.0,1.0
2007-05-17,20.12,20.73,20.1,20.65,15.7362,893700,0.0,1.0
2007-05-18,20.6,20.75,20.3,20.46,15.5914,1201800,0.0,1.0
2007-05-21,20.44,20.54,20.38,20.5,15.6219,3019200,0.0,1.0
2007-05-22,20.62,20.62,20.35,20.39,15.5381,1490500,0.0,1.0
2007-05-23,20.39,20.5,20.04,20.35,15.5076,1014700,0.0,1.0
2007-05-24,20.01,20.33,20.0,20.02,15.2561,1404600,0.0,1.0
2007-05-25,20.02,20.15,19.95,20.0,15.2409,624200,0.0,1.0
2007-05-29,19.55,20.05,19.55,20.0,15.2409,639000,0.0,1.0
2007-05-30,19.82,20.04,19.75,19.97,15.218,1165000,0.0,1.0
2007-05-31,19.99,20.25,19.9,20.24,15.4238,953500,0.0,1.0
2007-06-01,20.31,20.42,19.75,19.93,15.1875,886100,0.0,1.0
2007-06-04,19.68,20.0,19.66,19.85,15.1266,967300,0.0,1.0
2007-06-05,19.75,20.08,19.65,19.93,15.1875,847000,0.0,1.0
2007-06-06,19.78,19.81,19.28,19.45,14.8218,1072800,0.0,1.0
2007-06-07,19.28,19.46,18.91,18.97,14.456,1127400,0.0,1.0
2007-06-08,18.98,19.18,18.91,19.14,14.5855,627600,0.0,1.0
2007-06-11,19.06,19.31,19.0,19.27,14.6846,2175300,0.0,1.0
2007-06-12,19.16,19.49,19.15,19.33,14.7303,994400,0.0,1.0
2007-06-13,19.46,19.59,19.28,19.35,14.7913,829700,0.06,1.0
2007-06-14,19.3,19.42,19.16,19.28,14.7378,629800,0.0,1.0
2007-06-15,19.38,19.59,19.35,19.49,14.8983,732300,0.0,1.0
2007-06-18,19.57,19.57,19.28,19.43,14.8524,810700,0.0,1.0
2007-06-19,19.27,19.54,19.08,19.09,14.5925,1422600,0.0,1.0
2007-06-20,19.02,19.14,18.99,19.11,14.6078,1922200,0.0,1.0
2007-06-21,19.02,19.47,19.0,19.44,14.8601,1592800,0.0,1.0
2007-06-22,19.43,20.0,19.43,19.9,15.2117,1826000,0.0,1.0
2007-06-25,19.81,20.12,19.72,20.12,15.3799,2052100,0.0,1.0
2007-06-26,20.25,20.25,19.76,19.9,15.2117,1435300,0.0,1.0
2007-06-27,19.81,20.0,19.59,19.8,15.1353,1720900,0.0,1.0
2007-06-28,19.81,19.83,19.22,19.41,14.8371,1430600,0.0,1.0
2007-06-29,19.38,19.6,19.1,19.12,14.6155,1323100,0.0,1.0
2007-07-02,19.23,19.38,19.09,19.34,14.7836,848600,0.0,1.0
2007-07-03,19.31,19.85,19.25,19.72,15.0741,322700,0.0,1.0
2007-07-05,19.81,19.84,19.51,19.6,14.9824,669000,0.0,1.0
2007-07-06,19.53,19.92,19.53,19.76,15.1047,492000,0.0,1.0
2007-07-09,19.76,20.46,19.46,20.34,15.548,1492100,0.0,1.0
2007-07-10,20.19,20.31,19.76,19.8,15.1353,925900,0.0,1.0
2007-07-11,19.71,19.75,19.45,19.58,14.9671,606100,0.0,1.0
2007-07-12,19.7,20.04,19.7,20.02,15.3034,1520600,0.0,1.0
2007-07-13,20.07,20.29,19.8,19.89,15.2041,475600,0.0,1.0
2007-07-16,19.83,20.24,19.8,20.19,15.4334,566900,0.0,1.0
2007-07-17,20.1,20.5,20.02,20.14,15.3952,873900,0.0,1.0
2007-07-18,20.02,20.21,19.85,20.04,15.3187,1002700,0.0,1.0
2007-07-19,19.7,20.45,19.7,20.27,15.4945,828100,0.0,1.0
2007-07-20,19.4,20.28,19.4,20.05,15.3264,525000,0.0,1.0
2007-07-23,20.11,20.24,20.0,20.01,15.2958,317800,0.0,1.0
2007-07-24,19.8,19.81,19.23,19.31,14.7607,1680000,0.0,1.0
2007-07-25,19.49,19.5,18.83,19.14,14.6308,1083600,0.0,1.0
2007-07-26,18.0,18.93,18.0,18.61,14.2256,2240500,0.0,1.0
2007-07-27,18.57,18.67,17.97,17.97,13.7364,920800,0.0,1.0
2007-07-30,18.0,18.11,17.79,17.87,13.66,1338300,0.0,1.0
2007-07-31,17.88,18.07,17.51,17.59,13.4459,1855100,0.0,1.0
2007-08-01,16.73,18.12,16.16,17.06,13.0408,2217500,0.0,1.0
2007-08-02,17.0,17.33,17.0,17.18,13.1325,2218700,0.0,1.0
2007-08-03,17.25,17.3,16.73,17.05,13.0331,1868000,0.0,1.0
2007-08-06,17.12,17.69,17.12,17.57,13.4306,2274600,0.0,1.0
2007-08-07,17.43,17.7499,17.4,17.55,13.4153,1512100,0.0,1.0
2007-08-08,16.68,18.34,16.68,18.18,13.8969,1097000,0.0,1.0
2007-08-09,16.43,18.96,15.82,17.99,13.7517,1585400,0.0,1.0
2007-08-10,16.28,18.47,16.21,18.33,14.0116,1597400,0.0,1.0
2007-08-13,18.3,18.71,17.69,17.79,13.5988,945000,0.0,1.0
2007-08-14,17.75,18.38,17.5,18.11,13.8434,714500,0.0,1.0
2007-08-15,18.11,18.11,17.49,17.61,13.4612,979500,0.0,1.0
2007-08-16,17.25,17.81,16.7,17.45,13.3389,2624500,0.0,1.0
2007-08-17,17.82,17.82,16.98,17.5,13.3771,504900,0.0,1.0
2007-08-20,17.5,17.57,17.06,17.33,13.2472,527500,0.0,1.0
2007-08-21,17.34,18.0,16.9,17.84,13.637,700600,0.0,1.0
2007-08-22,17.85,18.05,16.86,16.92,12.9338,2301800,0.0,1.0
2007-08-23,16.2,16.4,15.27,16.29,12.4522,2232600,0.0,1.0
2007-08-24,16.17,17.98,16.15,17.9,13.6829,1597000,0.0,1.0
2007-08-27,17.77,17.9,17.63,17.78,13.5912,608600,0.0,1.0
2007-08-28,17.6,17.81,17.54,17.6,13.4536,851100,0.0,1.0
2007-08-29,17.72,17.87,17.61,17.87,13.66,815900,0.0,1.0
2007-08-30,17.82,18.24,17.77,18.13,13.8587,819800,0.0,1.0
2007-08-31,18.25,18.4,18.11,18.17,13.8893,615700,0.0,1.0
2007-09-04,18.05,18.54,17.96,18.51,14.1492,1005800,0.0,1.0
2007-09-05,18.35,18.35,17.26,17.41,13.3083,1004400,0.0,1.0
2007-09-06,17.43,17.43,16.92,17.13,13.0943,598700,0.0,1.0
2007-09-07,16.89,16.89,16.52,16.71,12.7732,762900,0.0,1.0
2007-09-10,16.73,17.52,16.73,17.46,13.3466,816400,0.0,1.0
