,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,38.88,38.88,37.81,38.06,3.9026,113100,0.0,1.0
2000-01-19,38.0,38.19,37.25,37.63,3.8586,105400,0.0,1.0
2000-01-20,37.81,37.94,37.38,37.44,3.8391,137000,0.0,1.0
2000-01-21,37.5,37.88,37.38,37.38,3.8329,188500,0.0,1.0
2000-01-24,37.88,37.88,36.5,36.56,3.7488,216700,0.0,1.0
2000-01-25,36.63,36.63,35.19,35.69,3.6596,173300,0.0,1.0
2000-01-26,35.56,36.0,35.25,35.5,3.6401,95500,0.0,1.0
2000-01-27,35.5,35.75,34.5,34.75,3.5632,125700,0.0,1.0
2000-01-28,34.56,34.56,33.56,33.81,3.4822,127700,0.15,1.0
2000-01-31,34.0,34.63,33.31,33.63,3.4637,182500,0.0,1.0
2000-02-01,33.88,33.88,31.25,32.44,3.3411,448300,0.0,1.0
2000-02-02,32.75,33.13,32.25,32.5,3.3473,264000,0.0,1.0
2000-02-03,33.0,34.0,32.88,33.5,3.4503,205300,0.0,1.0
2000-02-04,33.75,34.13,33.0,33.13,3.4122,71800,0.0,1.0
2000-02-07,33.0,33.13,32.56,32.69,3.3669,84100,0.0,1.0
2000-02-08,32.88,33.5,32.5,33.0,3.3988,224200,0.0,1.0
2000-02-09,33.0,33.5,33.0,33.31,3.4307,188700,0.0,1.0
2000-02-10,33.06,34.06,33.06,33.63,3.4637,271100,0.0,1.0
2000-02-11,33.88,34.06,33.31,33.31,3.4307,181900,0.0,1.0
2000-02-14,33.25,34.0,33.06,33.69,3.4699,209500,0.0,1.0
2000-02-15,33.81,34.13,33.31,34.0,3.5018,168100,0.0,1.0
2000-02-16,33.88,33.94,32.94,33.0,3.3988,147900,0.0,1.0
2000-02-17,33.13,33.13,32.13,32.19,3.3154,157500,0.0,1.0
2000-02-18,32.44,32.44,31.44,31.44,3.2381,142200,0.0,1.0
2000-02-22,31.5,31.5,31.06,31.5,3.2443,128000,0.0,1.0
2000-02-23,31.44,31.44,30.75,31.0,3.1928,112700,0.0,1.0
2000-02-24,30.75,30.84,29.75,30.06,3.096,116400,0.0,1.0
2000-02-25,30.31,31.0,29.75,31.0,3.1928,194500,0.0,1.0
2000-02-28,30.94,31.19,30.13,31.06,3.199,96300,0.0,1.0
2000-02-29,31.0,32.0,30.56,32.0,3.2958,137400,0.0,1.0
2000-03-01,31.88,32.69,31.5,32.5,3.3473,108100,0.0,1.0
2000-03-02,32.25,33.19,32.25,33.0,3.3988,123000,0.0,1.0
2000-03-03,33.25,33.25,32.5,32.63,3.3607,104400,0.0,1.0
2000-03-06,32.88,33.5,32.5,32.69,3.3669,94700,0.0,1.0
2000-03-07,32.69,32.81,31.88,31.94,3.2896,131600,0.0,1.0
2000-03-08,32.0,32.19,31.25,31.31,3.2248,141900,0.0,1.0
2000-03-09,31.31,31.31,30.81,31.0,3.1928,187400,0.0,1.0
2000-03-10,31.0,32.38,31.0,31.75,3.2701,111900,0.0,1.0
2000-03-13,31.0,33.13,31.0,32.44,3.3411,191100,0.0,1.0
2000-03-14,32.5,33.69,32.25,32.56,3.3535,190400,0.0,1.0
2000-03-15,32.56,33.75,32.5,33.25,3.4246,250700,0.0,1.0
2000-03-16,33.63,35.19,33.63,34.75,3.5791,174900,0.0,1.0
2000-03-17,34.56,36.63,34.56,36.5,3.7593,193600,0.0,1.0
2000-03-20,35.75,37.25,35.75,36.19,3.7274,278300,0.0,1.0
2000-03-21,36.25,37.0,36.25,36.75,3.785,89100,0.0,1.0
2000-03-22,36.75,36.94,36.5,36.56,3.7655,116600,0.0,1.0
2000-03-23,36.56,37.25,36.56,37.25,3.8365,129700,0.0,1.0
2000-03-24,37.5,37.69,36.0,36.88,3.7984,225200,0.0,1.0
2000-03-27,36.88,36.88,36.06,36.19,3.7274,105000,0.0,1.0
2000-03-28,36.31,36.44,36.0,36.06,3.714,88100,0.0,1.0
2000-03-29,36.06,36.06,35.06,35.13,3.6182,269000,0.0,1.0
2000-03-30,35.13,36.38,35.13,36.31,3.7397,173900,0.0,1.0
2000-03-31,36.63,39.38,36.5,39.38,4.0559,260800,0.0,1.0
2000-04-03,39.38,39.38,37.63,37.94,3.9076,105700,0.0,1.0
2000-04-04,38.25,38.94,37.0,37.25,3.8365,127000,0.0,1.0
2000-04-05,37.0,38.81,37.0,38.63,3.9787,79100,0.0,1.0
2000-04-06,38.81,39.63,38.81,39.25,4.0425,122400,0.0,1.0
2000-04-07,39.38,39.44,39.06,39.31,4.0487,95400,0.0,1.0
2000-04-10,39.5,40.5,39.5,39.63,4.0817,138000,0.0,1.0
2000-04-11,39.63,40.0,38.88,40.0,4.1198,110400,0.0,1.0
2000-04-12,40.13,41.88,39.88,41.63,4.2877,255100,0.0,1.0
2000-04-13,41.38,41.38,40.31,40.88,4.2104,168000,0.0,1.0
2000-04-14,41.0,41.0,38.75,38.94,4.0106,109000,0.0,1.0
2000-04-17,39.0,39.75,37.88,37.88,3.9014,181200,0.0,1.0
2000-04-18,38.0,39.38,38.0,39.19,4.0363,127400,0.0,1.0
2000-04-19,39.75,40.94,39.25,39.88,4.1074,116200,0.0,1.0
2000-04-20,39.88,40.06,39.06,39.56,4.0745,98200,0.0,1.0
2000-04-24,39.63,39.63,39.19,39.31,4.0487,86500,0.0,1.0
2000-04-25,39.75,42.0,39.75,41.75,4.3,186300,0.0,1.0
2000-04-26,42.0,42.19,41.44,41.75,4.3,80500,0.0,1.0
2000-04-27,41.44,41.44,40.56,40.94,4.232,76000,0.15,1.0
2000-04-28,41.13,42.38,41.06,41.81,4.322,131800,0.0,1.0
2000-05-01,41.88,42.63,41.63,42.13,4.355,122800,0.0,1.0
2000-05-02,42.19,42.44,42.0,42.06,4.3478,103700,0.0,1.0
2000-05-03,42.0,42.0,40.0,40.0,4.1349,77200,0.0,1.0
2000-05-04,40.25,42.0,40.0,40.94,4.232,101400,0.0,1.0
2000-05-05,41.25,42.88,41.13,41.88,4.3292,73000,0.0,1.0
2000-05-08,41.75,41.75,40.88,41.06,4.2444,83500,0.0,1.0
2000-05-09,41.0,42.56,40.88,42.38,4.3809,139500,0.0,1.0
2000-05-10,42.38,42.94,42.38,42.63,4.4067,106300,0.0,1.0
2000-05-11,43.0,43.94,43.0,43.94,4.5421,151900,0.0,1.0
2000-05-12,43.94,45.0,43.19,43.31,4.477,135000,0.0,1.0
2000-05-15,43.44,43.44,42.75,43.0,4.445,84900,0.0,1.0
2000-05-16,43.38,44.25,43.38,44.13,4.5618,69000,0.0,1.0
2000-05-17,43.88,44.19,43.0,43.69,4.5163,157400,0.0,1.0
2000-05-18,43.69,43.75,43.38,43.38,4.4843,113000,0.0,1.0
2000-05-19,43.38,43.56,42.88,43.0,4.445,65400,0.0,1.0
2000-05-22,42.88,43.13,41.13,41.75,4.3158,139700,0.0,1.0
2000-05-23,41.5,41.69,41.31,41.31,4.2703,147500,0.0,1.0
2000-05-24,41.44,41.88,41.31,41.5,4.2899,255400,0.0,1.0
2000-05-25,41.63,41.66,40.69,41.19,4.2579,152600,0.0,1.0
2000-05-26,41.0,41.0,39.75,39.81,4.1152,162900,0.0,1.0
2000-05-30,39.81,40.75,39.5,40.75,4.2124,223200,0.0,1.0
2000-05-31,40.63,40.69,40.56,40.56,4.1928,155800,0.0,1.0
2000-06-01,39.88,40.63,39.88,40.63,4.2,52200,0.0,1.0
2000-06-02,40.75,41.13,40.5,40.56,4.1928,86400,0.0,1.0
2000-06-05,40.44,41.38,40.44,41.0,4.2382,157200,0.0,1.0
2000-06-06,41.06,41.06,40.0,40.06,4.1411,81100,0.0,1.0
2000-06-07,40.19,40.56,40.0,40.19,4.1545,63800,0.0,1.0
2000-06-08,40.25,40.25,39.13,39.19,4.0511,121000,0.0,1.0
