,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,31.63,31.63,31.13,31.25,12.7149,73000,0.0,1.0
2000-01-19,31.13,31.38,31.0,31.25,12.7149,100500,0.0,1.0
2000-01-20,31.06,31.31,30.81,30.88,12.5643,158700,0.0,1.0
2000-01-21,30.88,31.0,30.25,30.56,12.4341,272300,0.0,1.0
2000-01-24,30.75,31.0,30.44,30.44,12.3853,117100,0.0,1.0
2000-01-25,30.69,30.75,30.44,30.56,12.4341,135300,0.0,1.0
2000-01-26,30.5,31.0,30.5,30.69,12.487,119700,0.0,1.0
2000-01-27,30.63,30.69,30.5,30.56,12.4341,118600,0.0,1.0
2000-01-28,30.56,30.69,30.13,30.44,12.3853,228200,0.0,1.0
2000-01-31,30.5,30.5,30.0,30.0,12.2063,127900,0.0,1.0
2000-02-01,30.13,30.44,29.0,29.81,12.129,2240200,0.0,1.0
2000-02-02,30.13,30.13,29.75,29.94,12.1819,428800,0.0,1.0
2000-02-03,30.0,30.25,29.94,30.19,12.2836,149400,0.0,1.0
2000-02-04,29.94,30.56,29.88,29.94,12.1819,506300,0.0,1.0
2000-02-07,29.88,30.19,29.63,30.0,12.2063,105800,0.0,1.0
2000-02-08,30.0,30.56,29.94,30.56,12.4341,76500,0.0,1.0
2000-02-09,30.31,30.94,30.31,30.56,12.4341,91700,0.0,1.0
2000-02-10,30.44,30.56,30.25,30.31,12.3324,68600,0.0,1.0
2000-02-11,30.44,30.63,29.94,30.06,12.2307,84900,0.0,1.0
2000-02-14,30.13,30.31,30.0,30.13,12.2592,124600,0.0,1.0
2000-02-15,30.38,30.38,29.94,30.0,12.2063,153100,0.0,1.0
2000-02-16,30.0,30.19,30.0,30.19,12.2836,102300,0.0,1.0
2000-02-17,30.25,30.63,30.25,30.5,12.4097,144900,0.0,1.0
2000-02-18,30.25,30.44,29.88,30.13,12.2592,80000,0.0,1.0
2000-02-22,29.94,30.19,29.88,30.06,12.2307,93400,0.0,1.0
2000-02-23,30.19,30.38,30.0,30.38,12.3609,73300,0.0,1.0
2000-02-24,30.38,30.5,30.38,30.44,12.3853,45500,0.0,1.0
2000-02-25,30.5,30.63,30.38,30.5,12.4097,113900,0.0,1.0
2000-02-28,30.5,30.5,30.31,30.38,12.3609,83000,0.0,1.0
2000-02-29,30.5,30.56,30.31,30.31,12.3324,105900,0.0,1.0
2000-03-01,30.5,30.5,30.31,30.38,12.3609,84800,0.0,1.0
2000-03-02,30.31,30.5,30.31,30.38,12.3609,64200,0.0,1.0
2000-03-03,30.38,30.5,30.38,30.38,12.3609,160000,0.0,1.0
2000-03-06,30.31,30.5,30.25,30.31,12.3324,60600,0.0,1.0
2000-03-07,30.13,30.31,29.56,29.88,12.1575,97100,0.0,1.0
2000-03-08,29.69,30.13,29.69,30.0,12.2063,49100,0.0,1.0
2000-03-09,30.19,30.69,30.19,30.44,12.3853,113500,0.0,1.0
2000-03-10,30.44,30.5,30.13,30.38,12.3609,132000,0.0,1.0
2000-03-13,29.94,30.13,29.75,30.0,12.2063,53100,0.0,1.0
2000-03-14,30.0,30.38,30.0,30.38,12.3609,51900,0.0,1.0
2000-03-15,30.44,30.75,30.13,30.63,12.4626,337200,0.0,1.0
2000-03-16,30.5,31.0,30.5,30.88,12.5643,102900,0.0,1.0
2000-03-17,30.75,31.13,30.63,31.0,12.6132,84200,0.0,1.0
2000-03-20,31.0,31.25,30.94,31.25,12.7149,149400,0.0,1.0
2000-03-21,31.44,31.44,31.06,31.25,12.7149,124400,0.0,1.0
2000-03-22,31.25,31.38,31.13,31.25,12.7149,107100,0.0,1.0
2000-03-23,31.19,31.56,31.13,31.25,12.7149,142700,0.0,1.0
2000-03-24,31.38,31.38,31.06,31.25,12.7149,119900,0.0,1.0
2000-03-27,31.38,31.44,31.19,31.31,12.7393,87100,0.0,1.0
2000-03-28,31.25,31.5,31.25,31.44,12.7922,188000,0.0,1.0
2000-03-29,31.0,31.31,31.0,31.25,12.898,34700,0.45,1.0
2000-03-30,31.5,31.63,31.25,31.5,13.0011,218000,0.0,1.0
2000-03-31,31.5,31.81,31.44,31.81,13.1291,156600,0.0,1.0
2000-04-03,31.69,32.06,31.5,31.75,13.1043,272400,0.0,1.0
2000-04-04,31.94,32.25,31.81,32.0,13.2075,324600,0.0,1.0
2000-04-05,32.0,32.5,32.0,32.44,13.3891,243100,0.0,1.0
2000-04-06,32.56,34.44,32.56,34.13,14.0866,224400,0.0,1.0
2000-04-07,34.06,34.31,33.56,34.25,14.1362,180000,0.0,1.0
2000-04-10,34.25,34.44,34.06,34.44,14.2146,91000,0.0,1.0
2000-04-11,34.63,34.63,34.25,34.31,14.1609,125100,0.0,1.0
2000-04-12,34.19,34.5,34.19,34.5,14.2394,141900,0.0,1.0
2000-04-13,34.5,34.75,34.0,34.38,14.1898,325400,0.0,1.0
2000-04-14,34.5,34.5,33.88,34.0,14.033,185600,0.0,1.0
2000-04-17,33.81,34.25,33.81,34.0,14.033,139400,0.0,1.0
2000-04-18,34.0,34.13,33.81,34.13,14.0866,141200,0.0,1.0
2000-04-19,34.13,34.25,33.94,34.19,14.1114,185500,0.0,1.0
2000-04-20,34.13,34.31,34.13,34.19,14.1114,52700,0.0,1.0
2000-04-24,34.19,34.38,34.13,34.38,14.1898,115100,0.0,1.0
2000-04-25,34.75,34.75,34.19,34.31,14.1609,161800,0.0,1.0
2000-04-26,34.63,35.19,34.56,35.0,14.4457,349100,0.0,1.0
2000-04-27,35.0,35.13,34.81,35.0,14.4457,112500,0.0,1.0
2000-04-28,35.0,35.19,34.88,34.88,14.3962,189400,0.0,1.0
2000-05-01,35.0,35.44,34.56,35.38,14.6026,259100,0.0,1.0
2000-05-02,35.38,36.75,35.38,36.19,14.9369,558200,0.0,1.0
2000-05-03,36.13,36.25,35.94,36.0,14.8585,349500,0.0,1.0
2000-05-04,36.13,36.19,35.56,36.0,14.8585,258500,0.0,1.0
2000-05-05,35.94,36.25,35.88,36.13,14.9121,266000,0.0,1.0
2000-05-08,36.06,36.31,35.94,36.31,14.9864,181500,0.0,1.0
2000-05-09,36.19,36.5,36.0,36.38,15.0153,315900,0.0,1.0
2000-05-10,36.19,36.44,36.19,36.31,14.9864,136700,0.0,1.0
2000-05-11,36.5,36.5,36.25,36.44,15.0401,138100,0.0,1.0
2000-05-12,36.38,36.69,36.38,36.63,15.1185,128700,0.0,1.0
2000-05-15,36.63,36.69,36.13,36.25,14.9616,389400,0.0,1.0
2000-05-16,36.19,36.25,36.06,36.19,14.9369,154500,0.0,1.0
2000-05-17,36.13,36.44,36.13,36.44,15.0401,167100,0.0,1.0
2000-05-18,36.31,36.5,36.19,36.38,15.0153,126300,0.0,1.0
2000-05-19,36.19,36.63,36.06,36.56,15.0896,71300,0.0,1.0
2000-05-22,36.5,36.5,35.94,36.38,15.0153,158100,0.0,1.0
2000-05-23,36.38,36.5,36.0,36.19,14.9369,90800,0.0,1.0
2000-05-24,36.25,36.25,35.56,35.63,14.7057,233100,0.0,1.0
2000-05-25,35.63,35.75,35.38,35.44,14.6273,109100,0.0,1.0
2000-05-26,35.5,35.5,35.25,35.44,14.6273,128800,0.0,1.0
2000-05-30,35.5,35.5,35.0,35.0,14.4457,237700,0.0,1.0
2000-05-31,35.13,35.19,34.94,35.0,14.4457,175800,0.0,1.0
2000-06-01,35.0,35.0,34.5,34.88,14.3962,223700,0.0,1.0
2000-06-02,34.88,35.5,34.88,35.44,14.6273,123300,0.0,1.0
2000-06-05,35.69,35.69,35.13,35.25,14.5489,89300,0.0,1.0
2000-06-06,35.25,35.63,35.06,35.56,14.6769,79500,0.0,1.0
2000-06-07,35.63,36.19,35.44,36.13,14.9121,82300,0.0,1.0
2000-06-08,36.0,36.5,35.88,36.5,15.0648,105300,0.0,1.0
2000-06-09,36.38,36.5,36.06,36.31,14.9864,66200,0.0,1.0
2000-06-12,36.38,36.69,36.19,36.59,15.102,208200,0.0,1.0
2000-06-13,36.69,36.75,36.56,36.69,15.1432,114000,0.0,1.0
2000-06-14,36.75,38.31,36.69,37.69,15.556,195400,0.0,1.0
2000-06-15,37.88,37.88,36.69,37.13,15.3248,197400,0.0,1.0
2000-06-16,37.19,37.19,36.81,37.06,15.296,276000,0.0,1.0
2000-06-19,37.25,37.25,36.88,37.06,15.296,60100,0.0,1.0
2000-06-20,37.0,37.88,37.0,37.88,15.6344,100000,0.0,1.0
2000-06-21,37.81,37.81,37.19,37.5,15.4776,98100,0.0,1.0
2000-06-22,37.25,37.31,37.13,37.13,15.3248,82800,0.0,1.0
2000-06-23,37.0,37.44,37.0,37.31,15.3991,86100,0.0,1.0
2000-06-26,37.38,37.63,37.31,37.44,15.4528,161900,0.0,1.0
2000-06-27,37.38,38.31,37.38,38.19,15.7623,176100,0.0,1.0
2000-06-28,37.63,38.13,37.56,38.0,15.9027,1302200,0.53,1.0
2000-06-29,38.25,39.0,38.06,38.97,16.3086,202700,0.0,1.0
2000-06-30,39.0,39.31,38.13,38.63,16.1663,340300,0.0,1.0
2000-07-03,38.63,38.88,38.56,38.72,16.204,44000,0.0,1.0
2000-07-05,39.25,39.25,38.63,38.63,16.1663,299400,0.0,1.0
2000-07-06,38.75,38.75,38.13,38.19,15.9822,336400,0.0,1.0
2000-07-07,38.25,38.25,37.5,38.0,15.9027,567600,0.0,1.0
2000-07-10,38.0,38.0,37.88,38.0,15.9027,112800,0.0,1.0
2000-07-11,38.0,38.0,37.81,37.94,15.8776,77600,0.0,1.0
2000-07-12,37.94,38.0,37.81,37.94,15.8776,100800,0.0,1.0
2000-07-13,38.0,38.0,37.75,37.88,15.8525,130000,0.0,1.0
2000-07-14,37.75,37.88,37.75,37.75,15.7981,77000,0.0,1.0
2000-07-17,37.75,37.81,37.5,37.81,15.8232,75300,0.0,1.0
2000-07-18,37.69,37.81,37.63,37.75,15.7981,69600,0.0,1.0
2000-07-19,37.63,37.69,37.56,37.56,15.7185,89200,0.0,1.0
2000-07-20,37.75,37.88,37.63,37.88,15.8525,257900,0.0,1.0
2000-07-21,37.63,38.13,37.63,38.13,15.9571,266000,0.0,1.0
2000-07-24,38.25,38.88,38.25,38.81,16.2417,494100,0.0,1.0
2000-07-25,38.81,39.81,38.81,39.28,16.4383,415900,0.0,1.0
2000-07-26,39.69,40.56,39.69,40.22,16.8317,397500,0.0,1.0
2000-07-27,40.75,41.81,40.75,41.47,17.3548,378900,0.0,1.0
2000-07-28,41.38,42.06,41.38,41.66,17.4344,379000,0.0,1.0
2000-07-31,41.75,41.75,41.0,41.47,17.3548,253800,0.0,1.0
2000-08-01,41.31,41.88,41.31,41.84,17.5097,302400,0.0,1.0
2000-08-02,41.75,41.75,41.13,41.47,17.3548,217400,0.0,1.0
2000-08-03,41.56,42.0,41.5,41.91,17.539,247400,0.0,1.0
