,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,58.06,58.94,57.19,58.5,286.2759,11787750,0.0,1.0
2000-01-19,58.0,60.13,57.88,59.75,292.3929,14664000,0.0,1.0
2000-01-20,59.88,60.06,57.19,58.61,286.8142,10186500,0.0,1.0
2000-01-21,58.19,58.5,55.88,56.44,276.1951,11609250,0.0,1.0
2000-01-24,57.0,57.0,54.63,55.19,270.078,8574000,0.0,1.0
2000-01-25,56.81,57.5,55.13,55.88,273.4546,11563500,0.0,1.0
2000-01-26,56.5,58.56,56.31,58.13,284.4652,10007250,0.0,1.0
2000-01-27,58.63,59.5,57.75,59.0,288.7227,10868250,0.0,1.0
2000-01-28,57.5,58.5,56.0,56.13,274.678,9053250,0.0,1.0
2000-01-31,56.63,57.94,56.25,57.0,278.9355,10203000,0.0,1.0
2000-02-01,57.56,58.5,57.44,58.25,285.0525,8980500,0.0,1.0
2000-02-02,58.31,58.63,57.0,57.75,282.6057,9891750,0.0,1.0
2000-02-03,57.81,58.0,55.0,56.31,276.3419,14251500,0.16,1.0
2000-02-04,56.88,57.75,54.19,54.75,268.6861,10996500,0.0,1.0
2000-02-07,55.31,56.19,54.19,54.38,266.8704,9330750,0.0,1.0
2000-02-08,55.31,56.19,55.13,56.0,274.8205,9903750,0.0,1.0
2000-02-09,55.13,55.75,53.94,54.19,265.9379,9489000,0.0,1.0
2000-02-10,54.5,55.19,53.0,53.69,263.4842,8432250,0.0,1.0
2000-02-11,54.19,55.19,52.88,54.0,265.0055,9947250,0.0,1.0
2000-02-14,54.25,54.56,52.06,54.0,265.0055,8652750,0.0,1.0
2000-02-15,52.88,54.94,52.69,54.88,269.3241,10523250,0.0,1.0
2000-02-16,54.13,54.88,53.06,53.63,263.1897,6827250,0.0,1.0
2000-02-17,54.25,54.75,52.19,52.5,257.6442,9655500,0.0,1.0
2000-02-18,52.44,52.69,49.94,51.44,252.4423,15293250,0.0,1.0
2000-02-22,51.38,52.38,50.0,51.0,250.283,14605500,0.0,1.0
2000-02-23,50.88,51.69,50.5,50.94,249.9885,11664750,0.0,1.0
2000-02-24,50.0,50.38,48.0,49.25,241.6948,23674500,0.0,1.0
2000-02-25,49.38,50.69,47.13,48.0,235.5605,14136750,0.0,1.0
2000-02-28,49.5,50.63,49.0,49.0,240.468,24188250,0.0,1.0
