,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,22.38,22.63,22.06,22.44,8.7212,1496800,0.0,1.0
2000-01-19,22.19,22.81,22.19,22.75,8.8417,1374400,0.0,1.0
2000-01-20,22.63,23.19,22.5,23.06,8.9622,1663400,0.0,1.0
2000-01-21,23.19,23.5,22.69,23.13,8.9894,1556200,0.0,1.0
2000-01-24,23.06,23.25,22.38,22.5,8.7446,787700,0.0,1.0
2000-01-25,22.25,22.63,21.94,21.94,8.5269,1230800,0.0,1.0
2000-01-26,21.75,22.06,21.0,21.25,8.3378,1752700,0.2035,1.0
2000-01-27,21.75,21.88,20.94,21.06,8.2633,992600,0.0,1.0
2000-01-28,21.06,21.06,20.38,20.69,8.1181,987800,0.0,1.0
2000-01-31,20.69,21.75,20.06,21.44,8.4124,1008200,0.0,1.0
2000-02-01,21.13,21.25,20.69,21.06,8.2633,1002000,0.0,1.0
2000-02-02,20.81,21.0,20.13,20.25,7.9455,1327000,0.0,1.0
2000-02-03,20.25,20.88,19.88,20.56,8.0671,1678500,0.0,1.0
2000-02-04,20.56,21.06,20.38,21.0,8.2398,1440900,0.0,1.0
2000-02-07,21.0,21.0,20.19,20.5,8.0436,897400,0.0,1.0
2000-02-08,20.5,20.56,20.19,20.56,8.0671,671600,0.0,1.0
2000-02-09,20.5,20.56,19.81,19.88,7.8003,1535300,0.0,1.0
2000-02-10,19.88,20.31,18.94,19.06,7.4786,1704900,0.0,1.0
2000-02-11,19.31,19.5,18.56,18.88,7.4079,1340700,0.0,1.0
2000-02-14,19.0,19.19,18.31,18.56,7.2824,880200,0.0,1.0
2000-02-15,18.56,19.13,18.19,18.56,7.2824,2080700,0.0,1.0
2000-02-16,18.56,18.69,17.88,18.25,7.1607,2976500,0.0,1.0
2000-02-17,18.63,18.69,17.75,17.88,7.0156,1549300,0.0,1.0
2000-02-18,17.5,18.0,17.38,17.88,7.0156,2963900,0.0,1.0
2000-02-22,17.0,18.13,17.0,17.88,7.0156,1328700,0.0,1.0
2000-02-23,17.69,17.81,16.81,16.88,6.6232,1226400,0.0,1.0
2000-02-24,16.88,16.94,15.88,16.38,6.427,1940800,0.0,1.0
2000-02-25,16.94,16.94,16.0,16.13,6.3289,1325500,0.0,1.0
2000-02-28,16.13,16.69,16.06,16.44,6.4505,1137300,0.0,1.0
2000-02-29,16.38,16.88,16.06,16.38,6.427,1539900,0.0,1.0
2000-03-01,16.63,17.0,16.44,16.75,6.5722,2300300,0.0,1.0
2000-03-02,16.75,16.88,16.0,16.13,6.3289,3144700,0.0,1.0
2000-03-03,16.13,16.75,16.06,16.25,6.376,2658600,0.0,1.0
2000-03-06,16.19,16.25,15.69,16.0,6.2779,2590700,0.0,1.0
2000-03-07,15.88,16.0,15.19,15.5,6.0817,4455000,0.0,1.0
2000-03-08,15.25,16.0,15.25,15.81,6.2034,1720000,0.0,1.0
2000-03-09,15.88,15.94,15.5,15.81,6.2034,1391500,0.0,1.0
2000-03-10,15.63,15.94,15.25,15.63,6.1327,1814700,0.0,1.0
2000-03-13,15.75,15.75,15.13,15.5,6.0817,1265500,0.0,1.0
2000-03-14,15.63,15.69,15.38,15.63,6.1327,1369000,0.0,1.0
2000-03-15,15.38,15.75,15.06,15.63,6.1327,3302300,0.0,1.0
2000-03-16,15.81,17.5,15.81,17.06,6.6938,2801700,0.0,1.0
2000-03-17,17.56,17.56,17.0,17.0,6.6703,1847900,0.0,1.0
2000-03-20,17.25,17.56,17.06,17.5,6.8665,1238000,0.0,1.0
2000-03-21,17.31,17.94,17.31,17.69,6.941,1343700,0.0,1.0
2000-03-22,17.5,18.25,17.38,17.75,6.9646,1841200,0.0,1.0
2000-03-23,17.5,18.0,17.25,17.25,6.7684,3387200,0.0,1.0
2000-03-24,17.25,17.38,16.25,16.44,6.4505,2993500,0.0,1.0
2000-03-27,16.56,16.56,15.81,16.0,6.2779,1793500,0.0,1.0
2000-03-28,16.0,16.0,15.25,15.75,6.1798,2877800,0.0,1.0
2000-03-29,16.0,16.75,15.88,16.63,6.5251,1387200,0.0,1.0
2000-03-30,17.38,18.75,17.31,18.25,7.1607,2730300,0.0,1.0
2000-03-31,19.0,19.0,18.13,18.13,7.1137,2535300,0.0,1.0
2000-04-03,18.13,18.81,18.13,18.63,7.3098,1238200,0.0,1.0
2000-04-04,18.94,19.31,18.31,18.94,7.4315,1406100,0.0,1.0
2000-04-05,18.75,19.5,18.75,19.06,7.4786,1154700,0.0,1.0
2000-04-06,19.06,19.31,18.56,18.81,7.3805,689500,0.0,1.0
2000-04-07,18.44,18.88,18.38,18.75,7.3569,1312400,0.0,1.0
2000-04-10,18.94,18.94,18.31,18.44,7.2353,1652300,0.0,1.0
2000-04-11,18.56,19.63,18.5,19.38,7.6041,1444300,0.0,1.0
2000-04-12,19.0,20.19,19.0,19.88,7.8003,1432600,0.0,1.0
2000-04-13,19.88,20.44,19.38,20.0,7.8474,1226600,0.0,1.0
2000-04-14,20.19,20.19,19.06,19.19,7.5296,1497400,0.0,1.0
2000-04-17,19.06,19.63,19.06,19.38,7.6041,1499500,0.0,1.0
2000-04-18,19.5,19.69,19.31,19.44,7.6277,761400,0.0,1.0
2000-04-19,19.38,19.5,18.81,19.0,7.455,880400,0.0,1.0
2000-04-20,19.0,19.19,18.59,18.94,7.4315,797000,0.0,1.0
2000-04-24,18.81,19.81,18.81,19.81,7.7728,1783500,0.0,1.0
2000-04-25,19.69,20.06,19.44,19.88,7.8003,1309000,0.0,1.0
2000-04-26,19.56,19.94,19.5,19.81,7.8527,1300700,0.2035,1.0
2000-04-27,19.56,19.69,19.31,19.44,7.706,1047700,0.0,1.0
2000-04-28,19.19,19.44,18.81,18.88,7.484,1185000,0.0,1.0
2000-05-01,18.88,20.0,18.88,19.69,7.8051,1150300,0.0,1.0
2000-05-02,19.56,19.69,19.31,19.44,7.706,1235600,0.0,1.0
2000-05-03,19.75,20.81,19.75,20.44,8.1024,1906400,0.0,1.0
2000-05-04,20.44,20.81,20.13,20.75,8.2253,983500,0.0,1.0
2000-05-05,20.5,20.88,20.38,20.56,8.15,763300,0.0,1.0
2000-05-08,20.75,21.06,20.5,20.94,8.3006,1245700,0.0,1.0
2000-05-09,21.13,21.81,20.94,21.69,8.5979,1798100,0.0,1.0
2000-05-10,21.5,21.69,21.31,21.44,8.4988,917000,0.0,1.0
2000-05-11,21.69,21.69,21.38,21.38,8.475,585800,0.0,1.0
2000-05-12,21.63,21.69,21.31,21.69,8.5979,698500,0.0,1.0
2000-05-15,21.81,22.0,21.38,21.44,8.4988,826700,0.0,1.0
2000-05-16,21.56,21.81,21.38,21.75,8.6217,649300,0.0,1.0
2000-05-17,21.44,21.5,20.81,21.38,8.475,1198700,0.0,1.0
2000-05-18,21.31,21.5,21.0,21.31,8.4473,702800,0.0,1.0
2000-05-19,21.44,21.63,21.0,21.38,8.475,898400,0.0,1.0
2000-05-22,21.38,22.25,21.06,22.19,8.7961,1008400,0.0,1.0
2000-05-23,22.0,22.5,21.94,22.44,8.8952,1452200,0.0,1.0
2000-05-24,22.25,22.88,22.19,22.81,9.0419,952100,0.0,1.0
2000-05-25,22.94,22.94,22.38,22.81,9.0419,882200,0.0,1.0
2000-05-26,22.81,23.25,22.63,22.94,9.0934,844600,0.0,1.0
2000-05-30,23.06,23.44,22.56,23.44,9.2916,1090500,0.0,1.0
2000-05-31,23.44,23.44,22.75,22.81,9.0419,901200,0.0,1.0
2000-06-01,23.0,23.69,22.88,23.13,9.1687,1182100,0.0,1.0
2000-06-02,23.5,23.63,21.94,22.0,8.7208,1554100,0.0,1.0
2000-06-05,22.19,22.56,21.81,21.94,8.697,1104100,0.0,1.0
2000-06-06,21.25,21.69,21.0,21.38,8.475,1752700,0.0,1.0
2000-06-07,21.69,22.13,21.56,21.81,8.6455,903500,0.0,1.0
2000-06-08,21.5,21.75,21.19,21.69,8.5979,1298400,0.0,1.0
2000-06-09,21.69,21.69,21.44,21.5,8.5226,445500,0.0,1.0
2000-06-12,21.56,22.0,21.5,21.63,8.5741,742100,0.0,1.0
