,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,51.56,51.75,49.88,49.94,14.7323,2027100,0.325,1.0
2000-01-19,49.94,50.69,49.31,49.31,14.5465,1712300,0.0,1.0
2000-01-20,49.56,49.94,47.06,47.13,13.9034,2139600,0.0,1.0
2000-01-21,47.19,47.94,45.63,47.38,13.9771,2500000,0.0,1.0
2000-01-24,47.0,47.25,45.06,45.31,13.3665,2692800,0.0,1.0
2000-01-25,44.81,45.0,42.56,43.63,12.8709,3042100,0.0,1.0
2000-01-26,43.38,45.69,43.38,44.94,13.2573,2094100,0.0,1.0
2000-01-27,44.94,45.56,44.0,44.56,13.1452,1670400,0.0,1.0
2000-01-28,44.13,45.19,43.5,43.5,12.8325,2425800,0.0,1.0
2000-01-31,43.13,43.94,42.44,42.44,12.5198,1838500,0.0,1.0
2000-02-01,42.75,44.06,42.75,43.19,12.7411,1465100,0.0,1.0
2000-02-02,44.5,44.75,43.31,43.44,12.8148,1466800,0.0,1.0
2000-02-03,43.19,43.25,42.13,42.31,12.4815,2171700,0.0,1.0
2000-02-04,42.5,42.63,41.25,42.31,12.4815,2061000,0.0,1.0
2000-02-07,41.63,41.81,40.75,41.25,12.1688,2044900,0.0,1.0
2000-02-08,41.5,41.5,40.0,41.0,12.095,2924200,0.0,1.0
2000-02-09,40.0,41.19,39.13,39.13,11.5434,2967400,0.0,1.0
2000-02-10,39.06,39.56,37.63,38.06,11.2277,2903700,0.0,1.0
2000-02-11,37.25,37.88,34.88,36.0,10.62,5972400,0.0,1.0
2000-02-14,37.0,38.94,36.25,38.63,11.3959,3393900,0.0,1.0
2000-02-15,38.88,40.75,38.63,40.0,11.8,3024100,0.0,1.0
2000-02-16,39.75,40.63,38.81,39.19,11.5611,1940700,0.0,1.0
2000-02-17,39.13,39.13,37.69,38.69,11.4136,1912100,0.0,1.0
2000-02-18,38.25,38.38,37.38,37.69,11.1186,1508900,0.0,1.0
2000-02-22,37.94,38.88,37.5,38.31,11.3015,2014400,0.0,1.0
2000-02-23,38.38,38.69,37.19,37.81,11.154,2447200,0.0,1.0
2000-02-24,37.81,37.88,36.25,36.25,10.6938,2244100,0.0,1.0
2000-02-25,36.31,37.5,35.88,36.0,10.62,2069900,0.0,1.0
2000-02-28,36.0,36.63,35.38,35.56,10.4902,1659600,0.0,1.0
2000-02-29,35.06,36.44,35.0,35.06,10.3427,2402900,0.0,1.0
2000-03-01,35.13,35.81,34.88,34.88,10.2896,2420800,0.0,1.0
2000-03-02,34.81,35.0,34.19,34.44,10.1598,1978000,0.0,1.0
2000-03-03,34.5,37.31,34.5,36.38,10.7321,2402900,0.0,1.0
2000-03-06,37.19,38.0,36.44,36.69,10.8236,2630200,0.0,1.0
2000-03-07,36.5,36.5,33.5,33.81,9.974,4390400,0.0,1.0
