,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,56.38,56.75,55.19,55.94,14.1254,871400,0.0,1.0
2000-01-19,56.19,56.88,56.0,56.81,14.3451,1104000,0.0,1.0
2000-01-20,56.88,56.88,55.81,56.13,14.1734,898200,0.0,1.0
2000-01-21,57.25,57.25,55.88,55.88,14.1103,855400,0.0,1.0
2000-01-24,56.13,58.0,55.0,55.31,13.9663,369800,0.0,1.0
2000-01-25,55.31,55.88,55.0,55.19,13.936,318400,0.0,1.0
2000-01-26,55.19,56.5,54.88,55.88,14.1103,324100,0.0,1.0
2000-01-27,55.75,56.94,55.63,56.38,14.2365,693700,0.0,1.0
2000-01-28,56.13,56.13,54.5,54.88,13.8578,696400,0.0,1.0
2000-01-31,55.13,56.25,55.0,56.0,14.1406,321100,0.0,1.0
2000-02-01,56.25,57.5,55.5,57.0,14.3931,567400,0.0,1.0
2000-02-02,57.25,57.38,56.06,56.19,14.1885,467100,0.0,1.0
2000-02-03,56.19,57.06,55.5,56.19,14.1885,530600,0.0,1.0
2000-02-04,57.25,57.25,56.44,57.25,14.4562,556700,0.0,1.0
2000-02-07,57.38,57.38,55.38,55.81,14.0926,623700,0.0,1.0
2000-02-08,55.56,55.75,54.25,54.88,13.8578,511200,0.0,1.0
2000-02-09,54.0,54.0,51.88,52.38,13.2265,681600,0.0,1.0
2000-02-10,51.5,51.94,50.0,50.0,12.6255,592100,0.0,1.0
2000-02-11,50.0,50.19,46.75,49.38,12.469,1308000,0.0,1.0
2000-02-14,49.44,49.69,48.25,48.94,12.3578,551000,0.0,1.0
2000-02-15,48.56,51.06,48.38,50.88,12.8477,628200,0.0,1.0
2000-02-16,50.75,52.13,50.69,52.06,13.1457,976800,0.0,1.0
2000-02-17,52.25,53.25,52.13,53.06,13.3982,697600,0.0,1.0
2000-02-18,52.94,53.0,50.44,51.06,12.8932,810400,0.0,1.0
2000-02-22,50.69,51.06,50.06,50.63,12.7846,449200,0.0,1.0
2000-02-23,50.0,50.81,49.38,50.75,12.8149,295700,0.0,1.0
2000-02-24,50.25,50.25,48.5,49.44,12.4841,381700,0.0,1.0
2000-02-25,49.63,50.69,49.25,49.5,12.4993,443300,0.0,1.0
2000-02-28,49.25,50.94,49.19,49.75,12.5624,645400,0.0,1.0
2000-02-29,49.5,49.56,48.88,49.19,12.421,637800,0.0,1.0
2000-03-01,47.63,49.5,47.56,48.88,12.3427,587400,0.0,1.0
2000-03-02,49.13,49.25,46.69,48.06,12.1356,540200,0.0,1.0
2000-03-03,47.25,49.0,46.94,47.63,12.0271,459700,0.0,1.0
2000-03-06,47.63,47.63,45.0,45.38,11.4589,442700,0.0,1.0
2000-03-07,46.75,46.88,45.31,45.81,11.5675,683500,0.0,1.0
2000-03-08,43.88,46.13,43.25,44.75,11.2998,927900,0.0,1.0
2000-03-09,45.63,46.0,44.56,45.5,11.4892,773400,0.0,1.0
2000-03-10,45.63,45.94,44.81,45.31,11.4412,368300,0.0,1.0
2000-03-13,44.5,45.5,44.25,45.13,11.3958,417300,0.0,1.0
2000-03-14,45.13,45.75,44.44,44.81,11.315,787700,0.0,1.0
2000-03-15,44.75,50.13,44.75,49.63,12.5321,888400,0.0,1.0
2000-03-16,50.13,55.25,50.13,55.19,13.936,868300,0.0,1.0
2000-03-17,55.31,55.5,52.19,53.25,13.4462,979300,0.0,1.0
2000-03-20,53.0,53.13,51.25,52.06,13.1457,346200,0.0,1.0
2000-03-21,52.06,57.0,52.06,57.0,14.3931,1340800,0.0,1.0
2000-03-22,56.19,56.5,54.69,55.56,14.0295,470800,0.0,1.0
2000-03-23,58.0,61.75,57.5,59.69,15.0723,1429000,0.0,1.0
2000-03-24,59.5,60.12,59.12,59.69,15.0723,615100,0.0,1.0
2000-03-27,59.69,59.69,58.5,59.38,14.9941,656100,0.0,1.0
2000-03-28,59.38,61.38,59.0,59.31,14.9764,618800,0.0,1.0
2000-03-29,59.13,61.0,58.94,60.81,15.3551,670200,0.0,1.0
2000-03-30,64.0,69.06,63.31,66.88,16.8879,2766600,0.0,1.0
2000-03-31,66.88,69.19,64.63,67.56,17.0596,3093600,0.0,1.0
2000-04-03,66.0,69.69,64.38,68.44,17.2818,2269200,0.0,1.0
2000-04-04,68.5,69.94,64.63,66.25,16.7288,1339500,0.0,1.0
2000-04-05,64.0,66.5,64.0,65.44,16.5243,863200,0.0,1.0
2000-04-06,65.31,66.69,65.25,65.69,16.5874,633700,0.0,1.0
2000-04-07,65.75,66.0,63.63,64.06,16.1758,873200,0.0,1.0
2000-04-10,63.75,63.75,62.63,63.5,16.0344,927600,0.0,1.0
2000-04-11,63.5,66.0,63.19,65.84,16.6253,1019800,0.0,1.0
2000-04-12,65.88,68.44,65.81,67.0,16.9182,1245200,0.0,1.0
2000-04-13,67.0,67.0,64.0,65.81,16.6177,702300,0.0,1.0
2000-04-14,65.0,65.0,60.75,62.5,15.7819,1316600,0.0,1.0
2000-04-17,62.44,62.5,60.31,61.06,15.4183,935300,0.0,1.0
2000-04-18,61.06,62.38,60.88,62.19,15.7036,736500,0.0,1.0
2000-04-19,62.31,62.31,59.63,60.44,15.2617,383800,0.0,1.0
2000-04-20,59.0,63.31,58.88,62.88,15.8778,1296200,0.0,1.0
2000-04-24,62.88,65.06,62.75,65.0,16.4132,645200,0.0,1.0
2000-04-25,62.25,66.44,61.56,66.13,16.6985,1851700,0.0,1.0
2000-04-26,65.25,65.31,63.75,65.0,16.4132,1445200,0.0,1.0
2000-04-27,64.0,64.81,62.06,63.75,16.0975,787800,0.0,1.0
2000-04-28,64.25,64.44,62.13,63.63,16.0672,1387700,0.0,1.0
2000-05-01,65.0,65.75,64.56,65.0,16.4132,1205100,0.0,1.0
2000-05-02,64.75,64.88,62.44,63.38,16.0041,618400,0.0,1.0
2000-05-03,63.0,63.13,60.56,60.69,15.3248,531400,0.0,1.0
2000-05-04,60.69,61.56,60.19,61.25,15.4662,424500,0.0,1.0
2000-05-05,60.63,61.63,60.06,60.69,15.3248,358900,0.0,1.0
2000-05-08,60.19,61.31,60.06,60.63,15.3097,267400,0.0,1.0
2000-05-09,60.5,61.06,58.56,59.63,15.0572,554700,0.0,1.0
2000-05-10,59.88,61.5,59.31,60.75,15.34,372100,0.0,1.0
2000-05-11,61.25,63.25,61.25,62.75,15.845,469000,0.0,1.0
2000-05-12,63.5,63.88,62.5,63.34,15.994,364800,0.0,1.0
2000-05-15,62.75,66.63,62.75,66.44,16.7768,814900,0.0,1.0
2000-05-16,66.44,66.94,65.88,66.44,16.7768,726200,0.0,1.0
2000-05-17,65.94,66.0,64.75,65.44,16.5243,454400,0.0,1.0
2000-05-18,65.31,69.44,65.31,68.0,17.1707,873700,0.0,1.0
2000-05-19,67.31,68.94,67.19,68.0,17.1707,1161900,0.0,1.0
2000-05-22,69.0,70.31,68.69,69.94,17.6606,1487400,0.0,1.0
2000-05-23,70.5,71.44,69.63,71.0,17.9282,1174900,0.0,1.0
2000-05-24,71.44,72.44,70.88,72.38,18.2767,1188200,0.0,1.0
2000-05-25,72.88,72.94,70.38,70.69,17.8499,1185700,0.0,1.0
2000-05-26,70.69,71.5,70.19,71.25,17.9914,451800,0.0,1.0
2000-05-30,71.25,71.88,70.25,71.13,17.9611,981500,0.0,1.0
2000-05-31,70.25,70.44,69.69,69.88,17.6454,1131200,0.0,1.0
2000-06-01,70.0,70.25,69.5,70.0,17.6757,1176700,0.0,1.0
2000-06-02,70.13,70.75,64.5,69.13,17.456,1831700,0.0,1.0
2000-06-05,68.5,69.13,66.5,67.25,16.9813,590100,0.0,1.0
2000-06-06,68.25,68.31,64.25,66.5,16.7919,856300,0.0,1.0
2000-06-07,66.94,68.88,66.88,67.44,17.0293,721300,0.0,1.0
2000-06-08,68.0,68.0,65.13,65.63,16.5722,559100,0.0,1.0
2000-06-09,65.69,66.25,64.56,64.81,16.3652,239500,0.0,1.0
2000-06-12,64.81,66.19,64.81,65.34,16.499,447600,0.0,1.0
2000-06-13,65.38,66.0,64.5,65.81,16.6177,466400,0.0,1.0
2000-06-14,64.75,66.63,64.5,66.5,16.7919,692400,0.0,1.0
2000-06-15,66.25,67.0,63.81,66.88,16.8879,1446500,0.0,1.0
2000-06-16,66.94,67.75,65.25,67.5,17.0444,1113800,0.0,1.0
2000-06-19,66.25,68.69,65.63,66.81,16.8702,797300,0.0,1.0
