,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-06-15,32.8,33.75,32.3,32.49,27.3649,17022500,0.0,1.0
2010-06-16,32.37,32.79,31.97,32.07,27.0111,2158800,0.0,1.0
2010-06-17,32.35,32.48,31.25,31.5,26.531,1467700,0.0,1.0
2010-06-18,31.45,31.6494,30.76,31.01,26.1183,1132200,0.0,1.0
2010-06-21,31.66,33.0,31.01,32.04,26.9858,1066900,0.0,1.0
2010-06-22,32.38,33.15,31.81,32.69,27.5333,1008800,0.0,1.0
2010-06-23,33.0,33.5,32.0,33.48,28.1987,1029400,0.0,1.0
2010-06-24,33.49,34.18,32.76,33.29,28.0387,1600800,0.0,1.0
2010-06-25,33.3,33.35,32.07,32.07,27.0111,640100,0.0,1.0
2010-06-28,32.47,33.05,31.76,32.78,27.6091,718200,0.0,1.0
2010-06-29,32.25,32.3,31.27,31.76,26.75,622300,0.0,1.0
2010-06-30,31.99,32.65,31.65,32.55,27.4154,402400,0.0,1.0
2010-07-01,32.25,32.5,30.0,30.31,25.5287,1023200,0.0,1.0
2010-07-02,30.25,31.0,30.02,30.86,25.992,483700,0.0,1.0
2010-07-06,31.4,31.4,29.7,29.8,25.0992,805200,0.0,1.0
2010-07-07,29.8,30.43,29.17,29.23,24.6191,583700,0.0,1.0
2010-07-08,29.05,30.32,28.45,29.01,24.4338,2176300,0.0,1.0
2010-07-09,29.22,29.3299,28.66,28.97,24.4001,448600,0.0,1.0
2010-07-12,28.75,28.84,26.67,26.8,22.5724,1194500,0.0,1.0
2010-07-13,27.38,27.97,26.92,27.85,23.4568,877900,0.0,1.0
2010-07-14,27.87,27.87,27.13,27.34,23.0273,885100,0.0,1.0
2010-07-15,27.2,27.25,26.1,26.5,22.3198,642100,0.0,1.0
2010-07-16,26.26,27.15,26.215,26.45,22.2776,708700,0.0,1.0
2010-07-19,26.93,26.93,26.06,26.49,22.3113,306000,0.0,1.0
2010-07-20,26.24,26.7,26.0,26.08,21.966,490100,0.0,1.0
2010-07-21,26.11,27.08,26.11,26.61,22.4124,854200,0.0,1.0
2010-07-22,26.9,27.6,26.75,27.03,22.7662,322600,0.0,1.0
2010-07-23,26.89,27.19,26.63,27.15,22.8672,233300,0.0,1.0
2010-07-26,27.0,27.1399,26.11,26.5,22.3198,631200,0.0,1.0
2010-07-27,26.41,27.65,26.25,27.19,22.9009,537900,0.0,1.0
2010-07-28,27.05,27.22,26.57,27.15,22.8672,131300,0.0,1.0
2010-07-29,27.0,27.21,26.3,26.67,22.4629,296200,0.0,1.0
2010-07-30,26.47,27.19,26.32,26.6,22.404,220100,0.0,1.0
2010-08-02,27.14,27.63,26.68,27.54,23.1957,356600,0.0,1.0
2010-08-03,27.34,27.63,27.15,27.25,22.9514,254100,0.0,1.0
2010-08-04,27.3,27.5,26.65,26.71,22.4966,412500,0.0,1.0
2010-08-05,26.26,26.26,24.24,24.8,20.8879,1554200,0.0,1.0
2010-08-06,24.25,24.356,23.12,23.8,20.0457,1221700,0.0,1.0
2010-08-09,24.0,24.19,23.53,23.97,20.1889,436800,0.0,1.0
2010-08-10,23.89,23.89,23.0,23.0,19.3719,396600,0.0,1.0
2010-08-11,22.86,23.17,22.38,22.95,19.3298,578900,0.0,1.0
2010-08-12,22.94,23.55,22.7,23.31,19.633,515200,0.0,1.0
2010-08-13,23.1,23.36,22.8,23.0,19.3719,322000,0.0,1.0
2010-08-16,22.79,23.22,22.73,22.79,19.195,190700,0.0,1.0
2010-08-17,22.87,23.15,22.46,23.12,19.4729,329500,0.0,1.0
2010-08-18,22.88,23.18,22.5,23.11,19.4645,361500,0.0,1.0
2010-08-19,23.43,23.65,22.8,23.0,19.3719,655000,0.0,1.0
2010-08-20,22.91,23.01,22.63,22.87,19.2624,326700,0.0,1.0
2010-08-23,22.78,23.2,22.78,23.0,19.3719,279500,0.0,1.0
2010-08-24,22.5,22.67,21.25,21.79,18.3527,762400,0.0,1.0
2010-08-25,21.29,21.83,21.25,21.67,18.2517,242700,0.0,1.0
2010-08-26,21.76,22.28,21.25,21.28,17.9232,213900,0.0,1.0
2010-08-27,21.36,21.42,20.25,20.87,17.5779,378500,0.0,1.0
2010-08-30,20.87,21.17,20.35,20.62,17.3673,273200,0.0,1.0
2010-08-31,20.51,20.98,20.41,20.91,17.6116,110300,0.0,1.0
2010-09-01,21.06,21.9899,20.95,21.62,18.2938,257000,0.1,1.0
2010-09-02,21.79,21.91,21.03,21.67,18.3361,143800,0.0,1.0
2010-09-03,21.75,22.43,21.55,22.17,18.7592,233400,0.0,1.0
2010-09-07,22.23,22.23,21.71,22.23,18.8099,188100,0.0,1.0
2010-09-08,22.22,22.58,21.81,22.05,18.6576,263000,0.0,1.0
2010-09-09,22.51,22.51,21.51,21.8,18.4461,214400,0.0,1.0
