,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,49.5,50.25,49.38,50.0,30.4557,1199900,0.0,1.0
2000-01-19,50.0,51.13,49.88,50.25,30.6079,1419200,0.0,1.0
2000-01-20,50.56,50.88,49.19,49.19,29.9623,628600,0.0,1.0
2000-01-21,50.63,50.63,46.0,46.63,28.403,1776500,0.0,1.0
2000-01-24,46.0,46.0,42.75,43.13,26.2711,4527700,0.0,1.0
2000-01-25,43.25,44.06,41.88,42.25,25.735,3590500,0.0,1.0
2000-01-26,42.38,45.25,41.88,43.94,26.7644,3154800,0.0,1.0
2000-01-27,42.5,43.75,42.31,42.75,26.0396,2367700,0.0,1.0
2000-01-28,42.5,44.5,42.0,44.5,27.1055,3433600,0.0,1.0
2000-01-31,44.5,45.5,43.75,45.06,27.4466,2468500,0.0,1.0
2000-02-01,45.06,45.44,44.25,45.06,27.4466,1648400,0.0,1.0
2000-02-02,46.0,46.0,44.94,45.0,27.4101,1648300,0.0,1.0
2000-02-03,44.88,47.63,44.63,47.25,28.7806,1303700,0.0,1.0
2000-02-04,48.25,48.25,46.13,46.63,28.403,1572600,0.0,1.0
2000-02-07,46.63,46.69,42.75,43.06,26.2284,1274900,0.0,1.0
2000-02-08,44.25,44.25,40.5,42.75,26.0396,3870000,0.0,1.0
2000-02-09,42.56,43.31,42.38,42.94,26.1553,1551500,0.0,1.0
2000-02-10,42.88,42.88,41.75,42.06,25.6193,900700,0.0,1.0
2000-02-11,43.0,43.0,39.63,40.38,24.596,1116800,0.0,1.0
2000-02-14,40.5,40.63,34.38,35.5,21.6235,5839900,0.0,1.0
2000-02-15,35.5,36.0,33.94,34.0,20.7099,6539600,0.0,1.0
2000-02-16,33.75,33.75,31.25,31.88,19.4185,5904300,0.0,1.0
2000-02-17,32.25,33.69,30.94,31.19,18.9982,4628200,0.0,1.0
2000-02-18,31.69,32.25,30.56,31.06,18.9191,3899700,0.0,1.0
2000-02-22,30.94,31.63,30.25,30.44,18.5414,2411700,0.0,1.0
2000-02-23,30.25,30.31,29.06,29.63,18.048,2496000,0.0,1.0
2000-02-24,30.13,30.13,27.25,28.0,17.1191,3625100,0.105,1.0
2000-02-25,28.0,28.63,27.5,27.63,16.8929,4264300,0.0,1.0
2000-02-28,28.5,30.0,28.0,30.0,18.3419,7053000,0.0,1.0
2000-02-29,30.63,30.63,28.56,28.81,17.6144,3239600,0.0,1.0
2000-03-01,28.81,29.06,26.38,26.88,16.4344,4766600,0.0,1.0
2000-03-02,27.0,27.25,24.94,25.88,15.823,4939100,0.0,1.0
2000-03-03,26.38,27.13,25.81,26.13,15.9758,4873300,0.0,1.0
2000-03-06,26.13,26.38,23.75,24.25,14.8264,3185100,0.0,1.0
2000-03-07,22.06,24.88,22.06,24.5,14.9792,4242900,0.0,1.0
2000-03-08,24.0,24.44,23.13,23.94,14.6369,3841300,0.0,1.0
2000-03-09,24.06,24.06,23.0,23.19,14.1783,4022800,0.0,1.0
2000-03-10,23.38,23.44,22.88,23.06,14.0988,3226800,0.0,1.0
2000-03-13,23.0,23.81,22.38,22.88,13.9888,3302700,0.0,1.0
2000-03-14,22.94,23.13,22.06,22.19,13.5669,4476000,0.0,1.0
2000-03-15,22.25,23.19,22.0,22.75,13.9093,5111100,0.0,1.0
2000-03-16,23.38,26.5,23.31,26.5,16.202,7671400,0.0,1.0
2000-03-17,22.75,23.5,21.19,21.88,13.3774,17469100,0.0,1.0
2000-03-20,22.5,24.13,22.25,23.75,14.5207,11510800,0.0,1.0
2000-03-21,23.5,24.44,23.38,24.0,14.6735,5829100,0.0,1.0
2000-03-22,24.0,25.06,24.0,24.81,15.1688,5334800,0.0,1.0
2000-03-23,24.81,25.0,23.88,23.94,14.6369,2577200,0.0,1.0
2000-03-24,24.5,24.75,24.0,24.62,15.0526,2395200,0.0,1.0
2000-03-27,25.5,25.56,24.63,24.75,15.1321,1937300,0.0,1.0
2000-03-28,25.0,25.38,24.25,24.31,14.8631,2367700,0.0,1.0
2000-03-29,24.75,24.75,24.25,24.31,14.8631,2109900,0.0,1.0
2000-03-30,24.38,24.63,23.94,24.06,14.7102,2908500,0.0,1.0
2000-03-31,24.0,25.0,23.88,24.81,15.1688,3541400,0.0,1.0
2000-04-03,24.81,24.81,23.5,23.94,14.6369,3917800,0.0,1.0
2000-04-04,24.13,24.25,23.19,24.25,14.8264,3349700,0.0,1.0
2000-04-05,24.25,24.63,23.88,24.06,14.7102,1774900,0.0,1.0
2000-04-06,24.31,24.5,24.0,24.13,14.753,1478500,0.0,1.0
2000-04-07,24.38,24.81,24.0,24.5,14.9792,2890200,0.0,1.0
2000-04-10,24.63,25.19,24.5,24.88,15.2116,2132500,0.0,1.0
2000-04-11,25.0,25.25,24.31,24.81,15.1688,1642400,0.0,1.0
2000-04-12,25.0,25.0,23.94,23.94,14.6369,3674000,0.0,1.0
2000-04-13,24.06,24.69,23.88,23.94,14.6369,2581400,0.0,1.0
2000-04-14,23.69,23.75,21.5,22.0,13.4507,2005100,0.0,1.0
2000-04-17,23.06,23.25,22.06,22.25,13.6036,2704600,0.0,1.0
2000-04-18,22.25,23.88,21.81,23.81,14.5574,2541800,0.0,1.0
2000-04-19,23.38,23.94,23.06,23.75,14.5207,1776800,0.0,1.0
2000-04-20,23.75,24.0,23.31,23.94,14.6369,1112700,0.0,1.0
2000-04-24,23.63,23.94,23.25,23.69,14.484,1945200,0.0,1.0
2000-04-25,23.63,24.19,23.38,24.13,14.753,2323000,0.0,1.0
2000-04-26,24.31,24.94,24.31,24.63,15.0587,2132200,0.0,1.0
2000-04-27,24.38,24.69,23.94,24.5,14.9792,2275400,0.0,1.0
2000-04-28,24.63,24.88,24.25,24.88,15.2116,1935400,0.0,1.0
2000-05-01,24.56,24.69,24.0,24.25,14.8264,1619100,0.0,1.0
2000-05-02,24.44,25.63,24.31,25.25,15.4378,1931200,0.0,1.0
2000-05-03,25.63,26.19,24.31,24.88,15.2116,2216300,0.0,1.0
2000-05-04,24.88,24.94,24.13,24.44,14.9426,1330000,0.0,1.0
2000-05-05,24.44,25.38,24.25,25.13,15.3644,922900,0.0,1.0
2000-05-08,25.06,25.88,24.75,25.81,15.7802,1232800,0.0,1.0
2000-05-09,25.56,25.63,24.69,25.38,15.5173,1549300,0.0,1.0
2000-05-10,25.63,26.44,25.56,26.25,16.0492,1708500,0.0,1.0
2000-05-11,26.63,26.69,26.25,26.5,16.202,1068000,0.0,1.0
2000-05-12,26.0,26.44,25.81,26.06,15.933,1290400,0.0,1.0
2000-05-15,26.19,26.44,25.88,26.44,16.1653,781900,0.0,1.0
2000-05-16,26.56,27.69,26.19,27.38,16.7401,1578000,0.0,1.0
2000-05-17,26.75,27.38,26.31,27.0,16.5077,1273900,0.0,1.0
2000-05-18,27.25,28.88,27.19,28.81,17.6144,1826700,0.0,1.0
2000-05-19,28.06,28.19,26.94,27.31,16.6973,1982900,0.0,1.0
2000-05-22,28.13,28.13,26.06,26.19,16.0125,1465200,0.0,1.0
2000-05-23,26.44,26.63,25.63,25.81,15.7802,1055300,0.0,1.0
2000-05-24,25.81,27.44,25.44,26.94,16.471,1891800,0.0,1.0
2000-05-25,27.0,27.31,25.44,25.69,15.7068,1299600,0.0,1.0
2000-05-26,25.31,25.81,24.94,24.94,15.3124,1129200,0.105,1.0
2000-05-30,26.0,27.69,25.31,27.19,16.6939,2064100,0.0,1.0
2000-05-31,28.0,28.06,27.19,27.25,16.7307,1550700,0.0,1.0
2000-06-01,27.13,27.19,26.25,26.56,16.3071,1097300,0.0,1.0
2000-06-02,27.19,27.5,26.88,27.31,16.7676,1039400,0.0,1.0
2000-06-05,27.31,27.31,26.44,26.69,16.3869,760800,0.0,1.0
2000-06-06,26.5,26.56,25.94,26.19,16.0799,976200,0.0,1.0
2000-06-07,26.0,26.13,25.13,25.19,15.4659,1621000,0.0,1.0
2000-06-08,25.5,25.56,24.25,25.0,15.3493,1869100,0.0,1.0
2000-06-09,25.0,25.5,24.81,24.94,15.3124,1183300,0.0,1.0
2000-06-12,25.0,25.0,24.0,24.31,14.9256,1499500,0.0,1.0
2000-06-13,24.31,24.5,24.06,24.31,14.9256,857700,0.0,1.0
2000-06-14,24.63,24.69,23.81,24.19,14.852,2646000,0.0,1.0
2000-06-15,24.19,24.25,23.38,23.75,14.5818,2127500,0.0,1.0
2000-06-16,23.5,24.44,23.0,23.56,14.4652,2681100,0.0,1.0
2000-06-19,23.56,24.0,22.94,23.38,14.3547,1598300,0.0,1.0
