,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2014-09-24,21.5,23.22,21.35,23.08,20.4818,60428679,0.0,1.0
2014-09-25,22.56,23.41,22.45,23.05,20.4551,8430006,0.0,1.0
2014-09-26,23.18,23.37,22.91,23.25,20.6326,2504353,0.0,1.0
2014-09-29,23.14,23.45,22.91,23.23,20.6149,4832586,0.0,1.0
2014-09-30,23.11,23.57,23.05,23.42,20.7835,4103103,0.0,1.0
2014-10-01,23.22,23.61,23.11,23.44,20.8012,3915508,0.0,1.0
2014-10-02,23.34,23.59,23.303,23.34,20.7125,3121384,0.0,1.0
2014-10-03,23.38,23.47,23.01,23.23,20.6149,1585901,0.0,1.0
2014-10-06,23.28,23.37,22.61,22.64,20.0913,1208403,0.0,1.0
2014-10-07,22.56,22.74,22.26,22.52,19.9848,1508726,0.0,1.0
2014-10-08,22.11,23.15,22.11,22.75,20.1889,1649208,0.0,1.0
2014-10-09,23.0,23.0,22.24,22.48,19.9493,1229058,0.0,1.0
2014-10-10,22.39,22.56,22.135,22.28,19.7718,924069,0.0,1.0
2014-10-13,22.13,22.66,22.12,22.45,19.9227,1382774,0.0,1.0
2014-10-14,22.5,22.79,22.3,22.45,19.9227,1605776,0.0,1.0
2014-10-15,22.13,22.2,21.5,21.85,19.3902,3405401,0.0,1.0
2014-10-16,21.51,21.95,21.47,21.8,19.3459,3105758,0.0,1.0
2014-10-17,21.89,22.07,21.73,21.92,19.4523,2750608,0.0,1.0
2014-10-20,21.82,22.38,21.82,22.38,19.8606,1870599,0.0,1.0
2014-10-21,22.11,22.93,22.11,22.82,20.251,1165506,0.0,1.0
2014-10-22,22.78,23.0,22.4025,22.6,20.0558,884653,0.0,1.0
2014-10-23,22.97,23.08,22.59,23.03,20.4374,1154177,0.0,1.0
2014-10-24,23.32,23.49,22.77,23.18,20.5705,1357806,0.0,1.0
2014-10-27,23.15,23.19,22.725,22.85,20.2776,2898819,0.0,1.0
2014-10-28,23.16,23.59,22.93,23.28,20.6592,1500595,0.0,1.0
2014-10-29,23.35,23.53,23.2,23.48,20.8367,1302330,0.0,1.0
2014-10-30,23.62,23.96,23.58,23.82,21.1385,1153487,0.0,1.0
2014-10-31,23.59,23.92,23.37,23.62,20.961,1238628,0.0,1.0
2014-11-03,23.49,24.0,23.16,24.0,21.2982,1826936,0.0,1.0
2014-11-04,23.74,23.91,23.43,23.6,21.032,1474474,0.1,1.0
2014-11-05,23.8,23.95,23.55,23.9,21.2993,1097594,0.0,1.0
2014-11-06,23.79,24.46,23.75,24.3,21.6558,1010740,0.0,1.0
2014-11-07,24.48,24.48,23.96,23.97,21.3617,600659,0.0,1.0
2014-11-10,24.04,24.25,23.75,23.95,21.3439,1531257,0.0,1.0
2014-11-11,23.97,24.22,23.75,23.94,21.335,658274,0.0,1.0
2014-11-12,23.75,23.98,23.51,23.86,21.2637,940834,0.0,1.0
2014-11-13,23.62,23.96,23.58,23.82,21.228,1149713,0.0,1.0
2014-11-14,23.74,24.0,23.74,23.96,21.3528,1111501,0.0,1.0
2014-11-17,24.11,24.11,23.56,24.0,21.3884,992390,0.0,1.0
2014-11-18,24.04,24.04,23.71,23.73,21.1478,586010,0.0,1.0
2014-11-19,23.8,24.0,23.51,23.72,21.1389,812772,0.0,1.0
2014-11-20,23.57,23.87,23.5001,23.71,21.13,745775,0.0,1.0
2014-11-21,23.95,24.21,23.695,23.77,21.1835,725247,0.0,1.0
2014-11-24,23.8,24.36,23.68,24.25,21.6112,836847,0.0,1.0
2014-11-25,24.24,24.3,24.02,24.03,21.4152,701615,0.0,1.0
2014-11-26,24.11,24.27,23.92,24.23,21.5934,703711,0.0,1.0
2014-11-28,24.22,25.09,24.05,24.63,21.9499,713406,0.0,1.0
2014-12-01,24.62,24.895,23.49,23.98,21.3706,2282591,0.0,1.0
2014-12-02,24.02,24.43,23.8,24.2,21.5667,1369272,0.0,1.0
2014-12-03,24.33,24.59,24.19,24.23,21.5934,1854537,0.0,1.0
2014-12-04,24.32,24.56,24.09,24.4,21.7449,1433907,0.0,1.0
2014-12-05,24.45,25.22,24.45,25.15,22.4133,1008380,0.0,1.0
2014-12-08,25.08,25.14,24.68,25.04,22.3153,2244927,0.0,1.0
2014-12-09,24.71,25.33,24.5,25.16,22.4222,1141758,0.0,1.0
2014-12-10,25.15,25.41,24.62,24.65,21.9677,630958,0.0,1.0
2014-12-11,24.85,25.28,24.51,24.69,22.0034,1709147,0.0,1.0
2014-12-12,24.52,24.83,24.4,24.46,21.7984,950809,0.0,1.0
2014-12-15,24.68,24.805,24.27,24.49,21.8251,1175223,0.0,1.0
2014-12-16,24.53,24.875,24.22,24.25,21.6112,1314152,0.0,1.0
2014-12-17,24.22,24.8,24.22,24.56,21.8875,2160460,0.0,1.0
2014-12-18,24.75,25.14,24.68,25.08,22.3509,1768470,0.0,1.0
2014-12-19,25.04,25.6,24.84,25.0,22.2796,7523121,0.0,1.0
2014-12-22,25.16,25.2786,24.66,25.1,22.3687,1689581,0.0,1.0
2014-12-23,25.31,25.5,25.12,25.44,22.6717,1174551,0.0,1.0
2014-12-24,25.45,25.59,25.18,25.51,22.7341,547225,0.0,1.0
2014-12-26,25.51,25.51,25.25,25.31,22.5559,304036,0.0,1.0
2014-12-29,25.2,25.51,25.18,25.37,22.6094,1070954,0.0,1.0
2014-12-30,25.46,25.5,25.16,25.19,22.4489,511820,0.0,1.0
2014-12-31,25.25,25.285,24.83,24.86,22.1549,621617,0.0,1.0
2015-01-02,24.97,25.0,24.29,24.76,22.0657,643550,0.0,1.0
2015-01-05,24.58,24.68,23.84,24.18,21.5488,1330389,0.0,1.0
2015-01-06,24.17,24.22,23.7,23.91,21.3082,2075044,0.0,1.0
2015-01-07,23.99,24.13,23.79,24.0,21.3884,1160199,0.0,1.0
2015-01-08,24.07,24.48,23.94,24.18,21.5488,661452,0.0,1.0
2015-01-09,24.15,24.18,23.78,23.89,21.2904,718867,0.0,1.0
2015-01-12,23.8,24.04,23.62,23.88,21.2815,941126,0.0,1.0
2015-01-13,23.94,24.19,23.61,23.87,21.2726,990061,0.0,1.0
2015-01-14,23.6,23.744,23.1,23.44,20.8894,962525,0.0,1.0
2015-01-15,23.37,23.61,22.67,22.96,20.4616,1558030,0.0,1.0
2015-01-16,22.83,23.24,22.79,23.19,20.6666,1951966,0.0,1.0
2015-01-20,23.16,23.85,22.91,23.1,20.5864,1742114,0.0,1.0
2015-01-21,23.07,23.59,23.01,23.28,20.7468,787349,0.0,1.0
2015-01-22,23.3,24.16,23.28,24.14,21.5132,486535,0.0,1.0
2015-01-23,24.04,24.04,23.67,23.71,21.13,656610,0.0,1.0
2015-01-26,23.75,24.31,23.53,24.09,21.4686,1167764,0.0,1.0
2015-01-27,23.86,24.64,23.7601,24.15,21.5221,1308167,0.0,1.0
2015-01-28,24.17,24.35,23.84,23.86,21.2637,1301860,0.0,1.0
2015-01-29,23.92,24.35,23.26,24.24,21.6023,1818610,0.0,1.0
2015-01-30,24.1,24.24,23.81,23.9,21.2993,1882316,0.0,1.0
2015-02-02,23.85,24.16,23.69,24.0,21.3884,1445837,0.0,1.0
2015-02-03,23.91,24.45,23.8,24.29,21.736,1351750,0.1,1.0
2015-02-04,24.27,24.38,23.93,24.01,21.4854,1102434,0.0,1.0
2015-02-05,24.09,24.41,23.98,24.35,21.7897,984601,0.0,1.0
2015-02-06,24.41,25.0,24.22,24.5,21.9239,1748389,0.0,1.0
2015-02-09,24.48,24.53,24.11,24.26,21.7091,781608,0.0,1.0
2015-02-10,24.73,24.96,24.53,24.82,22.2103,1384891,0.0,1.0
2015-02-11,24.88,25.0,24.55,24.97,22.3445,1393061,0.0,1.0
2015-02-12,24.8,25.37,24.75,25.33,22.6666,985050,0.0,1.0
2015-02-13,25.28,25.67,25.14,25.45,22.774,1164524,0.0,1.0
2015-02-17,25.71,25.74,25.26,25.56,22.8725,1807100,0.0,1.0
2015-02-18,25.63,25.63,25.06,25.21,22.5593,1783474,0.0,1.0
2015-02-19,25.02,25.22,24.85,25.02,22.3892,896846,0.0,1.0
2015-02-20,25.1,25.26,24.862,25.25,22.5951,744802,0.0,1.0
2015-02-23,25.1,25.1,24.675,24.91,22.2908,743580,0.0,1.0
2015-02-24,24.86,25.07,24.77,24.93,22.3087,530683,0.0,1.0
2015-02-25,24.87,25.0,24.72,24.96,22.3355,612615,0.0,1.0
2015-02-26,24.94,24.995,24.61,24.85,22.2371,702911,0.0,1.0
2015-02-27,24.8,24.9999,24.71,24.84,22.2282,468546,0.0,1.0
2015-03-02,24.8,25.18,24.62,24.85,22.2371,1408937,0.0,1.0
2015-03-03,24.82,25.05,24.58,25.04,22.4071,905544,0.0,1.0
2015-03-04,24.99,24.99,24.5,24.9,22.2819,1781542,0.0,1.0
2015-03-05,24.89,25.32,24.61,25.3,22.6398,1959248,0.0,1.0
2015-03-06,25.03,25.8,24.95,25.5,22.8188,1542156,0.0,1.0
2015-03-09,25.47,25.5347,25.11,25.23,22.5772,1890638,0.0,1.0
2015-03-10,24.95,25.2,24.79,25.0,22.3713,1434336,0.0,1.0
2015-03-11,25.0,25.2699,25.0,25.11,22.4698,837650,0.0,1.0
2015-03-12,25.12,25.78,24.99,25.49,22.8098,2143342,0.0,1.0
2015-03-13,25.17,25.23,24.43,24.77,22.1655,3480912,0.0,1.0
2015-03-16,24.93,25.32,24.77,25.31,22.6487,1186824,0.0,1.0
2015-03-17,25.18,25.61,24.9,25.6,22.9083,1225220,0.0,1.0
2015-03-18,25.45,25.84,25.1,25.19,22.5414,1288586,0.0,1.0
2015-03-19,25.0,25.19,24.495,24.8,22.1924,1824580,0.0,1.0
2015-03-20,24.78,25.02,24.74,24.8,22.1924,6594055,0.0,1.0
2015-03-23,24.85,25.24,24.51,24.76,22.1566,3773274,0.0,1.0
2015-03-24,24.7,24.92,24.24,24.32,21.7628,2657602,0.0,1.0
2015-03-25,24.27,24.43,23.84,24.0,21.4765,5000096,0.0,1.0
2015-03-26,24.04,24.29,23.83,24.12,21.5839,62491480,0.0,1.0
2015-03-27,24.11,24.54,24.1,24.48,21.906,9244264,0.0,1.0
2015-03-30,24.5,24.68,24.16,24.32,21.7628,5463482,0.0,1.0
2015-03-31,24.22,24.29,24.04,24.13,21.5928,3946570,0.0,1.0
2015-04-01,24.15,24.46,24.03,24.36,21.7986,5348903,0.0,1.0
2015-04-02,24.34,24.68,24.25,24.62,22.0313,6024784,0.0,1.0
2015-04-06,24.48,24.8,24.28,24.75,22.1476,3718418,0.0,1.0
2015-04-07,24.73,25.0,24.7,24.9,22.2819,5752758,0.0,1.0
2015-04-08,25.0,25.09,24.88,25.0,22.3713,4441601,0.0,1.0
