,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,39.81,40.0,39.63,39.69,7.0793,52000,0.0,1.0
2000-01-19,39.56,40.94,39.5,40.88,7.2916,88300,0.0,1.0
2000-01-20,40.81,40.81,40.19,40.44,7.2131,65600,0.0,1.0
2000-01-21,40.41,40.41,39.25,39.31,7.0115,134500,0.0,1.0
2000-01-24,39.5,41.38,39.25,41.19,7.3469,151500,0.0,1.0
2000-01-25,41.13,42.06,40.19,40.5,7.2238,281700,0.0,1.0
2000-01-26,40.88,40.88,39.56,40.75,7.2684,198700,0.0,1.0
2000-01-27,40.75,40.75,39.88,39.94,7.1239,27900,0.0,1.0
2000-01-28,39.88,41.5,39.75,41.5,7.4022,122100,0.0,1.0
2000-01-31,41.06,42.13,40.0,40.69,7.2577,94000,0.0,1.0
2000-02-01,40.75,41.25,39.38,41.25,7.3576,102800,0.0,1.0
2000-02-02,40.78,43.0,40.5,42.5,7.5805,198400,0.0,1.0
2000-02-03,42.56,42.63,42.0,42.5,7.5805,46000,0.0,1.0
2000-02-04,42.5,43.06,42.31,42.81,7.6358,72600,0.0,1.0
2000-02-07,42.63,43.5,42.05,43.5,7.7589,105600,0.0,1.0
2000-02-08,43.5,45.25,43.44,44.19,7.882,171500,0.0,1.0
2000-02-09,44.25,49.0,44.25,47.88,8.5401,367800,0.0,1.0
2000-02-10,48.25,48.38,47.13,47.19,8.4171,174000,0.0,1.0
2000-02-11,47.63,47.63,43.56,43.56,7.7696,243200,0.0,1.0
2000-02-14,44.13,44.25,41.75,43.25,7.7143,121100,0.0,1.0
2000-02-15,43.25,43.5,41.13,41.75,7.4468,179500,0.0,1.0
2000-02-16,42.25,42.88,42.23,42.5,7.5805,66700,0.0,1.0
2000-02-17,42.72,42.94,41.88,42.13,7.5145,70600,0.0,1.0
2000-02-18,42.5,42.5,40.75,40.75,7.2684,56000,0.0,1.0
2000-02-22,40.63,42.13,40.0,41.5,7.4022,122200,0.0,1.0
2000-02-23,44.5,46.25,43.88,44.69,7.9711,682000,0.0,1.0
2000-02-24,44.5,46.5,44.38,45.25,8.071,365800,0.0,1.0
2000-02-25,45.38,46.38,45.25,45.91,8.1888,234600,0.0,1.0
2000-02-28,46.0,50.13,45.56,49.5,8.8291,336900,0.0,1.0
2000-02-29,49.5,51.38,48.88,51.0,9.0966,2922200,0.0,1.0
2000-03-01,50.41,50.56,49.81,50.25,8.9629,808500,0.0,1.0
2000-03-02,50.38,50.44,49.63,49.66,8.8576,600400,0.0,1.0
2000-03-03,50.0,50.05,49.56,49.63,8.8523,476500,0.0,1.0
2000-03-06,49.69,49.69,49.5,49.56,8.8541,178700,0.08,1.0
2000-03-07,49.5,50.94,49.38,50.94,9.1006,214800,0.0,1.0
2000-03-08,50.38,51.88,50.38,50.88,9.0899,203000,0.0,1.0
2000-03-09,51.25,51.25,50.38,50.38,9.0006,84600,0.0,1.0
2000-03-10,50.38,50.44,49.38,49.44,8.8326,122000,0.0,1.0
2000-03-13,49.25,49.25,47.5,48.63,8.6879,140100,0.0,1.0
2000-03-14,48.63,48.88,43.38,46.06,8.2288,405500,0.0,1.0
2000-03-15,46.25,46.5,45.38,45.44,8.118,589600,0.0,1.0
2000-03-16,45.63,46.0,42.88,44.06,7.8715,253100,0.0,1.0
2000-03-17,42.22,43.06,41.69,41.69,7.4481,240100,0.0,1.0
2000-03-20,43.38,43.5,40.0,40.13,7.1694,244100,0.0,1.0
2000-03-21,40.63,41.13,39.31,41.06,7.3355,151200,0.0,1.0
2000-03-22,41.56,42.06,41.13,42.06,7.5142,143700,0.0,1.0
2000-03-23,42.0,42.25,41.69,42.06,7.5142,265000,0.0,1.0
2000-03-24,42.5,42.5,42.0,42.0,7.5034,143400,0.0,1.0
2000-03-27,42.38,42.38,41.44,41.88,7.482,57000,0.0,1.0
2000-03-28,41.97,42.06,41.88,41.88,7.482,122900,0.0,1.0
2000-03-29,41.88,42.13,40.25,40.5,7.2355,106400,0.0,1.0
2000-03-30,40.63,42.13,39.5,39.56,7.0675,137800,0.0,1.0
2000-03-31,40.13,40.88,37.25,37.25,6.6548,533300,0.0,1.0
2000-04-03,38.0,38.25,34.31,35.0,6.2529,177900,0.0,1.0
2000-04-04,35.56,43.38,35.0,40.38,7.214,812000,0.0,1.0
2000-04-05,39.75,41.38,38.75,39.38,7.0354,727600,0.0,1.0
2000-04-06,39.5,42.13,39.06,40.38,7.214,135000,0.0,1.0
2000-04-07,41.06,43.81,40.63,43.44,7.7607,190800,0.0,1.0
2000-04-10,42.88,44.0,41.69,41.69,7.4481,192900,0.0,1.0
2000-04-11,41.56,45.13,40.63,42.13,7.5267,109600,0.0,1.0
2000-04-12,42.13,46.25,42.13,46.0,8.218,159900,0.0,1.0
2000-04-13,46.0,46.13,43.88,44.06,7.8715,178300,0.0,1.0
2000-04-14,43.81,43.81,38.75,41.25,7.3694,77100,0.0,1.0
