,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,30.38,30.75,29.31,29.5,14.6593,367300,0.0,1.0
2000-01-19,29.69,30.63,29.5,29.88,14.8481,775700,0.0,1.0
2000-01-20,29.69,30.19,28.94,28.94,14.381,342900,0.0,1.0
2000-01-21,30.0,30.31,29.63,30.06,14.9376,664600,0.0,1.0
2000-01-24,30.25,30.25,29.63,29.72,14.7686,384000,0.0,1.0
2000-01-25,29.63,30.13,29.44,29.56,14.6891,266300,0.0,1.0
2000-01-26,29.63,30.44,29.63,30.31,15.0618,397200,0.0,1.0
2000-01-27,30.25,30.44,29.0,29.13,14.4754,194200,0.0,1.0
2000-01-28,29.0,29.0,27.38,27.63,13.7301,268800,0.0,1.0
2000-01-31,27.66,29.5,27.5,28.75,14.2866,303200,0.0,1.0
2000-02-01,28.75,30.13,28.25,29.06,14.4407,449100,0.0,1.0
2000-02-02,28.81,28.81,27.75,28.56,14.1922,259700,0.0,1.0
2000-02-03,28.63,30.0,28.38,29.5,14.6593,392800,0.0,1.0
2000-02-04,29.44,30.5,29.38,29.88,14.8481,659700,0.0,1.0
2000-02-07,29.88,30.03,28.75,28.81,14.3164,761500,0.0,1.0
2000-02-08,28.75,29.75,28.75,28.75,14.2866,414800,0.0,1.0
2000-02-09,28.63,30.0,28.63,29.28,14.55,559100,0.0,1.0
2000-02-10,29.09,29.13,28.81,28.97,14.3959,474400,0.0,1.0
2000-02-11,29.06,29.06,28.56,28.88,14.3512,294200,0.0,1.0
2000-02-14,28.88,29.06,28.69,28.72,14.2717,373100,0.0,1.0
2000-02-15,28.88,30.19,28.69,30.19,15.0022,543000,0.0,1.0
2000-02-16,30.13,30.44,29.94,30.31,15.0618,465800,0.0,1.0
2000-02-17,30.34,31.06,30.25,30.75,15.2805,329600,0.0,1.0
2000-02-18,30.81,30.88,30.0,30.69,15.2506,590500,0.0,1.0
2000-02-22,30.5,31.5,30.31,30.56,15.186,401500,0.0,1.0
2000-02-23,30.56,31.31,30.5,30.88,15.3451,536300,0.0,1.0
2000-02-24,30.81,31.0,30.19,30.19,15.0022,389600,0.0,1.0
2000-02-25,30.19,30.75,29.75,29.75,14.7835,309100,0.0,1.0
2000-02-28,29.91,30.69,29.88,29.94,14.878,297800,0.0,1.0
2000-02-29,29.91,30.31,29.88,29.88,14.8481,347700,0.0,1.0
2000-03-01,29.88,30.38,29.69,30.38,15.0966,543600,0.0,1.0
2000-03-02,30.13,32.25,30.0,31.75,15.7774,771800,0.0,1.0
2000-03-03,32.06,32.25,31.0,31.81,15.8072,284200,0.0,1.0
2000-03-06,31.69,31.94,29.0,29.38,14.5997,408600,0.0,1.0
2000-03-07,29.56,29.59,27.5,28.06,13.9437,431600,0.0,1.0
2000-03-08,28.25,28.36,26.25,26.69,13.2629,361000,0.0,1.0
2000-03-09,26.69,28.13,26.19,28.13,13.9785,690200,0.0,1.0
2000-03-10,28.0,28.0,26.88,26.88,13.3574,526000,0.0,1.0
2000-03-13,26.38,27.56,26.38,27.38,13.6058,408600,0.0,1.0
2000-03-14,27.38,27.5,26.5,27.22,13.5263,306900,0.0,1.0
2000-03-15,27.19,28.88,27.13,28.75,14.2866,347400,0.0,1.0
2000-03-16,28.84,32.25,28.75,32.19,15.996,592900,0.0,1.0
2000-03-17,32.0,32.5,30.81,31.0,15.4047,818600,0.0,1.0
2000-03-20,30.63,32.38,30.63,31.94,15.8718,434100,0.0,1.0
2000-03-21,31.97,33.88,31.81,32.56,16.1799,348700,0.0,1.0
2000-03-22,32.56,32.75,31.75,32.06,16.0258,316100,0.19,1.0
2000-03-23,31.94,32.63,31.25,32.56,16.2758,381300,0.0,1.0
2000-03-24,32.37,34.12,32.0,34.0,16.9956,201400,0.0,1.0
2000-03-27,33.5,34.0,31.81,32.13,16.0608,196700,0.0,1.0
2000-03-28,32.13,33.38,31.13,33.0,16.4957,376600,0.0,1.0
2000-03-29,32.5,33.5,32.44,33.48,16.7357,514900,0.0,1.0
2000-03-30,33.19,35.5,33.13,35.19,17.5904,427500,0.0,1.0
2000-03-31,35.13,37.98,35.0,37.63,18.8101,700400,0.0,1.0
2000-04-03,37.47,39.63,37.31,38.94,19.465,1405400,0.0,1.0
2000-04-04,38.63,39.44,38.52,39.03,19.5099,809400,0.0,1.0
2000-04-05,38.94,40.0,38.63,39.94,19.9648,493000,0.0,1.0
2000-04-06,39.88,40.06,39.75,39.94,19.9648,866600,0.0,1.0
2000-04-07,39.88,40.0,39.44,40.0,19.9948,431300,0.0,1.0
2000-04-10,39.69,40.75,39.56,40.31,20.1498,1528200,0.0,1.0
2000-04-11,40.0,40.75,39.88,40.31,20.1498,488700,0.0,1.0
2000-04-12,40.06,40.38,39.88,39.94,19.9648,362300,0.0,1.0
2000-04-13,40.06,40.88,39.88,40.64,20.3147,508000,0.0,1.0
2000-04-14,40.06,40.13,38.63,38.88,19.435,250000,0.0,1.0
