,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,52.88,53.75,52.19,52.75,31.053,733900,0.0,1.0
2000-01-19,53.25,53.25,50.25,51.94,30.5762,1142200,0.0,1.0
2000-01-20,53.5,53.5,50.62,52.0,30.6115,851000,0.0,1.0
2000-01-21,52.0,52.0,49.88,50.62,29.7992,1225200,0.0,1.0
2000-01-24,50.5,50.56,48.5,48.88,28.7748,1138800,0.0,1.0
2000-01-25,48.88,49.94,45.94,47.25,27.8153,1151600,0.0,1.0
2000-01-26,47.44,48.12,47.38,47.81,28.145,579500,0.0,1.0
2000-01-27,49.75,49.75,46.75,47.25,27.933,1877800,0.2,1.0
2000-01-28,48.0,48.0,45.0,46.88,27.7143,1265100,0.0,1.0
2000-01-31,46.88,48.38,46.88,47.75,28.2286,1083400,0.0,1.0
2000-02-01,47.69,48.19,47.12,48.0,28.3764,1054000,0.0,1.0
2000-02-02,47.94,49.94,47.88,48.31,28.5597,1077300,0.0,1.0
2000-02-03,48.5,49.19,45.5,46.62,27.5606,1224900,0.0,1.0
2000-02-04,46.06,46.75,43.19,43.88,25.9408,1816500,0.0,1.0
2000-02-07,42.0,43.38,41.81,42.69,25.2373,1296700,0.0,1.0
2000-02-08,43.5,45.56,42.88,45.0,26.6029,1128200,0.0,1.0
2000-02-09,45.38,45.5,44.62,44.81,26.4906,1096400,0.0,1.0
2000-02-10,44.56,44.56,41.62,41.88,24.7584,853000,0.0,1.0
2000-02-11,41.81,41.88,39.56,40.5,23.9426,1540100,0.0,1.0
2000-02-14,40.56,41.12,39.69,40.94,24.2027,913600,0.0,1.0
2000-02-15,41.25,41.62,39.69,41.0,24.2382,1114000,0.0,1.0
2000-02-16,40.88,41.69,40.25,40.62,24.0135,728200,0.0,1.0
2000-02-17,41.0,41.5,40.31,40.81,24.1259,890100,0.0,1.0
2000-02-18,40.0,40.31,38.25,39.0,23.0558,1267400,0.0,1.0
2000-02-22,39.12,39.75,38.56,39.31,23.2391,945100,0.0,1.0
2000-02-23,39.25,40.5,38.94,39.56,23.3869,1225400,0.0,1.0
2000-02-24,40.25,40.25,37.75,38.81,22.9435,1066500,0.0,1.0
2000-02-25,38.56,38.75,36.44,37.31,22.0567,974700,0.0,1.0
2000-02-28,37.12,39.5,37.06,39.0,23.0558,967200,0.0,1.0
2000-02-29,39.06,42.0,39.0,40.44,23.9071,1423100,0.0,1.0
2000-03-01,40.94,41.19,40.0,40.12,23.7179,717000,0.0,1.0
2000-03-02,40.25,40.81,40.0,40.25,23.7948,659500,0.0,1.0
2000-03-03,40.62,41.5,40.19,41.19,24.3505,851100,0.0,1.0
2000-03-06,40.69,40.88,40.0,40.06,23.6825,673400,0.0,1.0
2000-03-07,38.5,38.5,34.56,36.25,21.4301,3258600,0.0,1.0
2000-03-08,36.19,36.38,31.5,33.38,19.7334,4021000,0.0,1.0
2000-03-09,33.5,34.5,33.0,33.81,19.9876,1583200,0.0,1.0
2000-03-10,32.5,32.56,29.06,29.88,17.6643,4337100,0.0,1.0
2000-03-13,29.88,30.81,29.5,30.62,18.1018,2371300,0.0,1.0
2000-03-14,31.0,31.25,29.88,29.88,17.6643,1388100,0.0,1.0
2000-03-15,30.75,34.5,30.12,33.56,19.8398,2451600,0.0,1.0
2000-03-16,34.12,38.25,33.81,36.62,21.6488,2741100,0.0,1.0
2000-03-17,36.88,36.88,34.0,35.12,20.7621,1403400,0.0,1.0
2000-03-20,34.62,34.94,33.0,33.94,20.0645,920800,0.0,1.0
2000-03-21,34.38,36.5,33.5,36.44,21.5424,1196400,0.0,1.0
2000-03-22,36.25,36.38,34.19,34.75,20.5433,1579000,0.0,1.0
2000-03-23,34.75,35.56,33.62,35.56,21.0222,1397800,0.0,1.0
2000-03-24,35.56,35.88,31.62,33.0,19.5088,2484100,0.0,1.0
2000-03-27,32.75,32.88,29.94,30.44,17.9954,3173600,0.0,1.0
2000-03-28,30.38,31.38,30.38,31.38,18.5511,1990900,0.0,1.0
2000-03-29,31.5,32.62,31.31,32.06,18.9531,1556900,0.0,1.0
2000-03-30,32.06,33.0,31.62,32.5,19.2132,1645100,0.0,1.0
2000-03-31,32.44,33.81,32.31,33.0,19.5088,1311700,0.0,1.0
2000-04-03,32.38,35.19,32.38,34.56,20.431,1453400,0.0,1.0
2000-04-04,34.56,36.38,33.5,35.44,20.9512,1834600,0.0,1.0
2000-04-05,36.0,36.56,34.12,35.5,20.9867,1788300,0.0,1.0
2000-04-06,35.38,35.44,34.12,34.56,20.431,1132200,0.0,1.0
2000-04-07,35.38,35.75,34.81,35.62,21.0577,844800,0.0,1.0
2000-04-10,35.62,36.31,35.06,36.0,21.2823,995500,0.0,1.0
2000-04-11,36.12,37.31,35.62,37.31,22.0567,966600,0.0,1.0
2000-04-12,37.81,41.5,37.56,40.06,23.6825,2217400,0.0,1.0
2000-04-13,39.81,40.81,38.5,40.44,23.9071,1206800,0.0,1.0
2000-04-14,40.44,40.44,35.38,35.88,21.2114,1234600,0.0,1.0
2000-04-17,37.88,40.75,37.5,40.62,24.0135,1685800,0.0,1.0
2000-04-18,40.06,40.12,37.81,38.19,22.577,1206600,0.0,1.0
2000-04-19,35.94,37.5,35.94,36.38,21.507,953600,0.0,1.0
2000-04-20,36.38,37.81,36.38,37.12,21.9444,647000,0.0,1.0
2000-04-24,37.81,38.94,37.62,38.0,22.4647,833800,0.0,1.0
2000-04-25,38.0,38.06,36.5,37.25,22.0213,896600,0.0,1.0
2000-04-26,37.06,37.06,34.5,34.81,20.697,1148400,0.2,1.0
2000-04-27,34.25,38.62,33.56,37.56,22.3321,2592900,0.0,1.0
2000-04-28,37.62,37.62,36.31,36.75,21.8505,1453500,0.0,1.0
2000-05-01,36.5,37.19,35.56,36.88,21.9278,983000,0.0,1.0
2000-05-02,35.5,36.44,35.5,36.25,21.5532,725700,0.0,1.0
2000-05-03,36.0,36.94,35.38,35.62,21.1786,840400,0.0,1.0
2000-05-04,35.62,36.75,35.5,36.12,21.4759,444400,0.0,1.0
2000-05-05,35.81,36.94,35.56,36.56,21.7375,395200,0.0,1.0
2000-05-08,36.0,37.94,35.75,37.31,22.1835,917700,0.0,1.0
2000-05-09,37.62,39.25,37.38,38.94,23.1526,837800,0.0,1.0
2000-05-10,39.0,40.25,38.88,39.56,23.5213,1173700,0.0,1.0
2000-05-11,39.69,41.44,39.25,41.19,24.4904,801200,0.0,1.0
2000-05-12,41.0,41.0,39.0,39.69,23.5986,843800,0.0,1.0
2000-05-15,40.81,40.81,39.0,39.5,23.4856,764700,0.0,1.0
2000-05-16,39.62,39.69,38.31,38.38,22.8197,986800,0.0,1.0
2000-05-17,38.56,40.19,38.56,39.56,23.5213,1058700,0.0,1.0
2000-05-18,39.31,41.0,39.31,40.81,24.2645,563800,0.0,1.0
2000-05-19,39.81,40.0,38.56,38.94,23.1526,512900,0.0,1.0
2000-05-22,39.81,40.25,39.44,39.62,23.5569,571500,0.0,1.0
2000-05-23,39.75,39.94,38.06,38.62,22.9624,679000,0.0,1.0
2000-05-24,39.12,40.44,39.0,39.81,23.6699,903800,0.0,1.0
2000-05-25,39.94,40.0,37.75,38.19,22.7067,860200,0.0,1.0
2000-05-26,37.88,38.38,37.62,38.0,22.5937,786500,0.0,1.0
2000-05-30,38.81,38.88,37.94,38.81,23.0753,1215000,0.0,1.0
2000-05-31,38.5,40.44,38.44,39.62,23.5569,1085900,0.0,1.0
2000-06-01,40.12,41.75,40.12,40.5,24.0802,1126500,0.0,1.0
2000-06-02,41.75,42.44,41.31,41.88,24.9007,1087100,0.0,1.0
2000-06-05,41.19,41.19,40.19,40.94,24.3418,614900,0.0,1.0
2000-06-06,40.88,41.88,40.5,41.38,24.6034,412700,0.0,1.0
2000-06-07,41.12,42.56,41.06,41.81,24.859,574300,0.0,1.0
2000-06-08,39.75,41.5,39.31,41.19,24.4904,1256800,0.0,1.0
2000-06-09,41.5,42.0,40.12,40.44,24.0445,437200,0.0,1.0
2000-06-12,41.0,41.62,40.44,40.5,24.0802,762100,0.0,1.0
2000-06-13,41.75,43.88,41.38,43.5,25.8639,1551800,0.0,1.0
2000-06-14,43.5,45.0,43.06,44.69,26.5714,924400,0.0,1.0
2000-06-15,44.69,47.0,44.12,46.81,27.8319,1409800,0.0,1.0
2000-06-16,46.31,46.44,44.56,44.81,26.6428,801700,0.0,1.0
2000-06-19,44.56,45.75,44.25,44.56,26.4941,555900,0.0,1.0
2000-06-20,44.12,44.31,42.44,43.69,25.9768,1076600,0.0,1.0
2000-06-21,43.75,43.88,42.5,43.81,26.0482,475100,0.0,1.0
2000-06-22,42.69,43.81,42.69,43.19,25.6796,423000,0.0,1.0
2000-06-23,42.81,43.0,42.19,42.75,25.4179,364700,0.0,1.0
2000-06-26,42.75,44.62,42.75,44.56,26.4941,756600,0.0,1.0
2000-06-27,44.62,45.94,44.56,45.69,27.166,718000,0.0,1.0
2000-06-28,45.31,45.94,44.06,45.61,27.1184,2077400,0.0,1.0
2000-06-29,44.0,44.0,43.0,43.38,25.7925,1089800,0.0,1.0
2000-06-30,43.75,45.0,43.25,44.81,26.6428,1216700,0.0,1.0
2000-07-03,44.75,45.88,44.0,45.88,27.279,311100,0.0,1.0
2000-07-05,45.0,45.75,44.31,45.31,26.94,442300,0.0,1.0
2000-07-06,45.38,45.69,44.5,44.69,26.5714,351700,0.0,1.0
2000-07-07,45.0,45.19,44.12,44.88,26.6844,699900,0.0,1.0
2000-07-10,44.88,45.25,43.88,44.06,26.1968,491700,0.0,1.0
2000-07-11,43.06,43.75,42.75,43.0,25.5666,1073000,0.0,1.0
2000-07-12,42.06,43.5,41.25,42.88,25.4952,1163900,0.0,1.0
2000-07-13,42.12,42.69,40.69,42.62,25.3406,899100,0.0,1.0
2000-07-14,42.94,45.0,42.44,44.25,26.3098,1017800,0.0,1.0
2000-07-17,43.69,43.81,42.56,42.88,25.4952,531900,0.0,1.0
2000-07-18,43.25,44.06,42.94,43.81,26.0482,568500,0.0,1.0
2000-07-19,43.81,44.94,43.81,44.5,26.4584,498300,0.0,1.0
2000-07-20,44.56,44.81,42.62,43.25,25.7152,461300,0.0,1.0
2000-07-21,43.44,43.44,41.62,42.25,25.1207,771800,0.0,1.0
2000-07-24,42.0,42.19,41.0,41.62,24.7461,494300,0.0,1.0
2000-07-25,41.88,43.06,41.88,42.38,25.198,418300,0.0,1.0
2000-07-26,42.25,42.62,41.62,41.75,24.8234,432500,0.0,1.0
2000-07-27,41.94,42.0,40.0,40.69,24.318,537100,0.21,1.0
2000-07-28,40.75,41.75,40.62,41.69,24.9156,424000,0.0,1.0
2000-07-31,41.94,42.5,41.06,41.31,24.6885,535800,0.0,1.0
2000-08-01,41.88,43.94,41.12,43.62,26.0691,651200,0.0,1.0
2000-08-02,44.38,44.38,42.94,43.38,25.9256,483800,0.0,1.0
2000-08-03,41.94,43.31,39.56,39.69,23.7203,2643000,0.0,1.0
2000-08-04,39.81,40.12,38.5,38.5,23.0092,1905600,0.0,1.0
2000-08-07,38.38,38.44,35.44,35.5,21.2162,2918000,0.0,1.0
2000-08-08,34.88,35.44,34.0,34.69,20.7321,1986600,0.0,1.0
2000-08-09,34.0,34.81,33.56,34.06,20.3556,1956800,0.0,1.0
2000-08-10,34.44,34.44,33.5,33.69,20.1345,1133700,0.0,1.0
2000-08-11,33.94,34.25,33.44,33.62,20.0927,1146500,0.0,1.0
2000-08-14,34.75,37.0,34.69,37.0,22.1127,2481100,0.0,1.0
