,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,44.0,44.0,42.5,43.06,24.2353,462200,0.0,1.0
2000-01-19,43.25,44.13,43.13,43.19,24.3085,986900,0.0,1.0
2000-01-20,43.19,43.19,41.31,41.31,23.2504,734800,0.0,1.0
2000-01-21,41.31,41.38,40.56,40.81,22.969,646900,0.0,1.0
2000-01-24,41.06,41.31,40.06,40.44,22.7607,491400,0.0,1.0
2000-01-25,40.19,41.0,40.06,40.38,22.727,513900,0.0,1.0
2000-01-26,40.0,42.38,39.94,42.19,23.7457,501700,0.0,1.0
2000-01-27,42.31,43.0,42.13,42.88,24.134,454100,0.0,1.0
2000-01-28,42.88,43.06,42.13,42.5,23.9201,1044000,0.0,1.0
2000-01-31,42.88,44.44,42.75,44.19,24.8713,542400,0.0,1.0
2000-02-01,44.25,44.5,43.88,44.06,24.7982,713300,0.0,1.0
2000-02-02,44.06,44.13,43.75,43.81,24.6575,673800,0.0,1.0
2000-02-03,43.75,44.06,43.25,44.0,24.7644,838100,0.0,1.0
2000-02-04,43.31,44.25,43.31,43.31,24.376,698000,0.0,1.0
2000-02-07,43.31,43.38,42.25,42.44,23.8864,397800,0.0,1.0
2000-02-08,42.69,43.38,42.63,42.75,24.0609,344100,0.0,1.0
2000-02-09,42.63,42.75,41.88,41.94,23.605,409300,0.0,1.0
2000-02-10,41.75,41.81,40.0,40.31,22.6876,531800,0.0,1.0
2000-02-11,40.25,41.44,39.88,40.38,22.727,660500,0.0,1.0
2000-02-14,40.38,40.75,39.5,39.81,22.4061,390800,0.0,1.0
2000-02-15,39.88,40.94,39.44,40.63,22.8677,414700,0.0,1.0
2000-02-16,40.38,40.94,39.69,40.56,22.8283,520100,0.0,1.0
2000-02-17,40.88,41.25,39.44,39.75,22.3724,490800,0.0,1.0
2000-02-18,39.5,39.5,37.31,38.0,21.3874,946500,0.0,1.0
2000-02-22,38.0,38.5,36.88,37.75,21.2467,1064300,0.0,1.0
2000-02-23,37.13,37.25,36.44,37.06,20.8584,799700,0.0,1.0
2000-02-24,37.19,37.19,35.75,36.75,20.6839,801000,0.0,1.0
2000-02-25,36.5,37.75,35.0,35.31,19.8734,1301200,0.0,1.0
2000-02-28,36.25,38.0,36.13,37.63,21.1792,997700,0.0,1.0
