,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,31.0,31.0,30.44,30.56,16.4605,418900,0.0,1.0
2000-01-19,30.63,31.13,30.5,30.88,16.6329,512300,0.0,1.0
2000-01-20,30.94,31.13,30.31,30.94,16.6652,391500,0.0,1.0
2000-01-21,31.0,31.63,30.63,31.38,16.9022,567300,0.0,1.0
2000-01-24,31.5,32.06,31.25,31.25,16.8322,657300,0.0,1.0
2000-01-25,31.31,31.31,30.5,30.69,16.5306,714500,0.0,1.0
2000-01-26,30.88,30.88,30.0,30.44,16.3959,1105700,0.0,1.0
2000-01-27,30.69,30.69,29.94,30.0,16.1589,572300,0.0,1.0
2000-01-28,29.75,30.25,29.44,29.5,15.8896,514300,0.0,1.0
2000-01-31,29.75,30.38,29.31,30.0,16.1589,982200,0.0,1.0
2000-02-01,26.13,26.63,22.75,23.5,12.6578,4026100,0.0,1.0
2000-02-02,23.0,23.0,20.31,21.38,11.5159,6256700,0.0,1.0
2000-02-03,21.19,22.31,21.06,21.94,11.8176,5044000,0.0,1.0
2000-02-04,21.88,22.0,20.13,20.38,11.1739,3314200,0.365,1.0
2000-02-07,20.38,20.56,20.06,20.31,11.1355,698100,0.0,1.0
2000-02-08,20.38,20.69,20.25,20.31,11.1355,807100,0.0,1.0
2000-02-09,20.31,20.38,19.81,19.94,10.9326,1282000,0.0,1.0
2000-02-10,19.94,19.94,18.06,18.75,10.2802,2792300,0.0,1.0
2000-02-11,18.81,18.81,18.06,18.63,10.2144,1121200,0.0,1.0
2000-02-14,18.75,19.38,18.63,19.19,10.5214,714400,0.0,1.0
2000-02-15,19.5,19.75,19.25,19.38,10.6256,746200,0.0,1.0
2000-02-16,19.13,19.31,18.5,18.69,10.2473,920000,0.0,1.0
2000-02-17,18.69,18.69,18.0,18.38,10.0773,1281500,0.0,1.0
2000-02-18,18.31,18.5,17.94,18.31,10.039,907200,0.0,1.0
2000-02-22,18.31,18.38,17.94,18.25,10.0061,685400,0.0,1.0
2000-02-23,18.44,18.44,17.5,17.56,9.6277,1077400,0.0,1.0
2000-02-24,17.69,17.69,16.88,17.0,9.3207,697500,0.0,1.0
2000-02-25,17.0,17.0,16.19,16.44,9.0137,757300,0.0,1.0
2000-02-28,16.69,16.69,16.06,16.5,9.0466,816200,0.0,1.0
2000-02-29,16.63,16.94,16.56,16.75,9.1836,914200,0.0,1.0
2000-03-01,16.75,17.0,16.69,16.94,9.2878,487000,0.0,1.0
2000-03-02,16.94,17.25,16.88,16.88,9.2549,1122500,0.0,1.0
2000-03-03,17.0,17.13,16.81,17.06,9.3536,899300,0.0,1.0
2000-03-06,17.75,18.0,17.0,17.31,9.4907,1817500,0.0,1.0
2000-03-07,17.31,17.5,17.13,17.25,9.4578,842300,0.0,1.0
2000-03-08,17.25,17.38,17.06,17.19,9.4249,850000,0.0,1.0
