,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,44.0,45.31,42.0,42.5,34.1331,2612600,0.0,1.0
2000-01-19,43.75,43.81,42.75,43.38,34.8399,1942600,0.0,1.0
2000-01-20,43.19,43.5,42.0,42.38,34.0367,1163600,0.0,1.0
2000-01-21,43.19,43.25,40.81,41.38,33.2336,1324500,0.0,1.0
2000-01-24,41.31,41.5,40.88,41.13,33.0328,1058900,0.0,1.0
2000-01-25,41.0,41.06,40.0,40.06,32.1735,986100,0.0,1.0
2000-01-26,40.13,42.63,40.13,41.94,33.6834,1009300,0.0,1.0
2000-01-27,42.0,43.13,40.69,41.5,33.33,1583200,0.0,1.0
2000-01-28,41.25,41.25,39.81,40.06,32.1735,539500,0.0,1.0
2000-01-31,39.25,41.19,39.19,41.0,32.9284,500800,0.0,1.0
2000-02-01,41.5,41.56,40.0,40.19,32.2779,628200,0.0,1.0
2000-02-02,40.75,40.81,39.25,39.81,31.9727,534400,0.0,1.0
2000-02-03,40.5,40.81,38.63,39.13,31.4266,865700,0.0,1.0
2000-02-04,40.13,40.13,38.5,38.56,30.9688,611000,0.0,1.0
2000-02-07,38.44,39.31,37.38,37.94,30.4922,910600,0.0267,1.0
2000-02-08,38.38,38.75,36.94,37.38,30.0422,1017700,0.0,1.0
2000-02-09,37.0,37.06,34.81,35.0,28.1294,1668300,0.0,1.0
2000-02-10,35.0,35.44,33.0,33.5,26.9238,2143700,0.0,1.0
2000-02-11,33.5,34.06,32.5,33.63,27.0283,1962100,0.0,1.0
2000-02-14,33.38,34.25,33.0,34.19,27.4784,1369200,0.0,1.0
2000-02-15,34.44,37.31,34.06,37.06,29.785,1852600,0.0,1.0
2000-02-16,38.25,39.19,37.0,37.5,30.1386,2593200,0.0,1.0
2000-02-17,37.75,37.94,36.63,36.75,29.5358,1183700,0.0,1.0
2000-02-18,36.0,36.19,33.25,34.5,27.7275,1183400,0.0,1.0
2000-02-22,35.44,36.0,32.81,33.94,27.2775,1872400,0.0,1.0
2000-02-23,35.0,35.0,32.75,33.06,26.5702,1563500,0.0,1.0
2000-02-24,33.25,34.94,32.06,34.63,27.832,2271300,0.0,1.0
2000-02-25,34.69,35.94,34.31,35.56,28.5794,1607900,0.0,1.0
2000-02-28,35.44,38.19,35.44,37.88,30.444,2347300,0.0,1.0
2000-02-29,38.0,38.13,36.38,36.81,29.5841,1971000,0.0,1.0
2000-03-01,36.88,38.19,36.75,37.69,30.2913,1075000,0.0,1.0
2000-03-02,37.75,38.19,36.5,36.81,29.5841,1184200,0.0,1.0
2000-03-03,38.5,39.31,37.44,37.94,30.4922,979700,0.0,1.0
2000-03-06,38.13,39.0,36.75,37.06,29.785,667000,0.0,1.0
2000-03-07,36.88,36.88,34.5,34.69,27.8802,1258900,0.0,1.0
2000-03-08,34.44,35.44,33.88,35.19,28.2821,1093200,0.0,1.0
2000-03-09,35.38,38.0,34.75,36.69,29.4876,1716000,0.0,1.0
2000-03-10,36.0,36.94,35.88,36.81,29.5841,870500,0.0,1.0
2000-03-13,36.56,37.75,36.25,37.75,30.3395,1098000,0.0,1.0
2000-03-14,37.75,38.63,37.75,38.13,30.6449,1104400,0.0,1.0
2000-03-15,38.13,41.75,37.81,40.88,32.8551,2730900,0.0,1.0
2000-03-16,42.25,46.63,42.13,46.56,37.4201,3991800,0.0,1.0
2000-03-17,46.94,48.38,45.75,45.81,36.8173,2357800,0.0,1.0
2000-03-20,44.75,44.94,41.25,41.56,33.4016,1647800,0.0,1.0
2000-03-21,41.75,44.44,41.5,44.0,35.3626,1541000,0.0,1.0
2000-03-22,44.19,46.63,44.06,46.25,37.171,1022200,0.0,1.0
2000-03-23,46.13,46.63,45.13,45.81,36.8173,1154500,0.0,1.0
2000-03-24,46.0,46.81,44.62,45.06,36.2146,855300,0.0,1.0
2000-03-27,45.06,45.06,43.31,44.5,35.7645,753100,0.0,1.0
2000-03-28,44.56,46.38,44.44,45.38,36.4717,849000,0.0,1.0
2000-03-29,45.63,46.06,44.0,45.25,36.3673,799300,0.0,1.0
2000-03-30,45.38,46.94,45.13,46.38,37.2754,932400,0.0,1.0
2000-03-31,46.44,48.81,45.69,47.94,38.5292,973000,0.0,1.0
2000-04-03,47.69,49.69,47.69,49.0,39.3811,1323700,0.0,1.0
2000-04-04,49.0,49.38,44.44,46.56,37.4201,1281100,0.0,1.0
2000-04-05,46.75,47.56,46.25,46.31,37.2192,811700,0.0,1.0
2000-04-06,46.44,48.06,46.44,46.88,37.6773,821800,0.0,1.0
2000-04-07,47.5,47.69,46.81,47.25,37.9747,532900,0.0,1.0
2000-04-10,47.5,49.06,47.25,48.13,38.6819,556300,0.0,1.0
2000-04-11,48.63,49.88,48.56,49.25,39.5821,1010500,0.0,1.0
2000-04-12,49.0,53.0,48.88,50.25,40.3857,2209200,0.0,1.0
2000-04-13,50.25,50.25,45.5,46.69,37.5246,1712800,0.0,1.0
2000-04-14,44.19,45.13,42.25,42.88,34.4625,2165100,0.0,1.0
2000-04-17,42.69,43.88,42.31,43.0,34.5589,1487300,0.0,1.0
2000-04-18,43.0,45.38,42.63,45.06,36.2146,1073600,0.0,1.0
2000-04-19,45.5,45.81,44.88,45.5,36.5682,622800,0.0,1.0
2000-04-20,45.5,47.44,44.88,47.31,38.0229,651100,0.0,1.0
2000-04-24,47.31,48.88,46.44,47.13,37.8782,866700,0.0,1.0
2000-04-25,47.19,49.19,46.5,48.88,39.2847,980400,0.0,1.0
2000-04-26,49.0,49.25,47.69,47.88,38.481,662600,0.0,1.0
2000-04-27,47.19,47.19,45.25,46.13,37.0745,1184100,0.0,1.0
2000-04-28,44.5,44.94,42.81,43.75,35.1617,1348100,0.0,1.0
2000-05-01,42.5,45.88,42.25,45.0,36.1663,772400,0.0,1.0
2000-05-02,44.81,45.88,44.31,45.38,36.4717,647700,0.0,1.0
2000-05-03,45.13,45.13,42.13,42.44,34.1089,878200,0.0,1.0
2000-05-04,42.44,42.44,40.25,40.81,32.7989,1004200,0.0,1.0
2000-05-05,40.63,40.63,39.69,39.88,32.0514,1329100,0.0,1.0
2000-05-08,39.5,43.13,39.38,42.13,33.8812,1293300,0.0267,1.0
2000-05-09,42.44,43.69,41.31,41.88,33.6801,718400,0.0,1.0
2000-05-10,41.94,42.25,41.0,41.06,33.0207,667300,0.0,1.0
2000-05-11,42.75,44.06,42.13,43.38,34.8864,894200,0.0,1.0
2000-05-12,44.0,44.81,42.81,43.63,35.0875,743200,0.0,1.0
2000-05-15,43.75,45.41,43.38,44.72,35.964,752100,0.0,1.0
2000-05-16,45.75,46.31,45.19,45.5,36.5913,702500,0.0,1.0
2000-05-17,44.38,44.63,43.69,44.0,35.385,398700,0.0,1.0
2000-05-18,44.0,46.0,43.94,45.75,36.7924,732500,0.0,1.0
2000-05-19,44.88,45.06,42.75,44.0,35.385,688900,0.0,1.0
2000-05-22,44.13,44.19,42.88,43.88,35.2885,448600,0.0,1.0
2000-05-23,44.38,45.31,44.0,44.81,36.0364,477100,0.0,1.0
2000-05-24,45.44,46.94,44.5,44.88,36.0927,966300,0.0,1.0
2000-05-25,44.88,45.75,44.63,45.25,36.3903,912200,0.0,1.0
2000-05-26,45.0,45.63,44.81,44.94,36.141,635600,0.0,1.0
2000-05-30,45.5,47.5,45.25,46.19,37.1462,1045900,0.0,1.0
2000-05-31,46.75,46.88,46.38,46.5,37.3955,1799800,0.0,1.0
2000-06-01,47.0,49.0,47.0,48.66,39.1326,2195100,0.0,1.0
2000-06-02,50.38,52.38,50.31,51.25,41.2155,1517000,0.0,1.0
2000-06-05,50.38,50.69,49.56,50.38,40.5158,1329000,0.0,1.0
2000-06-06,50.5,50.5,49.44,49.69,39.9609,1304300,0.0,1.0
2000-06-07,49.69,50.69,49.63,50.31,40.4596,465000,0.0,1.0
2000-06-08,50.25,50.25,48.88,49.44,39.7599,573500,0.0,1.0
2000-06-09,49.81,50.63,48.38,48.69,39.1567,356100,0.0,1.0
2000-06-12,48.0,49.94,47.88,49.75,40.0092,912600,0.0,1.0
2000-06-13,49.81,50.63,49.69,50.44,40.5641,474100,0.0,1.0
2000-06-14,50.88,53.75,50.88,52.84,42.4942,1155700,0.0,1.0
2000-06-15,52.25,52.25,49.56,50.25,40.4113,893800,0.0,1.0
2000-06-16,50.25,50.25,46.5,48.5,39.0039,1252200,0.0,1.0
2000-06-19,48.38,48.88,47.13,47.63,38.3043,1050400,0.0,1.0
2000-06-20,47.75,48.5,46.25,47.0,37.7976,1466600,0.0,1.0
2000-06-21,45.25,46.56,45.19,46.25,37.1945,1047200,0.0,1.0
2000-06-22,46.38,46.38,43.5,44.44,35.7389,1735700,0.0,1.0
2000-06-23,44.44,44.94,43.81,43.94,35.3368,1015500,0.0,1.0
2000-06-26,44.19,45.13,43.88,44.5,35.7871,790200,0.0,1.0
2000-06-27,44.88,46.31,44.69,45.75,36.7924,1100300,0.0,1.0
2000-06-28,46.38,47.19,45.75,46.6,37.476,996400,0.0,1.0
2000-06-29,45.75,46.25,44.88,46.0,36.9934,1436400,0.0,1.0
2000-06-30,45.88,46.25,44.5,44.63,35.8917,882300,0.0,1.0
2000-07-03,45.0,45.44,44.63,45.38,36.4948,263800,0.0,1.0
2000-07-05,45.38,46.81,44.94,45.56,36.6396,652900,0.0,1.0
2000-07-06,45.44,48.0,45.25,48.0,38.6018,900800,0.0,1.0
2000-07-07,48.0,50.44,47.81,49.25,39.6071,973900,0.0,1.0
2000-07-10,49.0,49.81,48.5,49.5,39.8081,477600,0.0,1.0
2000-07-11,49.25,49.88,48.94,49.44,39.7599,750300,0.0,1.0
2000-07-12,49.5,50.13,49.19,49.5,39.8081,1025600,0.0,1.0
2000-07-13,51.38,52.63,50.88,51.31,41.2638,1507700,0.0,1.0
2000-07-14,51.25,51.94,50.56,51.0,41.0145,1026100,0.0,1.0
2000-07-17,50.75,50.81,49.81,50.22,40.3872,635400,0.0,1.0
