,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,43.56,44.5,43.56,44.44,9.1973,768700,0.0,1.0
2000-01-19,44.81,44.81,43.63,44.06,9.1186,738100,0.0,1.0
2000-01-20,43.88,43.88,42.38,42.81,8.8599,610350,0.0,1.0
2000-01-21,43.19,43.69,42.25,42.69,8.8351,1663600,0.0,1.0
2000-01-24,43.06,43.19,41.5,41.75,8.6406,1152500,0.0,1.0
2000-01-25,42.06,42.56,41.19,42.25,8.7441,750050,0.0,1.0
2000-01-26,42.5,42.5,40.75,41.19,8.5247,1185300,0.0,1.0
2000-01-27,41.19,41.19,39.94,40.5,8.3819,710850,0.0,1.0
2000-01-28,40.44,40.69,39.25,39.88,8.2536,686950,0.0,1.0
2000-01-31,39.75,41.0,39.25,40.88,8.4605,1030250,0.0,1.0
2000-02-01,40.88,41.13,39.94,40.69,8.4212,843600,0.0,1.0
2000-02-02,40.5,41.38,39.81,40.13,8.3053,632900,0.0,1.0
2000-02-03,40.13,40.38,39.31,39.38,8.1501,1637200,0.0,1.0
2000-02-04,39.13,39.31,38.44,39.0,8.0714,952200,0.0,1.0
2000-02-07,40.0,40.13,39.56,40.0,8.2784,1630000,0.0,1.0
2000-02-08,40.56,40.56,38.63,39.0,8.0714,1091650,0.0,1.0
2000-02-09,39.75,39.75,37.88,38.13,7.8914,1006750,0.0,1.0
2000-02-10,38.19,39.38,37.81,38.0,7.8645,1462600,0.0,1.0
2000-02-11,38.25,38.31,37.06,37.44,7.7486,750600,0.0,1.0
2000-02-14,37.5,38.13,36.94,37.63,7.7879,1309250,0.0,1.0
2000-02-15,37.88,38.44,37.75,38.25,7.9162,1276350,0.0,1.0
2000-02-16,37.88,39.63,37.69,39.5,8.2453,1147250,0.34,1.0
2000-02-17,39.31,39.75,39.13,39.5,8.2453,996650,0.0,1.0
2000-02-18,40.5,40.5,38.06,38.75,8.0887,1304300,0.0,1.0
2000-02-22,38.63,39.31,38.38,39.06,8.1534,1376300,0.0,1.0
2000-02-23,38.94,38.94,37.25,37.56,7.8403,725900,0.0,1.0
2000-02-24,37.31,37.5,36.06,36.25,7.5669,714000,0.0,1.0
2000-02-25,36.75,37.31,35.94,36.88,7.6984,683000,0.0,1.0
2000-02-28,37.25,37.88,36.31,37.13,7.7506,889500,0.0,1.0
2000-02-29,36.25,38.44,36.25,38.13,7.9593,1129950,0.0,1.0
2000-03-01,38.25,38.69,37.0,38.69,8.0762,974350,0.0,1.0
2000-03-02,38.44,38.94,37.38,38.06,7.9447,1173900,0.0,1.0
2000-03-03,38.25,38.25,37.44,38.13,7.9593,1435050,0.0,1.0
2000-03-06,38.06,38.5,37.44,38.5,8.0365,698500,0.0,1.0
2000-03-07,38.75,40.56,38.25,40.5,8.454,1645900,0.0,1.0
2000-03-08,40.25,41.19,39.19,40.44,8.4415,1290250,0.0,1.0
2000-03-09,40.63,40.75,39.25,40.25,8.4018,718550,0.0,1.0
2000-03-10,40.5,41.25,39.63,39.75,8.2975,1058850,0.0,1.0
2000-03-13,39.5,40.44,39.31,39.44,8.2328,857600,0.0,1.0
2000-03-14,39.44,39.44,37.81,39.44,8.2328,1264150,0.0,1.0
2000-03-15,39.75,40.0,38.25,40.0,8.3496,1226650,0.0,1.0
2000-03-16,42.5,43.81,41.56,43.13,9.003,2583800,0.0,1.0
2000-03-17,43.0,43.38,41.06,41.44,8.6502,1376850,0.0,1.0
2000-03-20,41.69,41.81,40.69,41.56,8.6753,1073550,0.0,1.0
2000-03-21,42.0,43.5,41.88,43.5,9.0802,1129800,0.0,1.0
2000-03-22,43.5,43.94,42.25,42.56,8.884,1419050,0.0,1.0
2000-03-23,42.81,43.0,42.5,42.63,8.8986,730650,0.0,1.0
2000-03-24,43.88,44.13,42.81,42.94,8.9633,951700,0.0,1.0
2000-03-27,42.75,43.38,41.44,43.0,8.9759,1023150,0.0,1.0
2000-03-28,42.75,43.56,42.75,43.13,9.003,1012000,0.0,1.0
2000-03-29,43.0,44.75,42.94,44.44,9.2765,993150,0.0,1.0
2000-03-30,44.5,46.06,44.38,45.63,9.5249,994050,0.0,1.0
