,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-05-24,29.75,32.0,28.5,29.0,28.7278,43994,0.0,1.0
2019-05-28,29.25,30.5,28.51,28.765,28.495,61544,0.0,1.0
2019-05-29,29.9,29.9,27.66,28.5,28.2325,207765,0.0,1.0
2019-05-30,28.99,29.16,28.22,28.8,28.5297,666050,0.0,1.0
2019-05-31,28.5,28.59,26.97,26.97,26.7168,853801,0.0,1.0
2019-06-03,26.54,27.0,24.37,24.81,24.5771,19259630,0.0,1.0
2019-06-04,24.35,27.94,24.35,27.75,27.4895,20135135,0.0,1.0
2019-06-05,27.54,28.22,26.46,28.01,27.7471,10740207,0.0,1.0
2019-06-06,27.69,27.69,26.23,26.9,26.6475,13986084,0.0,1.0
2019-06-07,26.17,26.93,25.715,26.31,26.063,10049260,0.0,1.0
2019-06-10,26.07,26.74,25.12,25.31,25.0724,10247186,0.0,1.0
2019-06-11,25.01,25.36,24.53,24.95,24.7158,11641364,0.0,1.0
2019-06-12,25.11,25.45,24.48,25.07,24.8347,13392038,0.0,1.0
2019-06-13,25.06,25.19,24.7,24.97,24.7356,9710759,0.0,1.0
2019-06-14,24.76,25.24,24.55,25.19,24.9536,7036775,0.0,1.0
2019-06-17,25.53,26.9,25.45,25.95,25.7064,13710322,0.0,1.0
2019-06-18,26.03,27.57,25.75,27.3,27.0437,14485407,0.0,1.0
2019-06-19,27.48,27.48,26.87,27.15,26.8952,10228757,0.0,1.0
2019-06-20,27.37,27.6,26.42,27.16,26.9051,7727962,0.0,1.0
2019-06-21,26.87,27.71,26.87,27.21,26.9546,12548904,0.0,1.0
2019-06-24,27.14,28.45,27.0528,28.01,27.7471,6495057,0.0,1.0
2019-06-25,28.02,28.09,27.48,27.67,27.4103,6698570,0.0,1.0
2019-06-26,27.93,29.375,27.85,29.26,28.9854,6735131,0.0,1.0
2019-06-27,29.38,30.33,29.26,29.57,29.2924,5879610,0.0,1.0
2019-06-28,29.6,29.75,29.26,29.57,29.2924,15517796,0.0,1.0
2019-07-01,29.58,30.75,28.95,29.68,29.4014,5290363,0.0,1.0
2019-07-02,29.5,29.6,28.14,28.99,28.7179,5438576,0.0,1.0
2019-07-03,28.78,28.9,28.2,28.8,28.5297,2234906,0.0,1.0
2019-07-05,28.45,29.32,28.26,28.64,28.3712,2888235,0.0,1.0
