,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,135.6,157.4,132.8,152.6,59.4954,3267300,0.0,1.0
2000-01-19,153.5,160.6,144.0,155.0,60.4311,3611600,0.0,1.0
2000-01-20,160.0,164.8,146.5,146.8,57.2341,2968500,0.0,1.0
2000-01-21,150.2,152.9,146.2,149.6,58.3258,2078900,0.0,1.0
2000-01-24,154.5,154.5,138.4,139.6,54.427,2240300,0.0,1.0
2000-01-25,141.1,141.5,133.9,140.1,54.622,1710700,0.0,1.0
2000-01-26,140.1,143.1,136.5,139.6,54.427,1702300,0.0,1.0
2000-01-27,140.6,145.4,135.3,138.3,53.9202,1483500,0.0,1.0
2000-01-28,136.9,139.9,132.3,134.9,52.5946,1457900,0.0,1.0
2000-01-31,133.0,137.4,123.3,137.3,53.5303,1928700,0.0,1.0
2000-02-01,137.6,142.4,130.1,142.4,55.5187,1350600,0.0,1.0
2000-02-02,142.5,148.5,141.0,143.0,55.7526,1753800,0.0,1.0
2000-02-03,145.2,153.5,143.3,151.2,58.9496,2488200,0.0,1.0
2000-02-04,154.0,159.8,151.0,153.6,59.8853,2096300,0.0,1.0
2000-02-07,156.5,159.5,149.1,159.1,62.0296,1183100,0.0,1.0
2000-02-08,161.8,170.8,160.0,169.8,66.2013,2337600,0.0,1.0
2000-02-09,172.7,181.9,168.5,175.2,68.3067,2210000,0.0,1.0
2000-02-10,178.8,183.0,173.0,181.2,70.646,1579400,0.0,1.0
2000-02-11,181.3,182.6,173.0,175.8,68.5406,1549600,0.0,1.0
2000-02-14,178.3,178.5,168.0,174.3,67.9558,1568200,0.0,1.0
2000-02-15,173.8,174.6,167.0,171.0,66.6692,1232200,0.0,1.0
2000-02-16,169.3,180.0,166.0,168.1,65.5386,2242200,0.0,1.0
2000-02-17,84.88,88.5,83.0,88.13,68.72,1679200,0.0,2.0
2000-02-18,89.88,89.88,86.0,86.5,67.449,2515800,0.0,1.0
2000-02-22,87.13,90.38,83.25,84.13,65.6009,2423600,0.0,1.0
2000-02-23,85.75,94.38,83.5,89.31,69.6401,3085800,0.0,1.0
2000-02-24,95.0,97.0,90.0,96.5,75.2465,3366400,0.0,1.0
2000-02-25,98.69,106.2,96.56,100.1,78.0536,4244800,0.0,1.0
2000-02-28,101.6,104.7,92.25,103.1,80.3929,3678100,0.0,1.0
2000-02-29,104.8,108.9,103.3,105.4,82.1864,2697400,0.0,1.0
