,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,35.63,36.44,35.38,36.0,13.922,2743500,0.0,1.0
2000-01-19,35.94,36.25,35.44,35.81,13.8485,2135400,0.0,1.0
2000-01-20,35.5,35.56,32.63,33.72,13.0627,4566000,0.058,1.0
2000-01-21,34.0,34.94,33.69,34.5,13.3648,3956800,0.0,1.0
2000-01-24,34.75,35.19,34.06,34.44,13.3416,3458800,0.0,1.0
2000-01-25,34.5,34.94,33.94,34.0,13.1711,1723500,0.0,1.0
2000-01-26,34.19,34.88,33.69,34.06,13.1944,1706100,0.0,1.0
2000-01-27,34.5,34.5,33.0,33.44,12.9542,1392700,0.0,1.0
2000-01-28,33.63,35.75,33.19,34.81,13.4849,2217200,0.0,1.0
2000-01-31,34.88,35.0,34.31,34.94,13.5353,1682400,0.0,1.0
2000-02-01,34.81,35.06,34.06,35.06,13.5818,1696700,0.0,1.0
2000-02-02,35.5,37.63,35.31,36.75,14.2364,3690000,0.0,1.0
2000-02-03,36.94,38.94,36.44,37.75,14.6238,2287100,0.0,1.0
2000-02-04,37.5,37.5,36.31,36.5,14.1396,2581100,0.0,1.0
2000-02-07,37.56,37.56,36.13,36.44,14.1164,2418300,0.0,1.0
2000-02-08,39.0,40.88,37.5,40.0,15.4954,7800100,0.0,1.0
2000-02-09,40.0,40.0,38.81,39.0,15.1081,4088800,0.0,1.0
2000-02-10,40.75,41.5,40.0,40.63,15.7395,4961600,0.0,1.0
2000-02-11,40.69,40.69,39.56,39.63,15.3521,2421600,0.0,1.0
2000-02-14,39.69,40.06,38.81,39.88,15.449,2232000,0.0,1.0
2000-02-15,39.94,39.94,39.0,39.38,15.2553,2277000,0.0,1.0
2000-02-16,38.88,39.13,38.56,38.81,15.0345,2508100,0.0,1.0
2000-02-17,38.88,39.19,38.19,38.25,14.8175,2381500,0.0,1.0
2000-02-18,38.13,38.44,36.88,37.13,14.3837,1860100,0.0,1.0
2000-02-22,37.38,38.44,37.0,38.19,14.7943,1943500,0.0,1.0
2000-02-23,38.06,39.94,37.81,38.88,15.0616,2933400,0.0,1.0
2000-02-24,38.94,38.94,36.69,37.0,14.3333,3497400,0.0,1.0
2000-02-25,36.5,37.75,35.75,36.75,14.2364,2215700,0.0,1.0
2000-02-28,37.0,37.0,35.5,35.88,13.8994,1991200,0.0,1.0
2000-02-29,36.0,36.06,34.75,35.0,13.5585,3780400,0.0,1.0
2000-03-01,35.19,35.25,32.69,33.44,12.9542,3837900,0.0,1.0
2000-03-02,33.38,33.44,30.38,30.63,11.8656,6595700,0.0,1.0
2000-03-03,30.63,31.19,30.0,30.44,11.792,5987700,0.0,1.0
2000-03-06,31.13,31.44,30.25,30.92,11.978,6190700,0.0,1.0
2000-03-07,31.5,31.88,27.75,28.0,10.8468,6087600,0.0,1.0
2000-03-08,30.0,31.5,29.44,31.13,12.0593,3948200,0.0,1.0
2000-03-09,31.13,32.0,30.19,31.94,12.3731,2134100,0.0,1.0
2000-03-10,31.5,31.56,30.38,30.5,11.8153,2559000,0.0,1.0
2000-03-13,30.0,31.38,29.94,30.88,11.9625,2383300,0.0,1.0
2000-03-14,31.38,31.5,30.75,30.75,11.9121,2308200,0.0,1.0
2000-03-15,31.25,32.63,31.19,32.63,12.6404,2129300,0.0,1.0
2000-03-16,34.5,36.75,33.88,36.31,14.066,3807200,0.0,1.0
