,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2007-05-03,21.75,21.95,20.55,20.72,18.5358,8052800,0.0,1.0
2007-05-04,21.05,21.35,20.7,20.98,18.7683,5437300,0.0,1.0
2007-05-07,21.2,21.29,20.2,20.36,18.2137,2646300,0.0,1.0
2007-05-08,20.0,20.0,19.3,19.63,17.5607,4166100,0.0,1.0
2007-05-09,19.75,20.2,19.63,19.79,17.7038,7541100,0.0,1.0
2007-05-10,19.79,19.99,19.55,19.7,17.6233,3170600,0.0,1.0
2007-05-11,19.71,19.8,19.11,19.3,17.2655,3539400,0.0,1.0
2007-05-14,19.15,19.39,18.75,18.89,16.8987,1924800,0.0,1.0
2007-05-15,18.66,18.85,18.15,18.2,16.2814,3438700,0.0,1.0
2007-05-16,18.06,18.48,18.02,18.34,16.4067,2607600,0.0,1.0
2007-05-17,18.75,19.75,18.67,19.02,17.015,8979000,0.0,1.0
2007-05-18,19.25,19.49,18.54,19.31,17.2744,6562200,0.0,1.0
2007-05-21,19.2,19.34,19.0,19.0,16.9971,2077700,0.0,1.0
2007-05-22,19.1,19.53,19.0,19.48,17.4265,4014700,0.0,1.0
2007-05-23,19.5,19.7,19.1,19.21,17.1849,2387100,0.0,1.0
2007-05-24,19.21,19.33,18.85,19.02,17.015,2362000,0.0,1.0
2007-05-25,19.02,19.05,18.69,18.76,16.7824,895000,0.0,1.0
2007-05-29,18.91,19.2,18.85,19.09,17.0776,2918800,0.0,1.0
2007-05-30,19.05,19.15,18.81,18.98,16.9792,2829300,0.0,1.0
2007-05-31,19.15,19.28,19.03,19.05,17.0418,3435200,0.0,1.0
2007-06-01,19.1,19.8,19.05,19.55,17.4891,2299400,0.0,1.0
2007-06-04,18.73,19.05,18.69,18.84,16.8539,5692700,0.0,1.0
2007-06-05,18.85,19.04,18.73,18.95,16.9523,4510000,0.0,1.0
2007-06-06,18.7,18.93,18.65,18.93,16.9345,2595300,0.0,1.0
2007-06-07,18.77,18.85,18.15,18.48,16.5319,3062100,0.0,1.0
2007-06-08,18.2,18.83,18.2,18.83,16.845,2124100,0.0,1.0
2007-06-11,18.55,18.82,18.22,18.38,16.4424,1870000,0.0,1.0
2007-06-12,18.03,18.71,18.02,18.4,16.4603,8636200,0.0,1.0
2007-06-13,18.48,18.7,18.36,18.64,16.675,3110200,0.0,1.0
2007-06-14,18.5,19.01,18.425,18.9,16.9076,8069700,0.0,1.0
2007-06-15,18.89,19.14,18.45,18.88,16.8897,3418900,0.0,1.0
2007-06-18,18.65,18.9,18.5,18.54,16.5856,1339900,0.0,1.0
2007-06-19,18.59,19.08,18.55,18.87,16.8808,3113000,0.0,1.0
2007-06-20,19.0,19.49,18.82,19.36,17.3191,4031500,0.0,1.0
2007-06-21,19.2,19.6,19.02,19.51,17.4533,3985700,0.0,1.0
2007-06-22,19.5,19.85,19.37,19.75,17.668,11822000,0.0,1.0
2007-06-25,19.69,19.74,19.11,19.43,17.3817,1974400,0.0,1.0
2007-06-26,19.5,19.66,19.27,19.49,17.4354,2237000,0.0,1.0
2007-06-27,19.4,19.59,19.13,19.42,17.3728,2216000,0.0,1.0
2007-06-28,19.75,19.89,19.6225,19.67,17.5964,2547200,0.0,1.0
2007-06-29,19.55,19.83,19.51,19.7,17.6233,2022200,0.0,1.0
2007-07-02,19.57,19.76,19.53,19.58,17.5159,1831600,0.0,1.0
2007-07-03,19.71,20.26,19.71,20.25,18.1153,2960900,0.0,1.0
2007-07-05,20.01,20.73,19.92,20.52,18.3568,2640100,0.0,1.0
2007-07-06,20.55,20.9,20.38,20.83,18.6342,1966900,0.0,1.0
2007-07-09,20.94,21.39,20.855,21.33,19.0815,2872800,0.0,1.0
2007-07-10,21.18,21.25,20.53,20.65,18.4731,2367100,0.0,1.0
2007-07-11,20.18,20.59,20.0,20.12,17.999,2387700,0.0,1.0
2007-07-12,20.43,20.63,20.11,20.43,18.2763,3455400,0.0,1.0
2007-07-13,20.35,20.54,20.08,20.5,18.3389,1751700,0.0,1.0
2007-07-16,20.45,21.0,20.31,20.94,18.7326,2891700,0.0,1.0
2007-07-17,21.0,21.25,20.78,21.19,18.9562,4383100,0.0,1.0
2007-07-18,21.79,21.8,21.15,21.37,19.1172,9011300,0.0,1.0
2007-07-19,21.48,21.8,21.4,21.51,19.2425,8636500,0.0,1.0
2007-07-20,21.41,21.58,21.0,21.4,19.1441,4248400,0.0,1.0
2007-07-23,21.4,21.5,21.01,21.11,18.8846,4399000,0.0,1.0
2007-07-24,21.15,21.6,20.73,21.33,19.0815,6101200,0.0,1.0
2007-07-25,21.3,21.31,20.45,20.78,18.5894,2779100,0.0,1.0
2007-07-26,20.56,20.56,18.87,19.36,17.3191,9754300,0.0,1.0
2007-07-27,19.71,19.72,18.37,18.59,16.6303,4562800,0.0,1.0
2007-07-30,18.5,18.59,17.32,18.05,16.1472,8926900,0.0,1.0
2007-07-31,18.28,18.54,17.72,17.82,15.9415,3582900,0.0,1.0
2007-08-01,18.0,18.65,17.18,18.35,16.4156,7082200,0.0,1.0
2007-08-02,18.67,19.5,18.26,18.88,16.8897,7427800,0.0,1.0
2007-08-03,18.88,19.17,18.19,18.7,16.7287,3412800,0.0,1.0
2007-08-06,18.94,19.0,17.71,18.02,16.1204,5659800,0.0,1.0
2007-08-07,17.85,18.77,17.85,18.45,16.5051,2725000,0.0,1.0
2007-08-08,18.38,18.85,18.05,18.49,16.5408,2724100,0.0,1.0
2007-08-09,18.04,18.13,17.65,17.87,15.9862,3314300,0.0,1.0
2007-08-10,17.5,17.61,16.95,17.56,15.7089,3903000,0.0,1.0
2007-08-13,17.65,18.05,17.18,17.29,15.4673,2050800,0.0,1.0
2007-08-14,17.29,17.579,15.96,16.97,15.1811,5720100,0.0,1.0
2007-08-15,16.85,16.95,15.02,15.75,14.0897,3556000,0.0,1.0
2007-08-16,15.25,16.2,14.94,15.92,14.2418,6312100,0.0,1.0
2007-08-17,16.55,16.6,15.02,16.0,14.3133,4152000,0.0,1.0
2007-08-20,16.1,16.65,15.86,16.08,14.3849,1933600,0.0,1.0
2007-08-21,16.01,17.83,15.95,17.71,15.8431,5527200,0.0,1.0
2007-08-22,18.15,18.65,17.64,18.1,16.192,4715900,0.0,1.0
2007-08-23,18.0,18.15,17.55,18.0,16.1025,2271300,0.0,1.0
2007-08-24,17.79,18.28,17.62,18.24,16.3172,983600,0.0,1.0
2007-08-27,17.61,18.23,17.5,17.7,15.8341,1321100,0.0,1.0
2007-08-28,17.55,17.68,17.23,17.35,15.521,1240500,0.0,1.0
2007-08-29,17.46,17.64,17.31,17.36,15.53,1092700,0.0,1.0
2007-08-30,17.05,17.3,16.82,16.98,15.19,1210500,0.0,1.0
2007-08-31,17.05,17.27,16.82,16.88,15.1006,1239900,0.0,1.0
2007-09-04,17.04,17.68,16.9701,17.53,15.682,1992800,0.0,1.0
2007-09-05,17.5,17.98,17.5,17.62,15.7626,1847900,0.0,1.0
2007-09-06,17.75,18.3,17.26,18.07,16.1651,2205500,0.0,1.0
2007-09-07,17.58,17.74,17.39,17.62,15.7626,1533800,0.0,1.0
2007-09-10,17.73,17.99,17.26,17.44,15.6015,2483400,0.0,1.0
2007-09-11,17.4,17.9,17.31,17.69,15.8252,2066700,0.0,1.0
2007-09-12,17.65,17.65,17.06,17.15,15.3421,2217800,0.0,1.0
2007-09-13,17.31,17.62,17.16,17.59,15.7357,1365600,0.0,1.0
2007-09-14,17.34,17.7,17.27,17.65,15.7894,873900,0.0,1.0
2007-09-17,17.57,17.67,17.11,17.15,15.3421,939100,0.0,1.0
2007-09-18,17.35,17.56,16.87,17.45,15.6105,1800800,0.0,1.0
2007-09-19,17.5,18.34,17.5,18.29,16.3619,3484000,0.0,1.0
2007-09-20,18.17,18.18,17.64,17.72,15.852,1631700,0.0,1.0
2007-09-21,18.19,18.19,17.46,17.56,15.7089,1767300,0.0,1.0
2007-09-24,17.52,17.57,16.01,16.03,14.3402,5237600,0.0,1.0
2007-09-25,16.0,17.08,15.9,17.08,15.2795,3470300,0.0,1.0
2007-09-26,17.15,17.95,16.95,17.87,15.9862,4915600,0.0,1.0
2007-09-27,17.93,18.04,17.57,17.82,15.9415,1443000,0.0,1.0
2007-09-28,17.6,17.96,17.27,17.95,16.0578,1505000,0.0,1.0
2007-10-01,18.0,18.33,17.81,18.22,16.2993,2277700,0.0,1.0
2007-10-02,18.4,19.0,18.37,18.98,16.9792,2982300,0.0,1.0
2007-10-03,19.03,19.29,18.51,19.28,17.2476,3078200,0.0,1.0
2007-10-04,19.12,19.55,18.4,18.61,16.6482,4998500,0.0,1.0
2007-10-05,18.63,19.7,18.63,19.19,17.167,3334700,0.0,1.0
2007-10-08,19.12,19.66,19.1105,19.48,17.4265,1546800,0.0,1.0
2007-10-09,19.42,19.78,19.21,19.59,17.5249,1839200,0.0,1.0
2007-10-10,19.25,19.69,19.22,19.63,17.5607,2415800,0.0,1.0
2007-10-11,19.64,19.6799,19.24,19.39,17.346,2948600,0.0,1.0
2007-10-12,19.25,19.98,19.08,19.96,17.8559,2331600,0.0,1.0
2007-10-15,19.77,20.0,19.17,20.0,17.8917,3955300,0.0,1.0
2007-10-16,20.25,20.5,19.3,20.08,17.9632,7945800,0.0,1.0
2007-10-17,20.36,20.56,20.03,20.4,18.2495,5631600,0.0,1.0
2007-10-18,20.35,20.4,19.79,19.96,17.8559,2480600,0.0,1.0
2007-10-19,20.04,20.04,19.49,19.5,17.4444,2029600,0.0,1.0
2007-10-22,19.21,20.25,19.2,20.0,17.8917,3344200,0.0,1.0
2007-10-23,20.18,21.0,20.1,20.82,18.6252,5704400,0.0,1.0
2007-10-24,20.73,21.05,20.47,20.58,18.4105,3971300,0.0,1.0
