,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,47.69,47.69,45.44,47.13,15.3647,1520200,0.0,1.0
2000-01-19,47.0,47.81,45.38,46.38,15.1202,1002000,0.0,1.0
2000-01-20,46.63,46.75,45.13,45.56,14.8529,1082300,0.0,1.0
2000-01-21,45.56,45.56,43.81,44.19,14.4063,1329800,0.0,1.0
2000-01-24,44.25,44.88,43.81,44.88,14.6312,826700,0.0,1.0
2000-01-25,44.88,45.31,42.88,44.5,14.5073,1540200,0.0,1.0
2000-01-26,44.63,46.06,44.56,45.63,14.8757,1232600,0.0,1.0
2000-01-27,45.75,46.0,45.25,45.81,14.9344,733400,0.0,1.0
2000-01-28,45.38,45.44,44.0,44.75,14.5888,1303000,0.0,1.0
2000-01-31,44.63,44.63,43.5,43.69,14.2433,913200,0.0,1.0
2000-02-01,43.63,43.63,42.28,42.75,13.9368,1569900,0.0,1.0
2000-02-02,43.75,44.5,42.56,42.63,13.8977,1584300,0.0,1.0
2000-02-03,42.69,43.0,40.38,41.25,13.4478,2030000,0.0,1.0
2000-02-04,40.5,41.0,39.81,40.88,13.3272,1476800,0.0,1.0
2000-02-07,40.88,41.56,40.06,41.31,13.4674,1008600,0.0,1.0
2000-02-08,41.75,41.81,36.25,40.06,13.0598,5148000,0.0,1.0
2000-02-09,40.19,41.0,39.63,40.0,13.0403,2049300,0.0,1.0
2000-02-10,40.0,40.19,37.13,37.5,12.2253,1201000,0.0,1.0
2000-02-11,37.88,37.88,35.94,36.19,11.7982,1504500,0.0,1.0
2000-02-14,36.31,39.13,35.69,39.0,12.7143,1558900,0.0,1.0
2000-02-15,40.0,41.13,39.63,40.44,13.1837,1310800,0.0,1.0
2000-02-16,40.69,41.63,39.0,39.31,12.8153,1368400,0.0,1.0
2000-02-17,40.0,40.63,39.5,39.81,12.9783,1014000,0.0,1.0
2000-02-18,39.56,40.38,38.0,38.5,12.5513,587100,0.0,1.0
2000-02-22,38.25,40.5,38.0,40.0,13.0403,943200,0.0,1.0
2000-02-23,39.5,39.88,38.25,38.5,12.5513,654200,0.0,1.0
2000-02-24,38.25,38.31,36.19,37.0,12.0623,734600,0.0,1.0
2000-02-25,36.75,39.06,36.5,36.94,12.0427,1123200,0.0,1.0
2000-02-28,36.69,37.44,36.56,36.94,12.0427,911300,0.0,1.0
2000-02-29,37.0,37.06,35.56,35.75,11.6548,2050700,0.0,1.0
2000-03-01,35.88,37.25,34.81,37.0,12.0623,1856300,0.0,1.0
2000-03-02,35.0,35.06,34.0,34.56,11.2668,1790600,0.0,1.0
2000-03-03,34.44,35.5,33.94,34.88,11.3711,2265400,0.0,1.0
2000-03-06,34.81,35.81,34.06,34.19,11.1462,1241700,0.0,1.0
2000-03-07,34.19,34.19,30.31,30.38,9.9041,3196500,0.0,1.0
2000-03-08,31.0,35.25,31.0,35.25,11.4918,2891100,0.0,1.0
2000-03-09,35.5,35.69,34.88,35.69,11.6352,1917700,0.0,1.0
2000-03-10,35.94,36.44,35.06,35.5,11.5733,660500,0.0,1.0
2000-03-13,35.56,35.69,34.31,35.31,11.5113,762900,0.0,1.0
2000-03-14,35.94,36.13,34.5,34.56,11.2668,1073700,0.0,1.0
2000-03-15,34.56,40.0,34.19,37.5,12.2253,2381700,0.0,1.0
2000-03-16,38.0,41.5,38.0,39.5,12.8773,1897400,0.0,1.0
2000-03-17,39.5,39.88,37.88,38.19,12.4502,1376800,0.0,1.0
2000-03-20,38.19,39.13,37.81,38.31,12.4893,689400,0.0,1.0
2000-03-21,37.25,40.0,37.25,38.56,12.5708,911600,0.0,1.0
2000-03-22,38.5,38.75,37.38,38.19,12.4502,693700,0.0,1.0
2000-03-23,38.06,39.5,37.63,38.81,12.6523,789400,0.0,1.0
2000-03-24,38.81,39.0,37.5,38.38,12.5122,914100,0.0,1.0
2000-03-27,37.63,38.38,37.56,37.63,12.2677,584700,0.0,1.0
