,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,31.0,31.75,30.94,31.69,6.3926,121300,0.0,1.0
2000-01-19,31.56,32.0,31.5,31.5,6.3543,185400,0.0,1.0
2000-01-20,31.69,31.75,31.44,31.69,6.3926,83000,0.0,1.0
2000-01-21,31.38,31.81,31.38,31.69,6.3926,240000,0.0,1.0
2000-01-24,31.63,31.88,31.63,31.75,6.4047,92800,0.0,1.0
2000-01-25,31.75,32.31,31.63,32.06,6.4673,410800,0.0,1.0
2000-01-26,32.06,36.88,32.06,36.0,7.2621,395500,0.0,1.0
2000-01-27,36.06,36.38,33.0,33.0,6.6569,348000,0.0,1.0
2000-01-28,33.25,34.44,33.25,33.63,6.784,269500,0.0,1.0
2000-01-31,33.81,34.13,33.81,34.0,6.8586,150000,0.0,1.0
2000-02-01,34.0,34.0,33.19,33.5,6.7578,53500,0.0,1.0
2000-02-02,33.62,34.12,33.38,33.56,6.7699,114000,0.0,1.0
2000-02-03,34.0,34.88,33.94,34.44,6.9474,124200,0.0,1.0
2000-02-04,34.5,35.63,34.5,35.19,7.0987,115500,0.0,1.0
2000-02-07,35.06,35.56,35.06,35.44,7.1491,191900,0.0,1.0
2000-02-08,35.44,35.75,35.44,35.75,7.2116,108600,0.0,1.0
2000-02-09,36.0,36.56,35.5,36.13,7.2883,221600,0.0,1.0
2000-02-10,36.5,36.63,36.19,36.38,7.3387,98600,0.0,1.0
2000-02-11,36.44,36.44,35.31,35.31,7.1229,84200,0.0,1.0
2000-02-14,35.13,35.13,34.44,34.63,6.9857,53600,0.0,1.0
2000-02-15,34.75,35.0,34.69,34.88,7.0361,142500,0.0,1.0
2000-02-16,34.94,35.19,34.91,35.19,7.0987,328800,0.0,1.0
2000-02-17,35.44,36.25,35.31,35.31,7.1229,214400,0.0,1.0
2000-02-18,35.44,35.44,34.5,34.56,6.9716,46800,0.0,1.0
2000-02-22,34.56,35.25,34.38,35.25,7.1108,51100,0.0,1.0
2000-02-23,35.19,35.56,35.19,35.5,7.1612,221600,0.0,1.0
2000-02-24,35.38,35.88,35.06,35.06,7.0724,93100,0.0,1.0
2000-02-25,34.94,35.31,34.75,35.0,7.0603,227600,0.0,1.0
2000-02-28,35.06,35.06,34.06,34.13,6.8848,57000,0.0,1.0
2000-02-29,34.19,34.31,33.75,34.31,6.9212,94800,0.0,1.0
2000-03-01,34.5,36.31,34.38,35.88,7.2379,110300,0.0,1.0
2000-03-02,36.13,36.19,35.63,36.0,7.2621,60400,0.0,1.0
2000-03-03,36.13,36.88,36.13,36.88,7.4396,238000,0.0,1.0
2000-03-06,38.5,40.38,38.5,38.56,7.7785,244100,0.0,1.0
2000-03-07,39.13,39.13,36.06,36.88,7.4396,206100,0.0,1.0
2000-03-08,36.88,37.75,36.88,37.19,7.5021,177500,0.0,1.0
2000-03-09,37.06,37.63,37.06,37.56,7.5768,127500,0.0,1.0
2000-03-10,37.5,37.5,36.75,36.81,7.4255,74800,0.0,1.0
2000-03-13,36.75,36.88,36.5,36.69,7.4013,49100,0.0,1.0
2000-03-14,36.63,37.38,35.75,35.75,7.2116,195000,0.0,1.0
2000-03-15,35.75,36.5,34.5,36.19,7.3004,71700,0.0,1.0
2000-03-16,36.44,39.25,36.44,39.25,7.9177,69400,0.0,1.0
2000-03-17,39.25,39.88,39.25,39.69,8.0064,109700,0.0,1.0
2000-03-20,39.56,40.0,37.38,38.0,7.6655,142300,0.0,1.0
2000-03-21,37.25,37.25,35.0,35.75,7.2116,108300,0.0,1.0
2000-03-22,35.69,37.44,35.69,37.06,7.4759,158500,0.0,1.0
2000-03-23,37.06,37.88,36.75,36.75,7.4134,203700,0.0,1.0
2000-03-24,36.62,36.81,35.75,35.81,7.2237,63200,0.0,1.0
2000-03-27,36.0,36.0,35.44,35.44,7.1491,58300,0.0,1.0
2000-03-28,35.88,38.63,35.63,37.69,7.603,315300,0.0,1.0
2000-03-29,37.69,37.81,36.5,37.0,7.4638,103600,0.0,1.0
2000-03-30,36.5,37.0,36.44,36.94,7.4517,147000,0.0,1.0
2000-03-31,37.0,39.75,36.88,39.75,8.0185,150000,0.0,1.0
2000-04-03,40.0,41.25,39.5,39.81,8.0306,113600,0.0,1.0
2000-04-04,39.75,39.75,37.0,38.38,7.7422,201700,0.0,1.0
2000-04-05,38.38,40.25,37.63,40.13,8.0952,532000,0.0,1.0
2000-04-06,40.13,42.5,39.88,41.44,8.3594,284100,0.0,1.0
2000-04-07,41.44,42.5,41.44,42.0,8.4724,259400,0.0,1.0
2000-04-10,42.0,42.88,41.25,41.5,8.3716,84800,0.0,1.0
2000-04-11,41.5,42.0,41.25,41.94,8.4603,97400,0.0,1.0
2000-04-12,41.75,42.75,41.69,42.13,8.4986,273300,0.0,1.0
2000-04-13,42.13,43.0,42.13,42.69,8.6116,172100,0.0,1.0
2000-04-14,43.5,45.25,43.5,44.5,8.9767,485100,0.0,1.0
2000-04-17,44.56,53.25,44.56,50.25,10.1366,624600,0.0,1.0
2000-04-18,51.25,56.69,51.25,56.0,11.2966,807200,0.0,1.0
2000-04-19,55.75,56.94,53.0,55.06,11.1069,611800,0.0,1.0
2000-04-20,55.13,55.38,51.5,53.63,10.8185,332100,0.0,1.0
2000-04-24,53.5,55.44,53.13,53.75,10.8427,416900,0.0,1.0
2000-04-25,54.75,57.5,54.75,57.25,11.5487,578600,0.0,1.0
2000-04-26,57.0,60.69,56.38,59.0,11.9017,453700,0.0,1.0
2000-04-27,59.0,59.63,57.75,59.0,11.9017,324000,0.0,1.0
2000-04-28,58.5,58.75,55.75,58.19,11.7383,302700,0.0,1.0
2000-05-01,57.94,59.75,57.94,59.06,11.9138,267500,0.0,1.0
2000-05-02,59.0,60.75,57.88,58.25,11.7504,448300,0.0,1.0
2000-05-03,58.0,58.0,56.13,56.31,11.3591,233500,0.0,1.0
2000-05-04,56.75,57.94,56.25,56.75,11.4478,275800,0.0,1.0
2000-05-05,57.5,59.88,57.5,59.63,12.0288,246400,0.0,1.0
2000-05-08,59.88,60.63,59.13,59.38,11.9784,284200,0.0,1.0
2000-05-09,59.25,61.0,59.25,60.25,12.1539,273200,0.0,1.0
2000-05-10,60.31,61.0,57.5,58.88,11.8775,264100,0.0,1.0
2000-05-11,59.38,63.13,59.38,62.06,12.519,269600,0.0,1.0
2000-05-12,62.88,67.25,62.88,67.0,13.5155,445000,0.0,1.0
2000-05-15,67.5,70.0,65.63,66.5,13.4147,599400,0.0,1.0
2000-05-16,68.75,71.38,67.0,69.75,14.0703,548000,0.0,1.0
2000-05-17,68.75,69.75,67.75,67.88,13.693,231400,0.0,1.0
2000-05-18,67.5,68.25,63.31,64.94,13.1,226400,0.0,1.0
2000-05-19,65.19,65.38,58.25,61.63,12.4323,328400,0.0,1.0
2000-05-22,62.5,63.63,60.38,61.06,12.3173,229900,0.0,1.0
2000-05-23,61.06,61.25,60.25,60.69,12.2426,164400,0.0,1.0
2000-05-24,60.88,68.13,60.88,67.88,13.693,468600,0.0,1.0
2000-05-25,70.0,71.5,67.25,69.25,13.9694,481900,0.0,1.0
2000-05-26,70.38,72.75,70.19,70.88,14.2982,399000,0.0,1.0
2000-05-30,70.88,70.88,67.75,68.5,13.8181,417300,0.0,1.0
2000-05-31,68.0,68.38,65.25,65.75,13.2634,453500,0.0,1.0
2000-06-01,67.38,69.75,67.38,68.75,13.8685,367200,0.0,1.0
2000-06-02,69.13,70.0,59.5,66.75,13.4651,836800,0.0,1.0
2000-06-05,66.63,66.63,62.5,63.38,12.7853,468800,0.0,1.0
2000-06-06,64.25,64.5,61.0,61.81,12.4686,148600,0.0,1.0
2000-06-07,62.06,63.0,58.75,61.0,12.3052,253700,0.0,1.0
2000-06-08,61.0,62.25,60.0,60.44,12.1922,100300,0.0,1.0
2000-06-09,60.88,61.81,59.06,61.56,12.4181,169300,0.0,1.0
2000-06-12,60.5,61.0,54.0,59.75,12.053,772900,0.0,1.0
2000-06-13,60.0,62.5,60.0,61.0,12.3052,292900,0.0,1.0
2000-06-14,61.0,66.75,57.19,63.63,12.8357,520600,0.0,1.0
2000-06-15,63.63,65.38,62.5,64.63,13.0374,303300,0.0,1.0
2000-06-16,64.88,65.75,62.38,64.63,13.0374,371000,0.0,1.0
2000-06-19,64.38,70.19,64.38,69.88,14.0965,394900,0.0,1.0
2000-06-20,69.75,74.5,69.13,74.47,15.0224,2715200,0.0,1.0
2000-06-21,74.0,74.5,73.13,73.63,14.8529,850600,0.0,1.0
2000-06-22,73.0,73.0,70.88,71.13,14.3486,334600,0.0,1.0
2000-06-23,71.13,71.5,68.38,70.0,14.1207,334500,0.0,1.0
2000-06-26,70.75,71.25,69.38,70.88,14.2982,302200,0.0,1.0
2000-06-27,72.75,74.0,70.5,70.75,14.272,382200,0.0,1.0
2000-06-28,71.0,73.13,70.81,72.44,14.6129,417000,0.0,1.0
2000-06-29,72.56,74.5,71.88,72.5,14.625,513200,0.0,1.0
2000-06-30,72.5,74.75,67.81,74.75,15.0789,1162100,0.0,1.0
2000-07-03,73.5,74.5,73.25,74.13,14.9538,341600,0.0,1.0
2000-07-05,74.38,77.0,73.5,75.81,15.2927,739800,0.0,1.0
2000-07-06,76.13,78.0,75.5,77.69,15.6719,693700,0.0,1.0
2000-07-07,78.0,79.75,77.0,78.69,15.8737,430500,0.0,1.0
2000-07-10,78.5,83.5,78.25,81.0,16.3397,405100,0.0,1.0
2000-07-11,90.25,97.0,89.13,93.0,18.7603,1291100,0.0,1.0
2000-07-12,95.5,99.5,91.75,97.63,19.6943,784600,0.0,1.0
2000-07-13,97.5,99.94,96.13,98.88,19.9465,417900,0.0,1.0
2000-07-14,99.13,104.0,98.56,103.9,20.9591,522800,0.0,1.0
2000-07-17,104.0,107.8,102.8,107.0,21.5845,683100,0.0,1.0
2000-07-18,107.1,107.5,102.1,102.9,20.7574,711300,0.0,1.0
2000-07-19,101.6,102.9,100.3,100.8,20.3338,359700,0.0,1.0
2000-07-20,102.5,105.0,100.9,102.0,20.5759,547300,0.0,1.0
2000-07-21,101.8,101.8,98.75,100.2,20.2128,320100,0.0,1.0
2000-07-24,100.4,103.8,100.4,101.6,20.4952,255900,0.0,1.0
2000-07-25,101.6,101.6,94.88,98.69,19.9082,597400,0.0,1.0
2000-07-26,98.5,104.9,95.0,102.0,20.5759,540700,0.0,1.0
2000-07-27,102.1,103.0,101.1,102.4,20.6566,295000,0.0,1.0
2000-07-28,102.4,102.6,98.75,101.1,20.3943,285600,0.0,1.0
2000-07-31,101.2,101.5,99.0,100.9,20.354,296500,0.0,1.0
2000-08-01,102.0,106.0,101.0,105.8,21.3424,528500,0.0,1.0
2000-08-02,105.8,110.5,99.0,100.0,20.1724,517600,0.0,1.0
2000-08-03,98.13,103.5,95.75,103.0,20.7776,585400,0.0,1.0
2000-08-04,101.5,108.4,101.5,107.1,21.6047,585800,0.0,1.0
2000-08-07,111.3,118.0,108.1,115.9,23.3798,653200,0.0,1.0
2000-08-08,116.5,120.3,112.4,113.6,22.9159,672000,0.0,1.0
2000-08-09,114.3,115.0,110.1,111.3,22.4519,353900,0.0,1.0
2000-08-10,111.3,112.5,108.5,109.0,21.9879,332000,0.0,1.0
2000-08-11,107.8,109.5,103.8,106.0,21.3828,572100,0.0,1.0
2000-08-14,106.4,107.5,105.6,107.0,21.5845,391300,0.0,1.0
2000-08-15,108.0,110.0,106.5,107.1,21.6047,358600,0.0,1.0
2000-08-16,106.0,108.0,106.0,106.8,21.5441,202100,0.0,1.0
2000-08-17,106.8,108.8,105.3,107.8,21.7459,254300,0.0,1.0
2000-08-18,108.8,111.4,108.1,109.9,22.1695,273800,0.0,1.0
2000-08-21,109.8,113.9,109.3,111.8,22.5528,343300,0.0,1.0
2000-08-22,111.9,115.0,111.7,113.7,22.936,441500,0.0,1.0
2000-08-23,113.8,118.9,112.0,117.9,23.7833,217600,0.0,1.0
2000-08-24,117.9,117.9,113.8,113.8,22.9562,270800,0.0,1.0
2000-08-25,115.0,119.9,115.0,118.8,23.9648,336400,0.0,1.0
2000-08-28,120.3,127.5,120.0,125.5,25.3164,343000,0.0,1.0
2000-08-29,125.0,125.0,119.3,120.0,24.2069,567200,0.0,1.0
2000-08-30,119.5,123.0,118.5,121.9,24.5902,309000,0.0,1.0
2000-08-31,123.3,130.5,123.0,123.8,24.9734,581700,0.0,1.0
2000-09-01,128.0,131.0,127.1,128.9,26.0022,444300,0.0,1.0
2000-09-05,131.0,141.0,129.0,129.8,26.1838,972100,0.0,1.0
2000-09-06,129.5,135.5,127.3,130.3,26.2847,689300,0.0,1.0
2000-09-07,130.3,130.5,125.3,127.3,25.6795,515500,0.0,1.0
2000-09-08,127.5,129.0,126.0,127.8,25.7803,330100,0.0,1.0
2000-09-11,127.8,127.9,125.3,125.8,25.3769,446300,0.0,1.0
2000-09-12,125.8,126.9,122.9,123.8,24.9734,422800,0.0,1.0
2000-09-13,121.0,121.9,117.6,119.0,24.0052,537600,0.0,1.0
2000-09-14,119.0,122.0,117.0,119.9,24.1867,521300,0.0,1.0
2000-09-15,119.9,119.9,112.3,115.8,23.3597,490400,0.0,1.0
2000-09-18,114.0,114.8,94.0,98.86,19.9424,1796600,0.0,1.0
2000-09-19,100.5,105.9,99.56,104.9,21.1609,1227100,0.0,1.0
2000-09-20,104.9,109.0,104.8,105.0,21.181,623900,0.0,1.0
2000-09-21,105.0,105.6,100.0,100.0,20.1724,735900,0.0,1.0
2000-09-22,100.8,113.0,100.8,107.6,21.7055,809400,0.0,1.0
2000-09-25,107.0,112.5,105.4,107.9,21.766,432000,0.0,1.0
2000-09-26,108.0,112.3,108.0,111.1,22.4116,485000,0.0,1.0
2000-09-27,112.5,120.5,110.8,118.9,23.985,854300,0.0,1.0
2000-09-28,119.8,122.5,116.3,119.1,24.0253,571300,0.0,1.0
2000-09-29,118.1,123.0,114.8,114.8,23.1579,810100,0.0,1.0
2000-10-02,116.0,120.0,115.4,118.6,23.9245,627700,0.0,1.0
2000-10-03,118.6,119.9,116.6,116.7,23.5412,489500,0.0,1.0
2000-10-04,118.8,119.8,117.5,118.9,23.985,415200,0.0,1.0
2000-10-05,119.5,126.3,119.5,122.1,24.6305,530600,0.0,1.0
2000-10-06,123.0,129.5,122.1,124.5,25.1147,536500,0.0,1.0
2000-10-09,123.8,123.9,119.1,121.9,24.5902,186300,0.0,1.0
2000-10-10,120.8,127.9,120.8,123.8,24.9734,387200,0.0,1.0
2000-10-11,123.3,131.5,121.8,129.5,26.1233,494600,0.0,1.0
2000-10-12,130.0,130.5,124.5,125.6,25.3366,586100,0.0,1.0
2000-10-13,124.0,125.0,120.1,121.8,24.57,501500,0.0,1.0
2000-10-16,120.0,137.0,119.8,133.9,27.0109,1029400,0.0,1.0
2000-10-17,133.9,140.0,131.0,131.1,26.446,578000,0.0,1.0
2000-10-18,129.3,138.6,126.5,135.4,27.3134,683300,0.0,1.0
2000-10-19,135.6,139.4,134.0,136.8,27.5959,467800,0.0,1.0
2000-10-20,133.0,133.0,107.0,112.9,22.7747,2374500,0.0,1.0
2000-10-23,113.5,113.5,96.5,99.56,20.0837,1979100,0.0,1.0
2000-10-24,103.4,108.9,103.0,105.3,21.2416,1198300,0.0,1.0
2000-10-25,105.1,108.3,105.0,105.9,21.3626,409100,0.0,1.0
2000-10-26,104.3,107.8,101.0,102.9,20.7574,299700,0.0,1.0
2000-10-27,102.9,103.3,89.0,90.5,18.256,944700,0.0,1.0
2000-10-30,91.25,93.25,82.75,89.75,18.1047,1163400,0.0,1.0
2000-10-31,91.5,99.0,91.5,96.25,19.4159,984400,0.0,1.0
2000-11-01,95.38,98.0,88.0,90.94,18.3448,743100,0.0,1.0
2000-11-02,91.19,97.75,90.0,96.19,19.4038,438500,0.0,1.0
2000-11-03,96.13,99.25,96.13,96.75,19.5168,387800,0.0,1.0
2000-11-06,94.75,101.4,94.75,98.19,19.8073,507500,0.0,1.0
2000-11-07,98.19,105.3,94.69,103.5,20.8784,478400,0.0,1.0
2000-11-08,103.5,114.7,102.8,114.0,22.9966,769400,0.0,1.0
2000-11-09,113.5,119.5,111.5,114.6,23.1176,816500,0.0,1.0
2000-11-10,113.8,115.0,110.9,112.9,22.7747,523200,0.0,1.0
2000-11-13,112.0,112.0,101.8,102.2,20.6162,473700,0.0,1.0
2000-11-14,104.1,107.0,97.75,105.1,21.2012,585600,0.0,1.0
2000-11-15,106.3,113.3,104.4,112.1,22.6133,457800,0.0,1.0
2000-11-16,112.0,114.8,106.3,108.9,21.9678,331400,0.0,1.0
2000-11-17,108.9,110.4,105.5,106.3,21.4433,265900,0.0,1.0
2000-11-20,104.5,107.7,96.25,96.88,19.543,558000,0.0,1.0
2000-11-21,98.0,100.9,95.0,99.69,20.1099,282500,0.0,1.0
2000-11-22,98.0,101.6,94.25,101.6,20.4952,424000,0.0,1.0
2000-11-24,103.1,105.9,101.8,104.4,21.06,146300,0.0,1.0
2000-11-27,108.4,111.4,105.0,110.3,22.2502,379100,0.0,1.0
2000-11-28,108.9,109.6,104.8,105.5,21.2819,450900,0.0,1.0
2000-11-29,106.1,106.4,100.5,102.8,20.7372,279100,0.0,1.0
2000-11-30,102.8,114.0,101.0,112.4,22.6738,311300,0.0,1.0
2000-12-01,112.4,115.0,109.8,114.8,23.1579,831000,0.0,1.0
