,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,12.13,12.19,11.88,12.06,1.8497,294400,0.0,1.0
2000-01-19,12.25,12.25,11.63,11.75,1.8022,260967,0.0,1.0
2000-01-20,11.88,11.88,11.38,11.75,1.8022,417867,0.0,1.0
2000-01-21,11.75,11.75,11.31,11.63,1.7838,377200,0.0,1.0
2000-01-24,12.06,12.13,11.5,11.63,1.7838,594400,0.0,1.0
2000-01-25,11.75,11.75,10.88,11.0,1.6872,355200,0.0,1.0
2000-01-26,11.13,11.5,11.13,11.19,1.7163,389200,0.0,1.0
2000-01-27,11.25,11.63,11.25,11.31,1.7347,373633,0.0,1.0
2000-01-28,11.25,11.38,11.13,11.13,1.7071,354833,0.0,1.0
2000-01-31,12.0,12.0,11.38,11.63,1.7838,492033,0.0,1.0
2000-02-01,11.69,11.69,11.31,11.44,1.7546,342800,0.0,1.0
2000-02-02,11.88,11.88,11.44,11.63,1.7838,500567,0.0,1.0
2000-02-03,11.69,12.44,11.69,12.19,1.8747,705467,0.033,1.0
2000-02-04,12.63,12.63,12.06,12.13,1.8655,298433,0.0,1.0
2000-02-07,12.38,12.38,12.13,12.31,1.8932,333633,0.0,1.0
2000-02-08,12.31,12.75,12.25,12.38,1.904,420433,0.0,1.0
2000-02-09,12.94,13.0,12.38,12.44,1.9132,255233,0.0,1.0
2000-02-10,13.31,13.31,12.31,12.38,1.904,576433,0.0,1.0
2000-02-11,12.38,12.38,11.88,12.06,1.8548,226833,0.0,1.0
2000-02-14,12.06,12.63,12.06,12.44,1.9132,291233,0.0,1.0
2000-02-15,12.5,12.63,12.25,12.44,1.9132,365233,0.0,1.0
2000-02-16,12.5,12.5,11.69,11.69,1.7978,351200,0.0,1.0
2000-02-17,12.19,12.44,11.88,11.88,1.8271,356833,0.0,1.0
2000-02-18,11.69,11.94,11.12,11.87,1.8255,584033,0.0,1.0
2000-02-22,11.88,11.88,11.31,11.75,1.8071,272833,0.0,1.0
2000-02-23,11.56,11.75,11.25,11.44,1.7594,229867,0.0,1.0
2000-02-24,11.38,11.56,11.13,11.19,1.721,208833,0.0,1.0
2000-02-25,11.44,11.44,11.25,11.25,1.7302,402667,0.0,1.0
2000-02-28,11.25,11.5,11.13,11.31,1.7394,193767,0.0,1.0
2000-02-29,11.31,11.38,11.13,11.25,1.7302,273600,0.0,1.0
2000-03-01,11.38,12.06,11.38,12.06,1.8548,450433,0.0,1.0
2000-03-02,12.0,12.13,11.94,12.06,1.8548,326000,0.0,1.0
2000-03-03,12.06,12.5,12.0,12.13,1.8655,223467,0.0,1.0
2000-03-06,12.13,12.19,11.56,11.88,1.8271,100967,0.0,1.0
2000-03-07,11.75,11.81,11.31,11.31,1.7394,276967,0.0,1.0
2000-03-08,11.25,11.56,11.25,11.44,1.7594,247767,0.0,1.0
2000-03-09,11.56,11.94,11.5,11.94,1.8363,155600,0.0,1.0
2000-03-10,11.75,11.81,11.44,11.56,1.7779,157633,0.0,1.0
2000-03-13,11.38,12.0,11.38,11.56,1.7779,206167,0.0,1.0
2000-03-14,11.81,11.81,11.25,11.25,1.7302,441367,0.0,1.0
2000-03-15,11.31,12.5,11.31,12.06,1.8548,272167,0.0,1.0
2000-03-16,12.63,14.06,12.63,13.75,2.1147,1151600,0.0,1.0
2000-03-17,13.44,13.69,13.25,13.38,2.0578,319467,0.0,1.0
2000-03-20,13.44,13.75,13.38,13.5,2.0762,184833,0.0,1.0
2000-03-21,13.25,13.44,13.0,13.38,2.0578,296167,0.0,1.0
2000-03-22,13.44,13.5,12.81,13.13,2.0193,321467,0.0,1.0
2000-03-23,13.19,14.0,13.13,13.63,2.0962,431633,0.0,1.0
2000-03-24,13.75,14.0,13.44,13.44,2.067,224033,0.0,1.0
2000-03-27,13.44,13.5,13.0,13.25,2.0378,299867,0.0,1.0
2000-03-28,12.88,13.19,12.75,13.0,1.9993,198800,0.0,1.0
2000-03-29,13.0,13.25,12.56,12.75,1.9609,340800,0.0,1.0
2000-03-30,12.69,14.0,12.56,13.38,2.0578,968400,0.0,1.0
2000-03-31,13.0,13.19,12.94,13.06,2.0085,275767,0.0,1.0
2000-04-03,12.94,13.44,12.88,13.25,2.0378,279867,0.0,1.0
2000-04-04,13.13,13.44,12.5,13.0,1.9993,398000,0.0,1.0
2000-04-05,12.69,13.81,12.63,13.0,1.9993,553233,0.0,1.0
2000-04-06,13.25,13.38,13.0,13.38,2.0578,174400,0.0,1.0
2000-04-07,13.44,13.94,13.44,13.56,2.0854,314567,0.0,1.0
2000-04-10,13.5,13.94,13.13,13.19,2.0285,209233,0.0,1.0
2000-04-11,13.06,13.44,13.0,13.13,2.0193,136267,0.0,1.0
2000-04-12,13.13,13.69,13.06,13.44,2.067,291767,0.0,1.0
2000-04-13,13.31,13.69,13.19,13.69,2.1054,570967,0.0,1.0
2000-04-14,13.19,13.31,12.38,12.63,1.9424,490033,0.0,1.0
2000-04-17,12.5,12.5,12.19,12.25,1.884,434800,0.0,1.0
2000-04-18,12.31,12.94,12.25,12.75,1.9609,342800,0.0,1.0
2000-04-19,12.75,12.81,12.38,12.75,1.9609,134833,0.0,1.0
