,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2004-10-29,12.0,12.01,12.0,12.0,6.3509,5951800,0.0,1.0
2004-11-01,12.0,12.01,12.0,12.0,6.3509,764400,0.0,1.0
2004-11-02,12.0,12.01,12.0,12.0,6.3509,950100,0.0,1.0
2004-11-03,12.02,12.2,12.01,12.15,6.4303,433600,0.0,1.0
2004-11-04,12.18,12.18,12.05,12.06,6.3827,311200,0.0,1.0
2004-11-05,12.05,12.1,12.0,12.08,6.3933,391800,0.0,1.0
2004-11-08,12.13,12.13,12.0,12.01,6.3562,91100,0.0,1.0
2004-11-09,12.0,12.06,12.0,12.01,6.3562,97600,0.0,1.0
2004-11-10,12.0,12.04,12.0,12.01,6.3562,177500,0.0,1.0
2004-11-11,12.0,12.02,12.0,12.02,6.3615,92700,0.0,1.0
2004-11-12,12.01,12.38,12.01,12.29,6.5044,354900,0.0,1.0
2004-11-15,12.32,12.45,12.2,12.39,6.5573,268100,0.0,1.0
2004-11-16,12.49,12.65,12.31,12.5,6.6156,252500,0.0,1.0
2004-11-17,12.55,12.6,12.35,12.51,6.6208,425000,0.0,1.0
2004-11-18,12.5,12.74,12.5,12.72,6.732,179700,0.0,1.0
2004-11-19,12.72,12.74,12.5,12.71,6.7267,202600,0.0,1.0
2004-11-22,12.61,12.73,12.51,12.63,6.6844,105200,0.0,1.0
2004-11-23,12.55,12.95,12.52,12.8,6.7743,204200,0.0,1.0
2004-11-24,12.75,12.95,12.7,12.79,6.769,141700,0.0,1.0
2004-11-26,12.4,12.78,12.4,12.65,6.6949,42900,0.0,1.0
2004-11-29,12.65,12.75,12.55,12.68,6.7108,174200,0.0,1.0
2004-11-30,12.66,12.85,12.65,12.76,6.7532,148800,0.0,1.0
2004-12-01,12.66,13.17,12.66,13.15,6.9596,162500,0.0,1.0
2004-12-02,13.05,13.07,12.78,12.95,6.8537,212800,0.0,1.0
2004-12-03,12.9,13.2,12.9,13.15,6.9596,138300,0.0,1.0
2004-12-06,13.16,13.19,13.05,13.12,6.9437,126600,0.0,1.0
2004-12-07,13.06,13.2,13.0,13.0,6.8802,116200,0.0,1.0
2004-12-08,12.8,13.0,12.7,12.86,6.8061,112300,0.0,1.0
2004-12-09,12.86,12.95,12.5,12.85,6.8008,139200,0.0,1.0
2004-12-10,12.75,13.05,12.55,12.97,6.8643,186000,0.0,1.0
2004-12-13,12.87,13.04,12.7,12.91,6.8325,215700,0.0,1.0
2004-12-14,12.81,13.1,12.79,12.9,6.8273,169400,0.0,1.0
2004-12-15,13.0,13.14,12.89,13.05,6.9066,200300,0.0,1.0
2004-12-16,13.03,13.09,12.93,13.05,6.9066,230000,0.0,1.0
2004-12-17,13.05,13.55,12.94,13.4,7.0919,887700,0.0,1.0
2004-12-20,13.5,13.5,13.0,13.34,7.0601,222800,0.0,1.0
2004-12-21,13.4,13.5,13.29,13.45,7.1183,82700,0.0,1.0
2004-12-22,13.4,13.7,13.21,13.7,7.2506,194000,0.0,1.0
2004-12-23,13.7,14.1,13.65,13.94,7.3777,107900,0.0,1.0
2004-12-27,14.0,14.04,13.52,13.6,7.1977,112500,0.0,1.0
2004-12-28,13.68,13.77,13.47,13.53,7.1607,111100,0.0,1.0
2004-12-29,12.95,13.47,12.95,13.28,7.1111,109400,0.1563,1.0
2004-12-30,13.33,13.57,13.2,13.3,7.1218,48900,0.0,1.0
2004-12-31,13.29,13.69,13.29,13.47,7.2128,55500,0.0,1.0
2005-01-03,13.54,13.6,13.39,13.59,7.2771,189100,0.0,1.0
2005-01-04,13.61,13.77,13.55,13.65,7.3092,154400,0.0,1.0
2005-01-05,13.6,13.66,12.5,13.2,7.0683,302600,0.0,1.0
2005-01-06,13.1,13.65,13.0,13.39,7.17,93300,0.0,1.0
2005-01-07,13.42,13.42,13.08,13.26,7.1004,124300,0.0,1.0
2005-01-10,13.2,13.74,13.1,13.3,7.1218,79800,0.0,1.0
2005-01-11,13.3,13.53,13.05,13.26,7.1004,136400,0.0,1.0
2005-01-12,13.27,13.4,13.2,13.3,7.1218,111600,0.0,1.0
2005-01-13,13.3,13.6,13.28,13.37,7.1593,77500,0.0,1.0
2005-01-14,13.38,13.77,13.38,13.59,7.2771,28100,0.0,1.0
2005-01-18,13.49,13.8,13.23,13.7,7.336,185900,0.0,1.0
2005-01-19,13.7,13.87,13.5,13.65,7.3092,233600,0.0,1.0
2005-01-20,13.6,13.65,13.4,13.56,7.261,42100,0.0,1.0
2005-01-21,13.6,13.64,13.46,13.6,7.2824,51400,0.0,1.0
2005-01-24,13.7,13.75,13.45,13.52,7.2396,48000,0.0,1.0
2005-01-25,13.5,13.66,13.5,13.5,7.2289,61100,0.0,1.0
2005-01-26,13.55,13.84,13.55,13.71,7.3414,105300,0.0,1.0
2005-01-27,13.63,13.8,13.57,13.7,7.336,106000,0.0,1.0
2005-01-28,13.7,13.83,13.65,13.8,7.3895,48100,0.0,1.0
2005-01-31,13.85,14.0,13.79,13.8,7.3895,64800,0.0,1.0
2005-02-01,13.75,13.83,13.6,13.8,7.3895,102900,0.0,1.0
2005-02-02,13.85,14.03,13.84,13.95,7.4699,118100,0.0,1.0
2005-02-03,13.97,14.05,13.85,13.98,7.4859,51200,0.0,1.0
2005-02-04,13.98,14.05,13.93,13.96,7.4752,122900,0.0,1.0
2005-02-07,13.9,14.15,13.9,14.05,7.5234,48300,0.0,1.0
2005-02-08,13.95,14.09,13.93,14.0,7.4966,251800,0.0,1.0
2005-02-09,14.02,14.05,13.84,13.85,7.4163,122000,0.0,1.0
2005-02-10,13.9,14.22,13.9,14.11,7.5555,75400,0.0,1.0
2005-02-11,14.05,14.6,14.0,14.56,7.7965,125800,0.0,1.0
2005-02-14,14.6,14.63,14.4,14.5,7.7644,120600,0.0,1.0
2005-02-15,14.51,14.61,14.3,14.47,7.7483,89700,0.0,1.0
2005-02-16,14.4,14.55,14.4,14.5,7.7644,115600,0.0,1.0
2005-02-17,14.45,14.45,13.96,14.0,7.4966,70000,0.0,1.0
2005-02-18,14.05,14.1,13.92,14.0,7.4966,78800,0.0,1.0
2005-02-22,13.95,13.99,13.7,13.88,7.4324,47100,0.0,1.0
2005-02-23,13.88,13.95,13.8,13.85,7.4163,55400,0.0,1.0
2005-02-24,13.9,14.0,13.73,13.98,7.4859,25100,0.0,1.0
2005-02-25,14.0,14.07,14.0,14.05,7.5234,54000,0.0,1.0
2005-02-28,14.0,14.45,14.0,14.33,7.6733,66600,0.0,1.0
2005-03-01,14.35,14.35,13.74,14.25,7.6305,129900,0.0,1.0
2005-03-02,14.2,14.67,14.2,14.5,7.7644,57100,0.0,1.0
2005-03-03,14.55,14.75,14.3,14.41,7.7162,21300,0.0,1.0
2005-03-04,14.45,14.65,14.4,14.49,7.759,181100,0.0,1.0
2005-03-07,14.5,14.7,14.45,14.52,7.7751,43300,0.0,1.0
2005-03-08,14.55,14.55,14.24,14.25,7.6305,16200,0.0,1.0
2005-03-09,14.15,14.38,14.0,14.26,7.6359,46300,0.0,1.0
2005-03-10,14.25,14.4,14.2,14.31,7.6626,61900,0.0,1.0
2005-03-11,14.16,14.21,13.92,13.98,7.6165,204300,0.2437,1.0
2005-03-14,14.03,14.64,13.98,14.64,7.976,23900,0.0,1.0
2005-03-15,14.68,14.81,13.98,14.17,7.72,111600,0.0,1.0
2005-03-16,14.22,14.22,13.96,14.0,7.6273,70400,0.0,1.0
2005-03-17,14.05,14.05,13.95,13.97,7.611,32200,0.0,1.0
