,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,45.44,46.13,45.25,45.75,20.8222,1255900,0.0,1.0
2000-01-19,45.88,46.31,45.69,45.81,20.8495,1241800,0.0,1.0
2000-01-20,46.5,47.0,44.69,44.75,20.3671,1280500,0.0,1.0
2000-01-21,45.25,45.31,43.88,44.38,20.1987,670500,0.0,1.0
2000-01-24,44.5,44.88,42.88,43.31,19.7117,665600,0.0,1.0
2000-01-25,43.19,43.69,42.0,43.31,19.7117,854900,0.0,1.0
2000-01-26,43.44,43.63,42.25,42.88,19.516,662900,0.0,1.0
2000-01-27,43.13,43.19,41.81,42.06,19.1428,497400,0.0,1.0
2000-01-28,42.13,42.19,40.88,41.0,18.6603,718100,0.0,1.0
2000-01-31,41.0,41.0,39.88,40.31,18.3463,963800,0.0,1.0
2000-02-01,40.31,40.88,39.88,40.63,18.4919,605600,0.0,1.0
2000-02-02,40.75,41.19,40.56,40.69,18.5192,809800,0.0,1.0
2000-02-03,40.63,40.88,40.19,40.69,18.5192,544700,0.0,1.0
2000-02-04,40.56,41.25,40.13,40.69,18.5192,1669500,0.0,1.0
2000-02-07,40.75,41.19,40.38,40.81,18.5738,873300,0.0,1.0
2000-02-08,40.81,40.81,40.0,40.06,18.2325,897900,0.0,1.0
2000-02-09,40.19,40.38,38.63,39.38,17.923,1074600,0.0,1.0
2000-02-10,39.38,39.38,39.0,39.19,17.8365,528000,0.0,1.0
2000-02-11,39.19,39.19,38.0,38.44,17.4952,745600,0.0,1.0
2000-02-14,39.0,39.38,38.5,38.63,17.5817,486500,0.0,1.0
2000-02-15,38.81,39.19,38.25,38.94,17.7228,714800,0.0,1.0
2000-02-16,39.0,39.44,38.38,38.94,17.7228,442500,0.0,1.0
2000-02-17,39.0,39.13,38.31,38.75,17.6363,524500,0.0,1.0
2000-02-18,38.0,38.25,37.56,37.94,17.2676,648700,0.0,1.0
2000-02-22,38.0,39.19,38.0,38.5,17.5225,410500,0.0,1.0
2000-02-23,38.31,39.19,37.75,38.44,17.4952,554600,0.0,1.0
2000-02-24,38.19,38.19,36.56,38.0,17.2949,759600,0.0,1.0
2000-02-25,37.81,38.25,36.63,37.13,16.9513,844700,0.115,1.0
2000-02-28,37.69,38.25,37.13,37.31,17.0335,865500,0.0,1.0
2000-02-29,37.06,38.56,36.06,38.56,17.6042,949100,0.0,1.0
2000-03-01,38.56,38.56,37.44,38.25,17.4626,802100,0.0,1.0
2000-03-02,38.38,39.56,38.38,39.0,17.805,1122900,0.0,1.0
2000-03-03,39.5,42.13,39.5,41.75,19.0605,879700,0.0,1.0
2000-03-06,41.63,42.25,41.0,41.75,19.0605,814800,0.0,1.0
2000-03-07,41.75,42.44,40.25,40.75,18.604,1009700,0.0,1.0
2000-03-08,40.69,40.69,40.13,40.38,18.4351,769000,0.0,1.0
2000-03-09,40.31,41.44,39.63,41.38,18.8916,775400,0.0,1.0
2000-03-10,41.75,42.81,41.13,41.75,19.0605,683900,0.0,1.0
2000-03-13,40.0,41.31,40.0,41.0,18.7181,650900,0.0,1.0
2000-03-14,40.88,41.94,40.25,40.31,18.4031,585100,0.0,1.0
2000-03-15,40.13,43.13,39.75,42.31,19.3162,625200,0.0,1.0
2000-03-16,42.5,44.31,41.44,44.31,20.2293,1111000,0.0,1.0
2000-03-17,45.25,46.88,44.56,44.88,20.4895,976200,0.0,1.0
2000-03-20,45.0,46.25,43.94,45.69,20.8593,1031400,0.0,1.0
2000-03-21,45.56,46.88,45.31,46.31,21.1423,489300,0.0,1.0
2000-03-22,48.75,48.75,46.44,46.94,21.43,1672100,0.0,1.0
2000-03-23,46.81,47.31,45.31,46.69,21.3158,697600,0.0,1.0
2000-03-24,46.69,47.31,45.94,46.0,21.0008,716800,0.0,1.0
2000-03-27,46.0,46.38,45.5,46.06,21.0282,422700,0.0,1.0
2000-03-28,46.0,47.56,45.5,46.19,21.0876,802500,0.0,1.0
2000-03-29,46.06,47.31,45.75,47.13,21.5167,567900,0.0,1.0
2000-03-30,47.0,48.06,46.75,47.94,21.8865,699900,0.0,1.0
2000-03-31,47.94,48.25,47.69,47.88,21.8591,875400,0.0,1.0
2000-04-03,47.94,48.13,46.88,47.94,21.8865,662100,0.0,1.0
2000-04-04,47.94,50.13,47.13,49.94,22.7996,897200,0.0,1.0
2000-04-05,50.06,50.06,48.0,49.56,22.6261,880700,0.0,1.0
2000-04-06,49.81,50.69,49.75,50.25,22.9411,470100,0.0,1.0
2000-04-07,50.25,51.5,49.56,50.06,22.8544,1382600,0.0,1.0
2000-04-10,50.06,51.25,49.56,51.0,23.2835,679300,0.0,1.0
2000-04-11,51.5,53.19,51.5,52.5,23.9683,1812400,0.0,1.0
2000-04-12,52.56,53.0,51.94,52.25,23.8542,1457800,0.0,1.0
2000-04-13,52.25,54.38,52.06,53.0,24.1966,1466100,0.0,1.0
2000-04-14,52.5,52.5,50.5,51.06,23.3109,980000,0.0,1.0
2000-04-17,51.06,51.75,50.0,50.5,23.0552,1093200,0.0,1.0
2000-04-18,50.25,50.75,49.63,50.25,22.9411,874400,0.0,1.0
2000-04-19,50.25,51.69,49.94,50.38,23.0005,563800,0.0,1.0
2000-04-20,50.0,50.56,49.63,50.56,23.0826,408200,0.0,1.0
2000-04-24,50.31,53.0,50.31,53.0,24.1966,1027900,0.0,1.0
